the only thing worse than watching a bad movie is realizing that the film had a lot of potential and could've been effective . 	Translation	Positive	Negative	EmotionRationale
such is the case with _urban legend_ , the new horror film from first time director jamie blanks . 	such is the case with _urban legend_ , the new horror film from first time director jamie blanks .	1	-4	 such[0] is[0] the[0] case[0] with[0] _urban[0] legend_[0] the[0] new[0] horror[-3] film[0] from[0] first[0] time[0] director[0] jamie[0] blanks[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the idea behind the movie is that the mad slasher of the film muders people according to various urban legends . 	the idea behind the movie is that the mad slasher of the film muders people according to various urban legends .	1	-2	 the[0] idea[0] behind[0] the[0] movie[0] is[0] that[0] the[0] mad[-1] slasher[-1] of[0] the[0] film[0] muders[0] people[0] according[0] to[0] various[0] urban[0] legends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
examples include the killer in the backseat of the car and person getting calls from inside her house . 	examples include the killer in the backseat of the car and person getting calls from inside her house .	1	-2	 examples[0] include[0] the[0] killer[-1] in[0] the[0] backseat[0] of[0] the[0] car[0] and[0] person[0] getting[0] calls[0] from[0] inside[0] her[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the killer wears one of those l . l . bean parkas with the hood drawn completely up , so you can't see the face . 	the killer wears one of those l .<br> l .<br> bean parkas with the hood drawn completely up , so you can't see the face .	1	-2	 the[0] killer[-1] wears[0] one[0] of[0] those[0] l[0] [[Sentence=-2,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]] bean[0] parkas[0] with[0] the[0] hood[0] drawn[0] completely[0] up[0] so[0] you[0] can't[0] see[0] the[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess halloween masks are out of style for psychos these days . 	i guess halloween masks are out of style for psychos these days .	1	-1	 i[0] guess[0] halloween[0] masks[0] are[0] out[0] of[0] style[0] for[0] psychos[0] these[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyhow , the premise is certainly a nifty one and the opening scene is spooky and atmospheric . 	anyhow , the premise is certainly a nifty one and the opening scene is spooky and atmospheric .	1	-1	 anyhow[0] the[0] premise[0] is[0] certainly[0] a[0] nifty[0] one[0] and[0] the[0] opening[0] scene[0] is[0] spooky[0] and[0] atmospheric[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a very good setup that promises more chills to come . 	it's a very good setup that promises more chills to come .	3	-1	 it's[0] a[0] very[0] good[1][1 LastWordBoosterStrength] setup[0] that[0] promises[1] more[0] chills[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the film never takes off from there . 	unfortunately , the film never takes off from there .	1	-2	 unfortunately[-1] the[0] film[0] never[0] takes[0] off[0] from[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie takes place on a peaceful new england college campus . 	the movie takes place on a peaceful new england college campus .	1	-1	 the[0] movie[0] takes[0] place[0] on[0] a[0] peaceful[0] new[0] england[0] college[0] campus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like most slasher flicks , this one also centers around a young female main character whose friends are slowly killed off by a knife wielding maniac ( or in this case an axe wielding maniac ) . 	like most slasher flicks , this one also centers around a young female main character whose friends are slowly killed off by a knife wielding maniac ( or in this case an axe wielding maniac ) .	2	-4	 like[1] most[0] slasher[-1] flicks[0] this[0] one[0] also[0] centers[0] around[0] a[0] young[0] female[0] main[0] character[0] whose[0] friends[1] are[0] slowly[0] killed[-3] off[0] by[0] a[0] knife[-1] wielding[0] maniac[-2] or[0] in[0] this[0] case[0] an[0] axe[0] wielding[0] maniac[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i've always wondered why these killers don't save themselves a lot of time and trouble and just go after the person they ultimately aim to kill . 	i've always wondered why these killers don't save themselves a lot of time and trouble and just go after the person they ultimately aim to kill .	1	-2	 i've[0] always[0] wondered[0] why[0] these[0] killers[0] don't[0] save[1][NegatedDueToPreviousWord] themselves[0] a[0] lot[0] of[0] time[0] and[0] trouble[-1] and[0] just[0] go[0] after[0] the[0] person[0] they[0] ultimately[0] aim[0] to[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after the fine first scene , the movie degenerates into a monotonous series of those annoying you-thought-it-was-the-killer-but-was-just- someone-else scares . 	after the fine first scene , the movie degenerates into a monotonous series of those annoying you-thought-it-was-the-killer-but-was-just- someone-else scares .	3	-4	 after[0] the[0] fine[2] first[0] scene[0] the[0] movie[0] degenerates[-1] into[0] a[0] monotonous[-1] series[0] of[0] those[0] annoying[-2] you[0] thought[0] it[0] was[0] the[0] killer[-1] but[0] was[0] just[0] someone[0] else[0] scares[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
these are always accompanied by loud bursts of music . 	these are always accompanied by loud bursts of music .	1	-1	 these[0] are[0] always[0] accompanied[0] by[0] loud[0] bursts[0] of[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess sudden , sharp music chords are what passes for terror these days . 	i guess sudden , sharp music chords are what passes for terror these days .	1	-2	 i[0] guess[0] sudden[0] sharp[0] music[0] chords[0] are[0] what[0] passes[0] for[0] terror[-1] these[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actual killer will attack at about every third music blast . 	the actual killer will attack at about every third music blast .	1	-3	 the[0] actual[0] killer[-1] will[0] attack[-2] at[0] about[0] every[0] third[0] music[0] blast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the slasher appears , attacks , the victim is eviscerated , and the tedious cycle appears anew . 	the slasher appears , attacks , the victim is eviscerated , and the tedious cycle appears anew .	1	-3	 the[0] slasher[-1] appears[0] attacks[-2] the[0] victim[-2] is[0] eviscerated[0] and[0] the[0] tedious[-2] cycle[0] appears[0] anew[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
