well arnold has completed the seemingly impossible task . 	Translation	Positive	Negative	EmotionRationale
he has made three consecutive unsatisfactory action films . 	he has made three consecutive unsatisfactory action films .	1	-2	 he[0] has[0] made[0] three[0] consecutive[0] unsatisfactory[-1] action[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a domain that he owns , it is very surprising that this goliath of an action star can not tell a good action script from a bad one . 	in a domain that he owns , it is very surprising that this goliath of an action star can not tell a good action script from a bad one .	2	-2	 in[0] a[0] domain[0] that[0] he[0] owns[0] it[0] is[0] very[0] surprising[0] that[0] this[0] goliath[0] of[0] an[0] action[0] star[0] can[0] not[0] tell[0] a[0] good[1] action[0] script[0] from[0] a[0] bad[-1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eraser , back in 1996 , was a confused film that made no attempt at all to make sense . 	eraser , back in 1996 , was a confused film that made no attempt at all to make sense .	1	-2	 eraser[-1] back[0] in[0] 1996[0] was[0] a[0] confused[-1] film[0] that[0] made[0] no[0] attempt[0] at[0] all[0] to[0] make[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
batman and robin , in 1997 , was the black sheep of the batman series with ridiculous acting , idiotic action scenes , and painfully flashy costumes . 	batman and robin , in 1997 , was the black sheep of the batman series with ridiculous acting , idiotic action scenes , and painfully flashy costumes .	1	-4	 batman[0] and[0] robin[0] in[0] 1997[0] was[0] the[0] black[0] sheep[0] of[0] the[0] batman[0] series[0] with[0] ridiculous[-2] acting[0] idiotic[-2] action[0] scenes[0] and[0] painfully[-3] flashy[0] costumes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now in 1999 , " end of days " ( not " the end of days " ) is the third strike in a tough at bat for arnold . 	now in 199 , " end of days " ( not " the end of days " ) is the third strike in a tough at bat for arnold .	1	-2	 now[0] in[0] 1999/199[0] end[0] of[0] days[0] not[0] the[0] end[0] of[0] days[0] is[0] the[0] third[0] strike[-1] in[0] a[0] tough[-1] at[0] bat[0] for[0] arnold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is this the end of a powerful action star's long-lived career ? 	is this the end of a powerful action star's long-lived career ?	1	-1	 is[0] this[0] the[0] end[0] of[0] a[0] powerful[0] action[0] star's[0] long[0] lived[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will arnold ever give us another unforgettable performance in another unforgettable classic like those in the past ( " terminator " , " terminator 2 : judgement day " , " predator " ) ? 	will arnold ever give us another unforgettable performance in another unforgettable classic like those in the past ( " terminator " , " terminator 2 : judgement day " , " predator " ) ?	2	-1	 will[0] arnold[0] ever[0] give[0] us[0] another[0] unforgettable[0] performance[0] in[0] another[0] unforgettable[0] classic[0] like[1] those[0] in[0] the[0] past[0] terminator[0] terminator[0] 2[0] judgement[0] day[0] predator[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or an unforgettable performance in a great guilty pleasure like those in the past ( " commando " , " red sonja " , " true lies " ) ? 	or an unforgettable performance in a great guilty pleasure like those in the past ( " commando " , " red sonja " , " true lies " ) ?	3	-4	 or[0] an[0] unforgettable[0] performance[0] in[0] a[0] great[2] guilty[-3] pleasure[2] like[1] those[0] in[0] the[0] past[0] commando[0] red[0] sonja[0] true[1] lies[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it doesn't look that way . 	it doesn't look that way .	1	-1	 it[0] doesn't[0] look[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " end of days " begins with the birth of a baby girl in 1979 who inexorably , due to the formation of the stars on that night , will be the carrier of satan's baby the hour before new year's of 2000 . 	 " end of days " begins with the birth of a baby girl in 1979 who inexorably , due to the formation of the stars on that night , will be the carrier of satan's baby the hour before new year's of 200 .	2	-3	 end[0] of[0] days[0] begins[0] with[0] the[0] birth[0] of[0] a[0] baby[1] girl[0] in[0] 1979[0] who[0] inexorably[0] due[0] to[0] the[0] formation[0] of[0] the[0] stars[0] on[0] that[0] night[0] will[0] be[0] the[0] carrier[0] of[0] satan's[-2] baby[1] the[0] hour[0] before[0] new[0] year's[0] of[0] 2000/200[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fortunately for the movie's sake , the girl grows up and now resides in manhattan with skyscrapers , subway trains in dark tunnels , and a myriad of inept nypd officers . 	fortunately for the movie's sake , the girl grows up and now resides in manhattan with skyscrapers , subway trains in dark tunnels , and a myriad of inept nypd officers .	1	-1	 fortunately[0] for[0] the[0] movie's[0] sake[0] the[0] girl[0] grows[0] up[0] and[0] now[0] resides[0] in[0] manhattan[0] with[0] skyscrapers[0] subway[0] trains[0] in[0] dark[0] tunnels[0] and[0] a[0] myriad[0] of[0] inept[0] nypd[0] officers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's an action film's dream come true when the director is given tons of cool stuff to blow up . 	it's an action film's dream come true when the director is given tons of cool stuff to blow up .	2	-1	 it's[0] an[0] action[0] film's[0] dream[0] come[0] true[1] when[0] the[0] director[0] is[0] given[0] tons[0] of[0] cool[1] stuff[0] to[0] blow[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
imagine if the girl had lived in anytown , usa , where the only thing to destroy is a dairy queen and a post office . 	imagine if the girl had lived in anytown , usa , where the only thing to destroy is a dairy queen and a post office .	1	-3	 imagine[0] if[0] the[0] girl[0] had[0] lived[0] in[0] anytown[0] usa[0] where[0] the[0] only[0] thing[0] to[0] destroy[-2] is[0] a[0] dairy[0] queen[0] and[0] a[0] post[0] office[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
arnold schwarzenegger ( jericho cane ) , in a series of boring events finds himself in the middle of a religious battle between the church , who is trying to hide the girl ( or in some cases trying to kill her ) , and satan ( gabriel byrne ) who is trying to make her pregnant . 	arnold schwarzenegger ( jericho cane ) , in a series of boring events finds himself in the middle of a religious battle between the church , who is trying to hide the girl ( or in some cases trying to kill her ) , and satan ( gabriel byrne ) who is trying to make her pregnant .	1	-3	 arnold[0] schwarzenegger[0] jericho[0] cane[0] in[0] a[0] series[0] of[0] boring[-1] events[0] finds[0] himself[0] in[0] the[0] middle[0] of[0] a[0] religious[0] battle[-1] between[0] the[0] church[0] who[0] is[0] trying[0] to[0] hide[0] the[0] girl[0] or[0] in[0] some[0] cases[0] trying[0] to[0] kill[-1] her[0] and[0] satan[-2] gabriel[0] byrne[0] who[0] is[0] trying[0] to[0] make[0] her[0] pregnant[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if the devil is successful , the world will no longer exist as we know it . 	if the devil is successful , the world will no longer exist as we know it .	3	-2	 if[0] the[0] devil[-1] is[0] successful[2] the[0] world[0] will[0] no[0] longer[0] exist[0] as[0] we[0] know[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jericho feels it is his duty to protect the girl from everyone because 1 ) he once had faith but no longer does and 2 ) his wife and daughter were killed and he feels responsible for it . 	jericho feels it is his duty to protect the girl from everyone because 1 ) he once had faith but no longer does and 2 ) his wife and daughter were killed and he feels responsible for it .	2	-4	 jericho[0] feels[0] it[0] is[0] his[0] duty[-1] to[0] protect[0] the[0] girl[0] from[0] everyone[0] because[0] 1[0] he[0] once[0] had[0] faith[1] but[0] no[0] longer[0] does[0] and[0] 2[0] his[0] wife[0] and[0] daughter[0] were[0] killed[-3] and[0] he[0] feels[0] responsible[0] for[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
