in the past , tim burton has taken cinema by storm with the action packed batman , and the hilarious ed wood , but lately his films just don't cut it . 	Translation	Positive	Negative	EmotionRationale
sleepy hollow has some unique features , but the script is a terrible mess . 	sleepy hollow has some unique features , but the script is a terrible mess .	1	-4	 sleepy[0] hollow[-1] has[0] some[0] unique[0] features[0] but[0] the[0] script[0] is[0] a[0] terrible[-3] mess[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for those who remember disney's fantastic " adventures of ichabod crane " , it is actually superior to this . 	for those who remember disney's fantastic " adventures of ichabod crane " , it is actually superior to this .	3	-1	 for[0] those[0] who[0] remember[0] disney's[0] fantastic[2] adventures[0] of[0] ichabod[0] crane[0] it[0] is[0] actually[0] superior[2] to[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
disney's version was at least interesting , while burton's film drags on far too long , without any suspense or frights . 	disney's version was at least interesting , while burton's film drags on far too long , without any suspense or frights .	2	-4	 disney's[0] version[0] was[0] at[0] least[0] interesting[1] while[0] burton's[0] film[0] drags[0] on[0] far[0] too[0] long[0] without[0] any[0] suspense[0] or[0] frights[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while the stories are similar , the new version adds too much to the once likable story , and throws in some weak dialogue to top it off . 	while the stories are similar , the new version adds too much to the once likable story , and throws in some weak dialogue to top it off .	1	-1	 while[0] the[0] stories[0] are[0] similar[0] the[0] new[0] version[0] adds[0] too[0] much[0] to[0] the[0] once[0] likable[0] story[0] and[0] throws[0] in[0] some[0] weak[-1][--1 LastWordBoosterStrength] dialogue[0] to[0] top[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ichabod crane ( johnny depp ) is now apparently a constable , who was sent to new york to investigate suspicious murders . 	ichabod crane ( johnny dep ) is now apparently a constable , who was sent to new york to investigate suspicious murders .	1	-4	 ichabod[0] crane[0] johnny[0] depp/dep[0] is[0] now[0] apparently[0] a[0] constable[0] who[0] was[0] sent[0] to[0] new[0] york[0] to[0] investigate[0] suspicious[-1] murders[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the victims are headless , and no traces of evidence were found , until the murderer reveals himself , hence the headless horseman . 	the victims are headless , and no traces of evidence were found , until the murderer reveals himself , hence the headless horseman .	1	-4	 the[0] victims[-2] are[0] headless[0] and[0] no[0] traces[0] of[0] evidence[0] were[0] found[0] until[0] the[0] murderer[-3] reveals[0] himself[0] hence[0] the[0] headless[0] horseman[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now with the help of christina ricci and an orphaned boy , they must stop the headless horseman from a killing spree , that could destroy the whole town of sleepy hollow . 	now with the help of christina ricci and an orphaned boy , they must stop the headless horseman from a killing spree , that could destroy the whole town of sleepy hollow .	1	-2	 now[0] with[0] the[0] help[0] of[0] christina[0] ricci[0] and[0] an[0] orphaned[0] boy[0] they[0] must[0] stop[0] the[0] headless[0] horseman[0] from[0] a[0] killing[-1] spree[0] that[0] could[0] destroy[-2][--1 LastWordBoosterStrength] the[0] whole[0] town[0] of[0] sleepy[0] hollow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure the headless horseman is an intriguing character , but the story has so many holes that even he nor depp can save this disaster . 	sure the headless horseman is an intriguing character , but the story has so many holes that even he nor dep can save this disaster .	2	-2	 sure[0] the[0] headless[0] horseman[0] is[0] an[0] intriguing[0] character[0] but[0] the[0] story[0] has[0] so[0] many[0] holes[0] that[0] even[0] he[0] nor[0] depp/dep[0] can[0] save[1] this[0] disaster[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the original , the headless horseman was meant to be unstoppable . 	in the original , the headless horseman was meant to be unstoppable .	1	-1	 in[0] the[0] original[0] the[0] headless[0] horseman[0] was[0] meant[0] to[0] be[0] unstoppable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one could stop him , not even ichabod . 	no one could stop him , not even ichabod .	1	-1	 no[0] one[0] could[0] stop[0] him[0] not[0] even[0] ichabod[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
