certainly no one would rent ed wood's glen or glenda ? 	Translation	Positive	Negative	EmotionRationale
expecting to see a good movie , but this screwy discourse about transvestitism betrays a level of incompetence that i didn't know was possible . 	expecting to see a good movie , but this screwy discourse about transvestitism betrays a level of incompetence that i didn't know was possible .	2	-3	 expecting[0] to[0] see[0] a[0] good[1] movie[0] but[0] this[0] screwy[0] discourse[0] about[0] transvestitism[0] betrays[-2] a[0] level[0] of[0] incompetence[-2] that[0] i[0] didn't[0] know[0] was[0] possible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , wood's infamous plan 9 from outer space actually seems pretty tame by comparison . 	in fact , wood's infamous plan 9 from outer space actually seems pretty tame by comparison .	3	-2	 in[0] fact[0] wood's[0] infamous[-1] plan[0] 9[0] from[0] outer[0] space[0] actually[0] seems[0] pretty[2] tame[0] by[0] comparison[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
watching glen or glenda ? 	watching glen or glenda ?	1	-1	 watching[0] glen[0] or[0] glenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found myself occasionally wondering if wood had originally made two or three separate movies and accidentally edited them together ; as a result , it is actually quite entertaining in that it is unintentionally hilarious . 	i found myself occasionally wondering if wood had originally made two or three separate movies and accidentally edited them together ; as a result , it is actually quite entertaining in that it is unintentionally hilarious .	3	-2	 i[0] found[0] myself[0] occasionally[0] wondering[0] if[0] wood[0] had[0] originally[0] made[0] two[0] or[0] three[0] separate[0] movies[0] and[0] accidentally[-1] edited[0] them[0] together[0] as[0] a[0] result[0] it[0] is[0] actually[0] quite[0] entertaining[0] in[0] that[0] it[0] is[0] unintentionally[0] hilarious[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie starts out as what mostly seems like a bad documentary , with endless , repetitive narration about transvestites , how difficult it is for a transvestite to look at his girlfriend's clothes without being able to wear them , how transvestites are not necessarily homosexuals , and how the main character , glen/glenda is ( as it reminds us probably half a dozen times ) " not half man and half woman , but man and woman at the same time . " 	the movie starts out as what mostly seems like a bad documentary , with endless , repetitive narration about transvestites , how difficult it is for a transvestite to look at his girlfriend's clothes without being able to wear them , how transvestites are not necessarily homosexuals , and how the main character , glen/glenda is ( as it reminds us probably half a dozen times ) " not half man and half woman , but man and woman at the same time .<br> "	2	-2	 the[0] movie[0] starts[0] out[0] as[0] what[0] mostly[0] seems[0] like[1] a[0] bad[-1] documentary[0] with[0] endless[0] repetitive[0] narration[0] about[0] transvestites[0] how[0] difficult[-1] it[0] is[0] for[0] a[0] transvestite[0] to[0] look[0] at[0] his[0] girlfriend's[0] clothes[0] without[0] being[0] able[0] to[0] wear[0] them[0] how[0] transvestites[0] are[0] not[0] necessarily[0] homosexuals[0] and[0] how[0] the[0] main[0] character[0] glen/glenda[0] is[0] as[0] it[0] reminds[0] us[0] probably[0] half[0] a[0] dozen[0] times[0] not[0] half[0] man[0] and[0] half[0] woman[0] but[0] man[0] and[0] woman[0] at[0] the[0] same[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the camera work is terrible-occasionally the camera lingers on , say , a closed door while the characters talk off-screen , or inexplicably zooms in on someone's ear or nose . 	the camera work is terrible-occasionally the camera lingers on , say , a closed door while the characters talk off-screen , or inexplicably zooms in on someone's ear or nose .	1	-4	 the[0] camera[0] work[0] is[0] terrible[-3] occasionally[0] the[0] camera[0] lingers[0] on[0] say[0] a[0] closed[0] door[0] while[0] the[0] characters[0] talk[0] off[0] screen[0] or[0] inexplicably[0] zooms[0] in[0] on[0] someone's[0] ear[0] or[0] nose[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
wood also makes copious use of mostly irrelevant stock footage , which leads to voiced-over non-sequiturs like , " yes , our world is a busy and frightening place , with so many people driving their automobiles . " 	wood also makes copious use of mostly irrelevant stock footage , which leads to voiced-over non-sequiturs like , " yes , our world is a busy and frightening place , with so many people driving their automobiles .<br> "	2	-4	 wood[0] also[0] makes[0] copious[0] use[0] of[0] mostly[0] irrelevant[0] stock[0] footage[0] which[0] leads[0] to[0] voiced[0] over[0] non[0] sequiturs[0] like[1] yes[0] our[0] world[0] is[0] a[0] busy[0] and[0] frightening[-3] place[0] with[0] so[0] many[0] people[0] driving[0] their[0] automobiles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
finally , there is occasional commentary from bela lugosi as a sort of omniscient being who seems to inhabit a frankenstein-style laboratory , delivering pointless lines such as , " people . 	finally , there is occasional commentary from bela lugosi as a sort of omniscient being who seems to inhabit a frankenstein-style laboratory , delivering pointless lines such as , " people .	1	-2	 finally[0] there[0] is[0] occasional[0] commentary[0] from[0] bela[0] lugosi[0] as[0] a[0] sort[0] of[0] omniscient[0] being[0] who[0] seems[0] to[0] inhabit[0] a[0] frankenstein[0] style[0] laboratory[0] delivering[0] pointless[-1] lines[0] such[0] as[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
all with their own thoughts . 	all with their own thoughts .	1	-1	 all[0] with[0] their[0] own[0] thoughts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
their own ideas . 	their own ideas .	1	-1	 their[0] own[0] ideas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . " 	 .<br> "	1	-1	[[[0,0 max of sentences]]]
while lightning crackles quasi-ominously overhead . 	while lightning crackles quasi-ominously overhead .	1	-3	 while[0] lightning[0] crackles[0] quasi[0] ominously[-2] overhead[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
had wood continued in this vein , glen or glenda ? 	had wood continued in this vein , glen or glenda ?	1	-1	 had[0] wood[0] continued[0] in[0] this[0] vein[0] glen[0] or[0] glenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably would have been remembered as nothing more than a poorly done documentary with the occasional inappropriate horror-movie touch . 	probably would have been remembered as nothing more than a poorly done documentary with the occasional inappropriate horror-movie touch .	1	-4	 probably[0] would[0] have[0] been[0] remembered[0] as[0] nothing[0] more[0] than[0] a[0] poorly[-1] done[0] documentary[0] with[0] the[0] occasional[0] inappropriate[0] horror[-3] movie[0] touch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , he then wanders so far off into left field that you have to wonder if he had been eating some funny mushrooms when he wrote the script . 	unfortunately , he then wanders so far off into left field that you have to wonder if he had been eating some funny mushrooms when he wrote the script .	1	-2	 unfortunately[-1] he[0] then[0] wanders[0] so[0] far[0] off[0] into[0] left[0] field[0] that[0] you[0] have[0] to[0] wonder[0] if[0] he[0] had[0] been[0] eating[0] some[0] funny[1][-1 LastWordBoosterStrength] mushrooms[0] when[0] he[0] wrote[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " pull the string ! 	 " pull the string !	1	-1	 pull[0] the[0] string[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pull the string ! " 	pull the string !<br> "	1	-1	 pull[0] the[0] string[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
announces an alarmed lugosi as stock footage of buffalo appears . 	announces an alarmed lugosi as stock footage of buffalo appears .	1	-3	 announces[0] an[0] alarmed[-2] lugosi[0] as[0] stock[0] footage[0] of[0] buffalo[0] appears[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is another crash of lightning before lugosi returns , this time warning us , " beware . 	there is another crash of lightning before lugosi returns , this time warning us , " beware .	1	-2	 there[0] is[0] another[0] crash[0] of[0] lightning[0] before[0] lugosi[0] returns[0] this[0] time[0] warning[0] us[0] beware[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
beware the big green dragon that lurks outside your door ! 	beware the big green dragon that lurks outside your door !	1	-2	 beware[-1] the[0] big[0] green[0] dragon[0] that[0] lurks[0] outside[0] your[0] door[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
it eats little boys . 	it eats little boys .	1	-1	 it[0] eats[0] little[0] boys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and puppy dogs' tails . 	and puppy dogs' tails .	1	-1	 and[0] puppy[0] dogs'[0] tails[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and big fat snails ! " 	and big fat snails !<br> "	1	-2	 and[0] big[0] fat[-1] snails[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a bizarre nightmare sequence , which is probably meant to be symbolic but instead is just incredibly stupid , ensues , during which glen/glenda finds his fiance trapped under a fallen tree-in the living room . 	a bizarre nightmare sequence , which is probably meant to be symbolic but instead is just incredibly stupid , ensues , during which glen/glenda finds his fiance trapped under a fallen tree-in the living room .	1	-4	 a[0] bizarre[-1] nightmare[-2] sequence[0] which[0] is[0] probably[0] meant[0] to[0] be[0] symbolic[0] but[0] instead[0] is[0] just[0] incredibly[0] stupid[-1][-2 LastWordBoosterStrength] ensues[0] during[0] which[0] glen/glenda[0] finds[0] his[0] fiance[0] trapped[0] under[0] a[0] fallen[0] tree[0] in[0] the[0] living[0] room[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
someone who is apparently intended to be the sinister " green dragon " ( but looks more like a klingon from the original star trek series ) appears to be orchestrating all this , though the film is far from clear on this point ( to put it kindly ) . 	someone who is apparently intended to be the sinister " green dragon " ( but looks more like a klingon from the original star trek series ) appears to be orchestrating all this , though the film is far from clear on this point ( to put it kindly ) .	2	-4	 someone[0] who[0] is[0] apparently[0] intended[0] to[0] be[0] the[0] sinister[-3] green[0] dragon[0] but[0] looks[0] more[0] like[1] a[0] klingon[0] from[0] the[0] original[0] star[0] trek[0] series[0] appears[0] to[0] be[0] orchestrating[0] all[0] this[0] though[0] the[0] film[0] is[0] far[0] from[0] clear[0] on[0] this[0] point[0] to[0] put[0] it[0] kindly[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
near the end of this scene-and here i must confess that wood lost me completely-is a violent sexual encounter on a couch that features two characters who do not even appear in the rest of the movie and is scored by goofily upbeat folk music . 	near the end of this scene-and here i must confess that wood lost me completely-is a violent sexual encounter on a couch that features two characters who do not even appear in the rest of the movie and is scored by goofily upbeat folk music .	2	-3	 near[0] the[0] end[0] of[0] this[0] scene[0] and[0] here[0] i[0] must[0] confess[-1] that[0] wood[0] lost[0] me[0] completely[0] is[0] a[0] violent[-2] sexual[0] encounter[0] on[0] a[0] couch[0] that[0] features[0] two[0] characters[0] who[0] do[0] not[0] even[0] appear[0] in[0] the[0] rest[0] of[0] the[0] movie[0] and[0] is[0] scored[0] by[0] goofily[0] upbeat[1] folk[0] music[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after this scene ends ( not a moment too soon ) , glen or glenda ? 	after this scene ends ( not a moment too soon ) , glen or glenda ?	1	-1	 after[0] this[0] scene[0] ends[0] not[0] a[0] moment[0] too[0] soon[0] glen[0] or[0] glenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
returns to its documentary style , but at that point any lingering sense that wood had the slightest idea what he was doing is pretty much gone . 	returns to its documentary style , but at that point any lingering sense that wood had the slightest idea what he was doing is pretty much gone .	3	-1	 returns[0] to[0] its[0] documentary[0] style[0] but[0] at[0] that[0] point[0] any[0] lingering[0] sense[0] that[0] wood[0] had[0] the[0] slightest[0] idea[0] what[0] he[0] was[0] doing[0] is[0] pretty[2] much[0] gone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film wanders to a dumb happy ending that also seems to abandon much of what it was trying to say about transvestitism , but at that point it didn't matter much what happened . 	the film wanders to a dumb happy ending that also seems to abandon much of what it was trying to say about transvestitism , but at that point it didn't matter much what happened .	2	-2	 the[0] film[0] wanders[0] to[0] a[0] dumb[-1] happy[1] ending[0] that[0] also[0] seems[0] to[0] abandon[-1] much[0] of[0] what[0] it[0] was[0] trying[0] to[0] say[0] about[0] transvestitism[0] but[0] at[0] that[0] point[0] it[0] didn't[0] matter[0] much[0] what[0] happened[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as soon as the aforementioned sex scene was over , glen or glenda ? 	as soon as the aforementioned sex scene was over , glen or glenda ?	1	-1	 as[0] soon[0] as[0] the[0] aforementioned[0] sex[0] scene[0] was[0] over[0] glen[0] or[0] glenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
had pretty much cemented its place in my mind as the most incoherent film i had ever seen . 	had pretty much cemented its place in my mind as the most incoherent film i had ever seen .	3	-1	 had[0] pretty[2] much[0] cemented[0] its[0] place[0] in[0] my[0] mind[0] as[0] the[0] most[0] incoherent[0] film[0] i[0] had[0] ever[0] seen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
