arnold schwarzenegger has been an icon for action enthusiasts , since the late 80's , but lately his films have been very sloppy and the one-liners are getting worse . 	Translation	Positive	Negative	EmotionRationale
it's hard seeing arnold as mr . freeze in batman and robin , especially when he says tons of ice jokes , but hey he got 15 million , what's it matter to him ? 	it's hard seeing arnold as mr .<br> freeze in batman and robin , especially when he says tons of ice jokes , but hey he got 15 million , what's it matter to him ?	2	-1	 it's[0] hard[0] seeing[0] arnold[0] as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] in[0] batman[0] and[0] robin[0] especially[0] when[0] he[0] says[0] tons[0] of[0] ice[0] jokes[1] but[0] hey[1] he[0] got[0] 15[0] million[0] what's[0] it[0] matter[0] to[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once again arnold has signed to do another expensive blockbuster , that can't compare with the likes of the terminator series , true lies and even eraser . 	once again arnold has signed to do another expensive blockbuster , that can't compare with the likes of the terminator series , true lies and even eraser .	3	-3	 once[0] again[0] arnold[0] has[0] signed[0] to[0] do[0] another[0] expensive[-1] blockbuster[-1] that[0] can't[0] compare[0] with[0] the[0] likes[2] of[0] the[0] terminator[0] series[0] true[1] lies[-2] and[0] even[0] eraser[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in this so called dark thriller , the devil ( gabriel byrne ) has come upon earth , to impregnate a woman ( robin tunney ) which happens every 1000 years , and basically destroy the world , but apparently god has chosen one man , and that one man is jericho cane ( arnold himself ) . 	in this so called dark thriller , the devil ( gabriel byrne ) has come upon earth , to impregnate a woman ( robin tunney ) which happens every 100 years , and basically destroy the world , but apparently god has chosen one man , and that one man is jericho cane ( arnold himself ) .	2	-3	 in[0] this[0] so[0] called[0] dark[0] thriller[1] the[0] devil[-1] gabriel[0] byrne[0] has[0] come[0] upon[0] earth[0] to[0] impregnate[0] a[0] woman[0] robin[0] tunney[0] which[0] happens[0] every[0] 1000/100[0] years[0] and[0] basically[0] destroy[-2] the[0] world[0] but[0] apparently[0] god[0] has[0] chosen[0] one[0] man[0] and[0] that[0] one[0] man[0] is[0] jericho[0] cane[0] arnold[0] himself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with the help of a trusty sidekick ( kevin pollack ) , they will stop at nothing to let the devil take over the world ! 	with the help of a trusty sidekick ( kevin pollack ) , they will stop at nothing to let the devil take over the world !	2	-2	 with[0] the[0] help[0] of[0] a[0] trusty[1] sidekick[0] kevin[0] pollack[0] they[0] will[0] stop[0] at[0] nothing[0] to[0] let[0] the[0] devil[-1] take[0] over[0] the[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
parts of this are actually so absurd , that they would fit right in with dogma . 	parts of this are actually so absurd , that they would fit right in with dogma .	1	-2	 parts[0] of[0] this[0] are[0] actually[0] so[0] absurd[-1] that[0] they[0] would[0] fit[0] right[0] in[0] with[0] dogma[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , the film is that weak , but it's better than the other blockbuster right now ( sleepy hollow ) , but it makes the world is not enough look like a 4 star film . 	yes , the film is that weak , but it's better than the other blockbuster right now ( sleepy hollow ) , but it makes the world is not enough look like a 4 star film .	2	-2	 yes[0] the[0] film[0] is[0] that[0] weak[-1] but[0] it's[0] better[0] than[0] the[0] other[0] blockbuster[-1] right[0] now[0] sleepy[0] hollow[-1] but[0] it[0] makes[0] the[0] world[0] is[0] not[0] enough[0] look[0] like[1] a[0] 4[0] star[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anyway , this definitely doesn't seem like an arnold movie . 	anyway , this definitely doesn't seem like an arnold movie .	2	-1	 anyway[0] this[0] definitely[0] doesn't[0] seem[0] like[1] an[0] arnold[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it just wasn't the type of film you can see him doing . 	it just wasn't the type of film you can see him doing .	1	-1	 it[0] just[0] wasn't[0] the[0] type[0] of[0] film[0] you[0] can[0] see[0] him[0] doing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure he gave us a few chuckles with his well known one-liners , but he seemed confused as to where his character and the film was going . 	sure he gave us a few chuckles with his well known one-liners , but he seemed confused as to where his character and the film was going .	3	-2	 sure[0] he[0] gave[0] us[0] a[0] few[0] chuckles[2] with[0] his[0] well[0] known[0] one[0] liners[0] but[0] he[0] seemed[0] confused[-1] as[0] to[0] where[0] his[0] character[0] and[0] the[0] film[0] was[0] going[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's understandable , especially when the ending had to be changed according to some sources . 	it's understandable , especially when the ending had to be changed according to some sources .	1	-1	 it's[0] understandable[0] especially[0] when[0] the[0] ending[0] had[0] to[0] be[0] changed[0] according[0] to[0] some[0] sources[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
