i heard actor skeet ulrich discussing this film in a couple of interviews , and in both instances , he felt the strange compulsion to compare it a little series of films called lethal weapon . 	Translation	Positive	Negative	EmotionRationale
now , i personally remember those films as a ) starring a major motion picture star b ) being funny c ) having great action sequences d ) great chemistry e ) decent character development . 	now , i personally remember those films as a ) starring a major motion picture star b ) being funny c ) having great action sequences d ) great chemistry e ) decent character development .	3	-1	 now[0] i[0] personally[0] remember[0] those[0] films[0] as[0] a[0] starring[0] a[0] major[0] motion[0] picture[0] star[0] b[0] being[0] funny[1] c[0] having[0] great[2] action[0] sequences[0] d[0] great[2] chemistry[0] e[0] decent[0] character[0] development[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hmmm . . . . okay . . . now on to my review of chill factor . 	hm .<br> .<br> .<br> .<br> okay .<br> .<br> .<br> now on to my review of chill factor .	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] okay[0] [[Sentence=-1,1=word max, 1-5]] now[0] on[0] to[0] my[0] review[0] of[0] chill[0] factor[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
plot : a graveyard shift regular working joe and ice cream truck driver fall onto a malicious plan by an ex-army general , to propose a nuclear device to international prospects . 	plot : a graveyard shift regular working joe and ice cream truck driver fall onto a malicious plan by an ex-army general , to propose a nuclear device to international prospects .	1	-4	 plot[0] a[0] graveyard[-2] shift[0] regular[0] working[0] joe[0] and[0] ice[0] cream[0] truck[0] driver[0] fall[0] onto[0] a[0] malicious[-3] plan[0] by[0] an[0] ex[0] army[0] general[0] to[0] propose[0] a[0] nuclear[0] device[0] to[0] international[0] prospects[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the device suddenly falls into their reluctant laps , they must keep it cool on ice , and rush it over to an army base , before the contraption ticks over 50 degrees fahrenheit , and kills millions of people . 	when the device suddenly falls into their reluctant laps , they must keep it cool on ice , and rush it over to an army base , before the contraption ticks over 50 degrees fahrenheit , and kills millions of people .	2	-2	 when[0] the[0] device[0] suddenly[0] falls[0] into[0] their[0] reluctant[-1] laps[0] they[0] must[0] keep[0] it[0] cool[1] on[0] ice[0] and[0] rush[0] it[0] over[0] to[0] an[0] army[0] base[0] before[0] the[0] contraption[0] ticks[0] over[0] 50[0] degrees[0] fahrenheit[0] and[0] kills[0] millions[0] of[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
critique : " speed on an ice-cream truck " is probably the pitch that was used to sell this one-tone movie to its backers , but unfortunately , the only way that anyone could compare this film to that tension-filled , original two hours of cinema , is in its distinct honor of being the complete opposite of what that film , and the lethal weapon movies , stood for . 	critique : " speed on an ice-cream truck " is probably the pitch that was used to sell this one-tone movie to its backers , but unfortunately , the only way that anyone could compare this film to that tension-filled , original two hours of cinema , is in its distinct honor of being the complete opposite of what that film , and the lethal weapon movies , stood for .	1	-3	 critique[0] speed[0] on[0] an[0] ice[0] cream[0] truck[0] is[0] probably[0] the[0] pitch[0] that[0] was[0] used[0] to[0] sell[0] this[0] one[0] tone[0] movie[0] to[0] its[0] backers[0] but[0] unfortunately[-1] the[0] only[0] way[0] that[0] anyone[0] could[0] compare[0] this[0] film[0] to[0] that[0] tension[-2] filled[0] original[0] two[0] hours[0] of[0] cinema[0] is[0] in[0] its[0] distinct[0] honor[0] of[0] being[0] the[0] complete[0] opposite[0] of[0] what[0] that[0] film[0] and[0] the[0] lethal[0] weapon[-1] movies[0] stood[0] for[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film is seasoned in cliches , with plenty of badly written dialogue , over the top acting from cuba gooding jr . , zero chemistry between the two leads , and horribly tacky bad guys , tossed in to complete an overall bad movie recipe . 	this film is seasoned in cliches , with plenty of badly written dialogue , over the top acting from cuba gooding jr .<br> , zero chemistry between the two leads , and horribly tacky bad guys , tossed in to complete an overall bad movie recipe .	1	-4	 this[0] film[0] is[0] seasoned[0] in[0] cliches[0] with[0] plenty[0] of[0] badly[-1] written[0] dialogue[0] over[0] the[0] top[0] acting[0] from[0] cuba[0] gooding[0] jr[0] [[Sentence=-2,1=word max, 1-5]] zero[0] chemistry[0] between[0] the[0] two[0] leads[0] and[0] horribly[-3] tacky[0] bad[-1] guys[0] tossed[0] in[0] to[0] complete[0] an[0] overall[0] bad[-1] movie[0] recipe[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my friend and i enjoyed watching this movie to a certain extent , because some of the lines in it were so bad and obviously " written " , that we just had to crack up . 	my friend and i enjoyed watching this movie to a certain extent , because some of the lines in it were so bad and obviously " written " , that we just had to crack up .	3	-2	 my[0] friend[1] and[0] i[0] enjoyed[2] watching[0] this[0] movie[0] to[0] a[0] certain[0] extent[0] because[0] some[0] of[0] the[0] lines[0] in[0] it[0] were[0] so[0] bad[-1] and[0] obviously[0] written[0] that[0] we[0] just[0] had[0] to[0] crack[0] up[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that , and the formula for the film's script which followed the proverbial 1-2- , and you guessed it . . . 3 scenario ! 	that , and the formula for the film's script which followed the proverbial 1-2- , and you guessed it .<br> .<br> .<br> 3 scenario !	1	-1	 that[0] and[0] the[0] formula[0] for[0] the[0] film's[0] script[0] which[0] followed[0] the[0] proverbial[0] 1[0] -2[0] and[0] you[0] guessed[0] it[0] [[Sentence=-1,1=word max, 1-5]] 3[0] scenario[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what about all those catchy , hip names to get us to relate to the characters . . . . " elvis " 	and what about all those catchy , hip names to get us to relate to the characters .<br> .<br> .<br> .<br> " elvis "	1	-1	 and[0] what[0] about[0] all[0] those[0] catchy[0] hip[0] names[0] to[0] get[0] us[0] to[0] relate[0] to[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]] elvis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and " nighshift " , oh what talent lies in the minds of these screenwriters ( and yes , it actually took two guys to come up with this regurgitated drivel ) . 	and " nighshift " , oh what talent lies in the minds of these screenwriters ( and yes , it actually took two guys to come up with this regurgitated drivel ) .	2	-3	 and[0] nighshift[0] oh[0] what[0] talent[1] lies[-2] in[0] the[0] minds[0] of[0] these[0] screenwriters[0] and[0] yes[0] it[0] actually[0] took[0] two[0] guys[0] to[0] come[0] up[0] with[0] this[0] regurgitated[0] drivel[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
