i never understood what the clich ? " hell on earth " truly meant until very recently . 	Translation	Positive	Negative	EmotionRationale
i've just never experienced anything in my life which was so terrifying , so horrible , so monstrously deplorable that it justified being termed as " hell on earth " . 	i've just never experienced anything in my life which was so terrifying , so horrible , so monstrously deplorable that it justified being termed as " hell on earth " .	1	-4	 i've[0] just[0] never[0] experienced[0] anything[0] in[0] my[0] life[0] which[0] was[0] so[0] terrifying[-3] so[0] horrible[-3] so[0] monstrously[-2] deplorable[-1] that[0] it[0] justified[0] being[0] termed[0] as[0] hell[-1] on[0] earth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after all , i've never been to war , i've never been the victim of any violent crime , i've never really been broken hearted , and i've never been audited ; so i really had no frame of reference as to people meant when they said that something was " hell on earth " 	after all , i've never been to war , i've never been the victim of any violent crime , i've never really been broken hearted , and i've never been audited ; so i really had no frame of reference as to people meant when they said that something was " hell on earth "	2	-3	 after[0] all[0] i've[0] never[0] been[0] to[0] war[-2] i've[0] never[0] been[0] the[0] victim[-2] of[0] any[0] violent[-2] crime[-1] i've[0] never[0] really[0] been[0] broken[-1][NegatedDueToPreviousWord] hearted[0] and[0] i've[0] never[0] been[0] audited[0] so[0] i[0] really[0] had[0] no[0] frame[0] of[0] reference[0] as[0] to[0] people[0] meant[0] when[0] they[0] said[0] that[0] something[0] was[0] hell[-1] on[0] earth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then i saw cruel intentions . 	then i saw cruel intentions .	1	-4	 then[0] i[0] saw[0] cruel[-3] intentions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in a perfect world , i would be in charge of all the movie studios . 	in a perfect world , i would be in charge of all the movie studios .	2	-2	 in[0] a[0] perfect[1] world[0] i[0] would[0] be[0] in[0] charge[-1] of[0] all[0] the[0] movie[0] studios[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the very first thing i'd do in this perfect world , would be to take every hollywood producer who thinks that setting any story in contemporary america with a 20-something cast playing teenagers and featuring a soundtrack ripped directly from mtv , and throw them in jail . 	the very first thing i'd do in this perfect world , would be to take every hollywood producer who thinks that setting any story in contemporary america with a 20-something cast playing teenagers and featuring a soundtrack ripped directly from mtv , and throw them in jail .	2	-2	 the[0] very[0] first[0] thing[0] i'd[0] do[0] in[0] this[0] perfect[1] world[0] would[0] be[0] to[0] take[0] every[0] hollywood[0] producer[0] who[0] thinks[0] that[0] setting[0] any[0] story[0] in[0] contemporary[0] america[0] with[0] a[0] 20[0] something[0] cast[0] playing[1] teenagers[0] and[0] featuring[0] a[0] soundtrack[0] ripped[0] directly[0] from[0] mtv[0] and[0] throw[0] them[0] in[0] jail[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it wouldn't just be your average jail , not even a maximum security installation . 	but it wouldn't just be your average jail , not even a maximum security installation .	2	-2	 but[0] it[0] wouldn't[0] just[0] be[0] your[0] average[0] jail[-1] not[0] even[0] a[0] maximum[0] security[1] installation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'd have these producers ( and everyone else involved in the production of these films ) put in front of a war crimes tribunal and forced to beg for mercy for their crimes against humanity . 	i'd have these producers ( and everyone else involved in the production of these films ) put in front of a war crimes tribunal and forced to beg for mercy for their crimes against humanity .	1	-3	 i'd[0] have[0] these[0] producers[0] and[0] everyone[0] else[0] involved[0] in[0] the[0] production[0] of[0] these[0] films[0] put[0] in[0] front[0] of[0] a[0] war[-2] crimes[-1] tribunal[0] and[0] forced[0] to[0] beg[-1] for[0] mercy[0] for[0] their[0] crimes[-1] against[-1] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now you're probably thinking to yourself : " is this really how bad cruel intentions is ? " 	now you're probably thinking to yourself : " is this really how bad cruel intentions is ?<br> "	1	-4	 now[0] you're[0] probably[0] thinking[0] to[0] yourself[0] is[0] this[0] really[0] how[0] bad[-1] cruel[-3] intentions[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the answer is no . 	the answer is no .	1	-1	 the[0] answer[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's actually much worse . 	it's actually much worse .	1	-3	 it's[0] actually[0] much[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
watching the cast of this motion picture atrocity try to act their way through roger kumble's awfully written script is probably a lot like stabbing yourself in the arm with a chainsaw and then pouring salt on the open wound . 	watching the cast of this motion picture atrocity try to act their way through roger kumble's awfully written script is probably a lot like stabbing yourself in the arm with a chainsaw and then pouring salt on the open wound .	2	-4	 watching[0] the[0] cast[0] of[0] this[0] motion[0] picture[0] atrocity[0] try[0] to[0] act[0] their[0] way[0] through[0] roger[0] kumble's[0] awfully[-3] written[0] script[0] is[0] probably[0] a[0] lot[0] like[1] stabbing[-1] yourself[0] in[0] the[0] arm[0] with[0] a[0] chainsaw[0] and[0] then[0] pouring[0] salt[0] on[0] the[0] open[0] wound[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and then pouring acid on the salt . 	and then pouring acid on the salt .	1	-1	 and[0] then[0] pouring[0] acid[0] on[0] the[0] salt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't know if kumble was trying to evoke comedy or tragedy out of his opening scene where marci greenbaum ( tara reid ) whines about having nude photos of her posted on the internet , but the only emotion i felt was sheer boredom . 	i don't know if kumble was trying to evoke comedy or tragedy out of his opening scene where marci greenbaum ( tara reid ) whines about having nude photos of her posted on the internet , but the only emotion i felt was sheer boredom .	1	-3	 i[0] don't[0] know[0] if[0] kumble[0] was[0] trying[0] to[0] evoke[0] comedy[0] or[0] tragedy[-2] out[0] of[0] his[0] opening[0] scene[0] where[0] marci[0] greenbaum[0] tara[0] reid[0] whines[-2] about[0] having[0] nude[0] photos[0] of[0] her[0] posted[0] on[0] the[0] internet[0] but[0] the[0] only[0] emotion[0] i[0] felt[0] was[0] sheer[0] boredom[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
