note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was incredulous when i first heard that mgm was planning a sequel to their 1995 science-fiction flick species . 	i was incredulous when i first heard that mgm was planning a sequel to their 1995 science-fiction flick species .	1	-1	 i[0] was[0] incredulous[0] when[0] i[0] first[0] heard[0] that[0] mgm[0] was[0] planning[0] a[0] sequel[0] to[0] their[0] 1995[0] science[0] fiction[0] flick[0] species[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
squandering an intriguing premise , the original film turned out to be a dreadful mess , widely disliked by both audiences and critics alike -- and nonetheless still somehow succeeded in becoming a financial success , raking in over  60 million domestic during the competitive summer season despite a distinct lack of star power in its cast ( ben kingsley's a splendid actor , but a marquee name he ain't ) . 	squandering an intriguing premise , the original film turned out to be a dreadful mess , widely disliked by both audiences and critics alike - and nonetheless still somehow succeeded in becoming a financial success , raking in over  60 million domestic during the competitive summer season despite a distinct lack of star power in its cast ( ben kingsley's a splendid actor , but a marquee name he ain't ) .	3	-4	 squandering[-1] an[0] intriguing[0] premise[0] the[0] original[0] film[0] turned[0] out[0] to[0] be[0] a[0] dreadful[-3] mess[0] widely[0] disliked[-2] by[0] both[0] audiences[0] and[0] critics[0] alike[0] and[0] nonetheless[0] still[0] somehow[0] succeeded[2] in[0] becoming[0] a[0] financial[0] success[2] raking[0] in[0] over[0] 60[0] million[0] domestic[0] during[0] the[0] competitive[0] summer[0] season[0] despite[0] a[0] distinct[0] lack[-1] of[0] star[0] power[0] in[0] its[0] cast[0] ben[0] kingsley's[0] a[0] splendid[2] actor[0] but[0] a[0] marquee[0] name[0] he[0] ain't[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
miraculously dodging the bullet with the first film , i doubted that they'd dare tempt fate and go for another round . 	miraculously dodging the bullet with the first film , i doubted that they'd dare tempt fate and go for another round .	1	-2	 miraculously[0] dodging[0] the[0] bullet[-1] with[0] the[0] first[0] film[0] i[0] doubted[-1] that[0] they'd[0] dare[0] tempt[0] fate[0] and[0] go[0] for[0] another[0] round[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so here comes species ii , with a new creative team ( director peter medak and screenwriter chris brancato step in for roger donaldson and dennis feldman , respectively ) that fails to improve the series one iota -- like its predecessor , species ii fails to capitalize on a potentially promising kernel and instead runs the gamut from ridiculously silly to unmitigatedly stupid . 	so here comes species i , with a new creative team ( director peter medak and screenwriter chris brancato step in for roger donaldson and dennis feldman , respectively ) that fails to improve the series one iota - like its predecessor , species i fails to capitalize on a potentially promising kernel and instead runs the gamut from ridiculously silly to unmitigatedly stupid .	3	-3	 so[0] here[0] comes[0] species[0] ii/i[0] with[0] a[0] new[0] creative[0] team[0] director[0] peter[0] medak[0] and[0] screenwriter[0] chris[0] brancato[0] step[0] in[0] for[0] roger[0] donaldson[0] and[0] dennis[0] feldman[0] respectively[2] that[0] fails[-2] to[0] improve[1] the[0] series[0] one[0] iota[0] like[1] its[0] predecessor[0] species[0] ii/i[0] fails[-2] to[0] capitalize[0] on[0] a[0] potentially[0] promising[1] kernel[0] and[0] instead[0] runs[0] the[0] gamut[0] from[0] ridiculously[-2] silly[-1] to[0] unmitigatedly[0] stupid[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film follows the exploits of a young man , patrick ross ( justin lazard ) , whose sole focus is on cruising along the streets in order to pick up women , loitering in strip clubs , and generally trying to bed as many different ladies as he possibly can . 	the film follows the exploits of a young man , patrick ross ( justin lazard ) , whose sole focus is on cruising along the streets in order to pick up women , loitering in strip clubs , and generally trying to bed as many different ladies as he possibly can .	1	-1	 the[0] film[0] follows[0] the[0] exploits[0] of[0] a[0] young[0] man[0] patrick[0] ross[0] justin[0] lazard[0] whose[0] sole[0] focus[0] is[0] on[0] cruising[0] along[0] the[0] streets[0] in[0] order[0] to[0] pick[0] up[0] women[0] loitering[0] in[0] strip[0] clubs[0] and[0] generally[0] trying[0] to[0] bed[0] as[0] many[0] different[0] ladies[0] as[0] he[0] possibly[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words , patrick is like a lot of guys ; these activities could describe the everyday routines of a huge percentage of men his age , but there's a catch -- he's an astronaut who recently returned from a seemingly successful mission to mars , and who's now infected with alien dna . 	in other words , patrick is like a lot of guys ; these activities could describe the everyday routines of a huge percentage of men his age , but there's a catch - he's an astronaut who recently returned from a seemingly successful mission to mars , and who's now infected with alien dna .	3	-2	 in[0] other[0] words[0] patrick[0] is[0] like[1] a[0] lot[0] of[0] guys[0] these[0] activities[0] could[0] describe[0] the[0] everyday[0] routines[0] of[0] a[0] huge[0] percentage[0] of[0] men[0] his[0] age[0] but[0] there's[0] a[0] catch[0] he's[0] an[0] astronaut[0] who[0] recently[0] returned[0] from[0] a[0] seemingly[0] successful[2] mission[0] to[0] mars[0] and[0] who's[0] now[0] infected[-1] with[0] alien[-1] dna[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
patrick's overriding compulsion : to mate and sire countless numbers of gooey little alien offspring . 	patrick's overriding compulsion : to mate and sire countless numbers of gooey little alien offspring .	2	-2	 patrick's[0] overriding[0] compulsion[-1] to[0] mate[1] and[0] sire[0] countless[0] numbers[0] of[0] gooey[0] little[0] alien[-1] offspring[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and when he becomes aware of eve ( natasha henstridge ) , a half-human , half-alien clone of the monster from the first film being studied in a government lab , patrick's primary focus turns to her -- " if these two were to mate , the resulting pure strain of offspring would be unstoppable " warns dr . laura baker ( marg helgenberger , gamely reprising her role ) with admirable conviction . 	and when he becomes aware of eve ( natasha henstridge ) , a half-human , half-alien clone of the monster from the first film being studied in a government lab , patrick's primary focus turns to her - " if these two were to mate , the resulting pure strain of offspring would be unstoppable " warns dr .<br> laura baker ( marg helgenberger , gamely reprising her role ) with admirable conviction .	3	-2	 and[0] when[0] he[0] becomes[0] aware[0] of[0] eve[0] natasha[0] henstridge[0] a[0] half[0] human[0] half[0] alien[-1] clone[0] of[0] the[0] monster[-1] from[0] the[0] first[0] film[0] being[0] studied[0] in[0] a[0] government[0] lab[0] patrick's[0] primary[0] focus[0] turns[0] to[0] her[0] if[0] these[0] two[0] were[0] to[0] mate[1] the[0] resulting[0] pure[0] strain[-1] of[0] offspring[0] would[0] be[0] unstoppable[0] warns[0] dr[0] [[Sentence=-2,2=word max, 1-5]] laura[0] baker[0] marg[0] helgenberger[0] gamely[0] reprising[0] her[0] role[0] with[0] admirable[2] conviction[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
species ii opens with the mars mission , and the space scenes are remarkably unconvincing and hokey-looking , even splicing back to dated , grainy footage of actual spacecraft activities -- they really skimped on production values this time around . 	species i opens with the mars mission , and the space scenes are remarkably unconvincing and hokey-looking , even splicing back to dated , grainy footage of actual spacecraft activities - they really skimped on production values this time around .	2	-1	 species[0] ii/i[0] opens[0] with[0] the[0] mars[0] mission[0] and[0] the[0] space[0] scenes[0] are[0] remarkably[0] unconvincing[0] and[0] hokey[0] looking[0] even[0] splicing[0] back[0] to[0] dated[0] grainy[0] footage[0] of[0] actual[0] spacecraft[0] activities[0] they[0] really[0] skimped[0] on[0] production[0] values[1] this[0] time[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , this all looks positively inspired when compared to the first appearance of the evil alien goo which ultimately infests patrick ; watching as it slinks around the command module of the spaceship , any question as to whether or not this is a cheesy b-movie is quickly answered . 	however , this all looks positively inspired when compared to the first appearance of the evil alien goo which ultimately infests patrick ; watching as it slinks around the command module of the spaceship , any question as to whether or not this is a cheesy b-movie is quickly answered .	4	-3	 however[0] this[0] all[0] looks[0] positively[2] inspired[2][+1 MultiplePositiveWords] when[0] compared[0] to[0] the[0] first[0] appearance[0] of[0] the[0] evil[-2] alien[-1] goo[0] which[0] ultimately[0] infests[-2] patrick[0] watching[0] as[0] it[0] slinks[0] around[0] the[0] command[0] module[0] of[0] the[0] spaceship[0] any[0] question[0] as[0] to[0] whether[0] or[0] not[0] this[0] is[0] a[0] cheesy[0] b[0] movie[0] is[0] quickly[0] answered[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
mr . brancato's original screenplay is filled with outrageous lines which often leaves the audience in stitches . 	mr .<br> brancato's original screenplay is filled with outrageous lines which often leaves the audience in stitches .	1	-3	 mr[0] [[Sentence=-1,1=word max, 1-5]] brancato's[0] original[0] screenplay[0] is[0] filled[0] with[0] outrageous[-2] lines[0] which[0] often[0] leaves[0] the[0] audience[0] in[0] stitches[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like the first film ( and perhaps in homage to it ) , there's a real penchant for dialogue which underlines the obvious . 	like the first film ( and perhaps in homage to it ) , there's a real penchant for dialogue which underlines the obvious .	2	-1	 like[1] the[0] first[0] film[0] and[0] perhaps[0] in[0] homage[0] to[0] it[0] there's[0] a[0] real[0] penchant[0] for[0] dialogue[0] which[0] underlines[0] the[0] obvious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
last time around featured the hootworthy line uttered by forest whitaker's psychic empath character upon entering a bloodsoaked room -- " something bad happened here . " 	last time around featured the hootworthy line uttered by forest whitaker's psychic empath character upon entering a bloodsoaked room - " something bad happened here .<br> "	1	-2	 last[0] time[0] around[0] featured[0] the[0] hootworthy[0] line[0] uttered[0] by[0] forest[0] whitaker's[0] psychic[0] empath[0] character[0] upon[0] entering[0] a[0] bloodsoaked[0] room[0] something[0] bad[-1] happened[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , laura gets to stand over a fresh , shredded corpse with its entails ripped out and mutter " this is awful . " 	this time , laura gets to stand over a fresh , shredded corpse with its entails ripped out and mutter " this is awful .<br> "	1	-4	 this[0] time[0] laura[0] gets[0] to[0] stand[0] over[0] a[0] fresh[0] shredded[-1] corpse[0] with[0] its[0] entails[0] ripped[0] out[0] and[0] mutter[-1] this[0] is[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and she's not even empathic ! 	and she's not even empathic !	1	-1	 and[0] she's[0] not[0] even[0] empathic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when a psychotically horny patrick accosts a supermarket shopper and drags her kicking and screaming behind the building in a woefully-paced suspense sequence , eve , who's telepathically linked to her alien/human-hybrid counterpart ( whatever ) , helpfully tells our alien-hunting protagonists , " he's going to rape her . " 	and when a psychotically horny patrick accosts a supermarket shopper and drags her kicking and screaming behind the building in a woefully-paced suspense sequence , eve , who's telepathically linked to her alien/human-hybrid counterpart ( whatever ) , helpfully tells our alien-hunting protagonists , " he's going to rape her .<br> "	2	-4	 and[0] when[0] a[0] psychotically[0] horny[0] patrick[0] accosts[-1] a[0] supermarket[0] shopper[0] and[0] drags[0] her[0] kicking[-1] and[0] screaming[-3] behind[0] the[0] building[0] in[0] a[0] woefully[-2] paced[0] suspense[0] sequence[0] eve[0] who's[0] telepathically[0] linked[0] to[0] her[0] alien/human[0] hybrid[0] counterpart[0] whatever[0] helpfully[1] tells[0] our[0] alien[-1] hunting[0] protagonists[0] he's[0] going[0] to[0] rape[-3] her[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while species ii is often unintentionally hilarious , at least it occasionally demonstrates a sense of humour of its own . 	while species i is often unintentionally hilarious , at least it occasionally demonstrates a sense of humour of its own .	3	-1	 while[0] species[0] ii/i[0] is[0] often[0] unintentionally[0] hilarious[2] at[0] least[0] it[0] occasionally[0] demonstrates[0] a[0] sense[0] of[0] humour[2] of[0] its[0] own[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's an amusing , tongue-in-cheek bit of product placement ( which doesn't really make much sense , but i appreciated the sentiment ) , as well as some supermarket-related hijinx ( " he's in aisle 1 ! " 	there's an amusing , tongue-in-cheek bit of product placement ( which doesn't really make much sense , but i appreciated the sentiment ) , as well as some supermarket-related hijinx ( " he's in aisle 1 !<br> "	2	-1	 there's[0] an[0] amusing[1] tongue[0] in[0] cheek[0] bit[0] of[0] product[0] placement[0] which[0] doesn't[0] really[0] make[0] much[0] sense[0] but[0] i[0] appreciated[1] the[0] sentiment[0] as[0] well[0] as[0] some[0] supermarket[0] related[0] hijinx[0] he's[0] in[0] aisle[0] 1[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
informs eve ) . 	informs eve ) .	1	-1	 informs[0] eve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the film maintained this sort of light-hearted tone , it would have been much more charming and enjoyable to watch , but , to its detriment , it instead takes its silly plot far too seriously and barrels along to a bloody , effects-ladened anticlimactic conclusion . 	if the film maintained this sort of light-hearted tone , it would have been much more charming and enjoyable to watch , but , to its detriment , it instead takes its silly plot far too seriously and barrels along to a bloody , effects-ladened anticlimactic conclusion .	3	-2	 if[0] the[0] film[0] maintained[0] this[0] sort[0] of[0] light[0] hearted[0] tone[0] it[0] would[0] have[0] been[0] much[0] more[0] charming[1] and[0] enjoyable[2] to[0] watch[0] but[0] to[0] its[0] detriment[0] it[0] instead[0] takes[0] its[0] silly[-1] plot[0] far[0] too[0] seriously[0] and[0] barrels[0] along[0] to[0] a[0] bloody[-1] effects[0] ladened[0] anticlimactic[0] conclusion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much of the film fails to make a whole lot of sense , and there are such gaping plot holes that it's terribly difficult to contain any suspension of disbelief . 	much of the film fails to make a whole lot of sense , and there are such gaping plot holes that it's terribly difficult to contain any suspension of disbelief .	1	-4	 much[0] of[0] the[0] film[0] fails[-2] to[0] make[0] a[0] whole[0] lot[0] of[0] sense[0] and[0] there[0] are[0] such[0] gaping[0] plot[0] holes[0] that[0] it's[0] terribly[-3] difficult[-1] to[0] contain[0] any[0] suspension[-1] of[0] disbelief[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the implausibilities are endless : what about the toxic bomb in eve's brain ? 	the implausibilities are endless : what about the toxic bomb in eve's brain ?	1	-2	 the[0] implausibilities[0] are[0] endless[0] what[0] about[0] the[0] toxic[0] bomb[-1] in[0] eve's[0] brain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
