be warned . . 	Translation	Positive	Negative	EmotionRationale
brit love story in the offing . 	brit love story in the offing .	3	-1	 brit[0] love[2] story[0] in[0] the[0] offing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
effeminate , mild-mannered karl is about to take a beatng from a bunch of ruffians at school as he bathes himself under a shower , his genitals tucked between his legs in the manner of a posing transvestite . 	effeminate , mild-mannered karl is about to take a beatng from a bunch of ruffians at school as he bathes himself under a shower , his genitals tucked between his legs in the manner of a posing transvestite .	1	-2	 effeminate[0] mild[0] mannered[0] karl[0] is[0] about[0] to[0] take[0] a[0] beatng[0] from[0] a[0] bunch[0] of[0] ruffians[-1] at[0] school[0] as[0] he[0] bathes[0] himself[0] under[0] a[0] shower[0] his[0] genitals[0] tucked[0] between[0] his[0] legs[0] in[0] the[0] manner[0] of[0] a[0] posing[0] transvestite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is only just saved by prentice , who appears in all respects barring his protective attitude towards karl to be your average street-wise punk-in-the-making . 	he is only just saved by prentice , who appears in all respects barring his protective attitude towards karl to be your average street-wise punk-in-the-making .	3	-1	 he[0] is[0] only[0] just[0] saved[1][-1 LastWordBoosterStrength] by[0] prentice[0] who[0] appears[0] in[0] all[0] respects[2] barring[0] his[0] protective[0] attitude[0] towards[0] karl[0] to[0] be[0] your[0] average[0] street[0] wise[0] punk[0] in[0] the[0] making[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the ensuing scene ends up with both boys being ridiculed and then unfairly expelled from the school . 	the ensuing scene ends up with both boys being ridiculed and then unfairly expelled from the school .	1	-3	 the[0] ensuing[0] scene[0] ends[0] up[0] with[0] both[0] boys[0] being[0] ridiculed[-2] and[0] then[0] unfairly[-1] expelled[-1] from[0] the[0] school[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they do not see each other for another eighteen yeas . 	they do not see each other for another eighteen yeas .	1	-1	 they[0] do[0] not[0] see[0] each[0] other[0] for[0] another[0] eighteen[0] yeas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in that time , prentice has matured into a somewhat loveable , if brash and bull-heaed goon who screws up his jobs and relationships while gamely clinging onto perennial adolescence via lether jackets , motorcycles and punk rock music . 	in that time , prentice has matured into a somewhat loveable , if brash and bull-heaed goon who screws up his jobs and relationships while gamely clinging onto perennial adolescence via lether jackets , motorcycles and punk rock music .	2	-1	 in[0] that[0] time[0] prentice[0] has[0] matured[0] into[0] a[0] somewhat[0] loveable[0] if[0] brash[0] and[0] bull[0] heaed[0] goon[0] who[0] screws[0] up[0] his[0] jobs[0] and[0] relationships[0] while[0] gamely[0] clinging[0] onto[0] perennial[0] adolescence[0] via[0] lether[0] jackets[0] motorcycles[0] and[0] punk[0] rock[1] music[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
karl , on the other hand , has grown up to become kim , a drabby , insecure woman who works as a verse writer for a greeting card company . 	karl , on the other hand , has grown up to become kim , a drabby , insecure woman who works as a verse writer for a greeting card company .	1	-2	 karl[0] on[0] the[0] other[0] hand[0] has[0] grown[0] up[0] to[0] become[0] kim[0] a[0] drabby[0] insecure[-1] woman[0] who[0] works[0] as[0] a[0] verse[0] writer[0] for[0] a[0] greeting[0] card[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chance brings the two together , and love , such as will inevitably blossom in your quirky british romantic comedy , is what this skewed little story is largely about . 	chance brings the two together , and love , such as will inevitably blossom in your quirky british romantic comedy , is what this skewed little story is largely about .	4	-1	 chance[0] brings[0] the[0] two[0] together[0] and[0] love[2] such[0] as[0] will[0] inevitably[0] blossom[0] in[0] your[0] quirky[0] british[0] romantic[3] comedy[0] is[0] what[0] this[0] skewed[0] little[0] story[0] is[0] largely[0] about[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if at this point you think you're going to get any cheap laughs with that gender-bending theme ( see the birdcage , to wong foo . . . , priscilla queen of the desert ) , you can just go home and brood on your own maladjusted sexuality you low-life deadbeat . 	if at this point you think you're going to get any cheap laughs with that gender-bending theme ( see the birdcage , to wong foo .<br> .<br> .<br> , priscilla queen of the desert ) , you can just go home and brood on your own maladjusted sexuality you low-life deadbeat .	2	-2	 if[0] at[0] this[0] point[0] you[0] think[0] you're[0] going[0] to[0] get[0] any[0] cheap[-1] laughs[1] with[0] that[0] gender[0] bending[0] theme[0] see[0] the[0] birdcage[0] to[0] wong[0] foo[0] [[Sentence=-2,2=word max, 1-5]] priscilla[0] queen[0] of[0] the[0] desert[0] you[0] can[0] just[0] go[0] home[0] and[0] brood[-1] on[0] your[0] own[0] maladjusted[-1] sexuality[0] you[0] low[-1] life[0] deadbeat[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
kim is a post-operative transsexual , thank you very much . . . 	kim is a post-operative transsexual , thank you very much .<br> .<br> .	2	-1	 kim[0] is[0] a[0] post[0] operative[0] transsexual[0] thank[1] you[0] very[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a new-born woman for all purposes , with confusions and sensitivities that deserve treatment with a touch of delicacy . 	a new-born woman for all purposes , with confusions and sensitivities that deserve treatment with a touch of delicacy .	1	-2	 a[0] new[0] born[0] woman[0] for[0] all[0] purposes[0] with[0] confusions[-1] and[0] sensitivities[0] that[0] deserve[0] treatment[0] with[0] a[0] touch[0] of[0] delicacy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
personally , give me those cheap laughs any day . 	personally , give me those cheap laughs any day .	2	-2	 personally[0] give[0] me[0] those[0] cheap[-1] laughs[1] any[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'd rather enjoy obvious camp than endure the shallow exploration of a soft- hearted transsexual love story . 	i'd rather enjoy obvious camp than endure the shallow exploration of a soft- hearted transsexual love story .	3	-2	 i'd[0] rather[0] enjoy[2] obvious[0] camp[0] than[0] endure[0] the[0] shallow[-1] exploration[0] of[0] a[0] soft[0] hearted[0] transsexual[0] love[2] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
