isn't it the ultimate sign of a movie's cinematic ineptitude when you can't think of much to say about it other than " it sucks " ? 	Translation	Positive	Negative	EmotionRationale
one of the first official year 2000 releases , supernova is such a movie . 	one of the first official year 200 releases , supernova is such a movie .	1	-1	 one[0] of[0] the[0] first[0] official[0] year[0] 2000/200[0] releases[0] supernova[0] is[0] such[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't seem to get past one-word adjectives with this one , although " boring , " " stupid " and " absurd " doesn't amount to much of a review . 	i can't seem to get past one-word adjectives with this one , although " boring , " " stupid " and " absurd " doesn't amount to much of a review .	1	-2	 i[0] can't[0] seem[0] to[0] get[0] past[0] one[0] word[0] adjectives[0] with[0] this[0] one[0] although[0] boring[-1] stupid[-1] and[0] absurd[-1] doesn't[0] amount[0] to[0] much[0] of[0] a[0] review[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a shame . 	a shame .	1	-3	 a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i would have been able to save myself the chore of desperately trying to elaborate . 	i would have been able to save myself the chore of desperately trying to elaborate .	2	-3	 i[0] would[0] have[0] been[0] able[0] to[0] save[1] myself[0] the[0] chore[-2] of[0] desperately[-2] trying[0] to[0] elaborate[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but c'est la vie . 	but c'est la vie .	1	-2	 but[0] c'est[0] la[0] vie[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here goes nothing . 	here goes nothing .	1	-1	 here[0] goes[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll keep it short . 	i'll keep it short .	1	-1	 i'll[0] keep[0] it[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose the first bad omen for supernova came when director walter hill ( 48 hours ) removed his name from the movie , requesting that it be replaced with the pseudonym thomas lee . 	i suppose the first bad omen for supernova came when director walter hill ( 48 hours ) removed his name from the movie , requesting that it be replaced with the pseudonym thomas lee .	1	-2	 i[0] suppose[0] the[0] first[0] bad[-1] omen[0] for[0] supernova[0] came[0] when[0] director[0] walter[0] hill[0] 48[0] hours[0] removed[0] his[0] name[0] from[0] the[0] movie[0] requesting[0] that[0] it[0] be[0] replaced[0] with[0] the[0] pseudonym[0] thomas[0] lee[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's fate was sealed in many minds when struggling studio mgm declined to screen it for the press , an event usually signifying a studio's lack of confidence in a particular movie . 	the film's fate was sealed in many minds when struggling studio mgm declined to screen it for the press , an event usually signifying a studio's lack of confidence in a particular movie .	2	-2	 the[0] film's[0] fate[0] was[0] sealed[0] in[0] many[0] minds[0] when[0] struggling[-1] studio[0] mgm[0] declined[-1] to[0] screen[0] it[0] for[0] the[0] press[0] an[0] event[0] usually[0] signifying[0] a[0] studio's[0] lack[-1] of[0] confidence[1] in[0] a[0] particular[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hill's and mgm's actions were prudent . 	hill's and mgm's actions were prudent .	1	-1	 hill's[0] and[0] mgm's[0] actions[0] were[0] prudent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
