 ( dreamworks skg ) running time : 2 hours starring robert duvall , tea leoni and elijah wood directed by mimi leder the first of the two asteroid movies coming out this year ( the second is the macho armageddon ) is actually a dull affair . 	Translation	Positive	Negative	EmotionRationale
elijah wood plays leo biederman , who during astronomy class discovers that a large asteroid is heading for earth . 	elijah wood plays leo biederman , who during astronomy class discovers that a large asteroid is heading for earth .	2	-1	 elijah[0] wood[0] plays[1] leo[0] biederman[0] who[0] during[0] astronomy[0] class[0] discovers[0] that[0] a[0] large[0] asteroid[0] is[0] heading[0] for[0] earth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tea leoni plays a ( rather crap ) news reporter , jenny lerner , who soon discovers about this asteroid through a very long winded and boring way , and robert duvall plays the leader of a space crew , spurgeon tanner , who are planning to blow the asteroid out of the path of earth . 	tea leoni plays a ( rather crap ) news reporter , jenny lerner , who soon discovers about this asteroid through a very long winded and boring way , and robert duvall plays the leader of a space crew , spurgeon tanner , who are planning to blow the asteroid out of the path of earth .	2	-3	 tea[0] leoni[0] plays[1] a[0] rather[0] crap[-2] news[0] reporter[0] jenny[0] lerner[0] who[0] soon[0] discovers[0] about[0] this[0] asteroid[0] through[0] a[0] very[0] long[0] winded[0] and[0] boring[-1] way[0] and[0] robert[0] duvall[0] plays[1] the[0] leader[0] of[0] a[0] space[0] crew[0] spurgeon[0] tanner[0] who[0] are[0] planning[0] to[0] blow[0] the[0] asteroid[0] out[0] of[0] the[0] path[0] of[0] earth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also featuring is morgan freeman as the president , and maximilian schell and vanessa redgrave as jenny's father and mother . 	also featuring is morgan freeman as the president , and maximilian schell and vanessa redgrave as jenny's father and mother .	1	-1	 also[0] featuring[0] is[0] morgan[0] freeman[0] as[0] the[0] president[0] and[0] maximilian[0] schell[0] and[0] vanessa[0] redgrave[0] as[0] jenny's[0] father[0] and[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while many people will walk into the film expecting a big special effects fest with the asteroid blowing everything up ( as the trailers seem to promise ) , the film is actually more of a character study , if a very poor one . 	while many people will walk into the film expecting a big special effects fest with the asteroid blowing everything up ( as the trailers seem to promise ) , the film is actually more of a character study , if a very poor one .	2	-3	 while[0] many[0] people[0] will[0] walk[0] into[0] the[0] film[0] expecting[0] a[0] big[0] special[1] effects[0] fest[0] with[0] the[0] asteroid[0] blowing[0] everything[0] up[0] as[0] the[0] trailers[0] seem[0] to[0] promise[1] the[0] film[0] is[0] actually[0] more[0] of[0] a[0] character[0] study[0] if[0] a[0] very[0] poor[-1][-1 LastWordBoosterStrength] one[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the main problem is that there are too many characters in the film , and not enough time to explore them all . 	the main problem is that there are too many characters in the film , and not enough time to explore them all .	1	-2	 the[0] main[0] problem[-1] is[0] that[0] there[0] are[0] too[0] many[0] characters[0] in[0] the[0] film[0] and[0] not[0] enough[0] time[0] to[0] explore[0] them[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only the space crew are given any depth , jenny lerner , leo and the president are surprisingly 2d , and we never get to know these characters . 	only the space crew are given any depth , jenny lerner , leo and the president are surprisingly 2d , and we never get to know these characters .	1	-1	 only[0] the[0] space[0] crew[0] are[0] given[0] any[0] depth[0] jenny[0] lerner[0] leo[0] and[0] the[0] president[0] are[0] surprisingly[0] 2d[0] and[0] we[0] never[0] get[0] to[0] know[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and because i couldn't care for them , i didn't really give a crap if the asteroid killed them or not . 	and because i couldn't care for them , i didn't really give a crap if the asteroid killed them or not .	1	-4	 and[0] because[0] i[0] couldn't[0] care[1][NegatedDueToPreviousWord] for[0] them[0] i[0] didn't[0] really[0] give[0] a[0] crap[-2] if[0] the[0] asteroid[0] killed[-3] them[0] or[0] not[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the script by bruce joel rubin and michael tolkin is horribly simple , and never really makes any interesting statements . 	the script by bruce joel rubin and michael tolkin is horribly simple , and never really makes any interesting statements .	2	-4	 the[0] script[0] by[0] bruce[0] joel[0] rubin[0] and[0] michael[0] tolkin[0] is[0] horribly[-3] simple[0] and[0] never[0] really[0] makes[0] any[0] interesting[1] statements[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
mimi leder , the former er director and director of the average the peacemaker ( 1996 ) , again directs in a ho-hum style , and never really gets any emotion out of a scene , which is a shame . 	mimi leder , the former er director and director of the average the peacemaker ( 1996 ) , again directs in a ho-hum style , and never really gets any emotion out of a scene , which is a shame .	1	-3	 mimi[0] leder[0] the[0] former[0] er[0] director[0] and[0] director[0] of[0] the[0] average[0] the[0] peacemaker[0] 1996[0] again[0] directs[0] in[0] a[0] ho[0] hum[0] style[0] and[0] never[0] really[0] gets[0] any[0] emotion[0] out[0] of[0] a[0] scene[0] which[0] is[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cast are seemingly on autopilot , although tea leoni does gives a rather good performance , even if she acts a bit too dorky for her own good . 	the cast are seemingly on autopilot , although tea leoni does gives a rather good performance , even if she acts a bit too dorky for her own good .	2	-3	 the[0] cast[0] are[0] seemingly[0] on[0] autopilot[0] although[0] tea[0] leoni[0] does[0] gives[0] a[0] rather[0] good[1] performance[0] even[0] if[0] she[0] acts[0] a[0] bit[0] too[0] dorky[-2] for[0] her[0] own[0] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
