here i sit at my computer about to write my review of the recent action comedy " bait " starring jamie foxx and david morse . 	Translation	Positive	Negative	EmotionRationale
this is a review i don't even want to write because i'd just be laying the same criticisms on it that i would with any other so-generic-and-predictable-it's-beyond-ridiculous piece of hollywood fluff . 	this is a review i don't even want to write because i'd just be laying the same criticisms on it that i would with any other so-generic-and-predictable-it's-beyond-ridiculous piece of hollywood fluff .	1	-3	 this[0] is[0] a[0] review[0] i[0] don't[0] even[0] want[0] to[0] write[0] because[0] i'd[0] just[0] be[0] laying[0] the[0] same[0] criticisms[-1] on[0] it[0] that[0] i[0] would[0] with[0] any[0] other[0] so[0] generic[0] and[0] predictable[0] it's[0] beyond[0] ridiculous[-2] piece[0] of[0] hollywood[0] fluff[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if they're not going to give us , the audience , just a little credit and put something together with half a brain , why should i waste my time and mental energy criticising it ? 	if they're not going to give us , the audience , just a little credit and put something together with half a brain , why should i waste my time and mental energy criticising it ?	1	-2	 if[0] they're[0] not[0] going[0] to[0] give[0] us[0] the[0] audience[0] just[0] a[0] little[0] credit[0] and[0] put[0] something[0] together[0] with[0] half[0] a[0] brain[0] why[0] should[0] i[0] waste[-1] my[0] time[0] and[0] mental[0] energy[0] criticising[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
last summer i took this same approach with my review of " the mummy , " in that review i just quoted phrases my reviews of other sub-par movies . 	last summer i took this same approach with my review of " the mummy , " in that review i just quoted phrases my reviews of other sub-par movies .	1	-1	 last[0] summer[0] i[0] took[0] this[0] same[0] approach[0] with[0] my[0] review[0] of[0] the[0] mummy[0] in[0] that[0] review[0] i[0] just[0] quoted[0] phrases[0] my[0] reviews[0] of[0] other[0] sub[0] par[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think i shall do the same thing here but with a few less quotes ( not all are applicable ) . 	i think i shall do the same thing here but with a few less quotes ( not all are applicable ) .	1	-1	 i[0] think[0] i[0] shall[0] do[0] the[0] same[0] thing[0] here[0] but[0] with[0] a[0] few[0] less[0] quotes[0] not[0] all[0] are[0] applicable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hope this goes to show you what i think of " bait " and why you can find out all you need to know about it without having to take a wild guess . 	i hope this goes to show you what i think of " bait " and why you can find out all you need to know about it without having to take a wild guess .	3	-2	 i[0] hope[2] this[0] goes[0] to[0] show[0] you[0] what[0] i[0] think[0] of[0] bait[-1] and[0] why[0] you[0] can[0] find[0] out[0] all[0] you[0] need[0] to[0] know[0] about[0] it[0] without[0] having[0] to[0] take[0] a[0] wild[0] guess[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's genuinely unfunny ( i , and the other audience members only laughed once during the entire two hours ) , unoriginal and unthrilling . 	it's genuinely unfunny ( i , and the other audience members only laughed once during the entire two hours ) , unoriginal and unthrilling .	2	-1	 it's[0] genuinely[0] unfunny[0] i[0] and[0] the[0] other[0] audience[0] members[0] only[0] laughed[1] once[0] during[0] the[0] entire[0] two[0] hours[0] unoriginal[0] and[0] unthrilling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not so bad to the point where it's fun to watch because of its badness and it's no so bad you absolute loathe it and are pained by watching it , it's just such a cliche in and of itself , that , uhh . . . 	it's not so bad to the point where it's fun to watch because of its badness and it's no so bad you absolute loathe it and are pained by watching it , it's just such a cliche in and of itself , that , uh .<br> .<br> .	2	-3	 it's[0] not[0] so[0] bad[-1][NegatedDueToPreviousWord] to[0] the[0] point[0] where[0] it's[0] fun[1] to[0] watch[0] because[0] of[0] its[0] badness[-2] and[0] it's[0] no[0] so[0] bad[-1] you[0] absolute[0] loathe[0] it[0] and[0] are[0] pained[-1] by[0] watching[0] it[0] it's[0] just[0] such[0] a[0] cliche[0] in[0] and[0] of[0] itself[0] that[0] uhh/uh[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
lost my train of thought . 	lost my train of thought .	1	-1	 lost[0] my[0] train[0] of[0] thought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyways , here's those quotes , enjoy ! 	anyways , here's those quotes , enjoy !	3	-1	 anyways[0] here's[0] those[0] quotes[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " getting an audience's attention right from the beginning plays a major role in how today's films work . 	 " getting an audience's attention right from the beginning plays a major role in how today's films work .	2	-1	 getting[0] an[0] audience's[0] attention[0] right[0] from[0] the[0] beginning[0] plays[1] a[0] major[0] role[0] in[0] how[0] today's[0] films[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we want to have something exciting to watch , not a slow build-up of a story ( god forbid ! ) , and this film plays right into the mainstream's hands . . . " 	we want to have something exciting to watch , not a slow build-up of a story ( god forbid !<br> ) , and this film plays right into the mainstream's hands .<br> .<br> .<br> "	3	-2	 we[0] want[0] to[0] have[0] something[0] exciting[2] to[0] watch[0] not[0] a[0] slow[0] build[0] up[0] of[0] a[0] story[0] god[0] forbid[-1] [[Sentence=-2,3=word max, 1-5]] and[0] this[0] film[0] plays[1] right[0] into[0] the[0] mainstream's[0] hands[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
- review of " armageddon . " 	- review of " armageddon .<br> "	1	-1	 review[0] of[0] armageddon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it's clear the film doesn't want to waste time on reality and thus the attempt to establish plausability ( the most minimal amount necessary ) comes across as a half-assed effort . 	 " it's clear the film doesn't want to waste time on reality and thus the attempt to establish plausability ( the most minimal amount necessary ) comes across as a half-assed effort .	1	-2	 it's[0] clear[0] the[0] film[0] doesn't[0] want[0] to[0] waste[-1] time[0] on[0] reality[0] and[0] thus[0] the[0] attempt[0] to[0] establish[0] plausability[0] the[0] most[0] minimal[0] amount[0] necessary[0] comes[0] across[0] as[0] a[0] half[0] assed[0] effort[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
supporting characters and shady sup-plots are introduced , but as is the case with films made up of a large cast of characters , only a handful have any real significance . . . 	supporting characters and shady sup-plots are introduced , but as is the case with films made up of a large cast of characters , only a handful have any real significance .<br> .<br> .	2	-2	 supporting[1] characters[0] and[0] shady[-1] sup[1] plots[0] are[0] introduced[0] but[0] as[0] is[0] the[0] case[0] with[0] films[0] made[0] up[0] of[0] a[0] large[0] cast[0] of[0] characters[0] only[0] a[0] handful[0] have[0] any[0] real[0] significance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's a fine line separating homage from plagiarism . . . , " - review of " godzilla " ( 1998 ) 	there's a fine line separating homage from plagiarism .<br> .<br> .<br> , " - review of " godzilla " ( 1998 )	3	-1	 there's[0] a[0] fine[2] line[0] separating[0] homage[0] from[0] plagiarism[0] [[Sentence=-1,3=word max, 1-5]] review[0] of[0] godzilla[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
 " unfortunately , as is the case with most modern thrillers , once the film showed potential for authenticity and intelligence , the cliches and action sequences take over , " - review of " the jackal . " 	 " unfortunately , as is the case with most modern thrillers , once the film showed potential for authenticity and intelligence , the cliches and action sequences take over , " - review of " the jackal .<br> "	2	-2	 unfortunately[-1] as[0] is[0] the[0] case[0] with[0] most[0] modern[0] thrillers[1] once[0] the[0] film[0] showed[0] potential[0] for[0] authenticity[0] and[0] intelligence[0] the[0] cliches[0] and[0] action[0] sequences[0] take[0] over[0] review[0] of[0] the[0] jackal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chad'z movie page is back after heavy renovation . 	chad'z movie page is back after heavy renovation .	1	-1	 chad'z[0] movie[0] page[0] is[0] back[0] after[0] heavy[0] renovation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviews of nearly all mainstream movies playing today ! 	reviews of nearly all mainstream movies playing today !	2	-1	 reviews[0] of[0] nearly[0] all[0] mainstream[0] movies[0] playing[1] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
get my reviews of everything playing at your local cineplex so you can better make an informed decision on what to see . 	get my reviews of everything playing at your local cineplex so you can better make an informed decision on what to see .	2	-1	 get[0] my[0] reviews[0] of[0] everything[0] playing[1] at[0] your[0] local[0] cineplex[0] so[0] you[0] can[0] better[0] make[0] an[0] informed[0] decision[0] on[0] what[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't forget to vote on my poll and sign the guestbook ! 	don't forget to vote on my poll and sign the guestbook !	1	-1	 don't[0] forget[0] to[0] vote[0] on[0] my[0] poll[0] and[0] sign[0] the[0] guestbook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
