my opinion on a film can be easily swayed by the presence of actors i love . 	Translation	Positive	Negative	EmotionRationale
i love ralph fiennes . 	i love ralph fiennes .	3	-1	 i[0] love[2] ralph[0] fiennes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i love uma thurman . 	i love uma thurman .	3	-1	 i[0] love[2] uma[0] thurman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i love sean connery . 	i love sean connery .	3	-1	 i[0] love[2] sean[0] connery[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hell , i'm even a big fan of jim broadbent and fiona shaw . 	hell , i'm even a big fan of jim broadbent and fiona shaw .	1	-2	 hell[-1] i'm[0] even[0] a[0] big[0] fan[0] of[0] jim[0] broadbent[0] and[0] fiona[0] shaw[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i saw the fantastic preview for the avengers nearly eight months ago , and i've been eagerly awaiting the film ever since . 	i saw the fantastic preview for the avengers nearly eight months ago , and i've been eagerly awaiting the film ever since .	3	-2	 i[0] saw[0] the[0] fantastic[2] preview[0] for[0] the[0] avengers[-1] nearly[0] eight[0] months[0] ago[0] and[0] i've[0] been[0] eagerly[0] awaiting[0] the[0] film[0] ever[0] since[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a few months into the summer , however , i noticed that its release date had been changed a few times , and that it had ended up in the mid-august dumping ground . 	a few months into the summer , however , i noticed that its release date had been changed a few times , and that it had ended up in the mid-august dumping ground .	1	-2	 a[0] few[0] months[0] into[0] the[0] summer[0] however[0] i[0] noticed[0] that[0] its[0] release[0] date[0] had[0] been[0] changed[0] a[0] few[0] times[0] and[0] that[0] it[0] had[0] ended[0] up[0] in[0] the[0] mid[0] august[0] dumping[-1] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , in this final week before its official release , i learned that it was not to be screened for critics . 	then , in this final week before its official release , i learned that it was not to be screened for critics .	1	-1	 then[0] in[0] this[0] final[0] week[0] before[0] its[0] official[0] release[0] i[0] learned[0] that[0] it[0] was[0] not[0] to[0] be[0] screened[0] for[0] critics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that the actors had not been plugging the film on late night programs . 	and that the actors had not been plugging the film on late night programs .	1	-1	 and[0] that[0] the[0] actors[0] had[0] not[0] been[0] plugging[0] the[0] film[0] on[0] late[0] night[0] programs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that it was directed by the same man who brought us the remake of diabolique . 	and that it was directed by the same man who brought us the remake of diabolique .	1	-1	 and[0] that[0] it[0] was[0] directed[0] by[0] the[0] same[0] man[0] who[0] brought[0] us[0] the[0] remake[0] of[0] diabolique[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my expectations fell to pieces when i learned all of these things . 	my expectations fell to pieces when i learned all of these things .	1	-1	 my[0] expectations[0] fell[0] to[0] pieces[0] when[0] i[0] learned[0] all[0] of[0] these[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film i saw today didn't even meet those expectations . 	the film i saw today didn't even meet those expectations .	1	-1	 the[0] film[0] i[0] saw[0] today[0] didn't[0] even[0] meet[0] those[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a lousy , incoherent mess . 	this is a lousy , incoherent mess .	1	-3	 this[0] is[0] a[0] lousy[-2] incoherent[0] mess[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i would slam it harder , if it weren't for the nifty sets and the mere presence of all these fine , lovable actors . 	i would slam it harder , if it weren't for the nifty sets and the mere presence of all these fine , lovable actors .	3	-1	 i[0] would[0] slam[-1][--1 LastWordBoosterStrength] it[0] harder[0] if[0] it[0] weren't[0] for[0] the[0] nifty[0] sets[0] and[0] the[0] mere[0] presence[0] of[0] all[0] these[0] fine[2] lovable[0] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but sets are ultimately empty , and the performances are completely uninspired . 	but sets are ultimately empty , and the performances are completely uninspired .	1	-1	 but[0] sets[0] are[0] ultimately[0] empty[0] and[0] the[0] performances[0] are[0] completely[0] uninspired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the main problem with the avengers : for all it's hip-hop flash and tidal waves , none of it feels the least bit energetic or inspired . 	that's the main problem with the avengers : for all it's hip-hop flash and tidal waves , none of it feels the least bit energetic or inspired .	3	-2	 that's[0] the[0] main[0] problem[-1] with[0] the[0] avengers[-1] for[0] all[0] it's[0] hip[0] hop[0] flash[0] and[0] tidal[0] waves[0] none[0] of[0] it[0] feels[0] the[0] least[0] bit[0] energetic[0] or[0] inspired[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's like a chore , a bland exercise in superhero film making . 	it's like a chore , a bland exercise in superhero film making .	2	-3	 it's[0] like[1] a[0] chore[-2] a[0] bland[-1] exercise[0] in[0] superhero[0] film[0] making[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it also feels like its been cut to pieces , clocking in at 90 minutes and forgetting to close some of its own subplots . 	it also feels like its been cut to pieces , clocking in at 90 minutes and forgetting to close some of its own subplots .	2	-1	 it[0] also[0] feels[0] like[1] its[0] been[0] cut[0] to[0] pieces[0] clocking[0] in[0] at[0] 90[0] minutes[0] and[0] forgetting[0] to[0] close[0] some[0] of[0] its[0] own[0] subplots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is just plain depressing . 	this is just plain depressing .	1	-4	 this[0] is[0] just[0] plain[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the avengers is a film version of the popular 60s television show . 	the avengers is a film version of the popular 60s television show .	1	-2	 the[0] avengers[-1] is[0] a[0] film[0] version[0] of[0] the[0] popular[0] 60s[0] television[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frequent readers of mine will not be surprised to learn that i've never watched an episode . 	frequent readers of mine will not be surprised to learn that i've never watched an episode .	1	-1	 frequent[0] readers[0] of[0] mine[0] will[0] not[0] be[0] surprised[0] to[0] learn[0] that[0] i've[0] never[0] watched[0] an[0] episode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wasn't alive then . 	i wasn't alive then .	1	-1	 i[0] wasn't[0] alive[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't even watch television now . 	i don't even watch television now .	1	-1	 i[0] don't[0] even[0] watch[0] television[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm very sorry that i don't have this perspective , but , judging from the reviews i've already read , knowing the tv show just makes matters worse . 	i'm very sorry that i don't have this perspective , but , judging from the reviews i've already read , knowing the tv show just makes matters worse .	1	-3	 i'm[0] very[0] sorry[-1][-1 LastWordBoosterStrength] that[0] i[0] don't[0] have[0] this[0] perspective[0] but[0] judging[0] from[0] the[0] reviews[0] i've[0] already[0] read[0] knowing[0] the[0] tv[0] show[0] just[0] makes[0] matters[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i didn't know and love john steed and emma peel , and therefore i was not as upset to see how these actors i love have managed to thrash their roles . 	i didn't know and love john steed and emma peel , and therefore i was not as upset to see how these actors i love have managed to thrash their roles .	3	-2	 i[0] didn't[0] know[0] and[0] love[2] john[0] steed[0] and[0] emma[0] peel[0] and[0] therefore[0] i[0] was[0] not[0] as[0] upset[-2][NegatedDueToPreviousWord] to[0] see[0] how[0] these[0] actors[0] i[0] love[2] have[0] managed[0] to[0] thrash[-1] their[0] roles[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i also doubt that familiarity with the series would allow me to understand more clearly the chain of events that do take place in this film . 	i also doubt that familiarity with the series would allow me to understand more clearly the chain of events that do take place in this film .	1	-2	 i[0] also[0] doubt[-1] that[0] familiarity[0] with[0] the[0] series[0] would[0] allow[0] me[0] to[0] understand[0] more[0] clearly[0] the[0] chain[0] of[0] events[0] that[0] do[0] take[0] place[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on what the film told me , i gather that steed ( fiennes ) is some kind of british super guy ( somewhat like james bond ) , and that dr . peel ( thurman ) is just a really smart doctor , who also happens to know a lot about weather and about beating people up while limited by tight leather suits . 	based on what the film told me , i gather that steed ( fiennes ) is some kind of british super guy ( somewhat like james bond ) , and that dr .<br> peel ( thurman ) is just a really smart doctor , who also happens to know a lot about weather and about beating people up while limited by tight leather suits .	3	-1	 based[0] on[0] what[0] the[0] film[0] told[0] me[0] i[0] gather[0] that[0] steed[0] fiennes[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] british[0] super[2] guy[0] somewhat[0] like[1] james[0] bond[0] and[0] that[0] dr[0] [[Sentence=-1,3=word max, 1-5]] peel[0] thurman[0] is[0] just[0] a[0] really[0] smart[1][1 LastWordBoosterStrength] doctor[0] who[0] also[0] happens[0] to[0] know[0] a[0] lot[0] about[0] weather[0] and[0] about[0] beating[0] people[0] up[0] while[0] limited[0] by[0] tight[0] leather[0] suits[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are to work together , under mother's orders ( mother is played by jolly jim broadbent , while his co-conspirator , father , is played by the equally-talented fiona shaw ) . 	they are to work together , under mother's orders ( mother is played by jolly jim broadbent , while his co-conspirator , father , is played by the equally-talented fiona shaw ) .	3	-2	 they[0] are[0] to[0] work[0] together[0] under[0] mother's[0] orders[0] mother[0] is[0] played[0] by[0] jolly[2] jim[0] broadbent[0] while[0] his[0] co[0] conspirator[-1] father[0] is[0] played[0] by[0] the[0] equally[0] talented[1] fiona[0] shaw[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it seems that there is a man out there controlling the weather . 	it seems that there is a man out there controlling the weather .	1	-1	 it[0] seems[0] that[0] there[0] is[0] a[0] man[0] out[0] there[0] controlling[0] the[0] weather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his name is de wynter ( connery ) . 	his name is de wynter ( connery ) .	1	-1	 his[0] name[0] is[0] de[0] wynter[0] connery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is a crazy scottish guy . 	he is a crazy scottish guy .	1	-2	 he[0] is[0] a[0] crazy[-1] scottish[0] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our heroes had better stop him , or else . 	our heroes had better stop him , or else .	3	-1	 our[0] heroes[2] had[0] better[0] stop[0] him[0] or[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
the weather will keep getting colder until they " have to go to hell to warm up " ( one of the film's few funny lines ) . 	the weather will keep getting colder until they " have to go to hell to warm up " ( one of the film's few funny lines ) .	2	-2	 the[0] weather[0] will[0] keep[0] getting[0] colder[-1] until[0] they[0] have[0] to[0] go[0] to[0] hell[-1] to[0] warm[0] up[0] one[0] of[0] the[0] film's[0] few[0] funny[1] lines[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along the way there is subplot after subplot , hinged sloppily together by scenes that go nowhere , feel perfunctory , and ultimately make no sense . 	along the way there is subplot after subplot , hinged sloppily together by scenes that go nowhere , feel perfunctory , and ultimately make no sense .	1	-1	 along[0] the[0] way[0] there[0] is[0] subplot[0] after[0] subplot[0] hinged[0] sloppily[0] together[0] by[0] scenes[0] that[0] go[0] nowhere[0] feel[0] perfunctory[0] and[0] ultimately[0] make[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
