the lives of older people in the twilight of their years attempting to come to grips with their shared histories and possible futures is a fascinating topic . 	Translation	Positive	Negative	EmotionRationale
finding an all-star cast for such a film is a stroke of genius . 	finding an all-star cast for such a film is a stroke of genius .	1	-1	 finding[0] an[0] all[0] star[0] cast[0] for[0] such[0] a[0] film[0] is[0] a[0] stroke[0] of[0] genius[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
combining all that with a three-time oscar-winning director ( robert benton of " kramer vs . 	combining all that with a three-time oscar-winning director ( robert benton of " kramer vs .	2	-1	 combining[0] all[0] that[0] with[0] a[0] three[0] time[0] oscar[0] winning[1] director[0] robert[0] benton[0] of[0] kramer[0] vs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kramer " ) and creating a decidedly mediocre movie is the stuff of disappointment . 	kramer " ) and creating a decidedly mediocre movie is the stuff of disappointment .	1	-2	 kramer[0] and[0] creating[0] a[0] decidedly[0] mediocre[-1] movie[0] is[0] the[0] stuff[0] of[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in yet another noir mystery set in hollywood -- how many of these have we seen during the past few years ? 	in yet another noir mystery set in hollywood - how many of these have we seen during the past few years ?	1	-1	 in[0] yet[0] another[0] noir[0] mystery[0] set[0] in[0] hollywood[0] how[0] many[0] of[0] these[0] have[0] we[0] seen[0] during[0] the[0] past[0] few[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- the atmosphere is moody , the actors enjoyable to watch and the story goes nowhere . 	- the atmosphere is moody , the actors enjoyable to watch and the story goes nowhere .	3	-3	 the[0] atmosphere[0] is[0] moody[-2] the[0] actors[0] enjoyable[2] to[0] watch[0] and[0] the[0] story[0] goes[0] nowhere[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
over-70 harry ross ( paul newman ) is a washed up cop-turned-private eye-turned man friday trying to figure out how to live what remains of his life . 	over-70 harry ross ( paul newman ) is a washed up cop-turned-private eye-turned man friday trying to figure out how to live what remains of his life .	1	-1	 over[0] -70[0] harry[0] ross[0] paul[0] newman[0] is[0] a[0] washed[0] up[0] cop[0] turned[0] private[0] eye[0] turned[0] man[0] friday[0] trying[0] to[0] figure[0] out[0] how[0] to[0] live[0] what[0] remains[0] of[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's screwed up things pretty well ( " i had a wife and daughter . 	he's screwed up things pretty well ( " i had a wife and daughter .	3	-1	 he's[0] screwed[0] up[0] things[0] pretty[2] well[0] i[0] had[0] a[0] wife[0] and[0] daughter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now , i'm a drunk ) and is at a crossroads . 	now , i'm a drunk ) and is at a crossroads .	1	-2	 now[0] i'm[0] a[0] drunk[-1] and[0] is[0] at[0] a[0] crossroads[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a couple of years ago , he traveled to mexico to bring back mel ( reese witherspoon ) , the under-age daughter of jack ( gene hackman ) and catherine ( susan sarandon ) ames and now lives with them . 	a couple of years ago , he traveled to mexico to bring back mel ( reese witherspoon ) , the under-age daughter of jack ( gene hackman ) and catherine ( susan sarandon ) ames and now lives with them .	1	-1	 a[0] couple[0] of[0] years[0] ago[0] he[0] traveled[0] to[0] mexico[0] to[0] bring[0] back[0] mel[0] reese[0] witherspoon[0] the[0] under[0] age[0] daughter[0] of[0] jack[0] gene[0] hackman[0] and[0] catherine[0] susan[0] sarandon[0] ames[0] and[0] now[0] lives[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ames are former movie stars , past their prime and the three have become fast friends . 	the ames are former movie stars , past their prime and the three have become fast friends .	2	-1	 the[0] ames[0] are[0] former[0] movie[0] stars[0] past[0] their[0] prime[0] and[0] the[0] three[0] have[0] become[0] fast[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
