nostalgia for the 70s continues , as we see a revival of one of the decade's greatest achievements : the marijuana comedy . 	Translation	Positive	Negative	EmotionRationale
however half baked doesn't quite run with all its brain cells , and will make you appreciate the questionable talents of cheech and chong all the more . 	however half baked doesn't quite run with all its brain cells , and will make you appreciate the questionable talents of cheech and chong all the more .	2	-2	 however[0] half[0] baked[0] doesn't[0] quite[0] run[0] with[0] all[0] its[0] brain[0] cells[0] and[0] will[0] make[0] you[0] appreciate[1] the[0] questionable[-1] talents[1] of[0] cheech[0] and[0] chong[0] all[0] the[0] more[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot follows the misadventures of four ne'er-do-well stoners . 	the plot follows the misadventures of four ne'er-do-well stoners .	1	-1	 the[0] plot[0] follows[0] the[0] misadventures[0] of[0] four[0] ne'er[0] do[0] well[0] stoners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the group's unofficial leader , thurgood ( david chappelle ) , scarface ( guillermo diaz ) , brian ( jim breuer ) , and kenny ( harland williams ) . 	there's the group's unofficial leader , thurgood ( david chappelle ) , scarface ( guillermo diaz ) , brian ( jim breuer ) , and kenny ( harland williams ) .	1	-1	 there's[0] the[0] group's[0] unofficial[0] leader[0] thurgood[0] david[0] chappelle[0] scarface[0] guillermo[0] diaz[0] brian[0] jim[0] breuer[0] and[0] kenny[0] harland[0] williams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kenny gets into trouble , when , while on a munchie run , feeds his snack foods to a diabetic police horse . 	kenny gets into trouble , when , while on a munchie run , feeds his snack foods to a diabetic police horse .	1	-2	 kenny[0] gets[0] into[0] trouble[-1] when[0] while[0] on[0] a[0] munchie[0] run[0] feeds[0] his[0] snack[0] foods[0] to[0] a[0] diabetic[0] police[0] horse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the animal keels over , he finds himself accused of killing a police officer , and facing a  1 , 000 , 000 bail . 	when the animal keels over , he finds himself accused of killing a police officer , and facing a  1 , 00 , 00 bail .	1	-2	 when[0] the[0] animal[0] keels[0] over[0] he[0] finds[0] himself[0] accused[-1] of[0] killing[-1] a[0] police[0] officer[0] and[0] facing[0] a[0] 1[0] 000/00[0] 000/00[0] bail[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his friends promise to raise money for a 10% bail bond , but have no idea how . 	his friends promise to raise money for a 10% bail bond , but have no idea how .	2	-2	 his[0] friends[1] promise[1] to[0] raise[0] money[0] for[0] a[0] 10%[0] bail[-1] bond[0] but[0] have[0] no[0] idea[0] how[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is , until thurgood stumbles upon a stash of pharmaceutical marijuana being tested at the company where he works as a janitor . 	that is , until thurgood stumbles upon a stash of pharmaceutical marijuana being tested at the company where he works as a janitor .	1	-1	 that[0] is[0] until[0] thurgood[0] stumbles[0] upon[0] a[0] stash[0] of[0] pharmaceutical[0] marijuana[0] being[0] tested[0] at[0] the[0] company[0] where[0] he[0] works[0] as[0] a[0] janitor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon the three guys are dealing dope to raise funds , while avoiding the cops and rival dealer sampson simpson ( clarence williams iii ) . 	soon the three guys are dealing dope to raise funds , while avoiding the cops and rival dealer sampson simpson ( clarence williams i ) .	2	-2	 soon[0] the[0] three[0] guys[0] are[0] dealing[0] dope[-1] to[0] raise[0] funds[0] while[0] avoiding[-1] the[0] cops[0] and[0] rival[-1] dealer[0] sampson[0] simpson[0] clarence[0] williams[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for a comedy , the film is pretty humorless . 	for a comedy , the film is pretty humorless .	3	-3	 for[0] a[0] comedy[0] the[0] film[0] is[0] pretty[2] humorless[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
not that it doesn't try . . . it's 	not that it doesn't try .<br> .<br> .<br> it's	1	-1	 not[0] that[0] it[0] doesn't[0] try[0] [[Sentence=-1,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
