the ads make " hanging up " seem like an upbeat comedy about a rascally father and his three daughters . 	Translation	Positive	Negative	EmotionRationale
anyone who went to the movie expecting that left disappointed . 	anyone who went to the movie expecting that left disappointed .	1	-2	 anyone[0] who[0] went[0] to[0] the[0] movie[0] expecting[0] that[0] left[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of the movie's funny scenes were included in the ad . 	all of the movie's funny scenes were included in the ad .	2	-1	 all[0] of[0] the[0] movie's[0] funny[1] scenes[0] were[0] included[0] in[0] the[0] ad[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what do we get ? 	so what do we get ?	1	-1	 so[0] what[0] do[0] we[0] get[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eve marks ( meg ryan ) just put her father lou mozell ( walter matthau ) into a hospital . 	eve marks ( meg ryan ) just put her father lou mozell ( walter matthau ) into a hospital .	1	-1	 eve[0] marks[0] meg[0] ryan[0] just[0] put[0] her[0] father[0] lou[0] mozell[0] walter[0] matthau[0] into[0] a[0] hospital[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once upon a time , lou was a hollywood screenwriter who collaborated with his now-estranged wife . 	once upon a time , lou was a hollywood screenwriter who collaborated with his now-estranged wife .	1	-2	 once[0] upon[0] a[0] time[0] lou[0] was[0] a[0] hollywood[0] screenwriter[0] who[0] collaborated[0] with[0] his[0] now[0] estranged[-1] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his one great moment in life was writing a film for john wayne , who gave him a giant bullet-shaped trophy . 	his one great moment in life was writing a film for john wayne , who gave him a giant bullet-shaped trophy .	3	-2	 his[0] one[0] great[2] moment[0] in[0] life[0] was[0] writing[0] a[0] film[0] for[0] john[0] wayne[0] who[0] gave[0] him[0] a[0] giant[0] bullet[-1] shaped[0] trophy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now lou is senile and deteriorating rapidly . 	now lou is senile and deteriorating rapidly .	1	-2	 now[0] lou[0] is[0] senile[-1] and[0] deteriorating[0] rapidly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eve tries to convince her sisters georgia ( diane keaton ) and maddy ( lisa kudrow ) that their father is dying and needs them . 	eve tries to convince her sisters georgia ( diane keaton ) and maddy ( lisa kudrow ) that their father is dying and needs them .	1	-2	 eve[0] tries[0] to[0] convince[0] her[0] sisters[0] georgia[0] diane[0] keaton[0] and[0] maddy[0] lisa[0] kudrow[0] that[0] their[0] father[0] is[0] dying[-1] and[0] needs[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both are slow to show concern . 	both are slow to show concern .	1	-2	 both[0] are[0] slow[0] to[0] show[0] concern[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so devoted eve stands vigil over her father , who constantly asks for his favorite daughter georgia , while running her own business ( planning special events ) and caring for her son ( jesse james ) . 	so devoted eve stands vigil over her father , who constantly asks for his favorite daughter georgia , while running her own business ( planning special events ) and caring for her son ( jesse james ) .	3	-1	 so[0] devoted[2] eve[0] stands[0] vigil[0] over[0] her[0] father[0] who[0] constantly[0] asks[0] for[0] his[0] favorite[1] daughter[0] georgia[0] while[0] running[0] her[0] own[0] business[0] planning[0] special[1] events[0] and[0] caring[2] for[0] her[0] son[0] jesse[0] james[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( some comic relief comes when maddy also drops off her ailing st . bernard for eve to care for . ) 	 ( some comic relief comes when maddy also drops off her ailing st .<br> bernard for eve to care for .<br> )	2	-3	 some[0] comic[0] relief[1] comes[0] when[0] maddy[0] also[0] drops[0] off[0] her[0] ailing[-2] st[0] [[Sentence=-3,2=word max, 1-5]] bernard[0] for[0] eve[0] to[0] care[1] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
the tension builds until all three sisters are finally in one room at one of eve's events where georgia is the keynote speaker . 	the tension builds until all three sisters are finally in one room at one of eve's events where georgia is the keynote speaker .	1	-3	 the[0] tension[-2] builds[0] until[0] all[0] three[0] sisters[0] are[0] finally[0] in[0] one[0] room[0] at[0] one[0] of[0] eve's[0] events[0] where[0] georgia[0] is[0] the[0] keynote[0] speaker[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a superficial resemblance to shakespeare's " king lear " ( senile king with three daughters : one devoted saint and two selfish bitches ) , but the material is apparently drawn from life . 	there's a superficial resemblance to shakespeare's " king lear " ( senile king with three daughters : one devoted saint and two selfish bitches ) , but the material is apparently drawn from life .	3	-4	 there's[0] a[0] superficial[-1] resemblance[0] to[0] shakespeare's[0] king[0] lear[0] senile[-1] king[0] with[0] three[0] daughters[0] one[0] devoted[2] saint[0] and[0] two[0] selfish[-3] bitches[-1] but[0] the[0] material[0] is[0] apparently[0] drawn[0] from[0] life[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
sister screenwriters delia and nora ephron had parents who were a successful hollywood writing team . 	sister screenwriters delia and nora ephron had parents who were a successful hollywood writing team .	3	-1	 sister[0] screenwriters[0] delia[0] and[0] nora[0] ephron[0] had[0] parents[0] who[0] were[0] a[0] successful[2] hollywood[0] writing[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
henry and phoebe ephron collaborated on 17 screenplays , including " desk set " and " there's no business like show business . " 	henry and phoebe ephron collaborated on 17 screenplays , including " desk set " and " there's no business like show business .<br> "	2	-1	 henry[0] and[0] phoebe[0] ephron[0] collaborated[0] on[0] 17[0] screenplays[0] including[0] desk[0] set[0] and[0] there's[0] no[0] business[0] like[1] show[0] business[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( delia's novel , the basis for the film , is dedicated to henry ) . 	 ( delia's novel , the basis for the film , is dedicated to henry ) .	1	-1	 delia's[0] novel[0] the[0] basis[0] for[0] the[0] film[0] is[0] dedicated[0] to[0] henry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surprisingly , the script is as thin as an anorexic's wet dream . 	surprisingly , the script is as thin as an anorexic's wet dream .	1	-1	 surprisingly[0] the[0] script[0] is[0] as[0] thin[0] as[0] an[0] anorexic's[0] wet[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the virtue of a semi-autobiographical project would seem to be the wealth of material available . 	the virtue of a semi-autobiographical project would seem to be the wealth of material available .	3	-1	 the[0] virtue[2] of[0] a[0] semi[0] autobiographical[0] project[0] would[0] seem[0] to[0] be[0] the[0] wealth[0] of[0] material[0] available[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet , the ephrons provide only the barest minimum of information about their characters . 	yet , the ephrons provide only the barest minimum of information about their characters .	1	-1	 yet[0] the[0] ephrons[0] provide[0] only[0] the[0] barest[0] minimum[0] of[0] information[0] about[0] their[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the spaces they inhabit seem artificial . 	also , the spaces they inhabit seem artificial .	1	-1	 also[0] the[0] spaces[0] they[0] inhabit[0] seem[0] artificial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eve lives in a house that looks like a magazine layout ; no matter how put-upon she is , we can't feel sorry for anyone whose house is so pristine on any given day . 	eve lives in a house that looks like a magazine layout ; no matter how put-upon she is , we can't feel sorry for anyone whose house is so pristine on any given day .	2	-1	 eve[0] lives[0] in[0] a[0] house[0] that[0] looks[0] like[1] a[0] magazine[0] layout[0] no[0] matter[0] how[0] put[0] upon[0] she[0] is[0] we[0] can't[0] feel[0] sorry[-1][NegatedDueToPreviousWord] for[0] anyone[0] whose[0] house[0] is[0] so[0] pristine[0] on[0] any[0] given[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
georgia is a famous magazine editor , and in her brief scenes while she chats on a cell phone with eve seem like the photo spread for a profile . 	georgia is a famous magazine editor , and in her brief scenes while she chats on a cell phone with eve seem like the photo spread for a profile .	2	-1	 georgia[0] is[0] a[0] famous[0] magazine[0] editor[0] and[0] in[0] her[0] brief[0] scenes[0] while[0] she[0] chats[0] on[0] a[0] cell[0] phone[0] with[0] eve[0] seem[0] like[1] the[0] photo[0] spread[0] for[0] a[0] profile[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when we first meet maddy , she's fishing at a picturesque mountain stream . 	when we first meet maddy , she's fishing at a picturesque mountain stream .	2	-1	 when[0] we[0] first[0] meet[0] maddy[0] she's[0] fishing[0] at[0] a[0] picturesque[1] mountain[0] stream[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i expected to see the credit " cinematography by 'vanity fair . ' " 	i expected to see the credit " cinematography by 'vanity fair .<br> ' "	1	-1	 i[0] expected[0] to[0] see[0] the[0] credit[0] cinematography[0] by[0] 'vanity[0] fair[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , yes , diane keaton is literally old enough to be lisa kudrow's mother . 	and , yes , diane keaton is literally old enough to be lisa kudrow's mother .	1	-1	 and[0] yes[0] diane[0] keaton[0] is[0] literally[0] old[0] enough[0] to[0] be[0] lisa[0] kudrow's[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to her credit , though , she looks young enough to pull it off . 	to her credit , though , she looks young enough to pull it off .	1	-1	 to[0] her[0] credit[0] though[0] she[0] looks[0] young[0] enough[0] to[0] pull[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
