i'm guessing -- and from the available evidence , it's not a great guess -- that burn hollywood burn began life as an insider satire of hollywood excess , stupidity , ego and power-mongering . 	Translation	Positive	Negative	EmotionRationale
if so , the film that ended up on the screen ranks as one of the most spectacularly ironic unintentional jokes in film history . 	if so , the film that ended up on the screen ranks as one of the most spectacularly ironic unintentional jokes in film history .	2	-2	 if[0] so[0] the[0] film[0] that[0] ended[0] up[0] on[0] the[0] screen[0] ranks[0] as[0] one[0] of[0] the[0] most[0] spectacularly[0] ironic[-1] unintentional[0] jokes[1] in[0] film[0] history[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it has already been well-documented that the original title , an alan smithee film , became a problem when miserable test screenings forced re-cuts against the will of director arthur hiller , prompting hiller himself to opt for the directors' guild-mandated pseudonym of alan smithee . 	it has already been well-documented that the original title , an alan smithee film , became a problem when miserable test screenings forced re-cuts against the will of director arthur hiller , prompting hiller himself to opt for the directors' guild-mandated pseudonym of alan smithee .	1	-3	 it[0] has[0] already[0] been[0] well[0] documented[0] that[0] the[0] original[0] title[0] an[0] alan[0] smithee[0] film[0] became[0] a[0] problem[-1] when[0] miserable[-2] test[0] screenings[0] forced[0] re[0] cuts[0] against[-1] the[0] will[0] of[0] director[0] arthur[0] hiller[0] prompting[0] hiller[0] himself[0] to[0] opt[0] for[0] the[0] directors'[0] guild[0] mandated[0] pseudonym[0] of[0] alan[0] smithee[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that left a film satire in the hands of writer joe eszterhas , as humorless a hack as ever put finger to word processor . 	that left a film satire in the hands of writer joe eszterhas , as humorless a hack as ever put finger to word processor .	1	-3	 that[0] left[0] a[0] film[0] satire[0] in[0] the[0] hands[0] of[0] writer[0] joe[0] eszterhas[0] as[0] humorless[-2] a[0] hack[-1] as[0] ever[0] put[0] finger[0] to[0] word[0] processor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and you could just smell the disaster brewing . 	and you could just smell the disaster brewing .	1	-2	 and[0] you[0] could[0] just[0] smell[0] the[0] disaster[-1] brewing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're unfortunate enough to sit through burn hollywood burn , you'll still be smelling that disaster long after the lights come up . 	if you're unfortunate enough to sit through burn hollywood burn , you'll still be smelling that disaster long after the lights come up .	1	-2	 if[0] you're[0] unfortunate[-1] enough[0] to[0] sit[0] through[0] burn[-1] hollywood[0] burn[-1] you'll[0] still[0] be[0] smelling[0] that[0] disaster[-1] long[0] after[0] the[0] lights[0] come[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ostensibly , it's a pseudo-documentary account of a director named alan smithee ( eric idle ) who loses control of a big-budget action film called trio starring sylvester stallone , whoopi goldberg and jackie chan ( all of whom appear as themselves ) . 	ostensibly , it's a pseudo-documentary account of a director named alan smithee ( eric idle ) who loses control of a big-budget action film called trio starring sylvester stallone , whoopi goldberg and jackie chan ( all of whom appear as themselves ) .	1	-2	 ostensibly[0] it's[0] a[0] pseudo[0] documentary[0] account[0] of[0] a[0] director[0] named[0] alan[0] smithee[0] eric[0] idle[0] who[0] loses[-1] control[0] of[0] a[0] big[0] budget[0] action[0] film[0] called[0] trio[0] starring[0] sylvester[0] stallone[0] whoopi[0] goldberg[0] and[0] jackie[0] chan[0] all[0] of[0] whom[0] appear[0] as[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the only recourse available to him is abandoning the project to be called " an alan smithee film " -- which , of course , it already is -- smithee steals the negative of the film and threatens to destroy it . 	when the only recourse available to him is abandoning the project to be called " an alan smithee film " - which , of course , it already is - smithee steals the negative of the film and threatens to destroy it .	1	-3	 when[0] the[0] only[0] recourse[0] available[0] to[0] him[0] is[0] abandoning[-1] the[0] project[0] to[0] be[0] called[0] an[0] alan[0] smithee[0] film[0] which[0] of[0] course[0] it[0] already[0] is[0] smithee[0] steals[-2] the[0] negative[-1] of[0] the[0] film[0] and[0] threatens[-2] to[0] destroy[-2] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
among the parties interviewed are the film's producer james edmunds ( ryan o'neal ) and studio boss jerry glover ( richard jeni ) , who spend virtually the entire film narrating the story while painfully unfunny things go on around them . 	among the parties interviewed are the film's producer james edmunds ( ryan o'neal ) and studio boss jerry glover ( richard jeni ) , who spend virtually the entire film narrating the story while painfully unfunny things go on around them .	1	-4	 among[0] the[0] parties[0] interviewed[0] are[0] the[0] film's[0] producer[0] james[0] edmunds[0] ryan[0] o'neal[0] and[0] studio[0] boss[0] jerry[0] glover[0] richard[0] jeni[0] who[0] spend[0] virtually[0] the[0] entire[0] film[0] narrating[0] the[0] story[0] while[0] painfully[-3] unfunny[0] things[0] go[0] on[0] around[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's bad enough that burn hollywood burn has -- literally -- not a single laugh for its entire , blissfully brief 84 minutes . 	it's bad enough that burn hollywood burn has - literally - not a single laugh for its entire , blissfully brief 84 minutes .	2	-2	 it's[0] bad[-1] enough[0] that[0] burn[-1] hollywood[0] burn[-1] has[0] literally[0] not[0] a[0] single[0] laugh[1] for[0] its[0] entire[0] blissfully[0] brief[0] 84[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what makes it even worse is eszterhas' insistence upon telling every bad joke not once , but twice or even three times . 	what makes it even worse is eszterhas' insistence upon telling every bad joke not once , but twice or even three times .	2	-3	 what[0] makes[0] it[0] even[0] worse[-2] is[0] eszterhas'[0] insistence[0] upon[0] telling[0] every[0] bad[-1] joke[1] not[0] once[0] but[0] twice[0] or[0] even[0] three[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
