my giant is two movies for the price of one , but neither is worth the cost of admission , even if you get in free . 	Translation	Positive	Negative	EmotionRationale
as lamely directed by michael lehmann , the picture tries to be a comedy by using and reusing every giant joke in the book . 	as lamely directed by michael lehman , the picture tries to be a comedy by using and reusing every giant joke in the book .	2	-3	 as[0] lamely[-2] directed[0] by[0] michael[0] lehmann/lehman[0] the[0] picture[0] tries[0] to[0] be[0] a[0] comedy[0] by[0] using[0] and[0] reusing[0] every[0] giant[0] joke[1] in[0] the[0] book[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( " without goliath , david is just some punk throwing rocks . " ) 	 ( " without goliath , david is just some punk throwing rocks .<br> " )	1	-1	 without[0] goliath[0] david[0] is[0] just[0] some[0] punk[0] throwing[0] rocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
languidly paced throughout , the movie becomes increasingly lugubrious as the screenplay by david seltzer ( the omen ) meanders toward its sad ending . 	languidly paced throughout , the movie becomes increasingly lugubrious as the screenplay by david seltzer ( the omen ) meanders toward its sad ending .	1	-4	 languidly[0] paced[0] throughout[0] the[0] movie[0] becomes[0] increasingly[0] lugubrious[0] as[0] the[0] screenplay[0] by[0] david[0] seltzer[0] the[0] omen[0] meanders[0] toward[0] its[0] sad[-3] ending[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since it's rarely funny or convincingly dramatic , what the filmmakers thought they were doing remains a mystery . 	since it's rarely funny or convincingly dramatic , what the filmmakers thought they were doing remains a mystery .	2	-1	 since[0] it's[0] rarely[0] funny[1] or[0] convincingly[0] dramatic[0] what[0] the[0] filmmakers[0] thought[0] they[0] were[0] doing[0] remains[0] a[0] mystery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
other than a few nice visuals , there's nothing to recommend the picture . 	other than a few nice visuals , there's nothing to recommend the picture .	2	-1	 other[0] than[0] a[0] few[0] nice[1] visuals[0] there's[0] nothing[0] to[0] recommend[0] the[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with great film comedies under his belt from when harry met sally ? to the original city slickers , billy crystal has shown that he's more than the world's best oscar host . 	with great film comedies under his belt from when harry met sally ?<br> to the original city slickers , billy crystal has shown that he's more than the world's best oscar host .	3	-1	 with[0] great[2] film[0] comedies[0] under[0] his[0] belt[0] from[0] when[0] harry[0] met[0] sally[0] [[Sentence=-1,3=word max, 1-5]] to[0] the[0] original[0] city[0] slickers[0] billy[0] crystal[0] has[0] shown[0] that[0] he's[0] more[0] than[0] the[0] world's[0] best[1] oscar[0] host[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
he does , however , have a propensity for choosing hopeless material as in last year's father's day and this year's my giant . 	he does , however , have a propensity for choosing hopeless material as in last year's father's day and this year's my giant .	1	-4	 he[0] does[0] however[0] have[0] a[0] propensity[0] for[0] choosing[0] hopeless[-3] material[0] as[0] in[0] last[0] year's[0] father's[0] day[0] and[0] this[0] year's[0] my[0] giant[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one wonders if he reads the script before agreeing to go ahead with a project . 	one wonders if he reads the script before agreeing to go ahead with a project .	1	-1	 one[0] wonders[0] if[0] he[0] reads[0] the[0] script[0] before[0] agreeing[0] to[0] go[0] ahead[0] with[0] a[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surely reading the one for my giant would have shown that there was nothing there . 	surely reading the one for my giant would have shown that there was nothing there .	1	-1	 surely[0] reading[0] the[0] one[0] for[0] my[0] giant[0] would[0] have[0] shown[0] that[0] there[0] was[0] nothing[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps he thought he could ad lib it into success . 	perhaps he thought he could ad lib it into success .	3	-1	 perhaps[0] he[0] thought[0] he[0] could[0] ad[0] lib[0] it[0] into[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or maybe he wants to be a dramatic actor and thought he could do something serious with the movie's somber tone . 	or maybe he wants to be a dramatic actor and thought he could do something serious with the movie's somber tone .	1	-2	 or[0] maybe[0] he[0] wants[0] to[0] be[0] a[0] dramatic[0] actor[0] and[0] thought[0] he[0] could[0] do[0] something[0] serious[-1] with[0] the[0] movie's[0] somber[-1] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most charitable thing that could be said about it is that it is so ineffectual that people will probably forget they saw it by the next day . 	the most charitable thing that could be said about it is that it is so ineffectual that people will probably forget they saw it by the next day .	1	-2	 the[0] most[0] charitable[0] thing[0] that[0] could[0] be[0] said[0] about[0] it[0] is[0] that[0] it[0] is[0] so[0] ineffectual[-1] that[0] people[0] will[0] probably[0] forget[0] they[0] saw[0] it[0] by[0] the[0] next[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this one-joke movie's single idea is to place real-life basketball player gheorghe muresan , who stands seven and a half feet tall , into as many visually striking situations as possible . 	this one-joke movie's single idea is to place real-life basketball player gheorghe muresan , who stands seven and a half feet tall , into as many visually striking situations as possible .	2	-1	 this[0] one[0] joke[1] movie's[0] single[0] idea[0] is[0] to[0] place[0] real[0] life[0] basketball[0] player[0] gheorghe[0] muresan[0] who[0] stands[0] seven[0] and[0] a[0] half[0] feet[0] tall[0] into[0] as[0] many[0] visually[0] striking[0] situations[0] as[0] possible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sammy ( crystal ) , an agent currently without clients , is rescued after a car accident by a sweet romanian giant named max ( muresan ) . 	sammy ( crystal ) , an agent currently without clients , is rescued after a car accident by a sweet romanian giant named max ( muresan ) .	2	-2	 sammy[0] crystal[0] an[0] agent[0] currently[0] without[0] clients[0] is[0] rescued[0] after[0] a[0] car[0] accident[-1] by[0] a[0] sweet[1] romanian[0] giant[0] named[0] max[0] muresan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after throwing out constant one-liners ( " either god is in the salvage business or big foot just took my car . " ) , 	after throwing out constant one-liners ( " either god is in the salvage business or big foot just took my car .<br> " ) ,	1	-1	 after[0] throwing[0] out[0] constant[0] one[0] liners[0] either[0] god[0] is[0] in[0] the[0] salvage[0] business[0] or[0] big[0] foot[0] just[0] took[0] my[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sammy decides to get serious , seeing max as his meal ticket . 	sammy decides to get serious , seeing max as his meal ticket .	1	-2	 sammy[0] decides[0] to[0] get[0] serious[-1] seeing[0] max[0] as[0] his[0] meal[0] ticket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and although he doesn't like it , he's willing to sign max up to do disgusting events like a wrestling match with a half-dozen dwarfs . 	and although he doesn't like it , he's willing to sign max up to do disgusting events like a wrestling match with a half-dozen dwarfs .	2	-4	 and[0] although[0] he[0] doesn't[0] like[1] it[0] he's[0] willing[0] to[0] sign[0] max[0] up[0] to[0] do[0] disgusting[-3] events[0] like[1] a[0] wrestling[0] match[0] with[0] a[0] half[0] dozen[0] dwarfs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( the movie itself knows no bounds as it contains one of the most putrid and lengthy vomiting scenes ever . ) 	 ( the movie itself knows no bounds as it contains one of the most putrid and lengthy vomiting scenes ever .<br> )	1	-3	 the[0] movie[0] itself[0] knows[0] no[0] bounds[0] as[0] it[0] contains[0] one[0] of[0] the[0] most[0] putrid[0] and[0] lengthy[0] vomiting[-2] scenes[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a series of missed opportunities , the comedic part of the movie is over , and it turns into a cheap and maudlin disease movie . 	after a series of missed opportunities , the comedic part of the movie is over , and it turns into a cheap and maudlin disease movie .	1	-3	 after[0] a[0] series[0] of[0] missed[-1] opportunities[0] the[0] comedic[0] part[0] of[0] the[0] movie[0] is[0] over[0] and[0] it[0] turns[0] into[0] a[0] cheap[-1] and[0] maudlin[0] disease[-2] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we learn that max's condition is terminal , and he will soon die . 	we learn that max's condition is terminal , and he will soon die .	1	-1	 we[0] learn[0] that[0] max's[0] condition[0] is[0] terminal[0] and[0] he[0] will[0] soon[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be fair , the movie does contain a few good scenes - all of which you can see in the trailers . 	to be fair , the movie does contain a few good scenes - all of which you can see in the trailers .	2	-1	 to[0] be[0] fair[0] the[0] movie[0] does[0] contain[0] a[0] few[0] good[1] scenes[0] all[0] of[0] which[0] you[0] can[0] see[0] in[0] the[0] trailers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
