it seems that i've stopped enjoying movies that should be fun to watch . 	Translation	Positive	Negative	EmotionRationale
take payback , for example , a movie that most people seem to like . 	take payback , for example , a movie that most people seem to like .	2	-1	 take[0] payback[0] for[0] example[0] a[0] movie[0] that[0] most[0] people[0] seem[0] to[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , it's horrible schlock , straight out of hollywood's vast talent for sucking creativity out of movies . 	however , it's horrible schlock , straight out of hollywood's vast talent for sucking creativity out of movies .	2	-4	 however[0] it's[0] horrible[-3] schlock[0] straight[0] out[0] of[0] hollywood's[0] vast[0] talent[1] for[0] sucking[0] creativity[0] out[0] of[0] movies[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it was written and directed by a guy who should have done better ; however , maybe he did do better , after all , 30 percent of the movie isn't his own . 	it was written and directed by a guy who should have done better ; however , maybe he did do better , after all , 30 percent of the movie isn't his own .	1	-1	 it[0] was[0] written[0] and[0] directed[0] by[0] a[0] guy[0] who[0] should[0] have[0] done[0] better[0] however[0] maybe[0] he[0] did[0] do[0] better[0] after[0] all[0] 30[0] percent[0] of[0] the[0] movie[0] isn't[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mel gibson , that hollywood zombie , decided he didn't like the ending and had another director reshoot it . 	mel gibson , that hollywood zombie , decided he didn't like the ending and had another director reshoot it .	2	-1	 mel[0] gibson[0] that[0] hollywood[0] zombie[0] decided[0] he[0] didn't[0] like[1] the[0] ending[0] and[0] had[0] another[0] director[0] reshoot[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what a crock . 	what a crock .	1	-1	 what[0] a[0] crock[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you sign on to do a movie , then do it the way the script calls for . 	if you sign on to do a movie , then do it the way the script calls for .	1	-1	 if[0] you[0] sign[0] on[0] to[0] do[0] a[0] movie[0] then[0] do[0] it[0] the[0] way[0] the[0] script[0] calls[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why film a movie and then look at it later and say , - no , i changed my mind , i don't like the ending . 	why film a movie and then look at it later and say , - no , i changed my mind , i don't like the ending .	1	-2	 why[0] film[0] a[0] movie[0] and[0] then[0] look[0] at[0] it[0] later[0] and[0] say[0] no[0] i[0] changed[0] my[0] mind[0] i[0] don't[0] like[1][NegatedDueToPreviousWord] the[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you're fired . 	you're fired .	1	-3	 you're[0] fired[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let's get someone else to do it . 	let's get someone else to do it .	1	-1	 let's[0] get[0] someone[0] else[0] to[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- i suppose honor is dead in hollywood . 	- i suppose honor is dead in hollywood .	1	-3	 i[0] suppose[0] honor[0] is[0] dead[-2] in[0] hollywood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the end of the film is , of course , hollywoodized . 	the end of the film is , of course , hollywoodized .	1	-1	 the[0] end[0] of[0] the[0] film[0] is[0] of[0] course[0] hollywoodized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is to say that it's happy and the guy you root for beats impossible odds to win his prize . 	which is to say that it's happy and the guy you root for beats impossible odds to win his prize .	3	-1	 which[0] is[0] to[0] say[0] that[0] it's[0] happy[1] and[0] the[0] guy[0] you[0] root[0] for[0] beats[0] impossible[0] odds[0] to[0] win[0] his[0] prize[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
