studio 54 attracted so many weird and bizarre people to its gates that it's a wonder why the film about the life and death of the studio centers itself on one very boring , cliched individual , not to mention an ensemble of people who wouldn't be at all fascinating unless they worked at the studio , which they did according to this film . 	Translation	Positive	Negative	EmotionRationale
are we supposed to believe that out of all the strange folk who populated the studio nightly , that a character who is a bland ripoff of tony manero would really make a good protagonist for the film about it ? 	are we supposed to believe that out of all the strange folk who populated the studio nightly , that a character who is a bland ripoff of tony manero would really make a good protagonist for the film about it ?	2	-2	 are[0] we[0] supposed[0] to[0] believe[0] that[0] out[0] of[0] all[0] the[0] strange[0] folk[0] who[0] populated[0] the[0] studio[0] nightly[0] that[0] a[0] character[0] who[0] is[0] a[0] bland[-1] ripoff[0] of[0] tony[0] manero[0] would[0] really[0] make[0] a[0] good[1] protagonist[0] for[0] the[0] film[0] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " 54 " belongs in the elite group of films known as " the big disappointments " : the films that attain so much hype and/or so much potential in its creation that they come off worse than they are when they are finally finished . 	 " 54 " belongs in the elite group of films known as " the big disappointments " : the films that attain so much hype and/or so much potential in its creation that they come off worse than they are when they are finally finished .	1	-3	 54[0] belongs[0] in[0] the[0] elite[0] group[0] of[0] films[0] known[0] as[0] the[0] big[0] disappointments[-1] the[0] films[0] that[0] attain[0] so[0] much[0] hype[0] and/or[0] so[0] much[0] potential[0] in[0] its[0] creation[0] that[0] they[0] come[0] off[0] worse[-2] than[0] they[0] are[0] when[0] they[0] are[0] finally[0] finished[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i was heavily awaiting " 54 , " not the least because i've become fascinated with the infamous club , which has been the subject of an engrossing documentary that's been running all summer on vh1 , which is , weirdly enough , much more intriguing and engrossing than this " edgy " film . 	i was heavily awaiting " 54 , " not the least because i've become fascinated with the infamous club , which has been the subject of an engrossing documentary that's been running all summer on vh1 , which is , weirdly enough , much more intriguing and engrossing than this " edgy " film .	1	-2	 i[0] was[0] heavily[0] awaiting[0] 54[0] not[0] the[0] least[0] because[0] i've[0] become[0] fascinated[0] with[0] the[0] infamous[-1] club[0] which[0] has[0] been[0] the[0] subject[0] of[0] an[0] engrossing[0] documentary[0] that's[0] been[0] running[0] all[0] summer[0] on[0] vh1[0] which[0] is[0] weirdly[-1] enough[0] much[0] more[0] intriguing[0] and[0] engrossing[0] than[0] this[0] edgy[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps more importantly , " 54 " is part of the blossoming subgenre , " the 70s nostalgia film , " which has been picking up mighty steam , what with " boogie nights " and " the last days of disco " coming out within the year , and both being such damn good movies that not only captured the feel of a certain time period ( the late 70s party and the early 80s wakeup period ) , but brought us interesting and real characters , like scotty , the tragically gay boom mike operator from " boogie nights , " and charlotte , the ironically clueless and bitchy co-protagonist from " the last days of disco , " not to mention several others . 	perhaps more importantly , " 54 " is part of the blossoming subgenre , " the 70s nostalgia film , " which has been picking up mighty steam , what with " boogie nights " and " the last days of disco " coming out within the year , and both being such damn good movies that not only captured the feel of a certain time period ( the late 70s party and the early 80s wakeup period ) , but brought us interesting and real characters , like scotty , the tragically gay boom mike operator from " boogie nights , " and charlotte , the ironically clueless and bitchy co-protagonist from " the last days of disco , " not to mention several others .	2	-2	 perhaps[0] more[0] importantly[0] 54[0] is[0] part[0] of[0] the[0] blossoming[0] subgenre[0] the[0] 70s[0] nostalgia[0] film[0] which[0] has[0] been[0] picking[0] up[0] mighty[0] steam[0] what[0] with[0] boogie[0] nights[0] and[0] the[0] last[0] days[0] of[0] disco[0] coming[0] out[0] within[0] the[0] year[0] and[0] both[0] being[0] such[0] damn[-1] good[1] movies[0] that[0] not[0] only[0] captured[-1][NegatedDueToPreviousWord] the[0] feel[0] of[0] a[0] certain[0] time[0] period[0] the[0] late[0] 70s[0] party[0] and[0] the[0] early[0] 80s[0] wakeup[0] period[0] but[0] brought[0] us[0] interesting[1] and[0] real[0] characters[0] like[1] scotty[0] the[0] tragically[-1] gay[-1] boom[0] mike[0] operator[0] from[0] boogie[0] nights[0] and[0] charlotte[0] the[0] ironically[-1] clueless[0] and[0] bitchy[-1] co[0] protagonist[0] from[0] the[0] last[0] days[0] of[0] disco[0] not[0] to[0] mention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " 54 " deals not so much with the timeline of the studio ( how it began , how it was run , how it ended ) - that's all dealt with in the narrated opening and finale - but more interested in the characters who populated it . 	 " 54 " deals not so much with the timeline of the studio ( how it began , how it was run , how it ended ) - that's all dealt with in the narrated opening and finale - but more interested in the characters who populated it .	2	-1	 54[0] deals[0] not[0] so[0] much[0] with[0] the[0] timeline[0] of[0] the[0] studio[0] how[0] it[0] began[0] how[0] it[0] was[0] run[0] how[0] it[0] ended[0] that's[0] all[0] dealt[0] with[0] in[0] the[0] narrated[0] opening[0] and[0] finale[0] but[0] more[0] interested[1] in[0] the[0] characters[0] who[0] populated[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a definite plus . 	this is a definite plus .	1	-1	 this[0] is[0] a[0] definite[0] plus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's a film that could have been a fascinating 2 hour plus film about the tragic people who went there to party , and had to wakeup in the 80s when things like diseases , economy problems , and perhaps worst of all , reagan , all hit and forced everyone into a rude awakening . 	here's a film that could have been a fascinating 2 hour plus film about the tragic people who went there to party , and had to wakeup in the 80s when things like diseases , economy problems , and perhaps worst of all , reagan , all hit and forced everyone into a rude awakening .	2	-3	 here's[0] a[0] film[0] that[0] could[0] have[0] been[0] a[0] fascinating[0] 2[0] hour[0] plus[0] film[0] about[0] the[0] tragic[-2] people[0] who[0] went[0] there[0] to[0] party[0] and[0] had[0] to[0] wakeup[0] in[0] the[0] 80s[0] when[0] things[0] like[1] diseases[-2] economy[0] problems[-1] and[0] perhaps[0] worst[-2] of[0] all[0] reagan[0] all[0] hit[0] and[0] forced[0] everyone[0] into[0] a[0] rude[-2] awakening[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the story of the studio is tragedy in itself : let's look at how it all affected the people . 	the story of the studio is tragedy in itself : let's look at how it all affected the people .	1	-3	 the[0] story[0] of[0] the[0] studio[0] is[0] tragedy[-2] in[0] itself[0] let's[0] look[0] at[0] how[0] it[0] all[0] affected[0] the[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but this film doesn't let that happen . 	but this film doesn't let that happen .	1	-1	 but[0] this[0] film[0] doesn't[0] let[0] that[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gives us a half-assed protagonist named shane o'shea ( ryan phillippe , from " i know what you did last summer " ) , who's chief character trait is the fact that he's from new jersey , which also happens to be his chief character flaw ( i guess ) . 	it gives us a half-assed protagonist named shane o'shea ( ryan phillippe , from " i know what you did last summer " ) , who's chief character trait is the fact that he's from new jersey , which also happens to be his chief character flaw ( i guess ) .	1	-2	 it[0] gives[0] us[0] a[0] half[0] assed[0] protagonist[0] named[0] shane[0] o'shea[0] ryan[0] phillippe[0] from[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] who's[0] chief[0] character[0] trait[0] is[0] the[0] fact[0] that[0] he's[0] from[0] new[0] jersey[0] which[0] also[0] happens[0] to[0] be[0] his[0] chief[0] character[0] flaw[-1] i[0] guess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
