starting with the little mermaid and most recently the lion king , the walt disney company once again proved that they could not only consistently make modern day animated classics , but were particularly in touch with what the general viewing public--particularly kids-- wanted to see . 	Translation	Positive	Negative	EmotionRationale
therefore , it's with some surprise that as a big fan of the above mentioned movies i was so disappointed with pocahontas . 	therefore , it's with some surprise that as a big fan of the above mentioned movies i was so disappointed with pocahontas .	1	-2	 therefore[0] it's[0] with[0] some[0] surprise[0] that[0] as[0] a[0] big[0] fan[0] of[0] the[0] above[0] mentioned[0] movies[0] i[0] was[0] so[0] disappointed[-1] with[0] pocahontas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite some innovation and risk taking , the story is surprisingly straightforward and dramatized in broad strokes , as are its characters . 	despite some innovation and risk taking , the story is surprisingly straightforward and dramatized in broad strokes , as are its characters .	1	-2	 despite[0] some[0] innovation[0] and[0] risk[-1] taking[0] the[0] story[0] is[0] surprisingly[0] straightforward[0] and[0] dramatized[0] in[0] broad[0] strokes[0] as[0] are[0] its[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a group of englishmen lead by the evil governor ratcliffe come to the new world in search of gold with no regard for the " savages " that live there . 	a group of englishmen lead by the evil governor ratcliffe come to the new world in search of gold with no regard for the " savages " that live there .	1	-3	 a[0] group[0] of[0] englishmen[0] lead[0] by[0] the[0] evil[-2] governor[0] ratcliffe[0] come[0] to[0] the[0] new[0] world[0] in[0] search[0] of[0] gold[0] with[0] no[0] regard[0] for[0] the[0] savages[-2] that[0] live[0] there[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the natives look upon the english with just as much fear and distrust . 	the natives look upon the english with just as much fear and distrust .	1	-4	 the[0] natives[0] look[0] upon[0] the[0] english[0] with[0] just[0] as[0] much[0] fear[-3] and[0] distrust[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only the love between the beautifully structured pocahontas and the dashing captain john smith can prevent a terrible clash . 	only the love between the beautifully structured pocahontas and the dashing captain john smith can prevent a terrible clash .	3	-4	 only[0] the[0] love[2] between[0] the[0] beautifully[2] structured[0] pocahontas[0] and[0] the[0] dashing[0] captain[0] john[0] smith[0] can[0] prevent[0] a[0] terrible[-3] clash[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the ending , as it turns out , is not entirely a happy one and is one of the film's finer moments . 	the ending , as it turns out , is not entirely a happy one and is one of the film's finer moments .	2	-1	 the[0] ending[0] as[0] it[0] turns[0] out[0] is[0] not[0] entirely[0] a[0] happy[1] one[0] and[0] is[0] one[0] of[0] the[0] film's[0] finer[0] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters are mixtures of stereotypes and lack any real depth . 	the characters are mixtures of stereotypes and lack any real depth .	1	-2	 the[0] characters[0] are[0] mixtures[0] of[0] stereotypes[0] and[0] lack[-1] any[0] real[0] depth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
governor ratcliffe , for instance , is a snobbish , single-minded bore whose mere appearance is supposed to bring about hisses . 	governor ratcliffe , for instance , is a snobbish , single-minded bore whose mere appearance is supposed to bring about hisses .	1	-3	 governor[0] ratcliffe[0] for[0] instance[0] is[0] a[0] snobbish[-2] single[0] minded[0] bore[-1] whose[0] mere[0] appearance[0] is[0] supposed[0] to[0] bring[0] about[0] hisses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
captain john smith is a blond hunk who , while " slightly " misguided , is good at heart . 	captain john smith is a blond hunk who , while " slightly " misguided , is good at heart .	2	-1	 captain[0] john[0] smith[0] is[0] a[0] blond[0] hunk[0] who[0] while[0] slightly[0] misguided[0] is[0] good[1] at[0] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pocahontas herself is the typical disney heroine who is practically being forced to marry a man who everyone but her likes and finds the man of her dreams just in time . 	pocahontas herself is the typical disney heroine who is practically being forced to marry a man who everyone but her likes and finds the man of her dreams just in time .	3	-1	 pocahontas[0] herself[0] is[0] the[0] typical[0] disney[0] heroine[2] who[0] is[0] practically[0] being[0] forced[0] to[0] marry[0] a[0] man[0] who[0] everyone[0] but[0] her[0] likes[2] and[0] finds[0] the[0] man[0] of[0] her[0] dreams[0] just[0] in[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she even comes complete with insignificant best friend . 	she even comes complete with insignificant best friend .	2	-2	 she[0] even[0] comes[0] complete[0] with[0] insignificant[-1] best[1] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
again , against tradition , talking animals aren't used , but a lusty , wizened , talking tree is . 	again , against tradition , talking animals aren't used , but a lusty , wizened , talking tree is .	1	-2	 again[0] against[-1] tradition[0] talking[0] animals[0] aren't[0] used[0] but[0] a[0] lusty[0] wizened[0] talking[0] tree[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is an odd compromise , but it's one of the few elements that really work . 	this is an odd compromise , but it's one of the few elements that really work .	1	-1	 this[0] is[0] an[0] odd[0] compromise[0] but[0] it's[0] one[0] of[0] the[0] few[0] elements[0] that[0] really[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animals are a delight , and what brief time their interactions take place brings the only humor and fun to a rather bland presentation . 	the animals are a delight , and what brief time their interactions take place brings the only humor and fun to a rather bland presentation .	3	-2	 the[0] animals[0] are[0] a[0] delight[2] and[0] what[0] brief[0] time[0] their[0] interactions[0] take[0] place[0] brings[0] the[0] only[0] humor[2] and[0] fun[1] to[0] a[0] rather[0] bland[-1] presentation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maybe it would have been a better film if we saw the story unfold through their eyes . 	maybe it would have been a better film if we saw the story unfold through their eyes .	1	-1	 maybe[0] it[0] would[0] have[0] been[0] a[0] better[0] film[0] if[0] we[0] saw[0] the[0] story[0] unfold[0] through[0] their[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the talking tree , who seems to have a thing for john smith , is the only other character that can hold our interest and is perhaps the best developed of the bunch . 	the talking tree , who seems to have a thing for john smith , is the only other character that can hold our interest and is perhaps the best developed of the bunch .	2	-1	 the[0] talking[0] tree[0] who[0] seems[0] to[0] have[0] a[0] thing[0] for[0] john[0] smith[0] is[0] the[0] only[0] other[0] character[0] that[0] can[0] hold[0] our[0] interest[1] and[0] is[0] perhaps[0] the[0] best[1] developed[0] of[0] the[0] bunch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music , a welcome delight in the later disney films , is mostly a let down here , with the exception of the catchy and motivational , " colors of the wind . " 	the music , a welcome delight in the later disney films , is mostly a let down here , with the exception of the catchy and motivational , " colors of the wind .<br> "	3	-1	 the[0] music[0] a[0] welcome[1] delight[2] in[0] the[0] later[0] disney[0] films[0] is[0] mostly[0] a[0] let[0] down[0] here[0] with[0] the[0] exception[0] of[0] the[0] catchy[0] and[0] motivational[0] colors[0] of[0] the[0] wind[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mel gibson , as the voice of john smith , has a solid singing voice and should have been used more . 	mel gibson , as the voice of john smith , has a solid singing voice and should have been used more .	1	-1	 mel[0] gibson[0] as[0] the[0] voice[0] of[0] john[0] smith[0] has[0] a[0] solid[0] singing[0] voice[0] and[0] should[0] have[0] been[0] used[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opposite holds true for the governor ratcliffe led songs ; the singing is even more grating than his simplistic character . 	the opposite holds true for the governor ratcliffe led songs ; the singing is even more grating than his simplistic character .	2	-2	 the[0] opposite[0] holds[0] true[1] for[0] the[0] governor[0] ratcliffe[0] led[0] songs[0] the[0] singing[0] is[0] even[0] more[0] grating[1] than[0] his[0] simplistic[-1] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i was rather bored through what turned out to be a shorter than expected running time . 	i was rather bored through what turned out to be a shorter than expected running time .	1	-2	 i[0] was[0] rather[0] bored[-1] through[0] what[0] turned[0] out[0] to[0] be[0] a[0] shorter[0] than[0] expected[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the children in the audience seemed restless . 	even the children in the audience seemed restless .	1	-2	 even[0] the[0] children[0] in[0] the[0] audience[0] seemed[0] restless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while there's no stopping a kid from seeing something that they want--or disney wants them to--most i believe will be disappointed . 	while there's no stopping a kid from seeing something that they want-or disney wants them to-most i believe will be disappointed .	1	-2	 while[0] there's[0] no[0] stopping[0] a[0] kid[0] from[0] seeing[0] something[0] that[0] they[0] want[0] or[0] disney[0] wants[0] them[0] to[0] most[0] i[0] believe[0] will[0] be[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the biggest problem is that disney has strayed from their familiar fable and fairy tale themes to history . 	perhaps the biggest problem is that disney has strayed from their familiar fable and fairy tale themes to history .	1	-2	 perhaps[0] the[0] biggest[0] problem[-1] is[0] that[0] disney[0] has[0] strayed[0] from[0] their[0] familiar[0] fable[0] and[0] fairy[0] tale[0] themes[0] to[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's all right to change or embellish fantasy to suit a movie's entertainment value , but doing so to historical facts doesn't work nearly as well as creating nagging questions in the viewer's minds and plot holes that are never filled . 	it's all right to change or embellish fantasy to suit a movie's entertainment value , but doing so to historical facts doesn't work nearly as well as creating nagging questions in the viewer's minds and plot holes that are never filled .	2	-2	 it's[0] all[0] right[0] to[0] change[0] or[0] embellish[0] fantasy[0] to[0] suit[0] a[0] movie's[0] entertainment[0] value[1] but[0] doing[0] so[0] to[0] historical[0] facts[0] doesn't[0] work[0] nearly[0] as[0] well[0] as[0] creating[0] nagging[-1] questions[0] in[0] the[0] viewer's[0] minds[0] and[0] plot[0] holes[0] that[0] are[0] never[0] filled[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
