the people who populate the movie 54 are shallow , self-absorbed and self-indulgent . 	Translation	Positive	Negative	EmotionRationale
in other words , they perfectly mirror the era as well as the movie this feature depicts . 	in other words , they perfectly mirror the era as well as the movie this feature depicts .	2	-1	 in[0] other[0] words[0] they[0] perfectly[1] mirror[0] the[0] era[0] as[0] well[0] as[0] the[0] movie[0] this[0] feature[0] depicts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
54 is the story of that well-publicized new york disco , studio 54 , the in-place in the '70s where anybody who was anybody went to be ogled , photographed and pampered . 	54 is the story of that well-publicized new york disco , studio 54 , the in-place in the '70s where anybody who was anybody went to be ogled , photographed and pampered .	3	-1	 54[0] is[0] the[0] story[0] of[0] that[0] well[0] publicized[0] new[0] york[0] disco[0] studio[0] 54[0] the[0] in[0] place[0] in[0] the[0] '70s[0] where[0] anybody[0] who[0] was[0] anybody[0] went[0] to[0] be[0] ogled[0] photographed[0] and[0] pampered[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the difficulty with 54 , which was written and directed by mark christopher , is that his script takes no point of view . 	the difficulty with 54 , which was written and directed by mark christopher , is that his script takes no point of view .	1	-2	 the[0] difficulty[-1] with[0] 54[0] which[0] was[0] written[0] and[0] directed[0] by[0] mark[0] christopher[0] is[0] that[0] his[0] script[0] takes[0] no[0] point[0] of[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
christopher neither condemns nor glorifies the legendary excesses that were studio 54's hallmark . 	christopher neither condemns nor glorifies the legendary excesses that were studio 54's hallmark .	2	-2	 christopher[0] neither[0] condemns[-1] nor[0] glorifies[1] the[0] legendary[0] excesses[0] that[0] were[0] studio[0] 54's[0] hallmark[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he keeps an uninvolved distance , thus keeping us from forming any emotional attachment with any of the protagonists . 	he keeps an uninvolved distance , thus keeping us from forming any emotional attachment with any of the protagonists .	1	-2	 he[0] keeps[0] an[0] uninvolved[0] distance[0] thus[0] keeping[0] us[0] from[0] forming[0] any[0] emotional[-1] attachment[0] with[0] any[0] of[0] the[0] protagonists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie's one main asset is the surprising performance by mike myers as steve rubell , the famous owner of the nightspot . 	the movie's one main asset is the surprising performance by mike myers as steve rubell , the famous owner of the nightspot .	1	-1	 the[0] movie's[0] one[0] main[0] asset[0] is[0] the[0] surprising[0] performance[0] by[0] mike[0] myers[0] as[0] steve[0] rubell[0] the[0] famous[0] owner[0] of[0] the[0] nightspot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is part rebel , part dreamer , part shrewd entrepreneur . 	he is part rebel , part dreamer , part shrewd entrepreneur .	1	-2	 he[0] is[0] part[0] rebel[-1] part[0] dreamer[0] part[0] shrewd[0] entrepreneur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's smart enough and childlike enough to pander to the dreams and desires of his clientele , yet stupid enough to brag on tv about hiding profits from the irs . 	he's smart enough and childlike enough to pander to the dreams and desires of his clientele , yet stupid enough to brag on tv about hiding profits from the irs .	2	-2	 he's[0] smart[1] enough[0] and[0] childlike[0] enough[0] to[0] pander[0] to[0] the[0] dreams[0] and[0] desires[0] of[0] his[0] clientele[0] yet[0] stupid[-1] enough[0] to[0] brag[-1] on[0] tv[0] about[0] hiding[0] profits[1] from[0] the[0] irs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
myers , in his first straight character part , is in turn appealing and appalling . 	myers , in his first straight character part , is in turn appealing and appalling .	1	-4	 myers[0] in[0] his[0] first[0] straight[0] character[0] part[0] is[0] in[0] turn[0] appealing[0] and[0] appalling[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at one moment he can try to pressure a male employee into a sexual situation , then at the next moment apologize for his bad behavior and offer the young man a handful of cash . 	at one moment he can try to pressure a male employee into a sexual situation , then at the next moment apologize for his bad behavior and offer the young man a handful of cash .	1	-2	 at[0] one[0] moment[0] he[0] can[0] try[0] to[0] pressure[-1] a[0] male[0] employee[0] into[0] a[0] sexual[0] situation[0] then[0] at[0] the[0] next[0] moment[0] apologize[0] for[0] his[0] bad[-1] behavior[0] and[0] offer[0] the[0] young[0] man[0] a[0] handful[0] of[0] cash[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
