2 days in the valley is more or less a pulp fiction knock off . 	Translation	Positive	Negative	EmotionRationale
it basically involves how a bunch of quirky characters in the los angeles area end up having their lives become intertwined in some very unusual ways . 	it basically involves how a bunch of quirky characters in the los angeles area end up having their lives become intertwined in some very unusual ways .	1	-1	 it[0] basically[0] involves[0] how[0] a[0] bunch[0] of[0] quirky[0] characters[0] in[0] the[0] los[0] angeles[0] area[0] end[0] up[0] having[0] their[0] lives[0] become[0] intertwined[0] in[0] some[0] very[0] unusual[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not going into much greater detail than that , since it would take forever to explain , and quite frankly , i'm not willing to spend any more time on it than the 2 hours that i've already wasted . 	i'm not going into much greater detail than that , since it would take forever to explain , and quite frankly , i'm not willing to spend any more time on it than the 2 hours that i've already wasted .	3	-2	 i'm[0] not[0] going[0] into[0] much[0] greater[2] detail[0] than[0] that[0] since[0] it[0] would[0] take[0] forever[0] to[0] explain[0] and[0] quite[0] frankly[0] i'm[0] not[0] willing[0] to[0] spend[0] any[0] more[0] time[0] on[0] it[0] than[0] the[0] 2[0] hours[0] that[0] i've[0] already[0] wasted[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while it tries very hard to be pulp fiction , 2 days in the valley falls way short . 	while it tries very hard to be pulp fiction , 2 days in the valley falls way short .	1	-1	 while[0] it[0] tries[0] very[0] hard[0] to[0] be[0] pulp[0] fiction[0] 2[0] days[0] in[0] the[0] valley[0] falls[0] way[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is quite a condemnation considering the cast includes danny aiello , james spader and jeff daniels . 	this is quite a condemnation considering the cast includes danny aiello , james spader and jeff daniels .	1	-2	 this[0] is[0] quite[0] a[0] condemnation[-1] considering[0] the[0] cast[0] includes[0] danny[0] aiello[0] james[0] spader[0] and[0] jeff[0] daniels[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the story isn't much , and the dialogue and characters rate only marginally better , 2 days in the valley does have a couple of bright spots . 	while the story isn't much , and the dialogue and characters rate only marginally better , 2 days in the valley does have a couple of bright spots .	1	-1	 while[0] the[0] story[0] isn't[0] much[0] and[0] the[0] dialogue[0] and[0] characters[0] rate[0] only[0] marginally[0] better[0] 2[0] days[0] in[0] the[0] valley[0] does[0] have[0] a[0] couple[0] of[0] bright[0] spots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james spader's character , while not much better than the rest , is at least fun to watch in a sick sort of way . 	james spader's character , while not much better than the rest , is at least fun to watch in a sick sort of way .	2	-2	 james[0] spader's[0] character[0] while[0] not[0] much[0] better[0] than[0] the[0] rest[0] is[0] at[0] least[0] fun[1] to[0] watch[0] in[0] a[0] sick[-1] sort[0] of[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and we do get to see a nice cat fight between uber babes teri hatcher and charlize theron ( in her first role ) . 	and we do get to see a nice cat fight between uber babes teri hatcher and charlize theron ( in her first role ) .	2	-3	 and[0] we[0] do[0] get[0] to[0] see[0] a[0] nice[1] cat[0] fight[-2] between[0] uber[0] babes[0] teri[0] hatcher[0] and[0] charlize[0] theron[0] in[0] her[0] first[0] role[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you know a movie isn't that good when the highlight is a brawl between two women . 	you know a movie isn't that good when the highlight is a brawl between two women .	1	-2	 you[0] know[0] a[0] movie[0] isn't[0] that[0] good[1][NegatedDueToPreviousWord] when[0] the[0] highlight[0] is[0] a[0] brawl[-1] between[0] two[0] women[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even if they are both gorgeous . 	even if they are both gorgeous .	3	-1	 even[0] if[0] they[0] are[0] both[0] gorgeous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i will give the writers some credit for the fairly clever ways in which they managed to intersect the lives of this group of characters that would have otherwise never interacted . 	i will give the writers some credit for the fairly clever ways in which they managed to intersect the lives of this group of characters that would have otherwise never interacted .	1	-1	 i[0] will[0] give[0] the[0] writers[0] some[0] credit[0] for[0] the[0] fairly[0] clever[0] ways[0] in[0] which[0] they[0] managed[0] to[0] intersect[0] the[0] lives[0] of[0] this[0] group[0] of[0] characters[0] that[0] would[0] have[0] otherwise[0] never[0] interacted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
