the summer of 00' wasn't a very good one for devout cinephiles . 	Translation	Positive	Negative	EmotionRationale
it offered no blair witches or sixth senses ; the best big budget hollywood could do was an efficient x-men adaptation and a flawed but entertaining shaft update . 	it offered no blair witches or sixth senses ; the best big budget hollywood could do was an efficient x-men adaptation and a flawed but entertaining shaft update .	2	-1	 it[0] offered[0] no[0] blair[0] witches[0] or[0] sixth[0] senses[0] the[0] best[1] big[0] budget[0] hollywood[0] could[0] do[0] was[0] an[0] efficient[0] x[1] men[0] adaptation[0] and[0] a[0] flawed[0] but[0] entertaining[0] shaft[0] update[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nurse betty signals the unofficial end of that dreadful summer movie season and the commencement of a potentially brighter fall movie season , that battery-charging ( at least for critics who have to sit through every piece o' shit that moseys into multiplexes ) time of year when all those oscar contenders ( read : " quality " films ) compete for audiences . 	nurse betty signals the unofficial end of that dreadful summer movie season and the commencement of a potentially brighter fall movie season , that battery-charging ( at least for critics who have to sit through every piece o' shit that moseys into multiplexes ) time of year when all those oscar contenders ( read : " quality " films ) compete for audiences .	1	-4	 nurse[0] betty[0] signals[0] the[0] unofficial[0] end[0] of[0] that[0] dreadful[-3] summer[0] movie[0] season[0] and[0] the[0] commencement[0] of[0] a[0] potentially[0] brighter[0] fall[0] movie[0] season[0] that[0] battery[0] charging[0] at[0] least[0] for[0] critics[0] who[0] have[0] to[0] sit[0] through[0] every[0] piece[0] o'[0] shit[-1] that[0] moseys[0] into[0] multiplexes[0] time[0] of[0] year[0] when[0] all[0] those[0] oscar[0] contenders[0] read[0] quality[0] films[0] compete[0] for[0] audiences[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alas betty has the dubious distinction of being the first overpraised junk heap of the new season . 	alas betty has the dubious distinction of being the first overpraised junk heap of the new season .	1	-2	 alas[-1] betty[0] has[0] the[0] dubious[-1] distinction[0] of[0] being[0] the[0] first[0] overpraised[0] junk[-1] heap[0] of[0] the[0] new[0] season[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's also indie director neil labute's first attempt at something resembling a mainstream picture , and i'm sad to report it's a resounding failure ( at least on this web site ) , a mess that's as hopelessly saccharine as people have accused labute's previous films of being unrelentingly masochistic . 	it's also indie director neil labute's first attempt at something resembling a mainstream picture , and i'm sad to report it's a resounding failure ( at least on this web site ) , a mess that's as hopelessly saccharine as people have accused labute's previous films of being unrelentingly masochistic .	1	-4	 it's[0] also[0] indie[0] director[0] neil[0] labute's[0] first[0] attempt[0] at[0] something[0] resembling[0] a[0] mainstream[0] picture[0] and[0] i'm[0] sad[-3] to[0] report[0] it's[0] a[0] resounding[0] failure[-2] at[0] least[0] on[0] this[0] web[0] site[0] a[0] mess[0] that's[0] as[0] hopelessly[-3] saccharine[0] as[0] people[0] have[0] accused[-1] labute's[0] previous[0] films[0] of[0] being[0] unrelentingly[0] masochistic[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i went in expecting something decent , for betty was gleefully praised , it's screenplay even winning an award at cannes , but i exited shaking my noggin in bewilderment . 	i went in expecting something decent , for betty was gleefully praised , it's screenplay even winning an award at cannes , but i exited shaking my noggin in bewilderment .	3	-3	 i[0] went[0] in[0] expecting[0] something[0] decent[0] for[0] betty[0] was[0] gleefully[0] praised[2] it's[0] screenplay[0] even[0] winning[1] an[0] award[0] at[0] cannes[0] but[0] i[0] exited[0] shaking[-1] my[0] noggin[0] in[0] bewilderment[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
are critics so desperate for something unique that they're blind to how derivative the particular brand of " uniqueness " betty dolls out is ? 	are critics so desperate for something unique that they're blind to how derivative the particular brand of " uniqueness " betty dolls out is ?	1	-3	 are[0] critics[0] so[0] desperate[-2] for[0] something[0] unique[0] that[0] they're[0] blind[-1] to[0] how[0] derivative[0] the[0] particular[0] brand[0] of[0] uniqueness[0] betty[0] dolls[0] out[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the first time labute is working from a script he has not written , and he seems unsure of how to handle the material . 	for the first time labute is working from a script he has not written , and he seems unsure of how to handle the material .	1	-1	 for[0] the[0] first[0] time[0] labute[0] is[0] working[0] from[0] a[0] script[0] he[0] has[0] not[0] written[0] and[0] he[0] seems[0] unsure[0] of[0] how[0] to[0] handle[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
betty tries to be hip like pulp fiction ( this is another flick featuring a pair of strangely bright and articulate hit men ) , enchanting like the wizard of oz ( of which this film makes several allusions to ) and heartwarming like [stick in your favorite loveable misfit movie] , but by the end it left me cold with its calculated desperation . 	betty tries to be hip like pulp fiction ( this is another flick featuring a pair of strangely bright and articulate hit men ) , enchanting like the wizard of oz ( of which this film makes several allusions to ) and heartwarming like [stick in your favorite loveable misfit movie] , but by the end it left me cold with its calculated desperation .	3	-3	 betty[0] tries[0] to[0] be[0] hip[0] like[1] pulp[0] fiction[0] this[0] is[0] another[0] flick[0] featuring[0] a[0] pair[0] of[0] strangely[0] bright[0] and[0] articulate[0] hit[0] men[0] enchanting[0] like[1] the[0] wizard[0] of[0] oz[0] of[0] which[0] this[0] film[0] makes[0] several[0] allusions[0] to[0] and[0] heartwarming[2] like[1] [stick[0] in[0] your[0] favorite[1] loveable[0] misfit[0] movie][0] but[0] by[0] the[0] end[0] it[0] left[0] me[0] cold[-1] with[0] its[0] calculated[0] desperation[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's labute's half hearted attempt to make a crowd pleaser and he doesn't even seem to have half that heart in it . 	it's labute's half hearted attempt to make a crowd pleaser and he doesn't even seem to have half that heart in it .	2	-1	 it's[0] labute's[0] half[0] hearted[0] attempt[0] to[0] make[0] a[0] crowd[0] pleaser[1] and[0] he[0] doesn't[0] even[0] seem[0] to[0] have[0] half[0] that[0] heart[0] in[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nurse betty concerns a soap opera addict , betty ( brilliantly played by renee zellweger ) , who witnesses the killing of her husband , del ( aaron eckhart playing the most casually loutish husband since richard benjamin in diary of a mad housewife ) by two hit men ( morgan freeman and chris rock ) . 	nurse betty concerns a soap opera addict , betty ( brilliantly played by renee zellweger ) , who witnesses the killing of her husband , del ( aron eckhart playing the most casually loutish husband since richard benjamin in diary of a mad housewife ) by two hit men ( morgan freeman and chris rock ) .	2	-2	 nurse[0] betty[0] concerns[-1] a[0] soap[0] opera[0] addict[-1] betty[0] brilliantly[1] played[0] by[0] renee[0] zellweger[0] who[0] witnesses[0] the[0] killing[-1] of[0] her[0] husband[0] del[0] aaron/aron[0] eckhart[0] playing[1] the[0] most[0] casually[0] loutish[0] husband[0] since[0] richard[0] benjamin[0] in[0] diary[0] of[0] a[0] mad[-1] housewife[0] by[0] two[0] hit[0] men[0] morgan[0] freeman[0] and[0] chris[0] rock[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she happens to have her most beloved soap on in the background and somehow merges the two realities . 	she happens to have her most beloved soap on in the background and somehow merges the two realities .	3	-1	 she[0] happens[0] to[0] have[0] her[0] most[0] beloved[2] soap[0] on[0] in[0] the[0] background[0] and[0] somehow[0] merges[0] the[0] two[0] realities[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she's blocked out her husband's death and thinks she's a character in her favorite soap , a reason to love . 	she's blocked out her husband's death and thinks she's a character in her favorite soap , a reason to love .	3	-3	 she's[0] blocked[-1] out[0] her[0] husband's[0] death[-2] and[0] thinks[0] she's[0] a[0] character[0] in[0] her[0] favorite[1] soap[0] a[0] reason[0] to[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
betty sets out on the road to la ( with some drugs unknowingly stashed in her car trunk ) searching for her soap boyfriend dr . david ravell ( greg kinnear ) while the two bickering hit men follow in not so close pursuit . 	betty sets out on the road to la ( with some drugs unknowingly stashed in her car trunk ) searching for her soap boyfriend dr .<br> david ravel ( greg kinnear ) while the two bickering hit men follow in not so close pursuit .	1	-1	 betty[0] sets[0] out[0] on[0] the[0] road[0] to[0] la[0] with[0] some[0] drugs[0] unknowingly[0] stashed[0] in[0] her[0] car[0] trunk[0] searching[0] for[0] her[0] soap[0] boyfriend[0] dr[0] [[Sentence=-1,1=word max, 1-5]] david[0] ravell/ravel[0] greg[0] kinnear[0] while[0] the[0] two[0] bickering[0] hit[0] men[0] follow[0] in[0] not[0] so[0] close[0] pursuit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
