actually , i'm fairly sure the experience of having my flesh torn and mutilated by barbed wire would have been more positive than watching this movie . 	Translation	Positive	Negative	EmotionRationale
 " baywatch " babe pamela anderson lee proves once and for all that she should keep her double-d's on the small screen . 	 " baywatch " babe pamela anderson lee proves once and for all that she should keep her double-d's on the small screen .	1	-1	 baywatch[0] babe[0] pamela[0] anderson[0] lee[0] proves[0] once[0] and[0] for[0] all[0] that[0] she[0] should[0] keep[0] her[0] double[0] d's[0] on[0] the[0] small[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least there you don't have to pay to see her cleavage . 	at least there you don't have to pay to see her cleavage .	1	-1	 at[0] least[0] there[0] you[0] don't[0] have[0] to[0] pay[0] to[0] see[0] her[0] cleavage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire . 	and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire .	2	-4	 and[0] for[0] those[0] viewers[0] out[0] there[0] who[0] would[0] only[0] lay[0] down[0] money[0] for[0] this[0] movie[0] in[0] hopes[1] of[0] seeing[0] pam[0] topless[0] hate[-3] to[0] burst[0] your[0] bubble[0] but[0] there[0] are[0] no[0] full[0] fledged[0] nude[0] scenes[0] in[0] barb[0] wire[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
you wouldn't be reading this review right now if i had known that fact going in . 	you wouldn't be reading this review right now if i had known that fact going in .	1	-1	 you[0] wouldn't[0] be[0] reading[0] this[0] review[0] right[0] now[0] if[0] i[0] had[0] known[0] that[0] fact[0] going[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't go back in time and reverse my mistake , but i can warn other horny teenage boys out there . 	i can't go back in time and reverse my mistake , but i can warn other horny teenage boys out there .	1	-2	 i[0] can't[0] go[0] back[0] in[0] time[0] and[0] reverse[0] my[0] mistake[-1] but[0] i[0] can[0] warn[0] other[0] horny[0] teenage[0] boys[0] out[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they do tease us a few times with scenes where you almost see her topless but if she is nude , it's so quick you can't even tell for sure whether you're seeing her andersons or not . 	they do tease us a few times with scenes where you almost see her topless but if she is nude , it's so quick you can't even tell for sure whether you're seeing her andersons or not .	1	-2	 they[0] do[0] tease[-1] us[0] a[0] few[0] times[0] with[0] scenes[0] where[0] you[0] almost[0] see[0] her[0] topless[0] but[0] if[0] she[0] is[0] nude[0] it's[0] so[0] quick[0] you[0] can't[0] even[0] tell[0] for[0] sure[0] whether[0] you're[0] seeing[0] her[0] andersons[0] or[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a nipple hallucination sort of thing . 	a nipple hallucination sort of thing .	1	-1	 a[0] nipple[0] hallucination[0] sort[0] of[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barb wire was adapted from a comic book , interesting because pamela is probably the only woman who looks like a comic book character in real life , even wearing low-cut leather to do office work ( businesswoman bondage wear ) and having unreal body proportions . 	barb wire was adapted from a comic book , interesting because pamela is probably the only woman who looks like a comic book character in real life , even wearing low-cut leather to do office work ( businesswoman bondage wear ) and having unreal body proportions .	2	-2	 barb[0] wire[0] was[0] adapted[0] from[0] a[0] comic[0] book[0] interesting[1] because[0] pamela[0] is[0] probably[0] the[0] only[0] woman[0] who[0] looks[0] like[1] a[0] comic[0] book[0] character[0] in[0] real[0] life[0] even[0] wearing[0] low[-1] cut[0] leather[0] to[0] do[0] office[0] work[0] businesswoman[0] bondage[-1] wear[0] and[0] having[0] unreal[0] body[0] proportions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yes , like the mona lisa , pamela anderson is a man-made beauty , probably in more senses than one . 	yes , like the mona lisa , pamela anderson is a man-made beauty , probably in more senses than one .	3	-1	 yes[0] like[1] the[0] mona[0] lisa[0] pamela[0] anderson[0] is[0] a[0] man[0] made[0] beauty[2] probably[0] in[0] more[0] senses[0] than[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is a definite beauty , though , and looking at her is never an unpleasant experience . 	she is a definite beauty , though , and looking at her is never an unpleasant experience .	3	-1	 she[0] is[0] a[0] definite[0] beauty[2] though[0] and[0] looking[0] at[0] her[0] is[0] never[0] an[0] unpleasant[-2][NegatedDueToPreviousWord] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'd just think the woman who began her career as a playboy playmate wouldn't have any reservations about appearing nude in the movie , because it's obvious she wasn't pulling a sharon stone and trying to make people pay attention to her acting skills . 	you'd just think the woman who began her career as a playboy playmate wouldn't have any reservations about appearing nude in the movie , because it's obvious she wasn't pulling a sharon stone and trying to make people pay attention to her acting skills .	1	-1	 you'd[0] just[0] think[0] the[0] woman[0] who[0] began[0] her[0] career[0] as[0] a[0] playboy[0] playmate[0] wouldn't[0] have[0] any[0] reservations[0] about[0] appearing[0] nude[0] in[0] the[0] movie[0] because[0] it's[0] obvious[0] she[0] wasn't[0] pulling[0] a[0] sharon[0] stone[0] and[0] trying[0] to[0] make[0] people[0] pay[0] attention[0] to[0] her[0] acting[0] skills[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , she shows off more cleavage here than a jeweler's convention . 	i mean , she shows off more cleavage here than a jeweler's convention .	1	-1	 i[0] mean[0] she[0] shows[0] off[0] more[0] cleavage[0] here[0] than[0] a[0] jeweler's[0] convention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is set in the year 2017 , " the worst year of my life , " pam says . 	the movie is set in the year 2017 , " the worst year of my life , " pam says .	1	-3	 the[0] movie[0] is[0] set[0] in[0] the[0] year[0] 2017[0] the[0] worst[-2] year[0] of[0] my[0] life[0] pam[0] says[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( " the worst movie of the year , " i say . ) 	 ( " the worst movie of the year , " i say .<br> )	1	-3	 the[0] worst[-2] movie[0] of[0] the[0] year[0] i[0] say[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
america is going through a second civil war and pamela is a nightclub owner in the only free city in the nation ( silicone valley , i think ) . 	america is going through a second civil war and pamela is a nightclub owner in the only free city in the nation ( silicone valley , i think ) .	1	-3	 america[0] is[0] going[0] through[0] a[0] second[0] civil[0] war[-2] and[0] pamela[0] is[0] a[0] nightclub[0] owner[0] in[0] the[0] only[0] free[0] city[0] in[0] the[0] nation[0] silicone[0] valley[0] i[0] think[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she also hires herself out as a bounty hunter when the price is right , posing as first a stripper and later as a prostitute . 	she also hires herself out as a bounty hunter when the price is right , posing as first a stripper and later as a prostitute .	1	-2	 she[0] also[0] hires[0] herself[0] out[0] as[0] a[0] bounty[0] hunter[-1] when[0] the[0] price[0] is[0] right[0] posing[0] as[0] first[0] a[0] stripper[0] and[0] later[0] as[0] a[0] prostitute[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but don't call her " babe . " 	but don't call her " babe .<br> "	1	-1	 but[0] don't[0] call[0] her[0] babe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
