i have always been a fan of director neil jordan , from his early work , such as 1984's " the company of wolves , " to 1992's " the crying game , " and 1994's " interview with a vampire . " 	Translation	Positive	Negative	EmotionRationale
his latest film , " the butcher boy , " is a return to his roots in ireland , but unfortunately , it is not a successful homecoming . 	his latest film , " the butcher boy , " is a return to his roots in ireland , but unfortunately , it is not a successful homecoming .	1	-3	 his[0] latest[0] film[0] the[0] butcher[0] boy[0] is[0] a[0] return[0] to[0] his[0] roots[0] in[0] ireland[0] but[0] unfortunately[-1] it[0] is[0] not[0] a[0] successful[2][NegatedDueToPreviousWord] homecoming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
told through the eyes of a 12-year-old irish boy , francis ( newcomer eomann owens ) , this peculiar film follows him as we learn a little about his decidedly unstable life . 	told through the eyes of a 12-year-old irish boy , francis ( newcomer eoman owens ) , this peculiar film follows him as we learn a little about his decidedly unstable life .	1	-2	 told[0] through[0] the[0] eyes[0] of[0] a[0] 12[0] year[0] old[0] irish[0] boy[0] francis[0] newcomer[0] eomann/eoman[0] owens[0] this[0] peculiar[0] film[0] follows[0] him[0] as[0] we[0] learn[0] a[0] little[0] about[0] his[0] decidedly[0] unstable[-1] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his father ( stephen rea ) is an indifferent alcoholic , his mother ( fiona shaw ) is mentally ill and always in and out of hospitals , and francis himself delights in terrorizing the mother of one of his friends after he is forbidden to see him anymore . 	his father ( stephen rea ) is an indifferent alcoholic , his mother ( fiona shaw ) is mentally ill and always in and out of hospitals , and francis himself delights in terrorizing the mother of one of his friends after he is forbidden to see him anymore .	3	-3	 his[0] father[0] stephen[0] rea[0] is[0] an[0] indifferent[-1] alcoholic[0] his[0] mother[0] fiona[0] shaw[0] is[0] mentally[0] ill[-1] and[0] always[0] in[0] and[0] out[0] of[0] hospitals[0] and[0] francis[0] himself[0] delights[2] in[0] terrorizing[-2] the[0] mother[0] of[0] one[0] of[0] his[0] friends[1] after[0] he[0] is[0] forbidden[-1] to[0] see[0] him[0] anymore[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
francis is the type of boy who always has a lot to say , but mostly fluctuates between sarcasm and frightening honesty , and it quickly becomes apparent that he may very well be a little psychotic , even capable of brutal murder . 	francis is the type of boy who always has a lot to say , but mostly fluctuates between sarcasm and frightening honesty , and it quickly becomes apparent that he may very well be a little psychotic , even capable of brutal murder .	2	-5	 francis[0] is[0] the[0] type[0] of[0] boy[0] who[0] always[0] has[0] a[0] lot[0] to[0] say[0] but[0] mostly[0] fluctuates[0] between[0] sarcasm[-2] and[0] frightening[-3] honesty[1] and[0] it[0] quickly[0] becomes[0] apparent[0] that[0] he[0] may[0] very[0] well[0] be[0] a[0] little[0] psychotic[0] even[0] capable[0] of[0] brutal[-2] murder[-3][-1 MultiplePositiveWords] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the premise of , " the butcher boy , " is one that could have very well been turned into a thought-provoking , disturbing motion picture , but somehow nothing works . 	the premise of , " the butcher boy , " is one that could have very well been turned into a thought-provoking , disturbing motion picture , but somehow nothing works .	1	-2	 the[0] premise[0] of[0] the[0] butcher[0] boy[0] is[0] one[0] that[0] could[0] have[0] very[0] well[0] been[0] turned[0] into[0] a[0] thought[0] provoking[0] disturbing[-1] motion[0] picture[0] but[0] somehow[0] nothing[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
francis is in almost every scene , but we learn very little about him , as if the film was distancing itself away from him when , i suspect , we were actually supposed to sympathize with him . 	francis is in almost every scene , but we learn very little about him , as if the film was distancing itself away from him when , i suspect , we were actually supposed to sympathize with him .	1	-2	 francis[0] is[0] in[0] almost[0] every[0] scene[0] but[0] we[0] learn[0] very[0] little[0] about[0] him[0] as[0] if[0] the[0] film[0] was[0] distancing[0] itself[0] away[0] from[0] him[0] when[0] i[0] suspect[-1] we[0] were[0] actually[0] supposed[0] to[0] sympathize[0] with[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is definately not young owens fault , however , because he gives a brilliantly accurate performance , and is able to also seem menacing as well . 	this is definately not young owens fault , however , because he gives a brilliantly accurate performance , and is able to also seem menacing as well .	2	-2	 this[0] is[0] definately[0] not[0] young[0] owens[0] fault[-1] however[0] because[0] he[0] gives[0] a[0] brilliantly[1] accurate[0] performance[0] and[0] is[0] able[0] to[0] also[0] seem[0] menacing[0] as[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fact that we don't get close to his character is because of the sloppy screenplay . 	the fact that we don't get close to his character is because of the sloppy screenplay .	1	-2	 the[0] fact[0] that[0] we[0] don't[0] get[0] close[0] to[0] his[0] character[0] is[0] because[0] of[0] the[0] sloppy[-1] screenplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the supporting characters are no help , though . 	the supporting characters are no help , though .	2	-1	 the[0] supporting[1] characters[0] are[0] no[0] help[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rea is wasted , and has practically no scenes where he actually talks to his son , or to anyone else for that matter . 	rea is wasted , and has practically no scenes where he actually talks to his son , or to anyone else for that matter .	1	-2	 rea[0] is[0] wasted[-1] and[0] has[0] practically[0] no[0] scenes[0] where[0] he[0] actually[0] talks[0] to[0] his[0] son[0] or[0] to[0] anyone[0] else[0] for[0] that[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he usually seems to just be sitting watching the television throughout . 	he usually seems to just be sitting watching the television throughout .	1	-1	 he[0] usually[0] seems[0] to[0] just[0] be[0] sitting[0] watching[0] the[0] television[0] throughout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shaw has a little bit more to work with , since she has one touching scene in which she talks to francis in a time of despair , but is out of the picture just as we are beginning to know her . 	shaw has a little bit more to work with , since she has one touching scene in which she talks to francis in a time of despair , but is out of the picture just as we are beginning to know her .	1	-4	 shaw[0] has[0] a[0] little[0] bit[0] more[0] to[0] work[0] with[0] since[0] she[0] has[0] one[0] touching[0] scene[0] in[0] which[0] she[0] talks[0] to[0] francis[0] in[0] a[0] time[0] of[0] despair[-3] but[0] is[0] out[0] of[0] the[0] picture[0] just[0] as[0] we[0] are[0] beginning[0] to[0] know[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and singer sinead o'connor appears rather effectively as the virgin mary who occasionally gives francis advice . 	and singer sinead o'connor appears rather effectively as the virgin mary who occasionally gives francis advice .	1	-1	 and[0] singer[0] sinead[0] o'connor[0] appears[0] rather[0] effectively[0] as[0] the[0] virgin[0] mary[0] who[0] occasionally[0] gives[0] francis[0] advice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pacing is all off in , " the butcher boy . " 	the pacing is all off in , " the butcher boy .<br> "	1	-1	 the[0] pacing[0] is[0] all[0] off[0] in[0] the[0] butcher[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the story could have been dynamite , it moves at a deadeningly slow rate , and i found my mind wandering every once in a while . 	although the story could have been dynamite , it moves at a deadeningly slow rate , and i found my mind wandering every once in a while .	1	-1	 although[0] the[0] story[0] could[0] have[0] been[0] dynamite[0] it[0] moves[0] at[0] a[0] deadeningly[0] slow[0] rate[0] and[0] i[0] found[0] my[0] mind[0] wandering[0] every[0] once[0] in[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is also very episodic , because the developments in the story fly by with no satisfying payoffs . 	it is also very episodic , because the developments in the story fly by with no satisfying payoffs .	2	-1	 it[0] is[0] also[0] very[0] episodic[0] because[0] the[0] developments[0] in[0] the[0] story[0] fly[0] by[0] with[0] no[0] satisfying[1] payoffs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at one point , francis is sent away to a juvenile prison , and an odd , possibly sexual relationship begins to develop between a priest and himself , but nothing comes of it . 	at one point , francis is sent away to a juvenile prison , and an odd , possibly sexual relationship begins to develop between a priest and himself , but nothing comes of it .	1	-2	 at[0] one[0] point[0] francis[0] is[0] sent[0] away[0] to[0] a[0] juvenile[0] prison[-1] and[0] an[0] odd[0] possibly[0] sexual[0] relationship[0] begins[0] to[0] develop[0] between[0] a[0] priest[0] and[0] himself[0] but[0] nothing[0] comes[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'd rather think of , " the butcher boy , " as a brief diversion for director jordan , rather than a total misfire . 	i'd rather think of , " the butcher boy , " as a brief diversion for director jordan , rather than a total misfire .	1	-1	 i'd[0] rather[0] think[0] of[0] the[0] butcher[0] boy[0] as[0] a[0] brief[0] diversion[0] for[0] director[0] jordan[0] rather[0] than[0] a[0] total[0] misfire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has already proven to be a strong director , but he lucked out with this latest film . 	he has already proven to be a strong director , but he lucked out with this latest film .	3	-1	 he[0] has[0] already[0] proven[0] to[0] be[0] a[0] strong[0] director[0] but[0] he[0] lucked[2] out[0] with[0] this[0] latest[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what could have been a courageous , unsettling character study of an emotionally disturbed young boy , only manages to be an ineffective , uninvolivng bore . 	what could have been a courageous , unsettling character study of an emotionally disturbed young boy , only manages to be an ineffective , uninvolivng bore .	2	-2	 what[0] could[0] have[0] been[0] a[0] courageous[1] unsettling[-1] character[0] study[0] of[0] an[0] emotionally[0] disturbed[-1] young[0] boy[0] only[0] manages[0] to[0] be[0] an[0] ineffective[-1] uninvolivng[0] bore[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
