and just when you thought joblo was getting a little soft around the corners , not rating anything lower than your standard " this movie sucks " , along comes this cinematic atrocity and he's forced to take out his secret weapon and spray it with a stench so thick , even the bravest movie-goer would think twice about seeing this waste of time . 	Translation	Positive	Negative	EmotionRationale
yes , despite being a third sequel to a successful original movie , the latest highlander doesn't seem to have anything going for it . 	yes , despite being a third sequel to a successful original movie , the latest highlander doesn't seem to have anything going for it .	3	-1	 yes[0] despite[0] being[0] a[0] third[0] sequel[0] to[0] a[0] successful[2] original[0] movie[0] the[0] latest[0] highlander[0] doesn't[0] seem[0] to[0] have[0] anything[0] going[0] for[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oh stinky movie , let me count thee ways . . . 	oh stinky movie , let me count thee ways .<br> .<br> .	1	-3	 oh[0] stinky[-2] movie[0] let[0] me[0] count[0] thee[0] ways[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plot : ( from what i understood ) a really bad highlander dude comes to the present looking to whack out the nice highlander dudes in order to gain their power and become the mightiest immortal . . . or 	plot : ( from what i understood ) a really bad highlander dude comes to the present looking to whack out the nice highlander dudes in order to gain their power and become the mightiest immortal .<br> .<br> .<br> or	2	-3	 plot[0] from[0] what[0] i[0] understood[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] highlander[0] dude[0] comes[0] to[0] the[0] present[0] looking[0] to[0] whack[-1] out[0] the[0] nice[1] highlander[0] dudes[0] in[0] order[0] to[0] gain[0] their[0] power[0] and[0] become[0] the[0] mightiest[0] immortal[1] [[Sentence=-3,2=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
something along those lines . 	something along those lines .	1	-1	 something[0] along[0] those[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : a complete and utter mess . 	critique : a complete and utter mess .	1	-1	 critique[0] a[0] complete[0] and[0] utter[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disjointed , incoherent , boring , corny , filled with bad dialogue . . . and 	disjointed , incoherent , boring , corny , filled with bad dialogue .<br> .<br> .<br> and	1	-2	 disjointed[0] incoherent[0] boring[-1] corny[0] filled[0] with[0] bad[-1] dialogue[0] [[Sentence=-2,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's just the first thirty minutes ! 	that's just the first thirty minutes !	1	-1	 that's[0] just[0] the[0] first[0] thirty[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film doesn't seem to know what to do with itself . 	this film doesn't seem to know what to do with itself .	1	-1	 this[0] film[0] doesn't[0] seem[0] to[0] know[0] what[0] to[0] do[0] with[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's confusing to anyone who doesn't know the series ( i include myself in that group ) and apparently idiotic to those who do know the series ( i include die-hard highlander fan the arrow in that group ) . 	it's confusing to anyone who doesn't know the series ( i include myself in that group ) and apparently idiotic to those who do know the series ( i include die-hard highlander fan the arrow in that group ) .	1	-3	 it's[0] confusing[-1] to[0] anyone[0] who[0] doesn't[0] know[0] the[0] series[0] i[0] include[0] myself[0] in[0] that[0] group[0] and[0] apparently[0] idiotic[-2] to[0] those[0] who[0] do[0] know[0] the[0] series[0] i[0] include[0] die[0] hard[0] highlander[0] fan[0] the[0] arrow[0] in[0] that[0] group[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film doesn't explain anything about itself . . . it 	the film doesn't explain anything about itself .<br> .<br> .<br> it	1	-1	 the[0] film[0] doesn't[0] explain[0] anything[0] about[0] itself[0] [[Sentence=-1,1=word max, 1-5]] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just goes from one inexplicable situation to another . 	just goes from one inexplicable situation to another .	1	-2	 just[0] goes[0] from[0] one[0] inexplicable[-1] situation[0] to[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one moment they're in the present time , the next moment , they're in italy in the 1600s . 	one moment they're in the present time , the next moment , they're in italy in the 1600s .	1	-1	 one[0] moment[0] they're[0] in[0] the[0] present[0] time[0] the[0] next[0] moment[0] they're[0] in[0] italy[0] in[0] the[0] 1600s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows . 	who knows .	1	-1	 who[0] knows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what are they talking about ? 	what are they talking about ?	1	-1	 what[0] are[0] they[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no idea . 	no idea .	1	-1	 no[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flashbacks mixed in with the present , mixed in with a few spontaneously cheesy fight sequences every now and again , and i even remember seeing one flashback scene which went even further into its own flashback scene ! ! 	flashbacks mixed in with the present , mixed in with a few spontaneously cheesy fight sequences every now and again , and i even remember seeing one flashback scene which went even further into its own flashback scene !<br> !	1	-3	 flashbacks[0] mixed[0] in[0] with[0] the[0] present[0] mixed[0] in[0] with[0] a[0] few[0] spontaneously[0] cheesy[0] fight[-2] sequences[0] every[0] now[0] and[0] again[0] and[0] i[0] even[0] remember[0] seeing[0] one[0] flashback[0] scene[0] which[0] went[0] even[0] further[0] into[0] its[0] own[0] flashback[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hullo . . . ? ! ? 	hullo .<br> .<br> .<br> ?<br> !<br> ?	1	-1	 hullo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confused yet ? 	confused yet ?	1	-2	 confused[-1] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was and i basically stopped giving a crap about anyone in the film when i realized that neither the writer or director was interested in presenting me with any kind of semblance of a story . 	i was and i basically stopped giving a crap about anyone in the film when i realized that neither the writer or director was interested in presenting me with any kind of semblance of a story .	2	-3	 i[0] was[0] and[0] i[0] basically[0] stopped[0] giving[0] a[0] crap[-2] about[0] anyone[0] in[0] the[0] film[0] when[0] i[0] realized[0] that[0] neither[0] the[0] writer[0] or[0] director[0] was[0] interested[1] in[0] presenting[0] me[0] with[0] any[0] kind[1] of[0] semblance[0] of[0] a[0] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
random swordplay , mad max-like dudes showing up in motorcycles in the 1800s ? 	random swordplay , mad max-like dudes showing up in motorcycles in the 1800s ?	2	-2	 random[0] swordplay[0] mad[-1] max[0] like[1] dudes[0] showing[0] up[0] in[0] motorcycles[0] in[0] the[0] 1800s[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
or were they in the present at that time ? 	or were they in the present at that time ?	1	-1	 or[0] were[0] they[0] in[0] the[0] present[0] at[0] that[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows . . . and to be honest . . . who 	who knows .<br> .<br> .<br> and to be honest .<br> .<br> .<br> who	1	-1	 who[0] knows[0] [[Sentence=-1,1=word max, 1-5]] and[0] to[0] be[0] honest[0] [[Sentence=-1,1=word max, 1-5]] who[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seriously cares ! 	seriously cares !	2	-1	 seriously[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
