running time approximately 1hr 40mins 	Translation	Positive	Negative	EmotionRationale
reviewed by jack choo 	reviewed by jack choo	1	-1	 reviewed[0] by[0] jack[0] choo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rating : 	rating :	1	-1	 rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie starts with a rather se7en-ish opening sequence , rather cool and sets the mood for things to come . 	the movie starts with a rather se7en-ish opening sequence , rather cool and sets the mood for things to come .	2	-1	 the[0] movie[0] starts[0] with[0] a[0] rather[0] se7en[0] ish[0] opening[0] sequence[0] rather[0] cool[1] and[0] sets[0] the[0] mood[0] for[0] things[0] to[0] come[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story propels the audience into a neo-reality ; somewhat very close to conscious reality but laced with weird tinges of blue and red . 	the story propels the audience into a neo-reality ; somewhat very close to conscious reality but laced with weird tinges of blue and red .	1	-2	 the[0] story[0] propels[0] the[0] audience[0] into[0] a[0] neo[0] reality[0] somewhat[0] very[0] close[0] to[0] conscious[0] reality[0] but[0] laced[0] with[0] weird[-1] tinges[0] of[0] blue[0] and[0] red[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
existenz is actually the name of a new virtual-reality game . 	existenz is actually the name of a new virtual-reality game .	1	-1	 existenz[0] is[0] actually[0] the[0] name[0] of[0] a[0] new[0] virtual[0] reality[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
supposedly , vr games are highly popular as is considered a legal-drug in this neo-reality . 	supposedly , vr games are highly popular as is considered a legal-drug in this neo-reality .	1	-1	 supposedly[0] vr[0] games[0] are[0] highly[0] popular[0] as[0] is[0] considered[0] a[0] legal[0] drug[0] in[0] this[0] neo[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * * ( leigh ) is the ultimate game creator and introduces her ultimate game-experience in the form of existenz . 	 * * * * ( leigh ) is the ultimate game creator and introduces her ultimate game-experience in the form of existenz .	1	-1	 leigh[0] is[0] the[0] ultimate[0] game[0] creator[0] and[0] introduces[0] her[0] ultimate[0] game[0] experience[0] in[0] the[0] form[0] of[0] existenz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
players are required to have bio-ports embedded in their spine , which plugs to a game-pod in order to enjoy the immersive experience . 	players are required to have bio-ports embedded in their spine , which plugs to a game-pod in order to enjoy the immersive experience .	3	-1	 players[0] are[0] required[0] to[0] have[0] bio[0] ports[0] embedded[0] in[0] their[0] spine[0] which[0] plugs[0] to[0] a[0] game[0] pod[0] in[0] order[0] to[0] enjoy[2] the[0] immersive[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
during a secretive beta-testing-cum-teaser meeting for this new game , an assassination attempt on * * * life occurs and she runs off with fellow bodyguard * * * ( law ) . 	during a secretive beta-testing-cum-teaser meeting for this new game , an assassination attempt on * * * life occurs and she runs off with fellow bodyguard * * * ( law ) .	1	-3	 during[0] a[0] secretive[0] beta[0] testing[0] cum[0] teaser[-1] meeting[0] for[0] this[0] new[0] game[0] an[0] assassination[-2] attempt[0] on[0] life[0] occurs[0] and[0] she[0] runs[0] off[0] with[0] fellow[0] bodyguard[0] law[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 * * * is more of a realists than anything else , afraid that he'll lose reality if he begin to play these games but * * * requires his help to immerse together with her into existenz to check if the program is still functioning properly after the assassination attempt . 	 * * * is more of a realists than anything else , afraid that he'll lose reality if he begin to play these games but * * * requires his help to immerse together with her into existenz to check if the program is still functioning properly after the assassination attempt .	1	-4	 is[0] more[0] of[0] a[0] realists[0] than[0] anything[0] else[0] afraid[-3] that[0] he'll[0] lose[-1] reality[0] if[0] he[0] begin[0] to[0] play[0] these[0] games[0] but[0] requires[0] his[0] help[0] to[0] immerse[0] together[0] with[0] her[0] into[0] existenz[0] to[0] check[0] if[0] the[0] program[0] is[0] still[0] functioning[0] properly[0] after[0] the[0] assassination[-2] attempt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
