making your first feature film ain't easy . 	Translation	Positive	Negative	EmotionRationale
assemble a decent , if not , strong cast , as writer/director robert moresco has done with one eyed king , and you're already ahead of the game . 	assemble a decent , if not , strong cast , as writer/director robert moresco has done with one eyed king , and you're already ahead of the game .	1	-1	 assemble[0] a[0] decent[0] if[0] not[0] strong[0] cast[0] as[0] writer/director[0] robert[0] moresco[0] has[0] done[0] with[0] one[0] eyed[0] king[0] and[0] you're[0] already[0] ahead[0] of[0] the[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but rehash old plot lines , tired dialogue , and standard clich ? s , and a well-intentioned effort such as this one could jeopardize your chance at a second feature film . 	but rehash old plot lines , tired dialogue , and standard clich ?<br> s , and a well-intentioned effort such as this one could jeopardize your chance at a second feature film .	1	-2	 but[0] rehash[0] old[0] plot[0] lines[0] tired[-1] dialogue[0] and[0] standard[0] clich[0] [[Sentence=-2,1=word max, 1-5]] s[0] and[0] a[0] well[0] intentioned[0] effort[0] such[0] as[0] this[0] one[0] could[0] jeopardize[-1][--1 LastWordBoosterStrength] your[0] chance[0] at[0] a[0] second[0] feature[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
how many more movies do we need about a rough neighborhood full of lifelong friends hopelessly turned to crime or worse ? 	how many more movies do we need about a rough neighborhood full of lifelong friends hopelessly turned to crime or worse ?	2	-4	 how[0] many[0] more[0] movies[0] do[0] we[0] need[0] about[0] a[0] rough[-1] neighborhood[0] full[0] of[0] lifelong[0] friends[1] hopelessly[-3] turned[0] to[0] crime[-1] or[0] worse[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the enormous catalog of such movies might dissuade a filmmaker from making yet another , but here we have it . 	the enormous catalog of such movies might dissuade a filmmaker from making yet another , but here we have it .	1	-1	 the[0] enormous[0] catalog[0] of[0] such[0] movies[0] might[0] dissuade[0] a[0] filmmaker[0] from[0] making[0] yet[0] another[0] but[0] here[0] we[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again . 	again .	1	-1	 again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
five irish kids in nyc's hell's kitchen make an overemotional pact over some stolen rings on an anonymous rooftop . 	five irish kids in nyc's hell's kitchen make an overemotional pact over some stolen rings on an anonymous rooftop .	1	-1	 five[0] irish[0] kids[0] in[0] nyc's[0] hell's[0] kitchen[0] make[0] an[0] overemotional[0] pact[0] over[0] some[0] stolen[-1][--1 LastWordBoosterStrength] rings[0] on[0] an[0] anonymous[0] rooftop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with teary music . 	with teary music .	1	-1	 with[0] teary[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and slow motion . 	and slow motion .	1	-1	 and[0] slow[0] motion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the film's first scene . 	in the film's first scene .	1	-1	 in[0] the[0] film's[0] first[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the kids grow up to be fairly worthless adults , unable or unwilling to make their way out of the heat of the kitchen . 	the kids grow up to be fairly worthless adults , unable or unwilling to make their way out of the heat of the kitchen .	1	-3	 the[0] kids[0] grow[0] up[0] to[0] be[0] fairly[0] worthless[-2] adults[0] unable[0] or[0] unwilling[-1] to[0] make[0] their[0] way[0] out[0] of[0] the[0] heat[0] of[0] the[0] kitchen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
