years ago , robin williams made _jumanji_ , a brilliant achievement in special effects , but a travesty on nearly every other level . 	Translation	Positive	Negative	EmotionRationale
the same can be said for _what dreams may come_ , a boring , illogical , weepie-wannabe that left my senses numb . 	the same can be said for _what dreams may come_ , a boring , illogical , weepie-wannabe that left my senses numb .	1	-3	 the[0] same[0] can[0] be[0] said[0] for[0] _what[0] dreams[0] may[0] come_[0] a[0] boring[-1] illogical[-1] weepie[-2] wannabe[0] that[0] left[0] my[0] senses[0] numb[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't get me wrong : i love breathtaking special effects and pulse-pounding imagery . 	don't get me wrong : i love breathtaking special effects and pulse-pounding imagery .	3	-2	 don't[0] get[0] me[0] wrong[-1] i[0] love[2] breathtaking[0] special[1] effects[0] and[0] pulse[0] pounding[0] imagery[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
_brazil_ is on my personal top ten . 	_brazil_ is on my personal top ten .	1	-1	 _brazil_[0] is[0] on[0] my[0] personal[0] top[0] ten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_the city of lost children_ is a great film because of its outlandish scenarios . 	_the city of lost children_ is a great film because of its outlandish scenarios .	3	-1	 _the[0] city[0] of[0] lost[0] children_[0] is[0] a[0] great[2] film[0] because[0] of[0] its[0] outlandish[0] scenarios[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i even love _2001_ and _last year at marienbad_ , being in the minority amidst my friends . 	i even love _2001_ and _last year at marienbad_ , being in the minority amidst my friends .	3	-1	 i[0] even[0] love[2] _2001_[0] and[0] _last[0] year[0] at[0] marienbad_[0] being[0] in[0] the[0] minority[0] amidst[0] my[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
_what dreams may come_ , imagery aside , has little daring thought to complement its imagery . 	_what dreams may come_ , imagery aside , has little daring thought to complement its imagery .	1	-1	 _what[0] dreams[0] may[0] come_[0] imagery[0] aside[0] has[0] little[0] daring[0] thought[0] to[0] complement[0] its[0] imagery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the daring thought it _does_ have is never fully realized . 	the daring thought it _does_ have is never fully realized .	1	-1	 the[0] daring[0] thought[0] it[0] _does_[0] have[0] is[0] never[0] fully[0] realized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's idea of a plot is so lukewarm , that it insults the bigger questions it raises . 	it's idea of a plot is so lukewarm , that it insults the bigger questions it raises .	1	-3	 it's[0] idea[0] of[0] a[0] plot[0] is[0] so[0] lukewarm[0] that[0] it[0] insults[-2] the[0] bigger[0] questions[0] it[0] raises[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it would have been better if the filmmakers rid the film of the live action sequences , put on an electronica soundtrack , and sell it as one of those popular _mind's eye_ videos . 	it would have been better if the filmmakers rid the film of the live action sequences , put on an electronica soundtrack , and sell it as one of those popular _mind's eye_ videos .	1	-2	 it[0] would[0] have[0] been[0] better[0] if[0] the[0] filmmakers[0] rid[-1] the[0] film[0] of[0] the[0] live[0] action[0] sequences[0] put[0] on[0] an[0] electronica[0] soundtrack[0] and[0] sell[0] it[0] as[0] one[0] of[0] those[0] popular[0] _mind's[0] eye_[0] videos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robin williams plays chris nielsen , who dies too prematurely--not only in the story , but before we have a chance to really know and care for him . 	robin williams plays chris nielsen , who dies too prematurely-not only in the story , but before we have a chance to really know and care for him .	2	-1	 robin[0] williams[0] plays[1] chris[0] nielsen[0] who[0] dies[0] too[0] prematurely[0] not[0] only[0] in[0] the[0] story[0] but[0] before[0] we[0] have[0] a[0] chance[0] to[0] really[0] know[0] and[0] care[1] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the director , vincent ward , and the screenwriter ronald bass , have chosen to tell his life story in flashbacks while having the foreground story focus on his experience with the afterlife . 	the director , vincent ward , and the screenwriter ronald bass , have chosen to tell his life story in flashbacks while having the foreground story focus on his experience with the afterlife .	1	-1	 the[0] director[0] vincent[0] ward[0] and[0] the[0] screenwriter[0] ronald[0] bass[0] have[0] chosen[0] to[0] tell[0] his[0] life[0] story[0] in[0] flashbacks[0] while[0] having[0] the[0] foreground[0] story[0] focus[0] on[0] his[0] experience[0] with[0] the[0] afterlife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
big mistake . 	big mistake .	1	-2	 big[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would have been far better to take the half-hour or so needed to tell his life story first ( ala _it's a wonderful life_ ) , so that i can build up respect for him , so i could know and possibly care for him , his children , and his long-suffering wife ( played superbly by annabella sciorra ) . 	it would have been far better to take the half-hour or so needed to tell his life story first ( ala _it's a wonderful life_ ) , so that i can build up respect for him , so i could know and possibly care for him , his children , and his long-suffering wife ( played superbly by annabella sciorra ) .	3	-4	 it[0] would[0] have[0] been[0] far[0] better[0] to[0] take[0] the[0] half[0] hour[0] or[0] so[0] needed[0] to[0] tell[0] his[0] life[0] story[0] first[0] ala[0] _it's[0] a[0] wonderful[2] life_[0] so[0] that[0] i[0] can[0] build[0] up[0] respect[2] for[0] him[0] so[0] i[0] could[0] know[0] and[0] possibly[0] care[1] for[0] him[0] his[0] children[0] and[0] his[0] long[0] suffering[-3] wife[0] played[0] superbly[0] by[0] annabella[0] sciorra[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
instead , the filmmakers insult my intelligence by rushing into the story , expecting that the film to grow in depth as it progresses . 	instead , the filmmakers insult my intelligence by rushing into the story , expecting that the film to grow in depth as it progresses .	1	-3	 instead[0] the[0] filmmakers[0] insult[-2] my[0] intelligence[0] by[0] rushing[0] into[0] the[0] story[0] expecting[0] that[0] the[0] film[0] to[0] grow[0] in[0] depth[0] as[0] it[0] progresses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it doesn't . 	it doesn't .	1	-1	 it[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so in the afterlife , chris learns that ( a ) people still don't meet god , ( b ) that our thoughts are reality , and ( c ) time does not exist there . 	so in the afterlife , chris learns that ( a ) people still don't meet god , ( b ) that our thoughts are reality , and ( c ) time does not exist there .	1	-1	 so[0] in[0] the[0] afterlife[0] chris[0] learns[0] that[0] a[0] people[0] still[0] don't[0] meet[0] god[0] b[0] that[0] our[0] thoughts[0] are[0] reality[0] and[0] c[0] time[0] does[0] not[0] exist[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmm . . . 	hm .<br> .<br> .	1	-1	 hmm/hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i ll grant one of those silly giant ideas for the sake of the narrative . 	i ll grant one of those silly giant ideas for the sake of the narrative .	1	-2	 i[0] ll[0] grant[0] one[0] of[0] those[0] silly[-1] giant[0] ideas[0] for[0] the[0] sake[0] of[0] the[0] narrative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the " not meeting god " part still irks at me , but perhaps there was no possible way to film it and give it due respect ) . 	 ( the " not meeting god " part still irks at me , but perhaps there was no possible way to film it and give it due respect ) .	3	-2	 the[0] not[0] meeting[0] god[0] part[0] still[0] irks[-1] at[0] me[0] but[0] perhaps[0] there[0] was[0] no[0] possible[0] way[0] to[0] film[0] it[0] and[0] give[0] it[0] due[0] respect[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that said , this alternate reality still makes no possible sense . 	that said , this alternate reality still makes no possible sense .	1	-1	 that[0] said[0] this[0] alternate[0] reality[0] still[0] makes[0] no[0] possible[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
read on . . . 	read on .<br> .<br> .	1	-1	 read[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris' wife commits suicide . 	chris' wife commits suicide .	1	-4	 chris'[0] wife[0] commits[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since suicides go to hell , chris would be separated from his wife forever . 	since suicides go to hell , chris would be separated from his wife forever .	1	-2	 since[0] suicides[0] go[0] to[0] hell[-1] chris[0] would[0] be[0] separated[0] from[0] his[0] wife[0] forever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the important question is , is heaven really heaven if you are separated from the one you love ? 	the important question is , is heaven really heaven if you are separated from the one you love ?	3	-1	 the[0] important[0] question[0] is[0] is[0] heaven[1] really[0] heaven[1][1 LastWordBoosterStrength] if[0] you[0] are[0] separated[0] from[0] the[0] one[0] you[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
good question . 	good question .	2	-1	 good[1] question[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i like good thought-provoking questions . 	and i like good thought-provoking questions .	2	-1	 and[0] i[0] like[1] good[1] thought[0] provoking[0] questions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don t like it when the filmmakers deviate from the question . 	i don t like it when the filmmakers deviate from the question .	2	-2	 i[0] don[0] t[0] like[1] it[0] when[0] the[0] filmmakers[0] deviate[-1] from[0] the[0] question[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i _loathe_ it when the filmmakers deviate from the question so that the film becomes a popular rescue film , especially a rescue film which does not take its underlying premise seriously . 	i _loathe_ it when the filmmakers deviate from the question so that the film becomes a popular rescue film , especially a rescue film which does not take its underlying premise seriously .	1	-2	 i[0] _loathe_[0] it[0] when[0] the[0] filmmakers[0] deviate[-1] from[0] the[0] question[0] so[0] that[0] the[0] film[0] becomes[0] a[0] popular[0] rescue[0] film[0] especially[0] a[0] rescue[0] film[0] which[0] does[0] not[0] take[0] its[0] underlying[0] premise[0] seriously[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i _really_ loathe it when it s story is no longer run by logic , but by special effects . 	i _really_ loathe it when it s story is no longer run by logic , but by special effects .	2	-1	 i[0] _really_[0] loathe[0] it[0] when[0] it[0] s[0] story[0] is[0] no[0] longer[0] run[0] by[0] logic[0] but[0] by[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hey chris : did you forget ? 	hey chris : did you forget ?	2	-1	 hey[1] chris[0] did[0] you[0] forget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
your thoughts are _real_ . 	your thoughts are _real_ .	1	-1	 your[0] thoughts[0] are[0] _real_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are more _real_ than the physical world , according to the new-age screenplay . 	they are more _real_ than the physical world , according to the new-age screenplay .	1	-1	 they[0] are[0] more[0] _real_[0] than[0] the[0] physical[0] world[0] according[0] to[0] the[0] new[0] age[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
