ugh . that about sums this movie up . 	Translation	Positive	Negative	EmotionRationale
just , ugh . 	just , ugh .	1	-2	 just[0] ugh[-2][--1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the original godzilla movies are somewhat of a cult classic , and when reviewing the previous films , each film had a certain degree of intelligence . 	the original godzilla movies are somewhat of a cult classic , and when reviewing the previous films , each film had a certain degree of intelligence .	1	-1	 the[0] original[0] godzilla[0] movies[0] are[0] somewhat[0] of[0] a[0] cult[0] classic[0] and[0] when[0] reviewing[0] the[0] previous[0] films[0] each[0] film[0] had[0] a[0] certain[0] degree[0] of[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that was the reason they found such an enviable cult following ; in spite of bad special effects , horrible dubbing , and a man in a lizard suit , they maintained a certain degree of . . . how to put this ? . . . 	and that was the reason they found such an enviable cult following ; in spite of bad special effects , horrible dubbing , and a man in a lizard suit , they maintained a certain degree of .<br> .<br> .<br> how to put this ?<br> .<br> .<br> .	2	-4	 and[0] that[0] was[0] the[0] reason[0] they[0] found[0] such[0] an[0] enviable[0] cult[0] following[0] in[0] spite[-3] of[0] bad[-1] special[1] effects[0] horrible[-3] dubbing[0] and[0] a[0] man[0] in[0] a[0] lizard[0] suit[0] they[0] maintained[0] a[0] certain[0] degree[0] of[0] [[Sentence=-4,2=word max, 1-5]] how[0] to[0] put[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
dignity ? 	dignity ?	2	-1	 dignity[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not quite the word i'm looking for . 	not quite the word i'm looking for .	1	-1	 not[0] quite[0] the[0] word[0] i'm[0] looking[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you understand , right ? 	you understand , right ?	1	-1	 you[0] understand[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in 50 years , godzilla has maintained that degree of 'whatever' . 	and in 50 years , godzilla has maintained that degree of 'whatever' .	1	-1	 and[0] in[0] 50[0] years[0] godzilla[0] has[0] maintained[0] that[0] degree[0] of[0] 'whatever'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leave it to america to screw the whole thing up . 	leave it to america to screw the whole thing up .	1	-1	 leave[0] it[0] to[0] america[0] to[0] screw[0] the[0] whole[0] thing[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from the 'geniuses' that brought us " independece day " , arguably the worst sci-fi movie of all time , to ruin whatever reputation godzilla had . 	 from the 'geniuses' that brought us " independece day " , arguably the worst sci-fi movie of all time , to ruin whatever reputation godzilla had .	1	-3	 from[0] the[0] 'geniuses'[0] that[0] brought[0] us[0] independece[0] day[0] arguably[-1] the[0] worst[-2] sci[0] fi[0] movie[0] of[0] all[0] time[0] to[0] ruin[-1] whatever[0] reputation[0] godzilla[0] had[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while they do bring us eye-popping special effects that will amaze you , they lost what was at the center of all the original godzilla movies -- a storyline . 	while they do bring us eye-popping special effects that will amaze you , they lost what was at the center of all the original godzilla movies - a storyline .	3	-1	 while[0] they[0] do[0] bring[0] us[0] eye[0] popping[0] special[1] effects[0] that[0] will[0] amaze[2] you[0] they[0] lost[0] what[0] was[0] at[0] the[0] center[0] of[0] all[0] the[0] original[0] godzilla[0] movies[0] a[0] storyline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
