the real blonde ( r ) a woman's face , an arm , some pumped-up pectorals , blond hair , a man's sad face , slender legs , a random hand here and there . 	Translation	Positive	Negative	EmotionRationale
as the opening credits of tom dicillo's the real blonde unfold , these scattered , fractured glimpses eventually come together to form the image of a bikini brief-clad man on his knees clinging to a nurturing woman , his head concealing her unclothed breasts . 	as the opening credits of tom dicillo's the real blonde unfold , these scattered , fractured glimpses eventually come together to form the image of a bikini brief-clad man on his knees clinging to a nurturing woman , his head concealing her unclothed breasts .	1	-2	 as[0] the[0] opening[0] credits[0] of[0] tom[0] dicillo's[0] the[0] real[0] blonde[0] unfold[0] these[0] scattered[0] fractured[-1] glimpses[0] eventually[0] come[0] together[0] to[0] form[0] the[0] image[0] of[0] a[0] bikini[0] brief[0] clad[0] man[0] on[0] his[0] knees[0] clinging[0] to[0] a[0] nurturing[0] woman[0] his[0] head[0] concealing[-1] her[0] unclothed[0] breasts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if only the rest of this formless , aimless ensemble comedy assembled so coherently . 	if only the rest of this formless , aimless ensemble comedy assembled so coherently .	1	-2	 if[0] only[0] the[0] rest[0] of[0] this[0] formless[0] aimless[-1] ensemble[0] comedy[0] assembled[0] so[0] coherently[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joe ( matthew modine ) is a waiter/struggling actor too proud to take gigs in commercials or soap operas . 	joe ( matthew modine ) is a waiter/struggling actor too proud to take gigs in commercials or soap operas .	2	-1	 joe[0] matthew[0] modine[0] is[0] a[0] waiter/struggling[0] actor[0] too[0] proud[1] to[0] take[0] gigs[0] in[0] commercials[0] or[0] soap[0] operas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's feeling somewhat dissatisfied with his relationship with his live-in love , mary ( catherine keener ) , who holds some subconscious hostility toward the male gender . 	he's feeling somewhat dissatisfied with his relationship with his live-in love , mary ( catherine keener ) , who holds some subconscious hostility toward the male gender .	3	-3	 he's[0] feeling[0] somewhat[0] dissatisfied[-1] with[0] his[0] relationship[0] with[0] his[0] live[0] in[0] love[2] mary[0] catherine[0] keener[0] who[0] holds[0] some[0] subconscious[0] hostility[-2] toward[0] the[0] male[0] gender[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mary , a makeup artist , regularly works on model sahara ( bridgette wilson ) , who is obsessed with the underlying messages in disney's the little mermaid . 	mary , a makeup artist , regularly works on model sahara ( bridgette wilson ) , who is obsessed with the underlying messages in disney's the little mermaid .	1	-3	 mary[0] a[0] makeup[0] artist[0] regularly[0] works[0] on[0] model[0] sahara[0] bridgette[0] wilson[0] who[0] is[0] obsessed[-2] with[0] the[0] underlying[0] messages[0] in[0] disney's[0] the[0] little[0] mermaid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bottle blonde has a turbulent on-again , off-again relationship with bob ( maxwell caulfield ) , a soap actor who yearns for the taste of a real blonde , which he finds in co-star kelly ( daryl hannah ) . 	the bottle blonde has a turbulent on-again , off-again relationship with bob ( maxwell caulfield ) , a soap actor who yearns for the taste of a real blonde , which he finds in co-star kelly ( daryl hannah ) .	1	-2	 the[0] bottle[0] blonde[0] has[0] a[0] turbulent[-1] on[0] again[0] off[0] again[0] relationship[0] with[0] bob[0] maxwell[0] caulfield[0] a[0] soap[0] actor[0] who[0] yearns[-1] for[0] the[0] taste[0] of[0] a[0] real[0] blonde[0] which[0] he[0] finds[0] in[0] co[0] star[0] kelly[0] daryl[0] hannah[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the film unspools , a variety of other characters pass through : fashion photographer blair ( marlo thomas ) ; mary's shrink ( buck henry ) and self-defense instructor ( denis leary ) ; joe's casting agent ( kathleen turner ) and hardass boss ( christopher lloyd ) ; and a mystery woman ( elizabeth berkley ) who keeps on crossing joe's path . 	as the film unspools , a variety of other characters pass through : fashion photographer blair ( marlo thomas ) ; mary's shrink ( buck henry ) and self-defense instructor ( denis leary ) ; joe's casting agent ( kathleen turner ) and hardass boss ( christopher lloyd ) ; and a mystery woman ( elizabeth berkley ) who keeps on crossing joe's path .	1	-1	 as[0] the[0] film[0] unspools[0] a[0] variety[0] of[0] other[0] characters[0] pass[0] through[0] fashion[0] photographer[0] blair[0] marlo[0] thomas[0] mary's[0] shrink[0] buck[0] henry[0] and[0] self[0] defense[0] instructor[0] denis[0] leary[0] joe's[0] casting[0] agent[0] kathleen[0] turner[0] and[0] hardass[0] boss[0] christopher[0] lloyd[0] and[0] a[0] mystery[0] woman[0] elizabeth[0] berkley[0] who[0] keeps[0] on[0] crossing[0] joe's[0] path[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where exactly does all this go ? 	where exactly does all this go ?	1	-1	 where[0] exactly[0] does[0] all[0] this[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's a question best posed to writer-director dicillo , who doesn't appear to have the slightest clue himself . 	that's a question best posed to writer-director dicillo , who doesn't appear to have the slightest clue himself .	2	-1	 that's[0] a[0] question[0] best[1] posed[0] to[0] writer[0] director[0] dicillo[0] who[0] doesn't[0] appear[0] to[0] have[0] the[0] slightest[0] clue[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his meandering , largely unfunny script and direction are like hopelessly lost drivers , turning into dead-end narrative streets only to reverse course and hit another creative cul-de-sac . 	his meandering , largely unfunny script and direction are like hopelessly lost drivers , turning into dead-end narrative streets only to reverse course and hit another creative see you later-de-sac .	2	-4	 his[0] meandering[0] largely[0] unfunny[0] script[0] and[0] direction[0] are[0] like[1] hopelessly[-3] lost[0] drivers[0] turning[0] into[0] dead[-2] end[0] narrative[0] streets[0] only[0] to[0] reverse[0] course[0] and[0] hit[0] another[0] creative[0] cul[0] de[0] sac[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
