synopsis : melissa , a mentally-disturbed woman who likes to smoke , seduces doug , a minor-league baseball player who likes to study anatomy , work on motorcycles , and make out with his girlfriend in a public library . 	Translation	Positive	Negative	EmotionRationale
when doug decides to stop seeing her , melissa maliciously takes revenge on those around him , including his girlfriend , his mother , and his cat . 	when doug decides to stop seeing her , melissa maliciously takes revenge on those around him , including his girlfriend , his mother , and his cat .	1	-4	 when[0] doug[0] decides[0] to[0] stop[0] seeing[0] her[0] melissa[0] maliciously[-3] takes[0] revenge[-1] on[0] those[0] around[0] him[0] including[0] his[0] girlfriend[0] his[0] mother[0] and[0] his[0] cat[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comments : malicious , i suppose , is an acceptable moview for what it is : a cheap , b-movie thriller which rips off dozens and dozens of spurned-psycho-lover-who-wants-revenge films ( like fatal attraction , hand that rocks the cradle , etc . etc . ) that have come before it . 	comments : malicious , i suppose , is an acceptable moview for what it is : a cheap , b-movie thriller which rips off dozens and dozens of spurned-psycho-lover-who-wants-revenge films ( like fatal attraction , hand that rocks the cradle , etc .<br> etc .<br> ) that have come before it .	4	-4	 comments[0] malicious[-3] i[0] suppose[0] is[0] an[0] acceptable[0] moview[0] for[0] what[0] it[0] is[0] a[0] cheap[-1] b[0] movie[0] thriller[1] which[0] rips[0] off[0] dozens[0] and[0] dozens[0] of[0] spurned[0] psycho[0] lover[3] who[0] wants[0] revenge[-1] films[0] like[1] fatal[-2] attraction[1] hand[0] that[0] rocks[0] the[0] cradle[0] etc[0] [[Sentence=-4,4=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] that[0] have[0] come[0] before[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[4,-4 max of sentences]]]
malicious , however , really doesn't provide very many particularly suspenseful moments . 	malicious , however , really doesn't provide very many particularly suspenseful moments .	1	-4	 malicious[-3] however[0] really[0] doesn't[0] provide[0] very[0] many[0] particularly[0] suspenseful[0] moments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot starts off energetically enough , the main characters are introduced and the affair between doug and melissa begins and ends pretty early on in the film . 	the plot starts off energetically enough , the main characters are introduced and the affair between doug and melissa begins and ends pretty early on in the film .	3	-1	 the[0] plot[0] starts[0] off[0] energetically[0] enough[0] the[0] main[0] characters[0] are[0] introduced[0] and[0] the[0] affair[0] between[0] doug[0] and[0] melissa[0] begins[0] and[0] ends[0] pretty[2] early[0] on[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it starts to drag , unfortunately , after this . 	it starts to drag , unfortunately , after this .	1	-2	 it[0] starts[0] to[0] drag[-1] unfortunately[-1] after[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
melissa will obviously try to take her revenge on doug ( as always seems to happen in movies like these ) , but she does so in unimaginative ways that have been done in other , better thrillers before . 	melissa will obviously try to take her revenge on doug ( as always seems to happen in movies like these ) , but she does so in unimaginative ways that have been done in other , better thrillers before .	2	-2	 melissa[0] will[0] obviously[0] try[0] to[0] take[0] her[0] revenge[-1] on[0] doug[0] as[0] always[0] seems[0] to[0] happen[0] in[0] movies[0] like[1] these[0] but[0] she[0] does[0] so[0] in[0] unimaginative[0] ways[0] that[0] have[0] been[0] done[0] in[0] other[0] better[0] thrillers[1] before[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she drugs someone . 	she drugs someone .	1	-1	 she[0] drugs[0] someone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she kills a family pet and leaves it in the girlfriend's apartment . 	she kills a family pet and leaves it in the girlfriend's apartment .	1	-1	 she[0] kills[0] a[0] family[0] pet[0] and[0] leaves[0] it[0] in[0] the[0] girlfriend's[0] apartment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , she stalks , so we see a number of shots , which are supposed to be suspenseful , where she's spying on doug and his girlfriend . 	and , of course , she stalks , so we see a number of shots , which are supposed to be suspenseful , where she's spying on doug and his girlfriend .	1	-1	 and[0] of[0] course[0] she[0] stalks[0] so[0] we[0] see[0] a[0] number[0] of[0] shots[0] which[0] are[0] supposed[0] to[0] be[0] suspenseful[0] where[0] she's[0] spying[0] on[0] doug[0] and[0] his[0] girlfriend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i won't reveal the ludicrous ending to this turkey , but i warn you that it's both painfully obvious and a real yawner . 	i won't reveal the ludicrous ending to this turkey , but i warn you that it's both painfully obvious and a real yawner .	1	-4	 i[0] won't[0] reveal[0] the[0] ludicrous[-2] ending[0] to[0] this[0] turkey[0] but[0] i[0] warn[0] you[0] that[0] it's[0] both[0] painfully[-3] obvious[0] and[0] a[0] real[0] yawner[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
john vernon does a remarkably good job at playing the not-so-bright baseball jock who initially gets swept away by melissa ( one of the script's faults is to try to pass off a character like this as a pre-med student ) . 	john vernon does a remarkably good job at playing the not-so-bright baseball jock who initially gets swept away by melissa ( one of the script's faults is to try to pass off a character like this as a pre-med student ) .	2	-2	 john[0] vernon[0] does[0] a[0] remarkably[0] good[1] job[0] at[0] playing[1] the[0] not[0] so[0] bright[0] baseball[0] jock[0] who[0] initially[0] gets[0] swept[0] away[0] by[0] melissa[0] one[0] of[0] the[0] script's[0] faults[-1] is[0] to[0] try[0] to[0] pass[0] off[0] a[0] character[0] like[1] this[0] as[0] a[0] pre[0] med[0] student[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the same cannot be said , though , for molly ringwald . 	the same cannot be said , though , for molly ringwald .	1	-1	 the[0] same[0] cannot[0] be[0] said[0] though[0] for[0] molly[0] ringwald[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times , she can effectively pull off the obsessed lover routine , especially during her silent , i'm-going-to-stare-you-down scenes . 	at times , she can effectively pull off the obsessed lover routine , especially during her silent , i'm-going-to-stare-you-down scenes .	4	-3	 at[0] times[0] she[0] can[0] effectively[0] pull[0] off[0] the[0] obsessed[-2] lover[3] routine[0] especially[0] during[0] her[0] silent[0] i'm[0] going[0] to[0] stare[0] you[0] down[0] scenes[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
at other times , however , she just seems somehow goofy and out of place . 	at other times , however , she just seems somehow goofy and out of place .	1	-1	 at[0] other[0] times[0] however[0] she[0] just[0] seems[0] somehow[0] goofy[0] and[0] out[0] of[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one particular scene which i guess was supposed to be suspenseful , she screeches " f--k you , you b-----d " and throws a phone . 	in one particular scene which i guess was supposed to be suspenseful , she screeches " f-k you , you b-d " and throws a phone .	1	-1	 in[0] one[0] particular[0] scene[0] which[0] i[0] guess[0] was[0] supposed[0] to[0] be[0] suspenseful[0] she[0] screeches[0] f[0] k[0] you[0] you[0] b[0] d[0] and[0] throws[0] a[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she delivers the line so ridiculously that one can't help but laugh . 	she delivers the line so ridiculously that one can't help but laugh .	2	-3	 she[0] delivers[0] the[0] line[0] so[0] ridiculously[-2] that[0] one[0] can't[0] help[0] but[0] laugh[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
malicious certainly isn't the worst thriller of its kind out in the video racks ( a number of really fat turkies in this genre are out there ) , but it isn't all that good or original either . 	malicious certainly isn't the worst thriller of its kind out in the video racks ( a number of really fat turkies in this genre are out there ) , but it isn't all that good or original either .	3	-4	 malicious[-3] certainly[0] isn't[0] the[0] worst[-2][NegatedDueToPreviousWord] thriller[1] of[0] its[0] kind[1] out[0] in[0] the[0] video[0] racks[0] a[0] number[0] of[0] really[0] fat[-1][-1 LastWordBoosterStrength] turkies[0] in[0] this[0] genre[0] are[0] out[0] there[0] but[0] it[0] isn't[0] all[0] that[0] good[1] or[0] original[0] either[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
feel free to treat this film maliciously , watch something else . 	feel free to treat this film maliciously , watch something else .	2	-4	 feel[0] free[0] to[0] treat[1] this[0] film[0] maliciously[-3] watch[0] something[0] else[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
