i guess that if a very wild bachelor party had gone really bad , there would be broken furniture , traces of smack and cocaine on the floor , and a dead prostitute in the bathroom . 	Translation	Positive	Negative	EmotionRationale
i guess that if a movie had also gone really bad , there might be the same elements present . 	i guess that if a movie had also gone really bad , there might be the same elements present .	1	-3	 i[0] guess[0] that[0] if[0] a[0] movie[0] had[0] also[0] gone[0] really[0] bad[-1][-1 LastWordBoosterStrength] there[0] might[0] be[0] the[0] same[0] elements[0] present[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
coincidence ? 	coincidence ?	1	-1	 coincidence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poor kyle ( a meek looking jon favreau ) . . . he is about to marry his radiant fiancee , laura ( cameron diaz ) . 	poor kyle ( a meek looking jon favreau ) .<br> .<br> .<br> he is about to marry his radiant fiancee , laura ( cameron diaz ) .	3	-2	 poor[-1] kyle[0] a[0] meek[-1] looking[0] jon[0] favreau[0] [[Sentence=-2,1=word max, 1-5]] he[0] is[0] about[0] to[0] marry[0] his[0] radiant[2] fiancee[0] laura[0] cameron[0] diaz[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
but before he exchanges his vows , he embarks to las vegas with his friends for one last blowout . 	but before he exchanges his vows , he embarks to las vegas with his friends for one last blowout .	2	-1	 but[0] before[0] he[0] exchanges[0] his[0] vows[0] he[0] embarks[0] to[0] las[0] vegas[0] with[0] his[0] friends[1] for[0] one[0] last[0] blowout[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but this bachelor party has gone about as bad as it could possibly get . 	but this bachelor party has gone about as bad as it could possibly get .	1	-2	 but[0] this[0] bachelor[0] party[0] has[0] gone[0] about[0] as[0] bad[-1] as[0] it[0] could[0] possibly[0] get[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prostitute has met a horrible , though accidental death , and drugs are everywhere . 	the prostitute has met a horrible , though accidental death , and drugs are everywhere .	1	-4	 the[0] prostitute[0] has[0] met[0] a[0] horrible[-3] though[0] accidental[-1] death[-2] and[0] drugs[0] are[0] everywhere[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the five friends agree that there is enough bad evidence here that will send them to jail for a very long time . 	the five friends agree that there is enough bad evidence here that will send them to jail for a very long time .	2	-2	 the[0] five[0] friends[1] agree[0] that[0] there[0] is[0] enough[0] bad[-1] evidence[0] here[0] that[0] will[0] send[0] them[0] to[0] jail[-1] for[0] a[0] very[0] long[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a surprisingly calm robert boyd ( christian slater ) , who looks like he was groomed to make nefarious decisions , ponders their dilemma for a few minutes before deciding that the best thing to do is to bury the body in the desert where she'll never be found . 	a surprisingly calm robert boyd ( christian slater ) , who looks like he was groomed to make nefarious decisions , ponders their dilemma for a few minutes before deciding that the best thing to do is to bury the body in the desert where she'll never be found .	2	-3	 a[0] surprisingly[0] calm[1] robert[0] boyd[0] christian[0] slater[0] who[0] looks[0] like[1] he[0] was[0] groomed[0] to[0] make[0] nefarious[0] decisions[0] ponders[0] their[0] dilemma[-1] for[0] a[0] few[0] minutes[0] before[0] deciding[0] that[0] the[0] best[1] thing[0] to[0] do[0] is[0] to[0] bury[-2] the[0] body[0] in[0] the[0] desert[0] where[0] she'll[0] never[0] be[0] found[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although they stomach the gruesome deed of getting rid of the body ( which also disturbingly involves dismantling the body using power saws in order to stuff it into suitcases ) , when they return from their trip , guilt and paranoia begins to set in which slowly consumes some of the five friends . 	although they stomach the gruesome deed of getting rid of the body ( which also disturbingly involves dismantling the body using power saws in order to stuff it into suitcases ) , when they return from their trip , guilt and paranoia begins to set in which slowly consumes some of the five friends .	2	-4	 although[0] they[0] stomach[0] the[0] gruesome[0] deed[0] of[0] getting[0] rid[-1] of[0] the[0] body[0] which[0] also[0] disturbingly[-1] involves[0] dismantling[0] the[0] body[0] using[0] power[0] saws[0] in[0] order[0] to[0] stuff[0] it[0] into[0] suitcases[0] when[0] they[0] return[0] from[0] their[0] trip[0] guilt[-3] and[0] paranoia[-2] begins[0] to[0] set[0] in[0] which[0] slowly[0] consumes[0] some[0] of[0] the[0] five[0] friends[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one is adam ( daniel stern ) he grows increasingly agitated . 	one is adam ( daniel stern ) he grows increasingly agitated .	1	-2	 one[0] is[0] adam[0] daniel[0] stern[-1] he[0] grows[0] increasingly[0] agitated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever people look at his van or whenever a cop glances his way , his blood pressure increases . 	whenever people look at his van or whenever a cop glances his way , his blood pressure increases .	1	-2	 whenever[0] people[0] look[0] at[0] his[0] van[0] or[0] whenever[0] a[0] cop[0] glances[0] his[0] way[0] his[0] blood[0] pressure[-1] increases[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or that just may be because of his dysfunctional family . 	or that just may be because of his dysfunctional family .	1	-1	 or[0] that[0] just[0] may[0] be[0] because[0] of[0] his[0] dysfunctional[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another is michael , who was actually responsible for her death . 	another is michael , who was actually responsible for her death .	1	-3	 another[0] is[0] michael[0] who[0] was[0] actually[0] responsible[0] for[0] her[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he tries to bury his feelings , but the burden of guilt begins to affect his judgment as well . 	he tries to bury his feelings , but the burden of guilt begins to affect his judgment as well .	1	-4	 he[0] tries[0] to[0] bury[-2] his[0] feelings[0] but[0] the[0] burden[-1] of[0] guilt[-3] begins[0] to[0] affect[0] his[0] judgment[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
boyd is the ? doer' of the group . 	boyd is the ?<br> doer' of the group .	1	-1	 boyd[0] is[0] the[0] [[Sentence=-1,1=word max, 1-5]] doer'[0] of[0] the[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seemingly suffering from a long psychosis , when he feels as if his secret is about to be exposed , he is apt to take extreme measures to cover up his tracks . 	seemingly suffering from a long psychosis , when he feels as if his secret is about to be exposed , he is apt to take extreme measures to cover up his tracks .	1	-4	 seemingly[0] suffering[-3] from[0] a[0] long[0] psychosis[0] when[0] he[0] feels[0] as[0] if[0] his[0] secret[0] is[0] about[0] to[0] be[0] exposed[-1] he[0] is[0] apt[0] to[0] take[0] extreme[0] measures[0] to[0] cover[0] up[0] his[0] tracks[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kyle just hopes that his wedding will live up to laura's demanding expectations . 	kyle just hopes that his wedding will live up to laura's demanding expectations .	1	-1	 kyle[0] just[0] hopes[1][-1 LastWordBoosterStrength] that[0] his[0] wedding[0] will[0] live[0] up[0] to[0] laura's[0] demanding[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , there's moore ( leland orser ) who speaks 5 lines and walks around with a puzzled look on his face . 	then , there's more ( leland orser ) who speaks 5 lines and walks around with a puzled look on his face .	1	-1	 then[0] there's[0] moore/more[0] leland[0] orser[0] who[0] speaks[0] 5[0] lines[0] and[0] walks[0] around[0] with[0] a[0] puzzled/puzled[0] look[0] on[0] his[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem with this reprehensible movie is that it wants to be a cruel comedy , but it presents things in a manner that just aren't funny . 	the problem with this reprehensible movie is that it wants to be a cruel comedy , but it presents things in a manner that just aren't funny .	1	-4	 the[0] problem[-1] with[0] this[0] reprehensible[-3] movie[0] is[0] that[0] it[0] wants[0] to[0] be[0] a[0] cruel[-3] comedy[0] but[0] it[0] presents[0] things[0] in[0] a[0] manner[0] that[0] just[0] aren't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
