michael robbins' hardball is quite the cinematic achievement . 	Translation	Positive	Negative	EmotionRationale
in about two hours , we get a glancing examination of ghetto life , a funeral with a heartfelt eulogy , speeches about never giving up , a cache of cute kids ( including a fat one with asthma ) , a hard-luck gambler who finds salvation in a good woman and a climactic " big game , " where the underdogs prove to have a bigger bite than anyone ever imagined . 	in about two hours , we get a glancing examination of ghetto life , a funeral with a heartfelt eulogy , speeches about never giving up , a cache of cute kids ( including a fat one with asthma ) , a hard-luck gambler who finds salvation in a good woman and a climactic " big game , " where the underdogs prove to have a bigger bite than anyone ever imagined .	3	-2	 in[0] about[0] two[0] hours[0] we[0] get[0] a[0] glancing[0] examination[0] of[0] ghetto[-1] life[0] a[0] funeral[0] with[0] a[0] heartfelt[1] eulogy[0] speeches[0] about[0] never[0] giving[0] up[0] a[0] cache[0] of[0] cute[1] kids[0] including[0] a[0] fat[-1] one[0] with[0] asthma[0] a[0] hard[0] luck[2] gambler[-1] who[0] finds[0] salvation[0] in[0] a[0] good[1] woman[0] and[0] a[0] climactic[0] big[0] game[0] where[0] the[0] underdogs[0] prove[0] to[0] have[0] a[0] bigger[0] bite[0] than[0] anyone[0] ever[0] imagined[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all that's needed is a guy getting hit in the nuts and a food fight to have the first film solely based on cinematic clich ? s . 	all that's needed is a guy getting hit in the nuts and a food fight to have the first film solely based on cinematic clich ?<br> s .	1	-3	 all[0] that's[0] needed[0] is[0] a[0] guy[0] getting[0] hit[0] in[0] the[0] nuts[0] and[0] a[0] food[0] fight[-2] to[0] have[0] the[0] first[0] film[0] solely[0] based[0] on[0] cinematic[0] clich[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't wait to see the deleted scenes when it comes out on dvd . 	i can't wait to see the deleted scenes when it comes out on dvd .	1	-1	 i[0] can't[0] wait[0] to[0] see[0] the[0] deleted[0] scenes[0] when[0] it[0] comes[0] out[0] on[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously , hardball is a strikeout of a movie that never gets the bat anywhere near the ball . 	obviously , hardball is a strikeout of a movie that never gets the bat anywhere near the ball .	1	-1	 obviously[0] hardball[0] is[0] a[0] strikeout[0] of[0] a[0] movie[0] that[0] never[0] gets[0] the[0] bat[0] anywhere[0] near[0] the[0] ball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it stars keanu reeves as the aforementioned gambler , who seems to owe every bookie in chicago an amount of money that rivals the gross national product of guam . 	it stars keanu reeves as the aforementioned gambler , who seems to owe every bookie in chicago an amount of money that rivals the gross national product of guam .	1	-2	 it[0] stars[0] keanu[0] reeves[0] as[0] the[0] aforementioned[0] gambler[-1] who[0] seems[0] to[0] owe[-1] every[0] bookie[0] in[0] chicago[0] an[0] amount[0] of[0] money[0] that[0] rivals[0] the[0] gross[-1] national[0] product[0] of[0] guam[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
out of solutions , he begs his successful corporate friend ( the always welcome mike mcglone ) to lend him  5 , 000 . 	out of solutions , he begs his successful corporate friend ( the always welcome mike mcglone ) to lend him  5 , 00 .	3	-1	 out[0] of[0] solutions[0] he[0] begs[0] his[0] successful[2] corporate[0] friend[1] the[0] always[0] welcome[1] mike[0] mcglone[0] to[0] lend[0] him[0] 5[0] 000/00[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , mcglone offers reeves the chance to help him coach a youth baseball team from the projects for a nice weekly stipend . 	instead , mcglone offers reeves the chance to help him coach a youth baseball team from the projects for a nice weekly stipend .	2	-1	 instead[0] mcglone[0] offers[0] reeves[0] the[0] chance[0] to[0] help[0] him[0] coach[0] a[0] youth[0] baseball[0] team[0] from[0] the[0] projects[0] for[0] a[0] nice[1] weekly[0] stipend[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
reeves , who wants to keep his fingers , accepts the offer , but discovers mcglone is only too happy to let him handle the team entirely . 	reeves , who wants to keep his fingers , accepts the offer , but discovers mcglone is only too happy to let him handle the team entirely .	2	-1	 reeves[0] who[0] wants[0] to[0] keep[0] his[0] fingers[0] accepts[0] the[0] offer[0] but[0] discovers[0] mcglone[0] is[0] only[0] too[0] happy[1] to[0] let[0] him[0] handle[0] the[0] team[0] entirely[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the drowsy-voiced protagonist must teach the sassy inner city kids the baseball basics in a life of absentee parents and merciless gangs . 	the drowsy-voiced protagonist must teach the sassy inner city kids the baseball basics in a life of absentee parents and merciless gangs .	1	-2	 the[0] drowsy[-1] voiced[0] protagonist[0] must[0] teach[0] the[0] sassy[0] inner[0] city[0] kids[0] the[0] baseball[0] basics[0] in[0] a[0] life[0] of[0] absentee[-1] parents[0] and[0] merciless[-1] gangs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and maybe , just maybe , they'll play in the big championship game . 	and maybe , just maybe , they'll play in the big championship game .	1	-1	 and[0] maybe[0] just[0] maybe[0] they'll[0] play[0] in[0] the[0] big[0] championship[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
