 " i would appreciate it if you didn't do that again . " 	Translation	Positive	Negative	EmotionRationale
starring jet li , bridget fonda , tch ? ky karyo , burt kwouk . 	starring jet li , bridget fonda , tch ?<br> ky karyo , burt kwouk .	1	-1	 starring[0] jet[0] li[0] bridget[0] fonda[0] tch[0] [[Sentence=-1,1=word max, 1-5]] ky[0] karyo[0] burt[0] kwouk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by chris nahon . 	directed by chris nahon .	1	-1	 directed[0] by[0] chris[0] nahon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's no secret that martial arts film often use their plot simply to get from one action sequence to another . 	it's no secret that martial arts film often use their plot simply to get from one action sequence to another .	1	-1	 it's[0] no[0] secret[0] that[0] martial[0] arts[0] film[0] often[0] use[0] their[0] plot[0] simply[0] to[0] get[0] from[0] one[0] action[0] sequence[0] to[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the fight scenes are enough to justify paying admission , there is no problem with this , as in most jackie chan projects and a lot of the hong kong actioners . 	when the fight scenes are enough to justify paying admission , there is no problem with this , as in most jackie chan projects and a lot of the hong kong actioners .	1	-3	 when[0] the[0] fight[-2] scenes[0] are[0] enough[0] to[0] justify[0] paying[0] admission[0] there[0] is[0] no[0] problem[-1] with[0] this[0] as[0] in[0] most[0] jackie[0] chan[0] projects[0] and[0] a[0] lot[0] of[0] the[0] hong[0] kong[0] actioners[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they aren't , well , we're in bad shape . 	when they aren't , well , we're in bad shape .	1	-2	 when[0] they[0] aren't[0] well[0] we're[0] in[0] bad[-1] shape[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kiss of the dragon , jet li's second consecutive american misfire , plays like one big miscalculation , and fails even as the most rudimentary entertainment . 	kiss of the dragon , jet li's second consecutive american misfire , plays like one big miscalculation , and fails even as the most rudimentary entertainment .	3	-3	 kiss[2] of[0] the[0] dragon[0] jet[0] li's[0] second[0] consecutive[0] american[0] misfire[0] plays[1] like[1] one[0] big[0] miscalculation[0] and[0] fails[-2] even[0] as[0] the[0] most[0] rudimentary[0] entertainment[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now before i start getting e-mails angrily touting the genius of jet li , let me explain myself . 	now before i start getting e-mails angrily touting the genius of jet li , let me explain myself .	1	-4	 now[0] before[0] i[0] start[0] getting[0] e[0] mails[0] angrily[-3] touting[0] the[0] genius[0] of[0] jet[0] li[0] let[0] me[0] explain[0] myself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
li is as spectacular as ever here , and i don't think anyone would ever dare call his martial-arts-star skills into question . 	li is as spectacular as ever here , and i don't think anyone would ever dare call his martial-arts-star skills into question .	1	-1	 li[0] is[0] as[0] spectacular[0] as[0] ever[0] here[0] and[0] i[0] don't[0] think[0] anyone[0] would[0] ever[0] dare[0] call[0] his[0] martial[0] arts[0] star[0] skills[0] into[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem isn't with him , it's with the movie's tone . 	the problem isn't with him , it's with the movie's tone .	1	-2	 the[0] problem[-1] isn't[0] with[0] him[0] it's[0] with[0] the[0] movie's[0] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
