toward the bottom of the '80s action movie barrel lies action jackson , the only movie in hollywood history to show sharon stone and vanity topless within a span of ten minutes . 	Translation	Positive	Negative	EmotionRationale
this carl " apollo creed " weathers vehicle features the traditional cop vs . evil establishment crook , and relies on all the '80s trappings , from the token heroin addict who needs a fix to the shouting superior officer . 	this carl " apollo creed " weathers vehicle features the traditional cop vs .<br> evil establishment crook , and relies on all the '80s trappings , from the token heroin addict who needs a fix to the shouting superior officer .	3	-3	 this[0] carl[0] apollo[0] creed[0] weathers[0] vehicle[0] features[0] the[0] traditional[0] cop[0] vs[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] establishment[0] crook[-1] and[0] relies[0] on[0] all[0] the[0] '80s[0] trappings[0] from[0] the[0] token[0] heroin[2] addict[-1] who[0] needs[0] a[0] fix[0] to[0] the[0] shouting[0] superior[2] officer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
somewhere in between come the explosions and boobs , although there is a curious lack of exploding boobs . 	somewhere in between come the explosions and bobs , although there is a curious lack of exploding bobs .	1	-2	 somewhere[0] in[0] between[0] come[0] the[0] explosions[-1] and[0] boobs/bobs[0] although[0] there[0] is[0] a[0] curious[0] lack[-1] of[0] exploding[0] boobs/bobs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
weathers is action jackson , a detroit cop known for all sorts of crazy vigilante techniques . 	weathers is action jackson , a detroit cop known for all sorts of crazy vigilante techniques .	1	-2	 weathers[0] is[0] action[0] jackson[0] a[0] detroit[0] cop[0] known[0] for[0] all[0] sorts[0] of[0] crazy[-1] vigilante[0] techniques[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
speaking of one past criminal apprehension , jackson's superior yells , " you tore his arm off ! " 	speaking of one past criminal apprehension , jackson's superior yells , " you tore his arm off !<br> "	3	-3	 speaking[0] of[0] one[0] past[0] criminal[-1] apprehension[-2] jackson's[0] superior[2] yells[0] you[0] tore[0] his[0] arm[0] off[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jackson replies , " he had a spare . " 	jackson replies , " he had a spare .<br> "	1	-1	 jackson[0] replies[0] he[0] had[0] a[0] spare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson has been busted down to a desk job because of past problems with auto manufacturer dellaplane ( craig t . nelson ) and now has to act as department liaison to a dinner honoring nelson . 	jackson has been busted down to a desk job because of past problems with auto manufacturer dellaplane ( craig t .<br> nelson ) and now has to act as department liaison to a dinner honoring nelson .	1	-2	 jackson[0] has[0] been[0] busted[0] down[0] to[0] a[0] desk[0] job[0] because[0] of[0] past[0] problems[-1] with[0] auto[0] manufacturer[0] dellaplane[0] craig[0] t[0] [[Sentence=-2,1=word max, 1-5]] nelson[0] and[0] now[0] has[0] to[0] act[0] as[0] department[0] liaison[0] to[0] a[0] dinner[0] honoring[0] nelson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
after hearing what jackson thinks of him , stone says , " i take it you're not one of dellaplane's friends . " 	after hearing what jackson thinks of him , stone says , " i take it you're not one of dellaplane's friends .<br> "	2	-1	 after[0] hearing[0] what[0] jackson[0] thinks[0] of[0] him[0] stone[0] says[0] i[0] take[0] it[0] you're[0] not[0] one[0] of[0] dellaplane's[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " not unless they changed the definition , " jackson glowers . 	 " not unless they changed the definition , " jackson glowers .	1	-1	 not[0] unless[0] they[0] changed[0] the[0] definition[0] jackson[0] glowers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course it turns out stone is mrs . dellaplane . 	and of course it turns out stone is mrs .<br> dellaplane .	1	-1	 and[0] of[0] course[0] it[0] turns[0] out[0] stone[0] is[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] dellaplane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
faux pas , jackson . . . 	faux pas , jackson .<br> .<br> .	1	-1	 faux[0] pas[0] jackson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not everything is happy in motown ; people are being killed and dellaplane has evil plans for the awa . 	not everything is happy in motown ; people are being killed and dellaplane has evil plans for the awa .	2	-4	 not[0] everything[0] is[0] happy[1] in[0] motown[0] people[0] are[0] being[0] killed[-3] and[0] dellaplane[0] has[0] evil[-2] plans[0] for[0] the[0] awa[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's all up to jackson to stop it , and his only lead lies in vanity ( not his own ) . 	it's all up to jackson to stop it , and his only lead lies in vanity ( not his own ) .	1	-3	 it's[0] all[0] up[0] to[0] jackson[0] to[0] stop[0] it[0] and[0] his[0] only[0] lead[0] lies[-2] in[0] vanity[-1] not[0] his[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
