movies don't come much more ridiculously titled than " i still know what you did last summer , " but since the movie in question is best described as ridiculous , the title sort of works as a warning . 	Translation	Positive	Negative	EmotionRationale
more than a silly-sounding mouthful to blurt out to the ticket vendor , this horror sequel's moniker also contains a grievous oversight that anyone who saw the original will be able to spot : what " you " did _last_ summer " you " actually did the summer _before_ last summer , and since " i " knew about it _this_ summer as well as _last_ summer , it's really illogical to say that " i " _still_ know what " you " did _last_ summer . 	more than a silly-sounding mouthful to blurt out to the ticket vendor , this horror sequel's moniker also contains a grievous oversight that anyone who saw the original will be able to spot : what " you " did _last_ summer " you " actually did the summer _before_ last summer , and since " i " knew about it _this_ summer as well as _last_ summer , it's really illogical to say that " i " _still_ know what " you " did _last_ summer .	1	-4	 more[0] than[0] a[0] silly[-1] sounding[0] mouthful[0] to[0] blurt[-1] out[0] to[0] the[0] ticket[0] vendor[0] this[0] horror[-3] sequel's[0] moniker[0] also[0] contains[0] a[0] grievous[-3] oversight[-1] that[0] anyone[0] who[0] saw[0] the[0] original[0] will[0] be[0] able[0] to[0] spot[0] what[0] you[0] did[0] _last_[0] summer[0] you[0] actually[0] did[0] the[0] summer[0] _before_[0] last[0] summer[0] and[0] since[0] i[0] knew[0] about[0] it[0] _this_[0] summer[0] as[0] well[0] as[0] _last_[0] summer[0] it's[0] really[0] illogical[-1][-1 LastWordBoosterStrength] to[0] say[0] that[0] i[0] _still_[0] know[0] what[0] you[0] did[0] _last_[0] summer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the filmmakers would have at least made sense with the shorter " i still know , " the longer " i still know what you did two summers ago " or the appropriate " stupid people getting hacked to bits . " 	the filmmakers would have at least made sense with the shorter " i still know , " the longer " i still know what you did two summers ago " or the appropriate " stupid people getting hacked to bits .<br> "	1	-2	 the[0] filmmakers[0] would[0] have[0] at[0] least[0] made[0] sense[0] with[0] the[0] shorter[0] i[0] still[0] know[0] the[0] longer[0] i[0] still[0] know[0] what[0] you[0] did[0] two[0] summers[0] ago[0] or[0] the[0] appropriate[0] stupid[-1] people[0] getting[0] hacked[0] to[0] bits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that last suggestion is the preferable one since the characters in this film do things that are the polar opposite of smart . 	that last suggestion is the preferable one since the characters in this film do things that are the polar opposite of smart .	2	-1	 that[0] last[0] suggestion[0] is[0] the[0] preferable[0] one[0] since[0] the[0] characters[0] in[0] this[0] film[0] do[0] things[0] that[0] are[0] the[0] polar[0] opposite[0] of[0] smart[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , if your roommate is plagued by terrible nightmares as a result of being stalked and nearly murdered not long ago , would you sneak into her room late at night and hide in the closet , even if it was just to locate and borrow a cute little dress ? 	for example , if your roommate is plagued by terrible nightmares as a result of being stalked and nearly murdered not long ago , would you sneak into her room late at night and hide in the closet , even if it was just to locate and borrow a cute little dress ?	2	-4	 for[0] example[0] if[0] your[0] roommate[0] is[0] plagued[-1] by[0] terrible[-3] nightmares[0] as[0] a[0] result[0] of[0] being[0] stalked[0] and[0] nearly[0] murdered[-3] not[0] long[0] ago[0] would[0] you[0] sneak[-1] into[0] her[0] room[0] late[0] at[0] night[0] and[0] hide[0] in[0] the[0] closet[0] even[0] if[0] it[0] was[0] just[0] to[0] locate[0] and[0] borrow[0] a[0] cute[1] little[0] dress[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
probably not , but that's precisely what college student karla ( pop diva brandy ) does to best friend julie ( jennifer love hewitt ) , resulting in the first in a long line of phony frights . 	probably not , but that's precisely what college student karla ( pop diva brandy ) does to best friend julie ( jennifer love hewitt ) , resulting in the first in a long line of phony frights .	3	-4	 probably[0] not[0] but[0] that's[0] precisely[0] what[0] college[0] student[0] karla[0] pop[0] diva[0] brandy[0] does[0] to[0] best[1] friend[1] julie[0] jennifer[0] love[2] hewitt[0] resulting[0] in[0] the[0] first[0] in[0] a[0] long[0] line[0] of[0] phony[0] frights[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
julie , you'll recall , was one of the sole survivors at the end of 1997's surprise hit " i know what you did last summer , " after a slasher with a grudge to bear - it's a _long_ story - began trying to pick off her , her buddies and various others in their coastal carolina village . 	julie , you'll recall , was one of the sole survivors at the end of 1997's surprise hit " i know what you did last summer , " after a slasher with a grudge to bear - it's a _long_ story - began trying to pick off her , her buddies and various others in their coastal carolina village .	1	-2	 julie[0] you'll[0] recall[0] was[0] one[0] of[0] the[0] sole[0] survivors[0] at[0] the[0] end[0] of[0] 1997's[0] surprise[0] hit[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] after[0] a[0] slasher[-1] with[0] a[0] grudge[-1] to[0] bear[0] it's[0] a[0] _long_[0] story[0] began[0] trying[0] to[0] pick[0] off[0] her[0] her[0] buddies[0] and[0] various[0] others[0] in[0] their[0] coastal[0] carolina[0] village[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this installment , the plot picks up as karla wins a trip to the bahamas , and julie , yet racked by guilt , decides that maybe a tropical getaway will help ease her mind . 	in this instalment , the plot picks up as karla wins a trip to the bahamas , and julie , yet racked by guilt , decides that maybe a tropical getaway will help ease her mind .	1	-4	 in[0] this[0] installment/instalment[0] the[0] plot[0] picks[0] up[0] as[0] karla[0] wins[0] a[0] trip[0] to[0] the[0] bahamas[0] and[0] julie[0] yet[0] racked[0] by[0] guilt[-3] decides[0] that[0] maybe[0] a[0] tropical[0] getaway[0] will[0] help[0] ease[0] her[0] mind[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yeah , right . 	yeah , right .	1	-1	 yeah[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their island paradise has room , of course , for one more in the form of the still-alive killer ( muse watson ) from the first film . 	their island paradise has room , of course , for one more in the form of the still-alive killer ( muse watson ) from the first film .	4	-2	 their[0] island[0] paradise[3] has[0] room[0] of[0] course[0] for[0] one[0] more[0] in[0] the[0] form[0] of[0] the[0] still[0] alive[0] killer[-1] muse[0] watson[0] from[0] the[0] first[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
he sports the same gorton's fisherman get-up , a heavy hat and rain slicker that mask his identity , but why he's still trying to stay anonymous is a mystery this movie never solves . . . 	he sports the same gorton's fisherman get-up , a heavy hat and rain slicker that mask his identity , but why he's still trying to stay anonymous is a mystery this movie never solves .<br> .<br> .	1	-1	 he[0] sports[0] the[0] same[0] gorton's[0] fisherman[0] get[0] up[0] a[0] heavy[0] hat[0] and[0] rain[0] slicker[0] that[0] mask[0] his[0] identity[0] but[0] why[0] he's[0] still[0] trying[0] to[0] stay[0] anonymous[0] is[0] a[0] mystery[0] this[0] movie[0] never[0] solves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
