despite its exceedingly well-done visual effects , 1995's original species was one big hunk of sci-fi cheese , from the writing to the feeble performances . 	Translation	Positive	Negative	EmotionRationale
so , coming from such b-grade roots , its sequel's stunning ineptitude is not terribly surprising , yet at the same time it is . 	so , coming from such b-grade roots , its sequel's stunning ineptitude is not terribly surprising , yet at the same time it is .	4	-1	 so[0] coming[0] from[0] such[0] b[0] grade[0] roots[0] its[0] sequel's[0] stunning[0] ineptitude[0] is[0] not[0] terribly[-3][NegatedDueToPreviousWord] surprising[0] yet[0] at[0] the[0] same[0] time[0] it[0] is[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it would not have been difficult at all for the people behind species ii to top the hokey original , yet they have somehow managed to fabricate something just as bad , if not even worse . 	it would not have been difficult at all for the people behind species i to top the hokey original , yet they have somehow managed to fabricate something just as bad , if not even worse .	3	-2	 it[0] would[0] not[0] have[0] been[0] difficult[-1] at[0] all[0] for[0] the[0] people[0] behind[0] species[0] ii/i[0] to[0] top[0] the[0] hokey[0] original[0] yet[0] they[0] have[0] somehow[0] managed[0] to[0] fabricate[-1] something[0] just[0] as[0] bad[-1] if[0] not[0] even[0] worse[-2][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
something is clearly amiss when the back door left open for a sequel in species--a sewer rat becomes not quite of this earth after eating a body part from the exploded alien/human hybrid sil--is never entered into ( perhaps that was left for species iii--though i'm not giving away anything when i say that this installment has an open back door of its own ) . 	something is clearly amiss when the back door left open for a sequel in species-a sewer rat becomes not quite of this earth after eating a body part from the exploded alien/human hybrid sil-is never entered into ( perhaps that was left for species i-though i'm not giving away anything when i say that this instalment has an open back door of its own ) .	2	-2	 something[0] is[0] clearly[0] amiss[-1] when[0] the[0] back[0] door[0] left[0] open[0] for[0] a[0] sequel[0] in[0] species[0] a[0] sewer[0] rat[-1] becomes[0] not[0] quite[0] of[0] this[0] earth[0] after[0] eating[0] a[0] body[0] part[0] from[0] the[0] exploded[-1] alien/human[0] hybrid[0] sil[0] is[0] never[0] entered[0] into[0] perhaps[0] that[0] was[0] left[0] for[0] species[0] iii/i[0][+0.6 MultipleLetters] though[0] i'm[0] not[0] giving[0] away[0] anything[0] when[0] i[0] say[0] that[0] this[0] installment/instalment[0] has[0] an[0] open[0] back[0] door[0] of[0] its[0] own[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the alien fun and games begin this time when a three-person astronaut crew returning from mars inadvertently carries within their soil samples deadly alien dna that eventually infects the mission captain , patrick ross ( justin lazard , late of cbs's short-lived soap of a few years back , central park west/cpw ) . 	the alien fun and games begin this time when a three-person astronaut crew returning from mars inadvertently carries within their soil samples deadly alien dna that eventually infects the mission captain , patrick ross ( justin lazard , late of cbs's short-lived soap of a few years back , central park west/cpw ) .	2	-2	 the[0] alien[-1] fun[1] and[0] games[0] begin[0] this[0] time[0] when[0] a[0] three[0] person[0] astronaut[0] crew[0] returning[0] from[0] mars[0] inadvertently[0] carries[0] within[0] their[0] soil[0] samples[0] deadly[-1] alien[-1] dna[0] that[0] eventually[0] infects[-1] the[0] mission[0] captain[0] patrick[0] ross[0] justin[0] lazard[0] late[0] of[0] cbs's[0] short[0] lived[0] soap[0] of[0] a[0] few[0] years[0] back[0] central[0] park[0] west/cpw[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this alien dna is not identical to that which created the original film's sil , but it's close enough , and upon arrival on earth patrick is mating like crazy , engaging in bloody sex with just about every woman he can find . 	this alien dna is not identical to that which created the original film's sil , but it's close enough , and upon arrival on earth patrick is mating like crazy , engaging in bloody sex with just about every woman he can find .	2	-2	 this[0] alien[-1] dna[0] is[0] not[0] identical[0] to[0] that[0] which[0] created[0] the[0] original[0] film's[0] sil[0] but[0] it's[0] close[0] enough[0] and[0] upon[0] arrival[0] on[0] earth[0] patrick[0] is[0] mating[0] like[1] crazy[-1] engaging[0] in[0] bloody[-1] sex[0] with[0] just[0] about[0] every[0] woman[0] he[0] can[0] find[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , scientist dr . laura baker ( the returning marg helgenberger ) has created a clone of sil named eve ( natasha henstridge again ) for research purposes . 	meanwhile , scientist dr .<br> laura baker ( the returning marg helgenberger ) has created a clone of sil named eve ( natasha henstridge again ) for research purposes .	1	-1	 meanwhile[0] scientist[0] dr[0] [[Sentence=-1,1=word max, 1-5]] laura[0] baker[0] the[0] returning[0] marg[0] helgenberger[0] has[0] created[0] a[0] clone[0] of[0] sil[0] named[0] eve[0] natasha[0] henstridge[0] again[0] for[0] research[0] purposes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't take long for eve to sense another alien presence , which send her libido into hyperdrive . 	it doesn't take long for eve to sense another alien presence , which send her libido into hyperdrive .	1	-2	 it[0] doesn't[0] take[0] long[0] for[0] eve[0] to[0] sense[0] another[0] alien[-1] presence[0] which[0] send[0] her[0] libido[0] into[0] hyperdrive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's up to laura and her former partner , bounty hunter press lennox ( michael madsen , another returnee ) ; and patrick's uninfected shipmate dennis gamble ( mykelti williamson ) to find patrick before the in-heat eve does . 	it's up to laura and her former partner , bounty hunter press lennox ( michael madsen , another returnee ) ; and patrick's uninfected shipmate dennis gamble ( mykelti williamson ) to find patrick before the in-heat eve does .	1	-2	 it's[0] up[0] to[0] laura[0] and[0] her[0] former[0] partner[0] bounty[0] hunter[-1] press[0] lennox[0] michael[0] madsen[0] another[0] returnee[0] and[0] patrick's[0] uninfected[0] shipmate[0] dennis[0] gamble[-1] mykelti[0] williamson[0] to[0] find[0] patrick[0] before[0] the[0] in[0] heat[0] eve[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " this isn't the x-files , goddammit ! " 	 " this isn't the x-files , goddammit !<br> "	1	-3	 this[0] isn't[0] the[0] x[1][NegatedDueToPreviousWord] files[0] goddammit[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
exclaims one character in the early going . 	exclaims one character in the early going .	1	-1	 exclaims[0] one[0] character[0] in[0] the[0] early[0] going[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in terms of quality , he's absolutely right , but he's also wrong . 	in terms of quality , he's absolutely right , but he's also wrong .	1	-2	 in[0] terms[0] of[0] quality[0] he's[0] absolutely[0] right[0] but[0] he's[0] also[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the new alien first appears as an otherworldly oozing sludge that causes patrick's pupils to dilate once he's infected . 	the new alien first appears as an otherworldly oozing sludge that causes patrick's pupils to dilate once he's infected .	1	-2	 the[0] new[0] alien[-1] first[0] appears[0] as[0] an[0] otherworldly[0] oozing[0] sludge[0] that[0] causes[0] patrick's[0] pupils[0] to[0] dilate[0] once[0] he's[0] infected[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
looks and sounds an awful lot like the x-files's " black cancer " to me . 	looks and sounds an awful lot like the x-files's " black cancer " to me .	2	-4	 looks[0] and[0] sounds[0] an[0] awful[-3] lot[0] like[1] the[0] x[1] files's[0] black[0] cancer[-3] to[0] me[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but that's not the only source director peter medak and writer chris brancato steal from . 	but that's not the only source director peter medak and writer chris brancato steal from .	1	-3	 but[0] that's[0] not[0] the[0] only[0] source[-1] director[0] peter[0] medak[0] and[0] writer[0] chris[0] brancato[0] steal[-2] from[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
species was already a ripoff of alien , but medak makes the cribbing much more blatant than the original's director , roger donaldson , did . 	species was already a ripoff of alien , but medak makes the cribbing much more blatant than the original's director , roger donaldson , did .	1	-2	 species[0] was[0] already[0] a[0] ripoff[0] of[0] alien[-1] but[0] medak[0] makes[0] the[0] cribbing[0] much[0] more[0] blatant[-1] than[0] the[0] original's[0] director[0] roger[0] donaldson[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
human patrick is given a tongue that also has a tongue within itself , and his alien form more closely resembles the alien than eve's alien body ( which ironically was designed by alien designer h . r . giger ) . 	human patrick is given a tongue that also has a tongue within itself , and his alien form more closely resembles the alien than eve's alien body ( which ironically was designed by alien designer h .<br> are .<br> giger ) .	1	-2	 human[0] patrick[0] is[0] given[0] a[0] tongue[0] that[0] also[0] has[0] a[0] tongue[0] within[0] itself[0] and[0] his[0] alien[-1] form[0] more[0] closely[0] resembles[0] the[0] alien[-1] than[0] eve's[0] alien[-1] body[0] which[0] ironically[-1] was[0] designed[0] by[0] alien[-1] designer[0] h[0] [[Sentence=-2,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]] giger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
a large alien hive that our heros douse with a substance fired from large guns ? 	a large alien hive that our heros douse with a substance fired from large guns ?	3	-3	 a[0] large[0] alien[-1] hive[0] that[0] our[0] heros[2] douse[0] with[0] a[0] substance[0] fired[-2] from[0] large[0] guns[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
aliens sans flamethrowers . 	aliens sans flamethrowers .	1	-1	 aliens[0] sans[0] flamethrowers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual effects were by far the best thing about species , and the sequel's effects crew at steve johnson's xfx inc . keeps that high-quality tradition alive ; no cheap-looking lost in space cgi here . 	the visual effects were by far the best thing about species , and the sequel's effects crew at steve johnson's xfx inc .<br> keeps that high-quality tradition alive ; no cheap-looking lost in space cgi here .	2	-2	 the[0] visual[0] effects[0] were[0] by[0] far[0] the[0] best[1] thing[0] about[0] species[0] and[0] the[0] sequel's[0] effects[0] crew[0] at[0] steve[0] johnson's[0] xfx[0] inc[0] [[Sentence=-1,2=word max, 1-5]] keeps[0] that[0] high[0] quality[0] tradition[0] alive[0] no[0] cheap[-1] looking[0] lost[0] in[0] space[0] cgi[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
