 " . . . because i'm a scientist . 	Translation	Positive	Negative	EmotionRationale
that's what we do ! " 	that's what we do !<br> "	1	-1	 that's[0] what[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--- dr . alexander mccabe ( bob gunton ) , in response to why he created evil bats . 	- dr .<br> alexander mccabe ( bob gunton ) , in response to why he created evil bats .	1	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] alexander[0] mccabe[0] bob[0] gunton[-1] in[0] response[0] to[0] why[0] he[0] created[0] evil[-2] bats[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
alright folks , stop me if you've heard this one : genetically altered animals wreak havoc on a town and a small band of locals , assisted by a specialist in the particular animal's field , must team up to stop the mutant creatures before they can multiply and spread across the earth . 	alright folks , stop me if you've heard this one : genetically altered animals wreak havoc on a town and a small band of locals , assisted by a specialist in the particular animal's field , must team up to stop the mutant creatures before they can multiply and spread across the earth .	2	-2	 alright[0] folks[0] stop[0] me[0] if[0] you've[0] heard[0] this[0] one[0] genetically[0] altered[0] animals[0] wreak[0] havoc[-1] on[0] a[0] town[0] and[0] a[0] small[0] band[0] of[0] locals[0] assisted[0] by[0] a[0] specialist[1] in[0] the[0] particular[0] animal's[0] field[0] must[0] team[0] up[0] to[0] stop[0] the[0] mutant[0] creatures[0] before[0] they[0] can[0] multiply[0] and[0] spread[0] across[0] the[0] earth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh yeah , the military is on their way to bomb the town as well , so they are running short on time . 	oh yeah , the military is on their way to bomb the town as well , so they are running short on time .	1	-2	 oh[0] yeah[0] the[0] military[0] is[0] on[0] their[0] way[0] to[0] bomb[-1] the[0] town[0] as[0] well[0] so[0] they[0] are[0] running[0] short[0] on[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sound familiar ? 	sound familiar ?	1	-1	 sound[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such is the plot of the destination films release of bats . 	such is the plot of the destination films release of bats .	1	-1	 such[0] is[0] the[0] plot[0] of[0] the[0] destination[0] films[0] release[0] of[0] bats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dina meyer stars as the " bat specialist " sheila , who is pulled from her research ( along with her annoying sidekick , played with irritating deftness by leon ) in order to help a small texas town figure out why some local citizens and animals have been chewed to death recently . 	dina meyer stars as the " bat specialist " sheila , who is pulled from her research ( along with her annoying sidekick , played with irritating deftness by leon ) in order to help a small texas town figure out why some local citizens and animals have been chewed to death recently .	2	-3	 dina[0] meyer[0] stars[0] as[0] the[0] bat[0] specialist[1] sheila[0] who[0] is[0] pulled[0] from[0] her[0] research[0] along[0] with[0] her[0] annoying[-2] sidekick[0] played[0] with[0] irritating[-2] deftness[0] by[0] leon[0] in[0] order[0] to[0] help[0] a[0] small[0] texas[0] town[0] figure[0] out[0] why[0] some[0] local[0] citizens[0] and[0] animals[0] have[0] been[0] chewed[0] to[0] death[-2] recently[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with the help of the local sheriff ( lou diamond phillips ) , a cdc official ( carlos jacott ) , and a scientist ( bob gunton ) , sheila discovers it is indeed bats ( who have been genetically altered by gunton's character to be more aggressive and omnivorous , in order to be used as a military weapon ! ) . 	with the help of the local sheriff ( lou diamond phillips ) , a cdc official ( carlos jacott ) , and a scientist ( bob gunton ) , sheila discovers it is indeed bats ( who have been genetically altered by gunton's character to be more aggressive and omnivorous , in order to be used as a military weapon !<br> ) .	1	-3	 with[0] the[0] help[0] of[0] the[0] local[0] sheriff[0] lou[0] diamond[0] phillips[0] a[0] cdc[0] official[0] carlos[0] jacott[0] and[0] a[0] scientist[0] bob[0] gunton[-1] sheila[0] discovers[0] it[0] is[0] indeed[0] bats[0] who[0] have[0] been[0] genetically[0] altered[0] by[0] gunton's[-1] character[0] to[0] be[0] more[0] aggressive[-2] and[0] omnivorous[0] in[0] order[0] to[0] be[0] used[0] as[0] a[0] military[0] weapon[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i have to say here that i knew exactly what i was getting into going into this film . 	i have to say here that i knew exactly what i was getting into going into this film .	1	-1	 i[0] have[0] to[0] say[0] here[0] that[0] i[0] knew[0] exactly[0] what[0] i[0] was[0] getting[0] into[0] going[0] into[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not a frame of promotional footage i have seen for the film that would have led me to believe it was going to be any good . 	there's not a frame of promotional footage i have seen for the film that would have led me to believe it was going to be any good .	2	-1	 there's[0] not[0] a[0] frame[0] of[0] promotional[0] footage[0] i[0] have[0] seen[0] for[0] the[0] film[0] that[0] would[0] have[0] led[0] me[0] to[0] believe[0] it[0] was[0] going[0] to[0] be[0] any[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
