this is the last carry on film with its almost intact regular cast and it is the swansong of hattie jacques and sid james . 	Translation	Positive	Negative	EmotionRationale
dick turpin ( sid james ) and his gang which includes harriett/harry ( barbara windsor ) and tom " doc " scholl ( peter butterworth ) , terrorise the countryside by staging highway robberies : " stand and deliver ! " 	dick turpin ( sid james ) and his gang which includes harriett/harry ( barbara windsor ) and tom " doc " scholl ( peter butterworth ) , terrorise the countryside by staging highway robberies : " stand and deliver !<br> "	1	-3	 dick[0] turpin[0] sid[0] james[0] and[0] his[0] gang[0] which[0] includes[0] harriett/harry[0] barbara[0] windsor[0] and[0] tom[0] doc[0] scholl[0] peter[0] butterworth[0] terrorise[-2] the[0] countryside[0] by[0] staging[0] highway[0] robberies[-1] stand[0] and[0] deliver[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
owing to the increased occurrence of turpin's robberies , captain desmond fancey of the bow street runners ( kenneth williams ) and his sidekick sergeant jock strapp ( jack douglas ) visit turpin's area of influence to bring him to justice . 	owing to the increased occurrence of turpin's robberies , captain desmond fancey of the bow street runners ( kenneth williams ) and his sidekick sergeant jock strap ( jack douglas ) visit turpin's area of influence to bring him to justice .	1	-2	 owing[0] to[0] the[0] increased[0] occurrence[0] of[0] turpin's[0] robberies[-1] captain[0] desmond[0] fancey[0] of[0] the[0] bow[0] street[0] runners[0] kenneth[0] williams[0] and[0] his[0] sidekick[0] sergeant[0] jock[0] strapp/strap[0] jack[0] douglas[0] visit[0] turpin's[0] area[0] of[0] influence[0] to[0] bring[0] him[0] to[0] justice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are under the express orders of sir roger daley ( bernard bresslaw ) . 	they are under the express orders of sir roger daley ( bernard bresslaw ) .	1	-1	 they[0] are[0] under[0] the[0] express[0] orders[0] of[0] sir[0] roger[0] daley[0] bernard[0] bresslaw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their intellect does not count for much and when they increasingly become suspicious of reverend flasher aka dick turpin ( sid james ) , whom they confided in earlier , they still cannot believe that the rector has any part in these robberies . 	their intellect does not count for much and when they increasingly become suspicious of reverend flasher aka dick turpin ( sid james ) , whom they confided in earlier , they still cannot believe that the rector has any part in these robberies .	1	-2	 their[0] intellect[0] does[0] not[0] count[0] for[0] much[0] and[0] when[0] they[0] increasingly[0] become[0] suspicious[-1] of[0] reverend[0] flasher[0] aka[0] dick[0] turpin[0] sid[0] james[0] whom[0] they[0] confided[0] in[0] earlier[0] they[0] still[0] cannot[0] believe[0] that[0] the[0] rector[0] has[0] any[0] part[0] in[0] these[0] robberies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , once they catch harriett and put her in jail , and sir roger daley takes complete charge , it seems that there is no hope for dick turpin . 	however , once they catch harriett and put her in jail , and sir roger daley takes complete charge , it seems that there is no hope for dick turpin .	3	-3	 however[0] once[0] they[0] catch[0] harriett[0] and[0] put[0] her[0] in[0] jail[-1] and[0] sir[0] roger[0] daley[0] takes[0] complete[0] charge[-1][-1 LastWordBoosterStrength] it[0] seems[0] that[0] there[0] is[0] no[0] hope[2] for[0] dick[0] turpin[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then again , sir roger has assigned the dimwits fancey and jock strapp aswell as the old dithering constable ( kenneth connor ) to keep an eye on their prisoner ! 	then again , sir roger has assigned the dimwits fancey and jock strap aswell as the old dithering constable ( kenneth connor ) to keep an eye on their prisoner !	1	-2	 then[0] again[0] sir[0] roger[0] has[0] assigned[0] the[0] dimwits[-1] fancey[0] and[0] jock[0] strapp/strap[0] aswell[0] as[0] the[0] old[0] dithering[0] constable[0] kenneth[0] connor[0] to[0] keep[0] an[0] eye[0] on[0] their[0] prisoner[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no doubt that this is a 'sid james' carry on movie . 	there is no doubt that this is a 'sid james' carry on movie .	1	-2	 there[0] is[0] no[0] doubt[-1] that[0] this[0] is[0] a[0] 'sid[0] james'[0] carry[0] on[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he excels in double roles ( as in 'carry on- don't lose your head' ) and his performance as flasher and turpin is hilarious . 	he excels in double roles ( as in 'carry on- don't lose your head' ) and his performance as flasher and turpin is hilarious .	3	-1	 he[0] excels[2] in[0] double[0] roles[0] as[0] in[0] 'carry[0] on[0] don't[0] lose[-1][NegatedDueToPreviousWord] your[0] head'[0] and[0] his[0] performance[0] as[0] flasher[0] and[0] turpin[0] is[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
barbara windsor is also funny as harriett the sex mad housemaid and member of the gang , and hattie jacques' small but effective role as the rector's housekeeper martha hoggett is played to perfection . 	barbara windsor is also funny as harriett the sex mad housemaid and member of the gang , and hattie jacques' small but effective role as the rector's housekeeper martha hoggett is played to perfection .	2	-2	 barbara[0] windsor[0] is[0] also[0] funny[1] as[0] harriett[0] the[0] sex[0] mad[-1] housemaid[0] and[0] member[0] of[0] the[0] gang[0] and[0] hattie[0] jacques'[0] small[0] but[0] effective[0] role[0] as[0] the[0] rector's[0] housekeeper[0] martha[0] hoggett[0] is[0] played[0] to[0] perfection[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jack douglas plays a milder version of his excruciatingly annoying on-screen persona and kenneth williams is given a rather mundane part . 	jack douglas plays a milder version of his excruciatingly annoying on-screen persona and kenneth williams is given a rather mundane part .	2	-5	 jack[0] douglas[0] plays[1] a[0] milder[0] version[0] of[0] his[0] excruciatingly[-4] annoying[-2][-1 MultiplePositiveWords] on[0] screen[0] persona[0] and[0] kenneth[0] williams[0] is[0] given[0] a[0] rather[0] mundane[-1] part[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
