you don't look at a ren ? magritte painting and search for a deeper meaning . 	Translation	Positive	Negative	EmotionRationale
you likewise don't look at one for 88 minutes straight . 	you likewise don't look at one for 88 minutes straight .	1	-1	 you[0] likewise[0] don't[0] look[0] at[0] one[0] for[0] 88[0] minutes[0] straight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surrealist works are notable for their quirks , and they are fun , but looking at one quirk for an hour and a half is exhausting . 	surrealist works are notable for their quirks , and they are fun , but looking at one quirk for an hour and a half is exhausting .	2	-2	 surrealist[0] works[0] are[0] notable[0] for[0] their[0] quirks[0] and[0] they[0] are[0] fun[1] but[0] looking[0] at[0] one[0] quirk[0] for[0] an[0] hour[0] and[0] a[0] half[0] is[0] exhausting[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that was my experience with i woke up early the day i died , a surrealistic , hyperactive comedy with no dialogue . 	that was my experience with i woke up early the day i died , a surrealistic , hyperactive comedy with no dialogue .	1	-1	 that[0] was[0] my[0] experience[0] with[0] i[0] woke[0] up[0] early[0] the[0] day[0] i[0] died[0] a[0] surrealistic[0] hyperactive[0] comedy[0] with[0] no[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not a silent movie ; there is lots of atmospheric music , occasional screams and weird sound effects , but nobody ever utters an audible word . 	it's not a silent movie ; there is lots of atmospheric music , occasional screams and weird sound effects , but nobody ever utters an audible word .	1	-4	 it's[0] not[0] a[0] silent[0] movie[0] there[0] is[0] lots[0] of[0] atmospheric[0] music[0] occasional[0] screams[-3] and[0] weird[-1] sound[0] effects[0] but[0] nobody[0] ever[0] utters[0] an[0] audible[0] word[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though the film is distinctive , its unique style wore thin after about 20 minutes , and as it progressed , watching became a chore . 	though the film is distinctive , its unique style wore thin after about 20 minutes , and as it progressed , watching became a chore .	1	-3	 though[0] the[0] film[0] is[0] distinctive[0] its[0] unique[0] style[0] wore[0] thin[0] after[0] about[0] 20[0] minutes[0] and[0] as[0] it[0] progressed[0] watching[0] became[0] a[0] chore[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only reason the script ever got filmed is because it was written by the pseudo-legendary ed wood , the man behind such " classics " as plan 9  from outer space and night of the ghouls . 	the only reason the script ever got filmed is because it was written by the pseudo-legendary ed wood , the man behind such " classics " as plan 9  from outer space and night of the ghouls .	1	-1	 the[0] only[0] reason[0] the[0] script[0] ever[0] got[0] filmed[0] is[0] because[0] it[0] was[0] written[0] by[0] the[0] pseudo[0] legendary[0] ed[0] wood[0] the[0] man[0] behind[0] such[0] classics[0] as[0] plan[0] 9[0] from[0] outer[0] space[0] and[0] night[0] of[0] the[0] ghouls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the joke , of course , is that his films are so bad , they're good ; so humorous in their inanity that they become hits . 	the joke , of course , is that his films are so bad , they're good ; so humorous in their inanity that they become hits .	3	-2	 the[0] joke[1] of[0] course[0] is[0] that[0] his[0] films[0] are[0] so[0] bad[-1] they're[0] good[1] so[0] humorous[2] in[0] their[0] inanity[0] that[0] they[0] become[0] hits[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i woke up early the day i died , unfortunatly , is so bad that it's really bad . 	i woke up early the day i died , unfortunatly , is so bad that it's really bad .	1	-3	 i[0] woke[0] up[0] early[0] the[0] day[0] i[0] died[0] unfortunatly[0] is[0] so[0] bad[-1] that[0] it's[0] really[0] bad[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it stars billy zane ( titanic ) as a dangerous lunatic who overpowers a nurse , escapes from a mental hospital and proceeds to wonder around , stealing a car , clothes , and a load of money . 	it stars billy zane ( titanic ) as a dangerous lunatic who overpowers a nurse , escapes from a mental hospital and proceeds to wonder around , stealing a car , clothes , and a load of money .	1	-3	 it[0] stars[0] billy[0] zane[0] titanic[0] as[0] a[0] dangerous[-1] lunatic[-1] who[0] overpowers[-1] a[0] nurse[0] escapes[0] from[0] a[0] mental[0] hospital[0] and[0] proceeds[0] to[0] wonder[0] around[0] stealing[-2] a[0] car[0] clothes[0] and[0] a[0] load[0] of[0] money[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
our thief reaches a cemetery , where he witnesses a bizarre ritual . 	our thief reaches a cemetery , where he witnesses a bizarre ritual .	1	-2	 our[0] thief[-1] reaches[0] a[0] cemetery[0] where[0] he[0] witnesses[0] a[0] bizarre[-1] ritual[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
