capsule : the much anticipated re-adaptation of the pierre boulle novel comes to the screen as a dark and a little dreary film with lots of chases and fighting , but very little intelligence . 	Translation	Positive	Negative	EmotionRationale
visually there is much to like about this version , but the approach is to take an adventure after the style of gulliver's travels and treat it as an action film . 	visually there is much to like about this version , but the approach is to take an adventure after the style of gulliver's travels and treat it as an action film .	2	-1	 visually[0] there[0] is[0] much[0] to[0] like[1] about[0] this[0] version[0] but[0] the[0] approach[0] is[0] to[0] take[0] an[0] adventure[0] after[0] the[0] style[0] of[0] gulliver's[0] travels[0] and[0] treat[1] it[0] as[0] an[0] action[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that makes it a film without much center . 	that makes it a film without much center .	1	-1	 that[0] makes[0] it[0] a[0] film[0] without[0] much[0] center[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 , 0 ( -4 to  4 ) 	 , 0 ( -4 to  4 )	1	-1	 0[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pierre boulle , author of the bridge on the river kwai , wrote planet of the apes ( a . k . a . monkey planet ) , the novel , as a social satire . 	pierre boulle , author of the bridge on the river kwai , wrote planet of the apes ( a .<br> k .<br> a .<br> monkey planet ) , the novel , as a social satire .	1	-1	 pierre[0] boulle[0] author[0] of[0] the[0] bridge[0] on[0] the[0] river[0] kwai[0] wrote[0] planet[0] of[0] the[0] apes[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] monkey[0] planet[0] the[0] novel[0] as[0] a[0] social[0] satire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it reads a lot like a fifth book of gulliver's travels . 	it reads a lot like a fifth book of gulliver's travels .	2	-1	 it[0] reads[0] a[0] lot[0] like[1] a[0] fifth[0] book[0] of[0] gulliver's[0] travels[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
humans discover a planet in which the roles of apes and humans have been reversed , not unlike the roles of horses and humans on jonathan swift's island of the houyhnhnms . 	humans discover a planet in which the roles of apes and humans have been reversed , not unlike the roles of horses and humans on jonathan swift's island of the houyhnhnms .	1	-1	 humans[0] discover[0] a[0] planet[0] in[0] which[0] the[0] roles[0] of[0] apes[0] and[0] humans[0] have[0] been[0] reversed[0] not[0] unlike[0] the[0] roles[0] of[0] horses[0] and[0] humans[0] on[0] jonathan[0] swift's[0] island[0] of[0] the[0] houyhnhnms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the novel moves somewhat slowly to create some suspense in revealing all the things most film fans know to be true about the nature of the planet . 	the novel moves somewhat slowly to create some suspense in revealing all the things most film fans know to be true about the nature of the planet .	2	-1	 the[0] novel[0] moves[0] somewhat[0] slowly[0] to[0] create[0] some[0] suspense[0] in[0] revealing[0] all[0] the[0] things[0] most[0] film[0] fans[0] know[0] to[0] be[0] true[1] about[0] the[0] nature[0] of[0] the[0] planet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seems to me there is also a statement about human cruelty to animals , but perhaps i was just looking for that . 	it seems to me there is also a statement about human cruelty to animals , but perhaps i was just looking for that .	1	-4	 it[0] seems[0] to[0] me[0] there[0] is[0] also[0] a[0] statement[0] about[0] human[0] cruelty[-3] to[0] animals[0] but[0] perhaps[0] i[0] was[0] just[0] looking[0] for[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when rod serling adapted the novel into a film released in 1968 , he added a number of serling touches , familiar from episodes of the twilight zone and changed the ending to make it more serling-ish . 	when rod serling adapted the novel into a film released in 1968 , he added a number of serling touches , familiar from episodes of the twilight zone and changed the ending to make it more serling-ish .	1	-1	 when[0] rod[0] serling[0] adapted[0] the[0] novel[0] into[0] a[0] film[0] released[0] in[0] 1968[0] he[0] added[0] a[0] number[0] of[0] serling[0] touches[0] familiar[0] from[0] episodes[0] of[0] the[0] twilight[0] zone[0] and[0] changed[0] the[0] ending[0] to[0] make[0] it[0] more[0] serling[0] ish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final irony of the original version has become film history . 	the final irony of the original version has become film history .	1	-2	 the[0] final[0] irony[-1] of[0] the[0] original[0] version[0] has[0] become[0] film[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without it there could never have been a " planet of the apes " film series . 	without it there could never have been a " planet of the apes " film series .	1	-1	 without[0] it[0] there[0] could[0] never[0] have[0] been[0] a[0] planet[0] of[0] the[0] apes[0] film[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can surmise only that serling ran into serious script problems in how to handle the tricky question of language . 	i can surmise only that serling ran into serious script problems in how to handle the tricky question of language .	1	-2	 i[0] can[0] surmise[0] only[0] that[0] serling[0] ran[0] into[0] serious[-1] script[0] problems[-1] in[0] how[0] to[0] handle[0] the[0] tricky[-1] question[0] of[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the book the apes had their own language and the human eventually learned that language . 	in the book the apes had their own language and the human eventually learned that language .	1	-1	 in[0] the[0] book[0] the[0] apes[0] had[0] their[0] own[0] language[0] and[0] the[0] human[0] eventually[0] learned[0] that[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that could have been done in the film , but that would have required the entire film to be subtitled for the non-ape-speaking . 	that could have been done in the film , but that would have required the entire film to be subtitled for the non-ape-speaking .	1	-1	 that[0] could[0] have[0] been[0] done[0] in[0] the[0] film[0] but[0] that[0] would[0] have[0] required[0] the[0] entire[0] film[0] to[0] be[0] subtitled[0] for[0] the[0] non[0] ape[0] speaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
serling avoided this by having the apes speak english and , of course , there is some justification for that by the end of the film . 	serling avoided this by having the apes speak english and , of course , there is some justification for that by the end of the film .	1	-2	 serling[0] avoided[-1] this[0] by[0] having[0] the[0] apes[0] speak[0] english[0] and[0] of[0] course[0] there[0] is[0] some[0] justification[0] for[0] that[0] by[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
justifying why the apes spoke english may have even been the inspiration for his surprise ending . 	justifying why the apes spoke english may have even been the inspiration for his surprise ending .	3	-1	 justifying[0] why[0] the[0] apes[0] spoke[0] english[0] may[0] have[0] even[0] been[0] the[0] inspiration[2] for[0] his[0] surprise[0] ending[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but serling never tackles the all-important question of why a supposedly intelligent human never shows any curiosity or even surprise that the apes speak his own language , a language they had no opportunity to ever hear . 	but serling never tackles the all-important question of why a supposedly intelligent human never shows any curiosity or even surprise that the apes speak his own language , a language they had no opportunity to ever hear .	2	-1	 but[0] serling[0] never[0] tackles[0] the[0] all[0] important[0] question[0] of[0] why[0] a[0] supposedly[0] intelligent[1] human[0] never[0] shows[0] any[0] curiosity[0] or[0] even[0] surprise[0] that[0] the[0] apes[0] speak[0] his[0] own[0] language[0] a[0] language[0] they[0] had[0] no[0] opportunity[0] to[0] ever[0] hear[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
few viewers questioned this serious plot hole , however , and the film has become well respected in cinema history . 	few viewers questioned this serious plot hole , however , and the film has become well respected in cinema history .	3	-2	 few[0] viewers[0] questioned[0] this[0] serious[-1] plot[0] hole[0] however[0] and[0] the[0] film[0] has[0] become[0] well[0] respected[2] in[0] cinema[0] history[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
partial credit at least should go to jerry goldsmith whose extremely inventive score is one of goldsmith's best if not his best . 	partial credit at least should go to jerry goldsmith whose extremely inventive score is one of goldsmith's best if not his best .	2	-2	 partial[0] credit[0] at[0] least[0] should[0] go[0] to[0] jerry[0] goldsmith[0] whose[0] extremely[0] inventive[0] score[0] is[0] one[0] of[0] goldsmith's[0] best[1] if[0] not[0] his[0] best[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the film's success called for sequels , the filmmakers turned up the violence and they added well-intentioned , though not very subtle , political messages about what was happening in the united states of the 1960s and 1970s . 	when the film's success called for sequels , the filmmakers turned up the violence and they added well-intentioned , though not very subtle , political messages about what was happening in the united states of the 1960s and 1970s .	3	-4	 when[0] the[0] film's[0] success[2] called[0] for[0] sequels[0] the[0] filmmakers[0] turned[0] up[0] the[0] violence[-3] and[0] they[0] added[0] well[0] intentioned[0] though[0] not[0] very[0] subtle[0] political[0] messages[0] about[0] what[0] was[0] happening[0] in[0] the[0] united[0] states[0] of[0] the[0] 1960s[0] and[0] 1970s[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while the first film had a little shooting of guns and what was there seemed a little half- hearted , by the second film , beneath the planet of the apes , there was a good deal more violence and from that point on the series had a lot of violence and chases . 	while the first film had a little shooting of guns and what was there seemed a little half- hearted , by the second film , beneath the planet of the apes , there was a good deal more violence and from that point on the series had a lot of violence and chases .	2	-4	 while[0] the[0] first[0] film[0] had[0] a[0] little[0] shooting[-1] of[0] guns[-1] and[0] what[0] was[0] there[0] seemed[0] a[0] little[0] half[0] hearted[0] by[0] the[0] second[0] film[0] beneath[0] the[0] planet[0] of[0] the[0] apes[0] there[0] was[0] a[0] good[1] deal[0] more[0] violence[-3] and[0] from[0] that[0] point[0] on[0] the[0] series[0] had[0] a[0] lot[0] of[0] violence[-3] and[0] chases[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the series concluded with battle for the planet of the apes in 1973 . 	the series concluded with battle for the planet of the apes in 1973 .	1	-2	 the[0] series[0] concluded[0] with[0] battle[-1] for[0] the[0] planet[0] of[0] the[0] apes[0] in[0] 1973[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now director tim burton tries his hand at adapting the original book again . 	now director tim burton tries his hand at adapting the original book again .	1	-1	 now[0] director[0] tim[0] burton[0] tries[0] his[0] hand[0] at[0] adapting[0] the[0] original[0] book[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those who thought that the 1968 version was not very faithful to the book , burton's new version is even less faithful . 	for those who thought that the 1968 version was not very faithful to the book , burton's new version is even less faithful .	2	-3	 for[0] those[0] who[0] thought[0] that[0] the[0] 1968[0] version[0] was[0] not[0] very[0] faithful[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] the[0] book[0] burton's[0] new[0] version[0] is[0] even[0] less[0] faithful[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
first , he does not really reverse the roles of the humans and the apes . 	first , he does not really reverse the roles of the humans and the apes .	1	-1	 first[0] he[0] does[0] not[0] really[0] reverse[0] the[0] roles[0] of[0] the[0] humans[0] and[0] the[0] apes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has them both be intelligent , articulate races battling for a dominance of the planet currently in the hands , uh , make that paws , of the apes . 	he has them both be intelligent , articulate races battling for a dominance of the planet currently in the hands , uh , make that paws , of the apes .	2	-1	 he[0] has[0] them[0] both[0] be[0] intelligent[1] articulate[0] races[0] battling[0] for[0] a[0] dominance[0] of[0] the[0] planet[0] currently[0] in[0] the[0] hands[0] uh[0] make[0] that[0] paws[0] of[0] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that could be a good story too , but it is not planet of the apes . 	that could be a good story too , but it is not planet of the apes .	2	-1	 that[0] could[0] be[0] a[0] good[1] story[0] too[0] but[0] it[0] is[0] not[0] planet[0] of[0] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
