from dusk till dawn ( director/editor : robert rodriguez ; screenwriters : quentin tarantino/robert kurtzman ( story ) ; cinematographer : guillermo navarro ; cast : quentin tarantino ( richie gecko ) , george clooney ( seth gecko ) , juliette lewis ( kate fuller ) , harvey keitel ( jacob fuller ) , ernest liu ( scott fuller ) , salma hayek ( santanico pandemonium ) , tom savini ( sex machine ) , fred williamson ( frost ) , cheech marin ( border guard/chet pussy/carlos ) , michael parks ( texas ranger ) , brenda hillhouse ( hostage gloria ) ; runtime : 108 ; dimension films ; 1996 ) 	Translation	Positive	Negative	EmotionRationale
reviewed by dennis schwartz 	reviewed by dennis schwartz	1	-1	 reviewed[0] by[0] dennis[0] schwartz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a love it or hate it film . 	it's a love it or hate it film .	3	-4	 it's[0] a[0] love[2] it[0] or[0] hate[-3] it[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i simply hated it . 	i simply hated it .	1	-4	 i[0] simply[0] hated[-3] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on its menu for fun , is a violent feast served up as charm and done in a tongue-and-cheek manner . 	on its menu for fun , is a violent feast served up as charm and done in a tongue-and-cheek manner .	2	-3	 on[0] its[0] menu[0] for[0] fun[1] is[0] a[0] violent[-2] feast[0] served[0] up[0] as[0] charm[1] and[0] done[0] in[0] a[0] tongue[0] and[0] cheek[0] manner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a serial killer/horror film farce of nonstop over-the-top action and sleaze , involving decapitations , vampires , biker fights , extended gun play , and an array of gore that has to be seen to be believed . 	it's a serial killer/horror film farce of nonstop over-the-top action and sleaze , involving decapitations , vampires , biker fights , extended gun play , and an array of gore that has to be seen to be believed .	1	-3	 it's[0] a[0] serial[0] killer/horror[0] film[0] farce[-1] of[0] nonstop[0] over[0] the[0] top[0] action[0] and[0] sleaze[-2] involving[0] decapitations[0] vampires[0] biker[0] fights[-2] extended[0] gun[-1] play[0] and[0] an[0] array[0] of[0] gore[0] that[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a film that regales in its vulgarity and campiness for blood-and-gore , as it goes out of its way to gloss over the clich ? s of the conventional b-films . 	a film that regales in its vulgarity and campiness for blood-and-gore , as it goes out of its way to gloss over the clich ?<br> s of the conventional b-films .	1	-1	 a[0] film[0] that[0] regales[0] in[0] its[0] vulgarity[0] and[0] campiness[0] for[0] blood[0] and[0] gore[0] as[0] it[0] goes[0] out[0] of[0] its[0] way[0] to[0] gloss[0] over[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] of[0] the[0] conventional[0] b[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's geared only for the cult film crowd , and will make its mark there one way or the other . 	it's geared only for the cult film crowd , and will make its mark there one way or the other .	1	-1	 it's[0] geared[0] only[0] for[0] the[0] cult[0] film[0] crowd[0] and[0] will[0] make[0] its[0] mark[0] there[0] one[0] way[0] or[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot involves two psychopath brothers , the older professional bank robber and killer seth gecko ( clooney ) and the perverted psychopath killer , richie ( tarantino ) , who kills for pleasure and is also a rapist . 	the plot involves two psychopath brothers , the older professional bank robber and killer seth gecko ( clooney ) and the perverted psychopath killer , richie ( tarantino ) , who kills for pleasure and is also a rapist .	3	-4	 the[0] plot[0] involves[0] two[0] psychopath[0] brothers[0] the[0] older[0] professional[0] bank[0] robber[-1] and[0] killer[-1] seth[0] gecko[0] clooney[0] and[0] the[0] perverted[-1] psychopath[0] killer[-1] richie[0] tarantino[0] who[0] kills[0] for[0] pleasure[2] and[0] is[0] also[0] a[0] rapist[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they escape jail and go on a killing spree in wichita and then flee to a liquor store in a small texas border town . 	they escape jail and go on a killing spree in wichita and then flee to a liquor store in a small texas border town .	1	-2	 they[0] escape[0] jail[-1] and[0] go[0] on[0] a[0] killing[-1] spree[0] in[0] wichita[0] and[0] then[0] flee[-1] to[0] a[0] liquor[0] store[0] in[0] a[0] small[0] texas[0] border[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have just robbed a bank and killed a number of cops , they have also taken a middle-aged bank teller as a hostage . 	they have just robbed a bank and killed a number of cops , they have also taken a middle-aged bank teller as a hostage .	1	-4	 they[0] have[0] just[0] robbed[0] a[0] bank[0] and[0] killed[-3] a[0] number[0] of[0] cops[0] they[0] have[0] also[0] taken[0] a[0] middle[0] aged[0] bank[0] teller[0] as[0] a[0] hostage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the liquor store they kill a texas ranger and the store clerk , and burn down the store . 	in the liquor store they kill a texas ranger and the store clerk , and burn down the store .	1	-2	 in[0] the[0] liquor[0] store[0] they[0] kill[-1] a[0] texas[0] ranger[0] and[0] the[0] store[0] clerk[0] and[0] burn[-1] down[0] the[0] store[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stopping off in a flop-house motel , richie rapes and slaughters the hostage . 	stopping off in a flop-house motel , richie rapes and slaughters the hostage .	1	-4	 stopping[0] off[0] in[0] a[0] flop[0] house[0] motel[0] richie[0] rapes[-3] and[0] slaughters[-1] the[0] hostage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
