 " lake placid " marks yet another entry in the series of " predator pics " that were a screen staple in the late 1970s ( post- " jaws " ) and were revived recently by the godawful " anaconda . " 	Translation	Positive	Negative	EmotionRationale
 " placid " claims to be a " horror/comedy " -it's directed by the same guy who did " house " -but its attempts at humor are actually less funny than deadpan seriousness of " anaconda . " 	 " placid " claims to be a " horror/comedy " -it's directed by the same guy who did " house " -but its attempts at humor are actually less funny than deadpan seriousness of " anaconda .<br> "	3	-4	 placid[0] claims[0] to[0] be[0] a[0] horror/comedy[-3] it's[0] directed[0] by[0] the[0] same[0] guy[0] who[0] did[0] house[0] but[0] its[0] attempts[0] at[0] humor[2] are[0] actually[0] less[0] funny[1] than[0] deadpan[0] seriousness[-1] of[0] anaconda[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
paleontologist kelly scott ( bridget fonda ) is sent up to maine to examine a tooth removed from a body that had been bitten in half on the lake . 	paleontologist kelly scot ( bridget fonda ) is sent up to maine to examine a tooth removed from a body that had been bitten in half on the lake .	1	-1	 paleontologist[0] kelly[0] scott/scot[0] bridget[0] fonda[0] is[0] sent[0] up[0] to[0] maine[0] to[0] examine[0] a[0] tooth[0] removed[0] from[0] a[0] body[0] that[0] had[0] been[0] bitten[0] in[0] half[0] on[0] the[0] lake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
discovering that the tooth belongs to a crocodile ( which shouldn't even be in this hemisphere ) , kelly goes croc-hunting with game warden jack wells ( bill pullman ) and sheriff hank keough ( brendan gleeson ) . 	discovering that the tooth belongs to a crocodile ( which shouldn't even be in this hemisphere ) , kelly goes croc-hunting with game warden jack wells ( bill pullman ) and sheriff hank keough ( brendan gleeson ) .	1	-1	 discovering[0] that[0] the[0] tooth[0] belongs[0] to[0] a[0] crocodile[0] which[0] shouldn't[0] even[0] be[0] in[0] this[0] hemisphere[0] kelly[0] goes[0] croc[0] hunting[0] with[0] game[0] warden[0] jack[0] wells[0] bill[0] pullman[0] and[0] sheriff[0] hank[0] keough[0] brendan[0] gleeson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're joined by an unwelcome guest , hector cyr ( oliver platt ) , a scholar who worships crocs and searches all over the world for them . 	they're joined by an unwelcome guest , hector cyr ( oliver platt ) , a scholar who worships crocs and searches all over the world for them .	2	-3	 they're[0] joined[0] by[0] an[0] unwelcome[-2] guest[0] hector[0] cyr[0] oliver[0] platt[0] a[0] scholar[0] who[0] worships[1] crocs[0] and[0] searches[0] all[0] over[0] the[0] world[0] for[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
along the way , the merry band meets mrs . delores bickerman ( betty white ) , a weird old lady who lives out on the lake . 	along the way , the merry band meets mrs .<br> delores bickerman ( betty white ) , a weird old lady who lives out on the lake .	2	-2	 along[0] the[0] way[0] the[0] merry[1] band[0] meets[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] delores[0] bickerman[0] betty[0] white[0] a[0] weird[-1] old[0] lady[0] who[0] lives[0] out[0] on[0] the[0] lake[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
you know what to expect from this movie : lots of shots where the camera is the eyes of the predator ( croc cam ) swimming toward someone's dangling legs while " jaws " -like music plays , one character ( hector ) who's obsessed with the croc and stupidly endangers the rest , another character who insists that the predator can't possibly exist . 	you know what to expect from this movie : lots of shots where the camera is the eyes of the predator ( croc cam ) swimming toward someone's dangling legs while " jaws " -like music plays , one character ( hector ) who's obsessed with the croc and stupidly endangers the rest , another character who insists that the predator can't possibly exist .	2	-3	 you[0] know[0] what[0] to[0] expect[0] from[0] this[0] movie[0] lots[0] of[0] shots[0] where[0] the[0] camera[0] is[0] the[0] eyes[0] of[0] the[0] predator[0] croc[0] cam[0] swimming[0] toward[0] someone's[0] dangling[0] legs[0] while[0] jaws[0] like[1] music[0] plays[1] one[0] character[0] hector[0] who's[0] obsessed[-2] with[0] the[0] croc[0] and[0] stupidly[-1] endangers[-1] the[0] rest[0] another[0] character[0] who[0] insists[0] that[0] the[0] predator[0] can't[0] possibly[0] exist[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike its slippery cousin " anaconda , " " lake placid " wants to present its formulaic plot tongue-in-cheek , which is self-defeating . 	unlike its slippery cousin " anaconda , " " lake placid " wants to present its formulaic plot tongue-in-cheek , which is self-defeating .	1	-1	 unlike[0] its[0] slippery[0] cousin[0] anaconda[0] lake[0] placid[0] wants[0] to[0] present[0] its[0] formulaic[0] plot[0] tongue[0] in[0] cheek[0] which[0] is[0] self[0] defeating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is neither scary nor funny ; it's just tedious . 	the result is neither scary nor funny ; it's just tedious .	2	-4	 the[0] result[0] is[0] neither[0] scary[-3] nor[0] funny[1] it's[0] just[0] tedious[-2][--1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while director steve miner has several horror films on his resume ( including two installments of " friday the 13th " and " halloween h20 " ) , screenwriter david kelley ( best known as the creator of tv series like " ally mcbeal " and " chicago hope " ) doesn't seem to have the stomach for a chomp 'em up flick . 	while director steve miner has several horror films on his resume ( including two instalments of " friday the 13th " and " halloween h20 " ) , screenwriter david kelley ( best known as the creator of tv series like " ally mcbeal " and " chicago hope " ) doesn't seem to have the stomach for a chomp 'em up flick .	3	-4	 while[0] director[0] steve[0] miner[0] has[0] several[0] horror[-3] films[0] on[0] his[0] resume[0] including[0] two[0] installments/instalments[0] of[0] friday[0] the[0] 13th[0] and[0] halloween[0] h20[0] screenwriter[0] david[0] kelley[0] best[1] known[0] as[0] the[0] creator[0] of[0] tv[0] series[0] like[1] ally[0] mcbeal[0] and[0] chicago[0] hope[2] doesn't[0] seem[0] to[0] have[0] the[0] stomach[0] for[0] a[0] chomp[0] 'em[0] up[0] flick[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the body count is surprisingly low and doesn't include any of the major characters , and most annoyingly kelly and hector insist that they capture the crocodile alive rather than killing it . 	the body count is surprisingly low and doesn't include any of the major characters , and most annoyingly kelly and hector insist that they capture the crocodile alive rather than killing it .	1	-3	 the[0] body[0] count[0] is[0] surprisingly[0] low[-1] and[0] doesn't[0] include[0] any[0] of[0] the[0] major[0] characters[0] and[0] most[0] annoyingly[-2] kelly[0] and[0] hector[0] insist[0] that[0] they[0] capture[-1] the[0] crocodile[0] alive[0] rather[0] than[0] killing[-1] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
