you always have to be careful with the first official studio release out of the gate each year . 	Translation	Positive	Negative	EmotionRationale
they're obviously films for which the studios have no great hopes ( having missed both the deadline for academy award eligibility and the big box-office holiday season ) . 	they're obviously films for which the studios have no great hopes ( having missed both the deadline for academy award eligibility and the big box-office holiday season ) .	3	-2	 they're[0] obviously[0] films[0] for[0] which[0] the[0] studios[0] have[0] no[0] great[2] hopes[1] having[0] missed[-1] both[0] the[0] deadline[0] for[0] academy[0] award[0] eligibility[0] and[0] the[0] big[0] box[0] office[0] holiday[0] season[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
combine that with howie long's first starring action role , and you've got a doozy of a movie that , while not as bad as it could have been , isn't a very good film . 	combine that with howie long's first starring action role , and you've got a dozy of a movie that , while not as bad as it could have been , isn't a very good film .	2	-3	 combine[0] that[0] with[0] howie[0] long's[0] first[0] starring[0] action[0] role[0] and[0] you've[0] got[0] a[0] doozy/dozy[0] of[0] a[0] movie[0] that[0] while[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] as[0] it[0] could[0] have[0] been[0] isn't[0] a[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
howie stars as an ace smokejumper ( a firefighter who parachutes into forest fires unreachable from the ground ) . 	howie stars as an ace smokejumper ( a firefighter who parachutes into forest fires unreachable from the ground ) .	1	-1	 howie[0] stars[0] as[0] an[0] ace[0] smokejumper[0] a[0] firefighter[0] who[0] parachutes[0] into[0] forest[0] fires[0] unreachable[0] from[0] the[0] ground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the slightly contrived opening scenes , we witness his heroism in action , as he , and his mentor ( played by scott glenn ) attempt to rescue a small girl and her dog from an oncoming forest fire . 	in the slightly contrived opening scenes , we witness his heroism in action , as he , and his mentor ( played by scot glen ) attempt to rescue a small girl and her dog from an oncoming forest fire .	3	-1	 in[0] the[0] slightly[0] contrived[0] opening[0] scenes[0] we[0] witness[0] his[0] heroism[2] in[0] action[0] as[0] he[0] and[0] his[0] mentor[0] played[0] by[0] scott/scot[0] glenn/glen[0] attempt[0] to[0] rescue[0] a[0] small[0] girl[0] and[0] her[0] dog[0] from[0] an[0] oncoming[0] forest[0] fire[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
william forsythe plays the bad guy , a mass murderer who has several million dollars tucked away to help fund his jailbreak . 	william forsythe plays the bad guy , a mass murderer who has several million dollars tucked away to help fund his jailbreak .	2	-4	 william[0] forsythe[0] plays[1] the[0] bad[-1] guy[0] a[0] mass[0] murderer[-3] who[0] has[0] several[0] million[0] dollars[0] tucked[0] away[0] to[0] help[0] fund[0] his[0] jailbreak[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he ( and five convict cohorts ) manages to get selected for firefighting duty when a woodland blaze just happens to ignite nearby . 	he ( and five convict cohorts ) manages to get selected for firefighting duty when a woodland blaze just happens to ignite nearby .	1	-2	 he[0] and[0] five[0] convict[-1] cohorts[0] manages[0] to[0] get[0] selected[0] for[0] firefighting[0] duty[-1] when[0] a[0] woodland[0] blaze[0] just[0] happens[0] to[0] ignite[0] nearby[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his escape plan bets a lot on the laxity of the guards , but ( since there must be a movie ) luck is with him . 	his escape plan bets a lot on the laxity of the guards , but ( since there must be a movie ) luck is with him .	3	-1	 his[0] escape[0] plan[0] bets[0] a[0] lot[0] on[0] the[0] laxity[0] of[0] the[0] guards[0] but[0] since[0] there[0] must[0] be[0] a[0] movie[0] luck[2] is[0] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
soon the now-escaped convicts are masquerading as canadian firefighters . 	soon the now-escaped convicts are masquerading as canadian firefighters .	1	-2	 soon[0] the[0] now[0] escaped[0] convicts[-1] are[0] masquerading[0] as[0] canadian[0] firefighters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why canadian ? 	why canadian ?	1	-1	 why[0] canadian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows , eh ? 	who knows , eh ?	1	-1	 who[0] knows[0] eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way they pick up a pretty birdwatcher ( suzy amis ) to be their hostage . 	along the way they pick up a pretty birdwatcher ( suzy amis ) to be their hostage .	3	-1	 along[0] the[0] way[0] they[0] pick[0] up[0] a[0] pretty[2] birdwatcher[0] suzy[0] amis[0] to[0] be[0] their[0] hostage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
enter howie long . 	enter howie long .	1	-1	 enter[0] howie[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's called in to help fight the blaze , and when he spots the group of " ground pounders " , apparently lost , he parachutes in to help . 	he's called in to help fight the blaze , and when he spots the group of " ground pounders " , apparently lost , he parachutes in to help .	1	-3	 he's[0] called[0] in[0] to[0] help[0] fight[-2] the[0] blaze[0] and[0] when[0] he[0] spots[0] the[0] group[0] of[0] ground[0] pounders[0] apparently[0] lost[0] he[0] parachutes[0] in[0] to[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when he discovers their true identity , he is the only thing standing between them and escape , and the only hope of help for the hostage . 	when he discovers their true identity , he is the only thing standing between them and escape , and the only hope of help for the hostage .	3	-1	 when[0] he[0] discovers[0] their[0] true[1] identity[0] he[0] is[0] the[0] only[0] thing[0] standing[0] between[0] them[0] and[0] escape[0] and[0] the[0] only[0] hope[2] of[0] help[0] for[0] the[0] hostage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
long's acting talents are above those of , say , steven seagal , but not by much . 	long's acting talents are above those of , say , steven seagal , but not by much .	2	-1	 long's[0] acting[0] talents[1] are[0] above[0] those[0] of[0] say[0] steven[0] seagal[0] but[0] not[0] by[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although his delivery is mostly flat and wooden , he's a likeable hero , and there are some hints here and there that he may get better . 	although his delivery is mostly flat and wooden , he's a likeable hero , and there are some hints here and there that he may get better .	4	-1	 although[0] his[0] delivery[0] is[0] mostly[0] flat[0] and[0] wooden[0] he's[0] a[0] likeable[2] hero[2][+1 MultiplePositiveWords] and[0] there[0] are[0] some[0] hints[0] here[0] and[0] there[0] that[0] he[0] may[0] get[0] better[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the script doesn't help him out any , however . 	the script doesn't help him out any , however .	1	-1	 the[0] script[0] doesn't[0] help[0] him[0] out[0] any[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all too often , it veers into the realm of the unintentionally funny . 	all too often , it veers into the realm of the unintentionally funny .	2	-1	 all[0] too[0] often[0] it[0] veers[0] into[0] the[0] realm[0] of[0] the[0] unintentionally[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
