to put it bluntly , ed wood would have been proud of this . 	Translation	Positive	Negative	EmotionRationale
a totally ridiculous plot is encompassed with bad humor , hokey drama , zero logic and a crap screenplay . 	a totally ridiculous plot is encompassed with bad humor , hokey drama , zero logic and a crap screenplay .	3	-4	 a[0] totally[0] ridiculous[-2][-1 LastWordBoosterStrength] plot[0] is[0] encompassed[0] with[0] bad[-1] humor[2] hokey[0] drama[0] zero[0] logic[0] and[0] a[0] crap[-2] screenplay[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
also , a beautifully anti-climactic ending . 	also , a beautifully anti-climactic ending .	3	-1	 also[0] a[0] beautifully[2] anti[0] climactic[0] ending[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not to say it didn't look intriguing when i saw the previews . 	not to say it didn't look intriguing when i saw the previews .	1	-1	 not[0] to[0] say[0] it[0] didn't[0] look[0] intriguing[0] when[0] i[0] saw[0] the[0] previews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so much for truth in advertising . 	so much for truth in advertising .	2	-1	 so[0] much[0] for[0] truth[1] in[0] advertising[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
roland emmerich , who's later " independence day " would look like " the 400 blows " compared to this , co-writed and directed this inane sci-fi film which uses the cliche of there being some connection between eqypt and aliens . 	roland emmerich , who's later " independence day " would look like " the 400 blows " compared to this , co-writed and directed this inane sci-fi film which uses the cliche of there being some connection between eqypt and aliens .	2	-2	 roland[0] emmerich[0] who's[0] later[0] independence[0] day[0] would[0] look[0] like[1] the[0] 400[0] blows[0] compared[0] to[0] this[0] co[0] writed[0] and[0] directed[0] this[0] inane[-1] sci[0] fi[0] film[0] which[0] uses[0] the[0] cliche[0] of[0] there[0] being[0] some[0] connection[0] between[0] eqypt[0] and[0] aliens[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a useless opening sequence , men find a stone in 1914 with hieroglyphics on it . 	in a useless opening sequence , men find a stone in 1914 with hieroglyphics on it .	1	-3	 in[0] a[0] useless[-2] opening[0] sequence[0] men[0] find[0] a[0] stone[0] in[0] 1914[0] with[0] hieroglyphics[0] on[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it wouldn't be till present day ( '94 ) till they would actually figure it out . 	it wouldn't be till present day ( '94 ) till they would actually figure it out .	1	-1	 it[0] wouldn't[0] be[0] till[0] present[0] day[0] '94[0] till[0] they[0] would[0] actually[0] figure[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're decipherer ? 	they're decipherer ?	1	-1	 they're[0] decipherer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a slightly-neurotic scientist ( nice twist ) , dr . dan jackson ( james spader , doing his best outside of erotic thrillers and some indy fare ) who's life sucks so much that people walk out of his lectures after the third word . 	a slightly-neurotic scientist ( nice twist ) , dr .<br> dan jackson ( james spader , doing his best outside of erotic thrillers and some indy fare ) who's life sucks so much that people walk out of his lectures after the third word .	2	-2	 a[0] slightly[0] neurotic[-2][--1 LastWordBoosterStrength] scientist[0] nice[1] twist[0] dr[0] [[Sentence=-2,2=word max, 1-5]] dan[0] jackson[0] james[0] spader[0] doing[0] his[0] best[1] outside[0] of[0] erotic[0] thrillers[1] and[0] some[0] indy[0] fare[0] who's[0] life[0] sucks[-1] so[0] much[0] that[0] people[0] walk[0] out[0] of[0] his[0] lectures[0] after[0] the[0] third[0] word[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why do they use him to decipher what no one else could ? 	why do they use him to decipher what no one else could ?	1	-1	 why[0] do[0] they[0] use[0] him[0] to[0] decipher[0] what[0] no[0] one[0] else[0] could[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so there is a hokey ending ! 	so there is a hokey ending !	1	-1	 so[0] there[0] is[0] a[0] hokey[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
duh ! 	duh !	1	-1	 duh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he figures it out in about a minute . 	he figures it out in about a minute .	1	-1	 he[0] figures[0] it[0] out[0] in[0] about[0] a[0] minute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yea . 	yea .	1	-1	 yea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then they get a suicidal colonel or something , " jack " o'neill ( kurt russel , with his wyat earp locks in the beginning then a flat-top that would make howie long snap into a fetal position ) . 	and then they get a suicidal colonel or something , " jack " o'neill ( kurt russel , with his wyat earp locks in the beginning then a flat-top that would make howie long snap into a fetal position ) .	1	-1	 and[0] then[0] they[0] get[0] a[0] suicidal[0] colonel[0] or[0] something[0] jack[0] o'neill[0] kurt[0] russel[0] with[0] his[0] wyat[0] earp[0] locks[0] in[0] the[0] beginning[0] then[0] a[0] flat[0] top[0] that[0] would[0] make[0] howie[0] long[0] snap[0] into[0] a[0] fetal[0] position[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why a suicidal colonel ? 	why a suicidal colonel ?	1	-1	 why[0] a[0] suicidal[0] colonel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the ending ! 	for the ending !	1	-1	 for[0] the[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll get the hang of this . 	you'll get the hang of this .	1	-2	 you'll[0] get[0] the[0] hang[-1] of[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they open the stargate , a bunch of them go through it with a bomb to blow it up if they find anything bad . 	they open the stargate , a bunch of them go through it with a bomb to blow it up if they find anything bad .	1	-2	 they[0] open[0] the[0] stargate[0] a[0] bunch[0] of[0] them[0] go[0] through[0] it[0] with[0] a[0] bomb[-1] to[0] blow[0] it[0] up[0] if[0] they[0] find[0] anything[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
