it happens every year -- the days get longer , the weather gets warmer and the studios start releasing their big-budget blockbusters . 	Translation	Positive	Negative	EmotionRationale
this year's crop already seems inferior to that of past summers , even 1997's lackluster trio of batman & robin , the fifth element and the lost world . 	this year's crop already seems inferior to that of past summers , even 1997's lackluster trio of batman & robin , the fifth element and the lost world .	1	-2	 this[0] year's[0] crop[0] already[0] seems[0] inferior[-1] to[0] that[0] of[0] past[0] summers[0] even[0] 1997's[0] lackluster[0] trio[0] of[0] batman[0] &[0] robin[0] the[0] fifth[0] element[0] and[0] the[0] lost[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the marketing blitz in 1998 has been centered on godzilla ( " heeere , lee-zerd , lee-zerd . . . " ) , which doesn't make me optimistic about future summers . 	the marketing blitz in 1998 has been centered on godzilla ( " here , lee-zerd , lee-zerd .<br> .<br> .<br> " ) , which doesn't make me optimistic about future summers .	2	-1	 the[0] marketing[0] blitz[0] in[0] 1998[0] has[0] been[0] centered[0] on[0] godzilla[0] heeere/here[0][+0.6 MultipleLetters] lee[0] zerd[0] lee[0] zerd[0] [[Sentence=-1,2=word max, 1-5]] which[0] doesn't[0] make[0] me[0] optimistic[1] about[0] future[0] summers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
godzilla is , of course , based on a series of cult movies ( translation : really bad movies only a few people can tolerate ) from japan that turn up really late at night on ted turner-owned cable stations . 	godzilla is , of course , based on a series of cult movies ( translation : really bad movies only a few people can tolerate ) from japan that turn up really late at night on ted turner-owned cable stations .	1	-3	 godzilla[0] is[0] of[0] course[0] based[0] on[0] a[0] series[0] of[0] cult[0] movies[0] translation[0] really[0] bad[-1][-1 LastWordBoosterStrength] movies[0] only[0] a[0] few[0] people[0] can[0] tolerate[0] from[0] japan[0] that[0] turn[0] up[0] really[0] late[0] at[0] night[0] on[0] ted[0] turner[0] owned[0] cable[0] stations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that this big-budget remake won't rise above its roots is fairly obvious . 	that this big-budget remake won't rise above its roots is fairly obvious .	1	-1	 that[0] this[0] big[0] budget[0] remake[0] won't[0] rise[0] above[0] its[0] roots[0] is[0] fairly[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the credits show us the origin of godzilla . 	the credits show us the origin of godzilla .	1	-1	 the[0] credits[0] show[0] us[0] the[0] origin[0] of[0] godzilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in five words : nuclear explosion creates giant lizard . 	in five words : nuclear explosion creates giant lizard .	1	-2	 in[0] five[0] words[0] nuclear[0] explosion[-1] creates[0] giant[0] lizard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sounds like an enquirer headline , doesn't it ? 	sounds like an enquirer headline , doesn't it ?	2	-1	 sounds[0] like[1] an[0] enquirer[0] headline[0] doesn't[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the mushroom cloud is followed by the inevitable " discovery " sequence . 	the mushroom cloud is followed by the inevitable " discovery " sequence .	1	-1	 the[0] mushroom[0] cloud[0] is[0] followed[0] by[0] the[0] inevitable[0] discovery[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , a japanese guy is eating noodles with chopsticks while watching sumo wrestling ( if that ain't a stereotype . . . ) 	this time , a japanese guy is eating noodles with chopsticks while watching sumo wrestling ( if that ain't a stereotype .<br> .<br> .<br> )	1	-1	 this[0] time[0] a[0] japanese[0] guy[0] is[0] eating[0] noodles[0] with[0] chopsticks[0] while[0] watching[0] sumo[0] wrestling[0] if[0] that[0] ain't[0] a[0] stereotype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he discovers the telltale radar blip . 	when he discovers the telltale radar blip .	1	-1	 when[0] he[0] discovers[0] the[0] telltale[0] radar[0] blip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people die . 	people die .	1	-1	 people[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cut to our protagonist , played by matthew broderick . 	cut to our protagonist , played by matthew broderick .	1	-1	 cut[0] to[0] our[0] protagonist[0] played[0] by[0] matthew[0] broderick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he makes his first appearance wearing headphones , warbling along to " singin' in the rain . " 	he makes his first appearance wearing headphones , warbling along to " singin' in the rain .<br> "	1	-1	 he[0] makes[0] his[0] first[0] appearance[0] wearing[0] headphones[0] warbling[0] along[0] to[0] singin'[0] in[0] the[0] rain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a none-too-subtle sign that he wishes he were in a classier movie . 	it's a none-too-subtle sign that he wishes he were in a classier movie .	1	-1	 it's[0] a[0] none[0] too[0] subtle[0] sign[0] that[0] he[0] wishes[0] he[0] were[0] in[0] a[0] classier[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no dice , bueller . 	no dice , bueller .	1	-1	 no[0] dice[0] bueller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the beginning , poor matthew has to do embarassing things like fondle giant earthworms and stand in godzilla's enormous footprint . 	from the beginning , poor matthew has to do embarassing things like fondle giant earthworms and stand in godzilla's enormous footprint .	2	-2	 from[0] the[0] beginning[0] poor[-1] matthew[0] has[0] to[0] do[0] embarassing[0] things[0] like[1] fondle[0] giant[0] earthworms[0] and[0] stand[0] in[0] godzilla's[0] enormous[0] footprint[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
every disaster movie has to have a know-it-all scientist , and this time broderick is it . 	every disaster movie has to have a know-it-all scientist , and this time broderick is it .	1	-2	 every[0] disaster[-1] movie[0] has[0] to[0] have[0] a[0] know[0] it[0] all[0] scientist[0] and[0] this[0] time[0] broderick[0] is[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the world's leading expert on radiated earthworms ( and wouldn't you love to have that printed on your business card ? ) , 	as the world's leading expert on radiated earthworms ( and wouldn't you love to have that printed on your business card ?<br> ) ,	1	-3	 as[0] the[0] world's[0] leading[0] expert[0] on[0] radiated[0] earthworms[0] and[0] wouldn't[0] you[0] love[2][NegatedDueToPreviousWord] to[0] have[0] that[0] printed[0] on[0] your[0] business[0] card[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
broderick is invaluable to the government . 	broderick is invaluable to the government .	1	-1	 broderick[0] is[0] invaluable[0] to[0] the[0] government[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he immediately dispels vicki lewis' theory that godzilla is a dinosaur because , hey , you can't take seriously the intellectual arguments of " newsradio " cast members . 	he immediately dispels vicki lewis' theory that godzilla is a dinosaur because , hey , you can't take seriously the intellectual arguments of " newsradio " cast members .	2	-2	 he[0] immediately[0] dispels[-1] vicki[0] lewis'[0] theory[0] that[0] godzilla[0] is[0] a[0] dinosaur[0] because[0] hey[1] you[0] can't[0] take[0] seriously[0] the[0] intellectual[0] arguments[-1] of[0] newsradio[0] cast[0] members[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
broderick instead hits the nail on the head , announcing godzilla is a radiated lizard . 	broderick instead hits the nail on the head , announcing godzilla is a radiated lizard .	1	-1	 broderick[0] instead[0] hits[0] the[0] nail[0] on[0] the[0] head[0] announcing[0] godzilla[0] is[0] a[0] radiated[0] lizard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the radiation isn't an anamoly , " he announces , and lightning strikes . 	 " the radiation isn't an anamoly , " he announces , and lightning strikes .	1	-1	 the[0] radiation[0] isn't[0] an[0] anamoly[0] he[0] announces[0] and[0] lightning[0] strikes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i believe this is a mutated abberation , " he continues , and lightning strikes again . 	 " i believe this is a mutated abberation , " he continues , and lightning strikes again .	1	-1	 i[0] believe[0] this[0] is[0] a[0] mutated[0] abberation[0] he[0] continues[0] and[0] lightning[0] strikes[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's vocabulary lightning , you see , activated by words of four syllables or more . 	it's vocabulary lightning , you see , activated by words of four syllables or more .	1	-1	 it's[0] vocabulary[0] lightning[0] you[0] see[0] activated[0] by[0] words[0] of[0] four[0] syllables[0] or[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
