depending on your degree of cinematic acumen , last man standing is either a ) a prohibition-era remake of akira kurosawa's 1961 classic yojimbo ; b ) a prohibition-era remake of sergio leone's 1964 classic a fistful of dollars ; c ) a prohibition-era action drama with a completely original story-line . 	Translation	Positive	Negative	EmotionRationale
new line is certainly counting on the fact that there are far more potential viewers in category ( c ) than in the other two combined , much as the recent remakes of diabolique and the vanishing counted on avoiding such comparisons . 	new line is certainly counting on the fact that there are far more potential viewers in category ( c ) than in the other two combined , much as the recent remakes of diabolique and the vanishing counted on avoiding such comparisons .	1	-2	 new[0] line[0] is[0] certainly[0] counting[0] on[0] the[0] fact[0] that[0] there[0] are[0] far[0] more[0] potential[0] viewers[0] in[0] category[0] c[0] than[0] in[0] the[0] other[0] two[0] combined[0] much[0] as[0] the[0] recent[0] remakes[0] of[0] diabolique[0] and[0] the[0] vanishing[-1] counted[0] on[0] avoiding[-1] such[0] comparisons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fact is that there is yet another way of looking at last man standing , which is as the first film version of the story which nods to the _real_ source material , the dashiell hammett novel _red harvest_ . 	the fact is that there is yet another way of looking at last man standing , which is as the first film version of the story which nods to the _real_ source material , the dashiell hammett novel _red harvest_ .	1	-2	 the[0] fact[0] is[0] that[0] there[0] is[0] yet[0] another[0] way[0] of[0] looking[0] at[0] last[0] man[0] standing[0] which[0] is[0] as[0] the[0] first[0] film[0] version[0] of[0] the[0] story[0] which[0] nods[0] to[0] the[0] _real_[0] source[-1] material[0] the[0] dashiell[0] hammett[0] novel[0] _red[0] harvest_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it also shows that kurosawa and leone knew better what to do with that material than hammett himself . 	it also shows that kurosawa and leone knew better what to do with that material than hammett himself .	1	-1	 it[0] also[0] shows[0] that[0] kurosawa[0] and[0] leone[0] knew[0] better[0] what[0] to[0] do[0] with[0] that[0] material[0] than[0] hammett[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time around , the man with no name is played by bruce willis , a fellow with a shady history of an undefined nature who rolls into the texas border town of jericho one day on his way to mexico . 	this time around , the man with no name is played by bruce willis , a fellow with a shady history of an undefined nature who rolls into the texas border town of jericho one day on his way to mexico .	1	-2	 this[0] time[0] around[0] the[0] man[0] with[0] no[0] name[0] is[0] played[0] by[0] bruce[0] willis[0] a[0] fellow[0] with[0] a[0] shady[-1] history[0] of[0] an[0] undefined[0] nature[0] who[0] rolls[0] into[0] the[0] texas[0] border[0] town[0] of[0] jericho[0] one[0] day[0] on[0] his[0] way[0] to[0] mexico[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by all appearances , jericho is well on its way to becoming a ghost town , with the few remaining inhabitants generally belonging to one of two bootlegging operations fighting for control of liquor coming over the border . 	by all appearances , jericho is well on its way to becoming a ghost town , with the few remaining inhabitants generally belonging to one of two bootlegging operations fighting for control of liquor coming over the border .	1	-3	 by[0] all[0] appearances[0] jericho[0] is[0] well[0] on[0] its[0] way[0] to[0] becoming[0] a[0] ghost[0] town[0] with[0] the[0] few[0] remaining[0] inhabitants[0] generally[0] belonging[0] to[0] one[0] of[0] two[0] bootlegging[0] operations[0] fighting[-2] for[0] control[0] of[0] liquor[0] coming[0] over[0] the[0] border[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one is headed by an irishman named doyle ( david patrick kelly ) ; the other is run by chicago-connected italian mobster strozzi ( ned eisenberg ) . 	one is headed by an irishman named doyle ( david patrick kelly ) ; the other is run by chicago-connected italian mobster strozi ( ned eisenberg ) .	1	-1	 one[0] is[0] headed[0] by[0] an[0] irishman[0] named[0] doyle[0] david[0] patrick[0] kelly[0] the[0] other[0] is[0] run[0] by[0] chicago[0] connected[0] italian[0] mobster[0] strozzi/strozi[0] ned[0] eisenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
calling himself john smith , the man decides that there is money to be made from the conflict , and hires himself out as an enforcer to doyle's side . 	calling himself john smith , the man decides that there is money to be made from the conflict , and hires himself out as an enforcer to doyle's side .	1	-2	 calling[0] himself[0] john[0] smith[0] the[0] man[0] decides[0] that[0] there[0] is[0] money[0] to[0] be[0] made[0] from[0] the[0] conflict[-1] and[0] hires[0] himself[0] out[0] as[0] an[0] enforcer[-1] to[0] doyle's[0] side[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but smith's allegiance is as uncertain as his name , and he begins to play the two sides against each other while trying to stay one step ahead of both of them . 	but smith's allegiance is as uncertain as his name , and he begins to play the two sides against each other while trying to stay one step ahead of both of them .	1	-2	 but[0] smith's[0] allegiance[0] is[0] as[0] uncertain[0] as[0] his[0] name[0] and[0] he[0] begins[0] to[0] play[0] the[0] two[0] sides[0] against[-1] each[0] other[0] while[0] trying[0] to[0] stay[0] one[0] step[0] ahead[0] of[0] both[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
viewers familiar with both previous incarnations of this story will find virtually nothing radically changed from a plotting standpoint , and that alone should make last man standing somewhat more respectable than other recent hollywood remakes-cum-bastardizations . 	viewers familiar with both previous incarnations of this story will find virtually nothing radically changed from a plotting standpoint , and that alone should make last man standing somewhat more respectable than other recent hollywood remakes-cum-bastardizations .	3	-3	 viewers[0] familiar[0] with[0] both[0] previous[0] incarnations[0] of[0] this[0] story[0] will[0] find[0] virtually[0] nothing[0] radically[-1] changed[0] from[0] a[0] plotting[0] standpoint[0] and[0] that[0] alone[0] should[0] make[0] last[0] man[0] standing[0] somewhat[0] more[0] respectable[2] than[0] other[0] recent[0] hollywood[0] remakes[0] cum[0] bastardizations[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there is the happily ineffectual lawman ( bruce dern ) , the unhappily detained object of one of the bosses' affections ( karina lombard ) , the barkeep who becomes our anti-hero's only friend ( william sanderson ) , suspicious lieutenants ( christopher walken and michael imperioli ) to question the bosses' trust in smith , a brutal beating , and a big fire . 	there is the happily ineffectual lawman ( bruce dern ) , the unhappily detained object of one of the bosses' affections ( karina lombard ) , the barkeep who becomes our anti-hero's only friend ( william sanderson ) , suspicious lieutenants ( christopher walken and michael imperioli ) to question the bosses' trust in smith , a brutal beating , and a big fire .	3	-3	 there[0] is[0] the[0] happily[2] ineffectual[-1] lawman[0] bruce[0] dern[0] the[0] unhappily[-2] detained[0] object[0] of[0] one[0] of[0] the[0] bosses'[0] affections[2] karina[0] lombard[0] the[0] barkeep[0] who[0] becomes[0] our[0] anti[0] hero's[2] only[0] friend[1] william[0] sanderson[0] suspicious[-1] lieutenants[0] christopher[0] walken[0] and[0] michael[0] imperioli[0] to[0] question[0] the[0] bosses'[0] trust[1] in[0] smith[0] a[0] brutal[-2] beating[0] and[0] a[0] big[0] fire[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director walter hill gives the proceedings his usual injection of steroids , including a pair of guns for willis which have the ability to propel an assailant backward with sufficient thrust to achieve escape velocity , but at least he doesn't try to turn the story into a slasher film or a buddy picture . 	director walter hill gives the proceedings his usual injection of steroids , including a pair of guns for willis which have the ability to propel an assailant backward with sufficient thrust to achieve escape velocity , but at least he doesn't try to turn the story into a slasher film or a buddy picture .	1	-3	 director[0] walter[0] hill[0] gives[0] the[0] proceedings[0] his[0] usual[0] injection[0] of[0] steroids[0] including[0] a[0] pair[0] of[0] guns[-1] for[0] willis[0] which[0] have[0] the[0] ability[0] to[0] propel[0] an[0] assailant[-2] backward[0] with[0] sufficient[0] thrust[0] to[0] achieve[0] escape[0] velocity[0] but[0] at[0] least[0] he[0] doesn't[0] try[0] to[0] turn[0] the[0] story[0] into[0] a[0] slasher[-1] film[0] or[0] a[0] buddy[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what he _does_ do is nearly as big a mistake , and that is to provide a running voice-over narration by willis which rings of the standard hard-boiled style of pulp detective fiction . 	what he _does_ do is nearly as big a mistake , and that is to provide a running voice-over narration by willis which rings of the standard hard-boiled style of pulp detective fiction .	1	-2	 what[0] he[0] _does_[0] do[0] is[0] nearly[0] as[0] big[0] a[0] mistake[-1] and[0] that[0] is[0] to[0] provide[0] a[0] running[0] voice[0] over[0] narration[0] by[0] willis[0] which[0] rings[0] of[0] the[0] standard[0] hard[0] boiled[0] style[0] of[0] pulp[0] detective[0] fiction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , that narration is full of cliches , but those are are not particularly troubling . 	yes , that narration is full of cliches , but those are are not particularly troubling .	2	-1	 yes[0] that[0] narration[0] is[0] full[0] of[0] cliches[0] but[0] those[0] are[0] are[0] not[0] particularly[0] troubling[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the problem is that both yojimbo and a fistful of dollars succeeded largely on the inscrutability of their lead characters . 	the problem is that both yojimbo and a fistful of dollars succeeded largely on the inscrutability of their lead characters .	3	-2	 the[0] problem[-1] is[0] that[0] both[0] yojimbo[0] and[0] a[0] fistful[0] of[0] dollars[0] succeeded[2] largely[0] on[0] the[0] inscrutability[0] of[0] their[0] lead[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they were a mystery , to the other characters in the film and to the audience , their motives never entirely clear even after they have acted , and that quality contributed to their almost mythical status . 	they were a mystery , to the other characters in the film and to the audience , their motives never entirely clear even after they have acted , and that quality contributed to their almost mythical status .	1	-1	 they[0] were[0] a[0] mystery[0] to[0] the[0] other[0] characters[0] in[0] the[0] film[0] and[0] to[0] the[0] audience[0] their[0] motives[0] never[0] entirely[0] clear[0] even[0] after[0] they[0] have[0] acted[0] and[0] that[0] quality[0] contributed[0] to[0] their[0] almost[0] mythical[0] status[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
