i admit it . 	Translation	Positive	Negative	EmotionRationale
i thought arnold schwarzenegger had a knack for comedy when he made twins and true lies . 	i thought arnold schwarzenegger had a knack for comedy when he made twins and true lies .	2	-3	 i[0] thought[0] arnold[0] schwarzenegger[0] had[0] a[0] knack[0] for[0] comedy[0] when[0] he[0] made[0] twins[0] and[0] true[1] lies[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
watching him in jingle all the way , i wondered why anyone ever thought he could carry such a lame movie targeted at susceptible kids . 	watching him in jingle all the way , i wondered why anyone ever thought he could carry such a lame movie targeted at susceptible kids .	1	-3	 watching[0] him[0] in[0] jingle[0] all[0] the[0] way[0] i[0] wondered[0] why[0] anyone[0] ever[0] thought[0] he[0] could[0] carry[0] such[0] a[0] lame[-2] movie[0] targeted[0] at[0] susceptible[-1] kids[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was one thing to scare the crap out of kids with the pg-13 kindergarten cop , but parents who let small children see this movie will have to explain themes of violence , alcohol consumption , burglary , racism and child molestation . 	it was one thing to scare the crap out of kids with the pg-13 kindergarten cop , but parents who let small children see this movie will have to explain themes of violence , alcohol consumption , burglary , racism and child molestation .	1	-4	 it[0] was[0] one[0] thing[0] to[0] scare[-3] the[0] crap[-2] out[0] of[0] kids[0] with[0] the[0] pg[0] -13[0] kindergarten[0] cop[0] but[0] parents[0] who[0] let[0] small[0] children[0] see[0] this[0] movie[0] will[0] have[0] to[0] explain[0] themes[0] of[0] violence[-3] alcohol[0] consumption[0] burglary[-1] racism[-1] and[0] child[0] molestation[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and you know they'll burst out in tears when arnold punches one of santa's elves . 	and you know they'll burst out in tears when arnold punches one of santa's elves .	1	-4	 and[0] you[0] know[0] they'll[0] burst[0] out[0] in[0] tears[-3] when[0] arnold[0] punches[-1] one[0] of[0] santa's[0] elves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he later decks a reindeer . 	he later decks a reindeer .	1	-1	 he[0] later[0] decks[0] a[0] reindeer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , man , why don't you just kick the easter bunny in the nuts while you're at it ? 	hey , man , why don't you just kick the easter bunny in the nuts while you're at it ?	2	-1	 hey[1] man[0] why[0] don't[0] you[0] just[0] kick[-1][--1 LastWordBoosterStrength] the[0] easter[0] bunny[0] in[0] the[0] nuts[0] while[0] you're[0] at[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jingle all the way is formula crap that follows the if someone falls on his ass , it must be funny school of thought . 	jingle all the way is formula crap that follows the if someone falls on his ass , it must be funny school of thought .	2	-3	 jingle[0] all[0] the[0] way[0] is[0] formula[0] crap[-2] that[0] follows[0] the[0] if[0] someone[0] falls[0] on[0] his[0] ass[0] it[0] must[0] be[0] funny[1] school[0] of[0] thought[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
arnold , sinbad and phil hartman crash to the ground more times in this movie than a special olympics hockey team , and the movie dredges up more cliche and less believability with each successive scene . 	arnold , sinbad and phil hartman crash to the ground more times in this movie than a special olympics hockey team , and the movie dredges up more cliche and less believability with each successive scene .	2	-1	 arnold[0] sinbad[0] and[0] phil[0] hartman[0] crash[0] to[0] the[0] ground[0] more[0] times[0] in[0] this[0] movie[0] than[0] a[0] special[1] olympics[0] hockey[0] team[0] and[0] the[0] movie[0] dredges[0] up[0] more[0] cliche[0] and[0] less[0] believability[0] with[0] each[0] successive[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what can you expect from a movie whose entire premise is that two parents can't find a rare toy on christmas eve , and will do anything to get one ? 	what can you expect from a movie whose entire premise is that two parents can't find a rare toy on christmas eve , and will do anything to get one ?	1	-1	 what[0] can[0] you[0] expect[0] from[0] a[0] movie[0] whose[0] entire[0] premise[0] is[0] that[0] two[0] parents[0] can't[0] find[0] a[0] rare[0] toy[0] on[0] christmas[0] eve[0] and[0] will[0] do[0] anything[0] to[0] get[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arnold is , of course , one of the parents , a crack salesman who is never there for his son . 	arnold is , of course , one of the parents , a crack salesman who is never there for his son .	1	-1	 arnold[0] is[0] of[0] course[0] one[0] of[0] the[0] parents[0] a[0] crack[0] salesman[0] who[0] is[0] never[0] there[0] for[0] his[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he races from the office to his son's karate game , only to find out he missed it . 	he races from the office to his son's karate game , only to find out he missed it .	1	-2	 he[0] races[0] from[0] the[0] office[0] to[0] his[0] son's[0] karate[0] game[0] only[0] to[0] find[0] out[0] he[0] missed[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and his kid distrusts him because he's never around . 	and his kid distrusts him because he's never around .	1	-2	 and[0] his[0] kid[0] distrusts[-1] him[0] because[0] he's[0] never[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( gee , we haven't seen that in a movie before . ) 	 ( gee , we haven't seen that in a movie before .<br> )	1	-1	 gee[0] we[0] haven't[0] seen[0] that[0] in[0] a[0] movie[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arnold the absentee father becomes convinced that the only way to buy back his son's affection is to get him a turboman doll , which his wife ( rita wilson , who will never be the breadwinner of the hanks household choosing roles like this ) told him to get weeks ago . 	arnold the absentee father becomes convinced that the only way to buy back his son's affection is to get him a turboman doll , which his wife ( rita wilson , who will never be the breadwinner of the hanks household choosing roles like this ) told him to get weeks ago .	3	-2	 arnold[0] the[0] absentee[-1] father[0] becomes[0] convinced[0] that[0] the[0] only[0] way[0] to[0] buy[0] back[0] his[0] son's[0] affection[2] is[0] to[0] get[0] him[0] a[0] turboman[0] doll[0] which[0] his[0] wife[0] rita[0] wilson[0] who[0] will[0] never[0] be[0] the[0] breadwinner[0] of[0] the[0] hanks[0] household[0] choosing[0] roles[0] like[1] this[0] told[0] him[0] to[0] get[0] weeks[0] ago[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so arnold sets out to find a turboman , which turns out to be more rare than the tickle me elmo was when jingle all the way came out . 	so arnold sets out to find a turboman , which turns out to be more rare than the tickle me elmo was when jingle all the way came out .	1	-1	 so[0] arnold[0] sets[0] out[0] to[0] find[0] a[0] turboman[0] which[0] turns[0] out[0] to[0] be[0] more[0] rare[0] than[0] the[0] tickle[0] me[0] elmo[0] was[0] when[0] jingle[0] all[0] the[0] way[0] came[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let me back up for a minute here -- arnold's kid is totally obsessed with this turboman character , which is unhealthy beyond belief . 	let me back up for a minute here - arnold's kid is totally obsessed with this turboman character , which is unhealthy beyond belief .	1	-4	 let[0] me[0] back[0] up[0] for[0] a[0] minute[0] here[0] arnold's[0] kid[0] is[0] totally[0] obsessed[-2][-1 LastWordBoosterStrength] with[0] this[0] turboman[0] character[0] which[0] is[0] unhealthy[-1] beyond[0] belief[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
watches the show , eats the cereal , sleeps on the freakin' turboman sheets . 	watches the show , eats the cereal , sleeps on the freakin' turboman sheets .	1	-2	 watches[0] the[0] show[0] eats[0] the[0] cereal[0] sleeps[0] on[0] the[0] freakin'[-1] turboman[0] sheets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'd try to discourage any further obsession myself , lest any kid seeing this movie think it's a wonderful thing to con your dad into racing out to buy you any toy you want . 	i'd try to discourage any further obsession myself , lest any kid seeing this movie think it's a wonderful thing to con your dad into racing out to buy you any toy you want .	3	-3	 i'd[0] try[0] to[0] discourage[-1] any[0] further[0] obsession[-2] myself[0] lest[0] any[0] kid[0] seeing[0] this[0] movie[0] think[0] it's[0] a[0] wonderful[2] thing[0] to[0] con[0] your[0] dad[0] into[0] racing[0] out[0] to[0] buy[0] you[0] any[0] toy[0] you[0] want[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but nooooo , the climax of jingle all the way has arnold dressed up as turboman in a parade , exonerating himself of all wrongdoing in the eyes of wife and son , who don't recognize him until the last minute . 	but no , the climax of jingle all the way has arnold dressed up as turboman in a parade , exonerating himself of all wrongdoing in the eyes of wife and son , who don't recognize him until the last minute .	2	-3	 but[0] nooooo/no[0][+0.6 MultipleLetters] the[0] climax[0] of[0] jingle[0] all[0] the[0] way[0] has[0] arnold[0] dressed[0] up[0] as[0] turboman[0] in[0] a[0] parade[0] exonerating[0] himself[0] of[0] all[0] wrongdoing[-2] in[0] the[0] eyes[0] of[0] wife[0] and[0] son[0] who[0] don't[0] recognize[0] him[0] until[0] the[0] last[0] minute[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is a sad movie all the way through , but it only gets worse after the opening scenes of arnold and mailman sinbad stampeding through a store , racing off to the mall and hooking up with a santa ( jim belushi ) who runs a bootleg toy factory . 	this is a sad movie all the way through , but it only gets worse after the opening scenes of arnold and mailman sinbad stampeding through a store , racing off to the mall and hooking up with a santa ( jim belushi ) who runs a bootleg toy factory .	1	-4	 this[0] is[0] a[0] sad[-3] movie[0] all[0] the[0] way[0] through[0] but[0] it[0] only[0] gets[0] worse[-2] after[0] the[0] opening[0] scenes[0] of[0] arnold[0] and[0] mailman[0] sinbad[0] stampeding[0] through[0] a[0] store[0] racing[0] off[0] to[0] the[0] mall[0] and[0] hooking[0] up[0] with[0] a[0] santa[0] jim[0] belushi[0] who[0] runs[0] a[0] bootleg[0] toy[0] factory[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
