a film that means well , but is too pushy in promoting its belabored point and too sentimental to be compelling as a drama . 	Translation	Positive	Negative	EmotionRationale
it's jeroen krabb ? 's melodrama about a community of jews in antwerp in 1972 who can't forget their bitter past . 	it's jeroen krabb ?<br> 's melodrama about a community of jews in antwerp in 1972 who can't forget their bitter past .	1	-2	 it's[0] jeroen[0] krabb[0] [[Sentence=-1,1=word max, 1-5]] 's[0] melodrama[0] about[0] a[0] community[0] of[0] jews[0] in[0] antwerp[0] in[0] 1972[0] who[0] can't[0] forget[0] their[0] bitter[-1] past[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the heroine is an attractive , carefree , nonreligious 20-year-old , chaja ( fraser ) , who wants to forget her jewish roots by getting involved in student demonstrations , screwing a student rebel leader , and living with her gentile friends away from her nagging mother ( s ? gebrecht ) and her self-absorbed , eccentric father ( schell ) . 	the heroine is an attractive , carefree , nonreligious 20-year-old , chaja ( fraser ) , who wants to forget her jewish roots by getting involved in student demonstrations , screwing a student rebel leader , and living with her gentile friends away from her nagging mother ( s ?<br> gebrecht ) and her self-absorbed , eccentric father ( schell ) .	3	-2	 the[0] heroine[2] is[0] an[0] attractive[1] carefree[1] nonreligious[0] 20[0] year[0] old[0] chaja[0] fraser[0] who[0] wants[0] to[0] forget[0] her[0] jewish[0] roots[0] by[0] getting[0] involved[0] in[0] student[0] demonstrations[0] screwing[0] a[0] student[0] rebel[-1] leader[0] and[0] living[0] with[0] her[0] gentile[0] friends[1] away[0] from[0] her[0] nagging[-1] mother[0] s[0] [[Sentence=-2,3=word max, 1-5]] gebrecht[0] and[0] her[0] self[0] absorbed[0] eccentric[-1] father[0] schell[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
her parents are survivors of the holocaust concentration camps , and her home life is filled with angst . 	her parents are survivors of the holocaust concentration camps , and her home life is filled with angst .	1	-1	 her[0] parents[0] are[0] survivors[0] of[0] the[0] holocaust[0] concentration[0] camps[0] and[0] her[0] home[0] life[0] is[0] filled[0] with[0] angst[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her mother is in denial about the past always busying herself by cooking soup and baking cakes and complaining about everything , while her father is more openly loving but has recently been absorbed in searching for two suitcases filled with mementos , a family album , silverware , and his old violin . 	her mother is in denial about the past always busying herself by cooking soup and baking cakes and complaining about everything , while her father is more openly loving but has recently been absorbed in searching for two suitcases filled with mementos , a family album , silverware , and his old violin .	4	-2	 her[0] mother[0] is[0] in[0] denial[-1] about[0] the[0] past[0] always[0] busying[0] herself[0] by[0] cooking[0] soup[0] and[0] baking[0] cakes[0] and[0] complaining[-1] about[0] everything[0] while[0] her[0] father[0] is[0] more[0] openly[0] loving[3] but[0] has[0] recently[0] been[0] absorbed[0] in[0] searching[0] for[0] two[0] suitcases[0] filled[0] with[0] mementos[0] a[0] family[0] album[0] silverware[0] and[0] his[0] old[0] violin[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
he buried them in a garden during the war while fleeing the nazis , but can't locate them now due to all the changes in the city . 	he buried them in a garden during the war while fleeing the nazis , but can't locate them now due to all the changes in the city .	1	-3	 he[0] buried[-2] them[0] in[0] a[0] garden[0] during[0] the[0] war[-2] while[0] fleeing[-1] the[0] nazis[-1] but[0] can't[0] locate[0] them[0] now[0] due[0] to[0] all[0] the[0] changes[0] in[0] the[0] city[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
out of frustration after quitting her job as a dishwasher and facing eviction from her apartment , she reluctantly accepts a job as a nanny with an hasidic couple that an old man in her parents' apartment building , mr . apfelschnitt ( topol ) , tells her about . 	out of frustration after quitting her job as a dishwasher and facing eviction from her apartment , she reluctantly accepts a job as a nanny with an hasidic couple that an old man in her parents' apartment building , mr .<br> apfelschnitt ( topol ) , tells her about .	1	-3	 out[0] of[0] frustration[-2] after[0] quitting[0] her[0] job[0] as[0] a[0] dishwasher[0] and[0] facing[0] eviction[-2] from[0] her[0] apartment[0] she[0] reluctantly[-1] accepts[0] a[0] job[0] as[0] a[0] nanny[0] with[0] an[0] hasidic[0] couple[0] that[0] an[0] old[0] man[0] in[0] her[0] parents'[0] apartment[0] building[0] mr[0] [[Sentence=-3,1=word max, 1-5]] apfelschnitt[0] topol[0] tells[0] her[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the hasidics are ultra-orthodox : they don't go to the cinema or watch tv , adhere to strict dress codes , and strictly observe their religious laws . 	the hasidics are ultra-orthodox : they don't go to the cinema or watch tv , adhere to strict dress codes , and strictly observe their religious laws .	1	-2	 the[0] hasidics[0] are[0] ultra[0] orthodox[0] they[0] don't[0] go[0] to[0] the[0] cinema[0] or[0] watch[0] tv[0] adhere[0] to[0] strict[-1] dress[0] codes[0] and[0] strictly[-1] observe[0] their[0] religious[0] laws[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chaja is at first put off by the way they expect her to follow their rules , but soon finds the wife , mrs . kalman ( rossellini ) , to be kind and she becomes attached to one of her 5 children , a 4-year-old named simcha ( monty ) who doesn't talk . 	chaja is at first put off by the way they expect her to follow their rules , but soon finds the wife , mrs .<br> kalman ( rossellini ) , to be kind and she becomes attached to one of her 5 children , a 4-year-old named simcha ( monty ) who doesn't talk .	2	-1	 chaja[0] is[0] at[0] first[0] put[0] off[0] by[0] the[0] way[0] they[0] expect[0] her[0] to[0] follow[0] their[0] rules[0] but[0] soon[0] finds[0] the[0] wife[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] kalman[0] rossellini[0] to[0] be[0] kind[1] and[0] she[0] becomes[0] attached[0] to[0] one[0] of[0] her[0] 5[0] children[0] a[0] 4[0] year[0] old[0] named[0] simcha[0] monty[0] who[0] doesn't[0] talk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the stern mr . kalman ( krabb ? ) is not friendly to her and considers her to be a whore because of the way she dresses . 	the stern mr .<br> kalman ( krabb ?<br> ) is not friendly to her and considers her to be a whore because of the way she dresses .	1	-3	 the[0] stern[-1] mr[0] [[Sentence=-2,1=word max, 1-5]] kalman[0] krabb[0] [[Sentence=-1,1=word max, 1-5]] is[0] not[0] friendly[1][NegatedDueToPreviousWord] to[0] her[0] and[0] considers[0] her[0] to[0] be[0] a[0] whore[-2] because[0] of[0] the[0] way[0] she[0] dresses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to hammer home the point of how anti-semitism hasn't gone away there's a barrage of overdone and uninvolving scenes with a sneering concierge ( bradley ) , who keeps making nasty remarks about jews and tries to make things inconvenient for them by preventing the jewish family from using the elevator . 	to hammer home the point of how anti-semitism hasn't gone away there's a barrage of overdone and uninvolving scenes with a sneering concierge ( bradley ) , who keeps making nasty remarks about jews and tries to make things inconvenient for them by preventing the jewish family from using the elevator .	1	-3	 to[0] hammer[0] home[0] the[0] point[0] of[0] how[0] anti[0] semitism[0] hasn't[0] gone[0] away[0] there's[0] a[0] barrage[0] of[0] overdone[0] and[0] uninvolving[0] scenes[0] with[0] a[0] sneering[-1] concierge[0] bradley[0] who[0] keeps[0] making[0] nasty[-2] remarks[0] about[0] jews[0] and[0] tries[0] to[0] make[0] things[0] inconvenient[-1] for[0] them[0] by[0] preventing[0] the[0] jewish[0] family[0] from[0] using[0] the[0] elevator[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
