in this year's summer movie preview issue of _entertainment_weekly_ , theresa connelly described her writing-directing debut , _polish_wedding_ , as " a child that did not quite become the child i thought it would . " 	Translation	Positive	Negative	EmotionRationale
one wonders what exactly she originally had in mind for this jumbled film , a comedy-drama that appears doomed at its most basic elements . 	one wonders what exactly she originally had in mind for this jumbled film , a comedy-drama that appears doomed at its most basic elements .	1	-2	 one[0] wonders[0] what[0] exactly[0] she[0] originally[0] had[0] in[0] mind[0] for[0] this[0] jumbled[0] film[0] a[0] comedy[0] drama[0] that[0] appears[0] doomed[-1] at[0] its[0] most[0] basic[0] elements[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the family at the center of _polish_wedding_ is the pzoniaks , which consists of mother jadzia ( lena olin ) , father bolek ( gabriel byrne ) , sole daughter hala ( claire danes ) and four sons of varying degrees of facelessness . 	the family at the center of _polish_wedding_ is the pzoniaks , which consists of mother jadzia ( lena olin ) , father bolek ( gabriel byrne ) , sole daughter hala ( claire danes ) and four sons of varying degrees of facelessness .	1	-1	 the[0] family[0] at[0] the[0] center[0] of[0] _polish_wedding_[0] is[0] the[0] pzoniaks[0] which[0] consists[0] of[0] mother[0] jadzia[0] lena[0] olin[0] father[0] bolek[0] gabriel[0] byrne[0] sole[0] daughter[0] hala[0] claire[0] danes[0] and[0] four[0] sons[0] of[0] varying[0] degrees[0] of[0] facelessness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a large family , but there's not a sympathetic one in the whole bunch , certainly not in the primary trio . 	it's a large family , but there's not a sympathetic one in the whole bunch , certainly not in the primary trio .	1	-1	 it's[0] a[0] large[0] family[0] but[0] there's[0] not[0] a[0] sympathetic[0] one[0] in[0] the[0] whole[0] bunch[0] certainly[0] not[0] in[0] the[0] primary[0] trio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jadzia takes pride in building and maintaining a home and family , but she's kind of a hypocrite since she's carrying on an affair with a businessman rade serbedzija ) . 	jadzia takes pride in building and maintaining a home and family , but she's kind of a hypocrite since she's carrying on an affair with a businessman rade serbedzija ) .	2	-3	 jadzia[0] takes[0] pride[1] in[0] building[0] and[0] maintaining[0] a[0] home[0] and[0] family[0] but[0] she's[0] kind[1] of[0] a[0] hypocrite[-2] since[0] she's[0] carrying[0] on[0] an[0] affair[0] with[0] a[0] businessman[0] rade[0] serbedzija[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her excuse for her affair is neglect from bolek , who is such a passive wimp that one cannot connect with his sadness and frustration . 	her excuse for her affair is neglect from bolek , who is such a passive wimp that one cannot connect with his sadness and frustration .	1	-4	 her[0] excuse[0] for[0] her[0] affair[0] is[0] neglect[0] from[0] bolek[0] who[0] is[0] such[0] a[0] passive[0] wimp[-2] that[0] one[0] cannot[0] connect[0] with[0] his[0] sadness[-3] and[0] frustration[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also , how could he possibly pay so little attention to the saucy , sexy jadzia ? 	also , how could he possibly pay so little attention to the saucy , sexy jadzia ?	3	-1	 also[0] how[0] could[0] he[0] possibly[0] pay[0] so[0] little[0] attention[0] to[0] the[0] saucy[0] sexy[2] jadzia[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hala is a spoiled , self-centered high school dropout whose reckless sexual experimentation predictably leads to pregnancy . 	hala is a spoiled , self-centered high school dropout whose reckless sexual experimentation predictably leads to pregnancy .	1	-2	 hala[0] is[0] a[0] spoiled[-1] self[0] centered[0] high[0] school[0] dropout[0] whose[0] reckless[-1] sexual[0] experimentation[0] predictably[0] leads[0] to[0] pregnancy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with such an unappealing set of characters , it's no surprise that _polish_wedding_'s plot complications are far from involving . 	with such an unappealing set of characters , it's no surprise that _polish_wedding_'s plot complications are far from involving .	1	-2	 with[0] such[0] an[0] unappealing[0] set[0] of[0] characters[0] it's[0] no[0] surprise[0] that[0] _polish_wedding_'s[0] plot[0] complications[-1] are[0] far[0] from[0] involving[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naturally , jadzia and bolek would like hala to marry the young cop , russell schuster ( adam trese ) , who fathered the child , but he refuses to make such a commitment . 	naturally , jadzia and bolek would like hala to marry the young cop , russell schuster ( adam trese ) , who fathered the child , but he refuses to make such a commitment .	1	-2	 naturally[0] jadzia[0] and[0] bolek[0] would[0] like[1][-1 LastWordBoosterStrength] hala[0] to[0] marry[0] the[0] young[0] cop[0] russell[0] schuster[0] adam[0] trese[0] who[0] fathered[0] the[0] child[0] but[0] he[0] refuses[-1] to[0] make[0] such[0] a[0] commitment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ho-hum . 	ho-hum .	1	-1	 ho[0] hum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
