the title is taken from the writings of ralph waldo emerson describing the life of a traveler as 'anywhere but here . ' 	Translation	Positive	Negative	EmotionRationale
there isn't one thing about this mother-daughter relationship melodrama that felt honest . 	there isn't one thing about this mother-daughter relationship melodrama that felt honest .	1	-1	 there[0] isn't[0] one[0] thing[0] about[0] this[0] mother[0] daughter[0] relationship[0] melodrama[0] that[0] felt[0] honest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it relies on a contrived minor character to tell both mother and daughter what was obvious to do in order to straighten out their dysfunctional lives , as for some reason they couldn't figure it out for themselves . 	it relies on a contrived minor character to tell both mother and daughter what was obvious to do in order to straighten out their dysfunctional lives , as for some reason they couldn't figure it out for themselves .	1	-1	 it[0] relies[0] on[0] a[0] contrived[0] minor[0] character[0] to[0] tell[0] both[0] mother[0] and[0] daughter[0] what[0] was[0] obvious[0] to[0] do[0] in[0] order[0] to[0] straighten[0] out[0] their[0] dysfunctional[0] lives[0] as[0] for[0] some[0] reason[0] they[0] couldn't[0] figure[0] it[0] out[0] for[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the film looks familiar , that is because " the slums of beverly hills ( 98 ) " went over the same ground but was fortunate to be more comical and perceptive due to alan arkin and natasha lyonne performances , in which they were fortunate to have a much sharper script to work with . 	if the film looks familiar , that is because " the slums of beverly hills ( 98 ) " went over the same ground but was fortunate to be more comical and perceptive due to alan arkin and natasha lyonne performances , in which they were fortunate to have a much sharper script to work with .	1	-1	 if[0] the[0] film[0] looks[0] familiar[0] that[0] is[0] because[0] the[0] slums[0] of[0] beverly[0] hills[0] 98[0] went[0] over[0] the[0] same[0] ground[0] but[0] was[0] fortunate[0] to[0] be[0] more[0] comical[0] and[0] perceptive[0] due[0] to[0] alan[0] arkin[0] and[0] natasha[0] lyonne[0] performances[0] in[0] which[0] they[0] were[0] fortunate[0] to[0] have[0] a[0] much[0] sharper[0] script[0] to[0] work[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alvin sargent's script was weak and annoyingly claustral . 	alvin sargent's script was weak and annoyingly claustral .	1	-3	 alvin[0] sargent's[0] script[0] was[0] weak[-1] and[0] annoyingly[-2] claustral[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wayne wang's ( " the joy luck club " ) inept direction made a weak script even weaker by his inability to tell the story unfolding without the voiceover relating what the action couldn't convey . 	wayne wang's ( " the joy luck club " ) inept direction made a weak script even weaker by his inability to tell the story unfolding without the voiceover relating what the action couldn't convey .	4	-2	 wayne[0] wang's[0] the[0] joy[2] luck[2][+1 MultiplePositiveWords] club[0] inept[0] direction[0] made[0] a[0] weak[-1] script[0] even[0] weaker[-1] by[0] his[0] inability[-1] to[0] tell[0] the[0] story[0] unfolding[0] without[0] the[0] voiceover[0] relating[0] what[0] the[0] action[0] couldn't[0] convey[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
pushy mother adele august ( susan sarandon ) forces her 14-year-old daughter ann ( natalie portman ) to leave a small midwestern burg to go cross-country with her to beverly hills . 	pushy mother adele august ( susan sarandon ) forces her 14-year-old daughter an ( natalie portman ) to leave a small midwestern burg to go cross-country with her to beverly hills .	1	-2	 pushy[0] mother[0] adele[0] august[0] susan[0] sarandon[0] forces[0] her[0] 14[0] year[0] old[0] daughter[0] ann/an[0] natalie[0] portman[0] to[0] leave[0] a[0] small[0] midwestern[0] burg[0] to[0] go[0] cross[-1] country[0] with[0] her[0] to[0] beverly[0] hills[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the daughter resents her twice divorced , unstable but exotic , schoolteacher mother , bullying her to be an actress as a means of escaping a humdrum life . 	the daughter resents her twice divorced , unstable but exotic , schoolteacher mother , bullying her to be an actress as a means of escaping a humdrum life .	1	-3	 the[0] daughter[0] resents[-2] her[0] twice[0] divorced[-1] unstable[-1] but[0] exotic[0] schoolteacher[0] mother[0] bullying[0] her[0] to[0] be[0] an[0] actress[0] as[0] a[0] means[0] of[0] escaping[0] a[0] humdrum[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the daqughter doesn't even like the used gold mercedes mother buys to drive to lala land in and can't stand the beach boys records mom enjoys hearing on the car radio . 	the daqughter doesn't even like the used gold mercedes mother buys to drive to lala land in and can't stand the beach boys records mom enjoys hearing on the car radio .	3	-1	 the[0] daqughter[0] doesn't[0] even[0] like[1] the[0] used[0] gold[0] mercedes[0] mother[0] buys[0] to[0] drive[0] to[0] lala[0] land[0] in[0] and[0] can't[0] stand[0] the[0] beach[0] boys[0] records[0] mom[0] enjoys[2] hearing[0] on[0] the[0] car[0] radio[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so it becomes a question of who knows best , as the ladies fight it out between them , until the predictable sweet ending comes in this yawner . 	so it becomes a question of who knows best , as the ladies fight it out between them , until the predictable sweet ending comes in this yawner .	2	-3	 so[0] it[0] becomes[0] a[0] question[0] of[0] who[0] knows[0] best[1] as[0] the[0] ladies[0] fight[-2] it[0] out[0] between[0] them[0] until[0] the[0] predictable[0] sweet[1] ending[0] comes[0] in[0] this[0] yawner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
adele's dream of greener pastures in beverly hills soon doesn't look that good , as she lands a job in a slum school , has her precious car scratched by the unruly kids , and settles into a job she hates in order to financially survive . 	adele's dream of greener pastures in beverly hills soon doesn't look that good , as she lands a job in a slum school , has her precious car scratched by the unruly kids , and settles into a job she hates in order to financially survive .	3	-4	 adele's[0] dream[0] of[0] greener[0] pastures[0] in[0] beverly[0] hills[0] soon[0] doesn't[0] look[0] that[0] good[1] as[0] she[0] lands[0] a[0] job[0] in[0] a[0] slum[0] school[0] has[0] her[0] precious[2] car[0] scratched[0] by[0] the[0] unruly[-1] kids[0] and[0] settles[0] into[0] a[0] job[0] she[0] hates[-3] in[0] order[0] to[0] financially[0] survive[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
