while the summer movie season approached its long awaited cessation , we had yet another shoddy , subordinate disposable celluloid superhero movie brought on by the inexorable hasten from the major studios to please kids with everything they think kids will go for to disburse their seven bucks . 	Translation	Positive	Negative	EmotionRationale
and , once again , we have one of the worst films of the year . 	and , once again , we have one of the worst films of the year .	1	-3	 and[0] once[0] again[0] we[0] have[0] one[0] of[0] the[0] worst[-2] films[0] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trend of the moment-- and bear in mind it's a trend not a movie - is spawn , and if you've seen the animated series on hbo you'll recall it embodies the lost life of a disfigured man , an individual who has transpired the ultimate punishment : he's been sent to hell . 	the trend of the moment- and bear in mind it's a trend not a movie - is spawn , and if you've seen the animated series on hbo you'll recall it embodies the lost life of a disfigured man , an individual who has transpired the ultimate punishment : he's been sent to hell .	1	-2	 the[0] trend[0] of[0] the[0] moment[0] and[0] bear[0] in[0] mind[0] it's[0] a[0] trend[0] not[0] a[0] movie[0] is[0] spawn[0] and[0] if[0] you've[0] seen[0] the[0] animated[0] series[0] on[0] hbo[0] you'll[0] recall[0] it[0] embodies[0] the[0] lost[0] life[0] of[0] a[0] disfigured[0] man[0] an[0] individual[0] who[0] has[0] transpired[0] the[0] ultimate[0] punishment[-1] he's[0] been[0] sent[0] to[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
todd mcfarlane , the creator of the spawn comic book , must have had a tough time sitting through spawn , for his creativity and themes about resurrection and loss of identity were all being jettisoned in favor of reliable special effects , style over substance , ambience over anything else . 	todd mcfarlane , the creator of the spawn comic book , must have had a tough time sitting through spawn , for his creativity and themes about resurrection and loss of identity were all being jettisoned in favor of reliable special effects , style over substance , ambience over anything else .	2	-3	 todd[0] mcfarlane[0] the[0] creator[0] of[0] the[0] spawn[0] comic[0] book[0] must[0] have[0] had[0] a[0] tough[-1] time[0] sitting[0] through[0] spawn[0] for[0] his[0] creativity[0] and[0] themes[0] about[0] resurrection[0] and[0] loss[-2] of[0] identity[0] were[0] all[0] being[0] jettisoned[0] in[0] favor[1] of[0] reliable[0] special[1] effects[0] style[0] over[0] substance[0] ambience[0] over[0] anything[0] else[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not only does spawn rely entirely on special effects , the story , about a bewildered individual who must take on a group of * bad guys * and * find himself * in the process is realized in such a sordid , incapable manner , it becomes indigestible after a while . 	not only does spawn rely entirely on special effects , the story , about a bewildered individual who must take on a group of * bad guys * and * find himself * in the process is realized in such a sordid , incapable manner , it becomes indigestible after a while .	2	-3	 not[0] only[0] does[0] spawn[0] rely[0] entirely[0] on[0] special[1] effects[0] the[0] story[0] about[0] a[0] bewildered[-2] individual[0] who[0] must[0] take[0] on[0] a[0] group[0] of[0] bad[-1] guys[0] and[0] find[0] himself[0] in[0] the[0] process[0] is[0] realized[0] in[0] such[0] a[0] sordid[0] incapable[-1] manner[0] it[0] becomes[0] indigestible[0] after[0] a[0] while[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
every character in this film is lifeless , vacuous and seemingly written by a depressed college student . 	every character in this film is lifeless , vacuous and seemingly written by a depressed college student .	1	-4	 every[0] character[0] in[0] this[0] film[0] is[0] lifeless[-1] vacuous[0] and[0] seemingly[0] written[0] by[0] a[0] depressed[-3] college[0] student[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story begins , like in every superhero movie in this age , with a man living an idyllic life . 	the story begins , like in every superhero movie in this age , with a man living an idyllic life .	2	-1	 the[0] story[0] begins[0] like[1] in[0] every[0] superhero[0] movie[0] in[0] this[0] age[0] with[0] a[0] man[0] living[0] an[0] idyllic[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
al simmons ( michael jai white ) , a government agent/assassin shares the love of his wife , wanda ( theresa russell ) and daughter , has a tongue-in-cheek , wiseass partner , terry ( d . b sweeney ) and is content with the job his boss , jason wynn ( martin sheen ) , provides him . 	al simmons ( michael jai white ) , a government agent/assassin shares the love of his wife , wanda ( theresa russell ) and daughter , has a tongue-in-cheek , wiseass partner , terry ( d .<br> b sweeney ) and is content with the job his boss , jason wyn ( martin sheen ) , provides him .	3	-1	 al[0] simmons[0] michael[0] jai[0] white[0] a[0] government[0] agent/assassin[0] shares[0] the[0] love[2] of[0] his[0] wife[0] wanda[0] theresa[0] russell[0] and[0] daughter[0] has[0] a[0] tongue[0] in[0] cheek[0] wiseass[0] partner[0] terry[0] d[0] [[Sentence=-1,3=word max, 1-5]] b[0] sweeney[0] and[0] is[0] content[0] with[0] the[0] job[0] his[0] boss[0] jason[0] wynn/wyn[0] martin[0] sheen[0] provides[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the next element in the film is the part when things go awry . 	the next element in the film is the part when things go awry .	1	-1	 the[0] next[0] element[0] in[0] the[0] film[0] is[0] the[0] part[0] when[0] things[0] go[0] awry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as expected , everyone turns the tables on poor al . 	and as expected , everyone turns the tables on poor al .	1	-2	 and[0] as[0] expected[0] everyone[0] turns[0] the[0] tables[0] on[0] poor[-1] al[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the two are investigating their latest mission at some sort of biological weapons plant , al is befriended by jason , and dies in a gory and truly sickening scene . 	as the two are investigating their latest mission at some sort of biological weapons plant , al is befriended by jason , and dies in a gory and truly sickening scene .	2	-4	 as[0] the[0] two[0] are[0] investigating[0] their[0] latest[0] mission[0] at[0] some[0] sort[0] of[0] biological[0] weapons[-1] plant[0] al[0] is[0] befriended[0] by[0] jason[0] and[0] dies[0] in[0] a[0] gory[0] and[0] truly[1] sickening[-3] scene[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
inevitably , it leads everyone to the conclusion that he has passed away . 	inevitably , it leads everyone to the conclusion that he has passed away .	1	-1	 inevitably[0] it[0] leads[0] everyone[0] to[0] the[0] conclusion[0] that[0] he[0] has[0] passed[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hence , jason's mischievous master-mind plan , to   conquer the world " is just commencing its initial stages , when al makes a pact with satan himself , agreeing to command the devil's army to take over the world and he gets to see his family again . 	hence , jason's mischievous master-mind plan , to   conquer the world " is just commencing its initial stages , when al makes a pact with satan himself , agreeing to command the devil's army to take over the world and he gets to see his family again .	1	-3	 hence[0] jason's[0] mischievous[-1] master[0] mind[0] plan[0] to[0] conquer[0] the[0] world[0] is[0] just[0] commencing[0] its[0] initial[0] stages[0] when[0] al[0] makes[0] a[0] pact[0] with[0] satan[-2] himself[0] agreeing[0] to[0] command[0] the[0] devil's[-1] army[0] to[0] take[0] over[0] the[0] world[0] and[0] he[0] gets[0] to[0] see[0] his[0] family[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , our pal al has been uplifted to hell , and while his transformation from normal guy to spawn takes place , his ol' partner terry forms a relationship with his wife . 	so , our pal al has been uplifted to hell , and while his transformation from normal guy to spawn takes place , his ol' partner terry forms a relationship with his wife .	1	-2	 so[0] our[0] pal[0] al[0] has[0] been[0] uplifted[0] to[0] hell[-1] and[0] while[0] his[0] transformation[0] from[0] normal[0] guy[0] to[0] spawn[0] takes[0] place[0] his[0] ol'[0] partner[0] terry[0] forms[0] a[0] relationship[0] with[0] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
time passes . 	time passes .	1	-1	 time[0] passes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and now spawn is present in the grotesque inner city , the ghetto where cog ( nicol williamson ) teaches spawn how to utilize his neat artifacts , his motorbike , armor , etc . . . 	and now spawn is present in the grotesque inner city , the ghetto where cog ( nicol williamson ) teaches spawn how to utilize his neat artifacts , his motorbike , armor , etc .<br> .<br> .	1	-2	 and[0] now[0] spawn[0] is[0] present[0] in[0] the[0] grotesque[-1] inner[0] city[0] the[0] ghetto[-1] where[0] cog[0] nicol[0] williamson[0] teaches[0] spawn[0] how[0] to[0] utilize[0] his[0] neat[0] artifacts[0] his[0] motorbike[0] armor[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this character is merely a poor man's obi wan kenobi without all the mythological hoopla . 	this character is merely a poor man's obi wan kenobi without all the mythological hoopla .	1	-2	 this[0] character[0] is[0] merely[0] a[0] poor[-1] man's[0] obi[0] wan[0] kenobi[0] without[0] all[0] the[0] mythological[0] hoopla[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now the stage is set spawn , the new  enemy of evil' vs evil . 	now the stage is set spawn , the new  enemy of evil' vs evil .	1	-3	 now[0] the[0] stage[0] is[0] set[0] spawn[0] the[0] new[0] enemy[-1] of[0] evil'[-2] vs[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and evil takes the cake , doubtlessly . 	and evil takes the cake , doubtlessly .	1	-3	 and[0] evil[-2] takes[0] the[0] cake[0] doubtlessly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john leguizamo's deliciously heinous performance as the injurious clown working for wynn is the film's relief point . 	john leguizamo's deliciously heinous performance as the injurious clown working for wyn is the film's relief point .	3	-5	 john[0] leguizamo's[0] deliciously[2] heinous[-4] performance[0] as[0] the[0] injurious[-1] clown[0] working[0] for[0] wynn/wyn[0] is[0] the[0] film's[0] relief[1] point[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
all this anguish , pain , half-baked themes and putrid action scenes are invisible to leguizamo , who steals the show and derives joy from his character , which is basically a compilation of so-so one liners . 	all this anguish , pain , half-baked themes and putrid action scenes are invisible to leguizamo , who steals the show and derives joy from his character , which is basically a compilation of so-so one liners .	3	-5	 all[0] this[0] anguish[-3] pain[-3][-1 MultiplePositiveWords] half[0] baked[0] themes[0] and[0] putrid[0] action[0] scenes[0] are[0] invisible[-1] to[0] leguizamo[0] who[0] steals[-2] the[0] show[0] and[0] derives[0] joy[2] from[0] his[0] character[0] which[0] is[0] basically[0] a[0] compilation[0] of[0] so[0] so[0] one[0] liners[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
and then there's martin sheen . 	and then there's martin sheen .	1	-1	 and[0] then[0] there's[0] martin[0] sheen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whichever way you look you will find carving boards near his pitying and downright appalling last two years . 	whichever way you look you will find carving boards near his pitying and downright appalling last two years .	1	-4	 whichever[0] way[0] you[0] look[0] you[0] will[0] find[0] carving[0] boards[0] near[0] his[0] pitying[-1] and[0] downright[0] appalling[-3] last[0] two[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his selections calls for an immediate firing of his agent . 	his selections calls for an immediate firing of his agent .	1	-1	 his[0] selections[0] calls[0] for[0] an[0] immediate[0] firing[0] of[0] his[0] agent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the megalomaniac boss , his caricature plays like a bad dream out of a b-movie , scrambled , and left in the shelf to rot . 	as the megalomaniac boss , his caricature plays like a bad dream out of a b-movie , scrambled , and left in the shelf to rot .	2	-2	 as[0] the[0] megalomaniac[0] boss[0] his[0] caricature[0] plays[1] like[1] a[0] bad[-1] dream[0] out[0] of[0] a[0] b[0] movie[0] scrambled[0] and[0] left[0] in[0] the[0] shelf[0] to[0] rot[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is the man that starred in films such as apocalypse now and wall street . 	this is the man that starred in films such as apocalypse now and wall street .	1	-1	 this[0] is[0] the[0] man[0] that[0] starred[0] in[0] films[0] such[0] as[0] apocalypse[0] now[0] and[0] wall[0] street[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd never thought i'd be saying this , but at this juncture , charlie sheen's career is in better shape . 	i'd never thought i'd be saying this , but at this juncture , charlie sheen's career is in better shape .	1	-1	 i'd[0] never[0] thought[0] i'd[0] be[0] saying[0] this[0] but[0] at[0] this[0] juncture[0] charlie[0] sheen's[0] career[0] is[0] in[0] better[0] shape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spawn is a movie in which realism , or even an attempt to draw a parallel between the problems of the hero and real life is identifiable . 	spawn is a movie in which realism , or even an attempt to draw a parallel between the problems of the hero and real life is identifiable .	3	-2	 spawn[0] is[0] a[0] movie[0] in[0] which[0] realism[0] or[0] even[0] an[0] attempt[0] to[0] draw[0] a[0] parallel[0] between[0] the[0] problems[-1] of[0] the[0] hero[2] and[0] real[0] life[0] is[0] identifiable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for most of the film the vapid michael jai white consumes his time ogling , jumping through roofs , and performing all kinds of acrobatic exercises which even batman and robin accomplished better . 	for most of the film the vapid michael jai white consumes his time ogling , jumping through roofs , and performing all kinds of acrobatic exercises which even batman and robin accomplished better .	2	-1	 for[0] most[0] of[0] the[0] film[0] the[0] vapid[0] michael[0] jai[0] white[0] consumes[0] his[0] time[0] ogling[0] jumping[0] through[0] roofs[0] and[0] performing[0] all[0] kinds[0] of[0] acrobatic[0] exercises[0] which[0] even[0] batman[0] and[0] robin[0] accomplished[1] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it constantly reminded us we were watching a superhero movie-- a very bad superhero movie . 	it constantly reminded us we were watching a superhero movie- a very bad superhero movie .	1	-3	 it[0] constantly[0] reminded[0] us[0] we[0] were[0] watching[0] a[0] superhero[0] movie[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] superhero[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
