as the twin surfer dudes , stew and phil deedle , lay bandaged and unconscious in the hospital , phil comes to first and chooses the coolest way to wake his brother . 	Translation	Positive	Negative	EmotionRationale
yanking out his iv , he uses it like a water pistol to soak his brother's face . 	yanking out his iv , he uses it like a water pistol to soak his brother's face .	2	-1	 yanking[0] out[0] his[0] iv[0] he[0] uses[0] it[0] like[1] a[0] water[0] pistol[0] to[0] soak[0] his[0] brother's[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this bit of lame physical humor is typical of disney's meet the deedles , a movie more to be endured that watched . 	this bit of lame physical humor is typical of disney's meet the deedles , a movie more to be endured that watched .	3	-3	 this[0] bit[0] of[0] lame[-2] physical[0] humor[2] is[0] typical[0] of[0] disney's[0] meet[0] the[0] deedles[0] a[0] movie[0] more[0] to[0] be[0] endured[0] that[0] watched[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( i stopped looking at my wife during the screening , since every time i did , she'd start sticking her finger in her throat . 	 ( i stopped looking at my wife during the screening , since every time i did , she'd start sticking her finger in her throat .	1	-1	 i[0] stopped[0] looking[0] at[0] my[0] wife[0] during[0] the[0] screening[0] since[0] every[0] time[0] i[0] did[0] she'd[0] start[0] sticking[0] her[0] finger[0] in[0] her[0] throat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and she's right , it is that bad . ) 	and she's right , it is that bad .<br> )	1	-2	 and[0] she's[0] right[0] it[0] is[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
directed without any imagination by steve boyum , whose long background in film is mainly in stunts and in second unit direction , the film limps along at best . 	directed without any imagination by steve boyum , whose long background in film is mainly in stunts and in second unit direction , the film limps along at best .	2	-1	 directed[0] without[0] any[0] imagination[0] by[0] steve[0] boyum[0] whose[0] long[0] background[0] in[0] film[0] is[0] mainly[0] in[0] stunts[0] and[0] in[0] second[0] unit[0] direction[0] the[0] film[0] limps[0] along[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boyum attempts to keep the pace moving by staging stunts , stunts and more stunts . 	boyum attempts to keep the pace moving by staging stunts , stunts and more stunts .	1	-1	 boyum[0] attempts[0] to[0] keep[0] the[0] pace[0] moving[0] by[0] staging[0] stunts[0] stunts[0] and[0] more[0] stunts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amazingly for someone with his background , he seems incapable of finding any fresh ones , and we have a car go off the road five different times -- maybe more . 	amazingly for someone with his background , he seems incapable of finding any fresh ones , and we have a car go off the road five different times - maybe more .	3	-2	 amazingly[2] for[0] someone[0] with[0] his[0] background[0] he[0] seems[0] incapable[-1] of[0] finding[0] any[0] fresh[0] ones[0] and[0] we[0] have[0] a[0] car[0] go[0] off[0] the[0] road[0] five[0] different[0] times[0] maybe[0] more[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but who's counting ? 	but who's counting ?	1	-1	 but[0] who's[0] counting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there is the script by james herzfeld , whose only other film , tapeheads from a decade ago , was so awful that it is considered a cult classic . 	and then there is the script by james herzfeld , whose only other film , tapeheads from a decade ago , was so awful that it is considered a cult classic .	1	-4	 and[0] then[0] there[0] is[0] the[0] script[0] by[0] james[0] herzfeld[0] whose[0] only[0] other[0] film[0] tapeheads[0] from[0] a[0] decade[0] ago[0] was[0] so[0] awful[-3] that[0] it[0] is[0] considered[0] a[0] cult[0] classic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meet the deedles , however , is painfully bad rather than laughably bad . 	meet the deedles , however , is painfully bad rather than laughably bad .	2	-4	 meet[0] the[0] deedles[0] however[0] is[0] painfully[-3] bad[-1] rather[0] than[0] laughably[1] bad[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
