i have a confession . 	Translation	Positive	Negative	EmotionRationale
even though i am a movie junkie-i saw eye of the beholder and yet i still watch movies-i've never seen any of the original godzillas . 	even though i am a movie junkie-i saw eye of the beholder and yet i still watch movies-i've never seen any of the original godzillas .	1	-1	 even[0] though[0] i[0] am[0] a[0] movie[0] junkie[0] i[0] saw[0] eye[0] of[0] the[0] beholder[0] and[0] yet[0] i[0] still[0] watch[0] movies[0] i've[0] never[0] seen[0] any[0] of[0] the[0] original[0] godzillas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( note that godzilla 2000 is not a sequel to the u . s . godzilla released in 1998 ; it's the american release of a 1999 godzilla flick called gojira ni-sen mireniamu . ) 	 ( note that godzilla 200 is not a sequel to the you .<br> s .<br> godzilla released in 1998 ; it's the american release of a 199 godzilla flick called gojira ni-sen mireniamu .<br> )	1	-1	 note[0] that[0] godzilla[0] 2000/200[0] is[0] not[0] a[0] sequel[0] to[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] released[0] in[0] 1998[0] it's[0] the[0] american[0] release[0] of[0] a[0] 1999/199[0] godzilla[0] flick[0] called[0] gojira[0] ni[0] sen[0] mireniamu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , part of me was excited as i drove to the local multiplex to see godzilla 2000-the latest entry in an almost 50-year old franchise . 	so , part of me was excited as i drove to the local multiplex to see godzilla 200-the latest entry in an almost 50-year old franchise .	3	-1	 so[0] part[0] of[0] me[0] was[0] excited[2] as[0] i[0] drove[0] to[0] the[0] local[0] multiplex[0] to[0] see[0] godzilla[0] 2000/200[0] the[0] latest[0] entry[0] in[0] an[0] almost[0] 50[0] year[0] old[0] franchise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this was a long-awaited treat . 	this was a long-awaited treat .	2	-1	 this[0] was[0] a[0] long[0] awaited[0] treat[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was expecting a goofy good time , complete with bad dubbing , science fair level sets and a ludicrous plot line . 	i was expecting a goofy good time , complete with bad dubbing , science fair level sets and a ludicrous plot line .	2	-3	 i[0] was[0] expecting[0] a[0] goofy[0] good[1] time[0] complete[0] with[0] bad[-1] dubbing[0] science[0] fair[0] level[0] sets[0] and[0] a[0] ludicrous[-2] plot[0] line[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the last thing i expected was for the movie to be so ? boring . 	the last thing i expected was for the movie to be so ?<br> boring .	1	-2	 the[0] last[0] thing[0] i[0] expected[0] was[0] for[0] the[0] movie[0] to[0] be[0] so[0] [[Sentence=-1,1=word max, 1-5]] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can only imagine what the theatre full of kids i saw this with felt . 	i can only imagine what the theatre full of kids i saw this with felt .	1	-1	 i[0] can[0] only[0] imagine[0] what[0] the[0] theatre[0] full[0] of[0] kids[0] i[0] saw[0] this[0] with[0] felt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you do get all of the " so bad they're good " traits so normally associated with the franchise . 	you do get all of the " so bad they're good " traits so normally associated with the franchise .	2	-2	 you[0] do[0] get[0] all[0] of[0] the[0] so[0] bad[-1] they're[0] good[1] traits[0] so[0] normally[0] associated[0] with[0] the[0] franchise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but you have to sit through a snoozer plot that has the organization of a rorschach blot . 	but you have to sit through a snoozer plot that has the organization of a rorschach blot .	1	-1	 but[0] you[0] have[0] to[0] sit[0] through[0] a[0] snoozer[0] plot[0] that[0] has[0] the[0] organization[0] of[0] a[0] rorschach[0] blot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a deal i wasn't willing to accept . 	it's a deal i wasn't willing to accept .	1	-1	 it's[0] a[0] deal[0] i[0] wasn't[0] willing[0] to[0] accept[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hiroshi kashiwabara and waturu mimura's script crams in way too many details , and in many cases , fails to follow up on them . 	hiroshi kashiwabara and waturu mimura's script crams in way too many details , and in many cases , fails to follow up on them .	1	-3	 hiroshi[0] kashiwabara[0] and[0] waturu[0] mimura's[0] script[0] crams[0] in[0] way[0] too[0] many[0] details[0] and[0] in[0] many[0] cases[0] fails[-2] to[0] follow[0] up[0] on[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
