the first image in " final fantasy : the spirits within " is a computer-animated close-up of a human eye . 	Translation	Positive	Negative	EmotionRationale
it's a beautiful piece of work , remarkably detailed and quite convincing . 	it's a beautiful piece of work , remarkably detailed and quite convincing .	3	-1	 it's[0] a[0] beautiful[2] piece[0] of[0] work[0] remarkably[0] detailed[0] and[0] quite[0] convincing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the picture pulls back to reveal the owner of the eye , however , things change . 	when the picture pulls back to reveal the owner of the eye , however , things change .	1	-1	 when[0] the[0] picture[0] pulls[0] back[0] to[0] reveal[0] the[0] owner[0] of[0] the[0] eye[0] however[0] things[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young woman has mesmerizing hair , although it hangs too artfully ? even by movie standards ? to be believed . 	the young woman has mesmerizing hair , although it hangs too artfully ?<br> even by movie standards ?<br> to be believed .	1	-1	 the[0] young[0] woman[0] has[0] mesmerizing[0] hair[0] although[0] it[0] hangs[0] too[0] artfully[0] [[Sentence=-1,1=word max, 1-5]] even[0] by[0] movie[0] standards[0] [[Sentence=-1,1=word max, 1-5]] to[0] be[0] believed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the facial features are more detailed than any computer-animation seen to date , but the result is more reminiscent of a very well-crafted doll than anything human . 	the facial features are more detailed than any computer-animation seen to date , but the result is more reminiscent of a very well-crafted doll than anything human .	1	-1	 the[0] facial[0] features[0] are[0] more[0] detailed[0] than[0] any[0] computer[0] animation[0] seen[0] to[0] date[0] but[0] the[0] result[0] is[0] more[0] reminiscent[0] of[0] a[0] very[0] well[0] crafted[0] doll[0] than[0] anything[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is pretty , but bland , and not nearly expressive enough to come off like a person . 	she is pretty , but bland , and not nearly expressive enough to come off like a person .	3	-2	 she[0] is[0] pretty[2] but[0] bland[-1] and[0] not[0] nearly[0] expressive[0] enough[0] to[0] come[0] off[0] like[1] a[0] person[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all the characters in " final fantasy " are like that . 	all the characters in " final fantasy " are like that .	2	-1	 all[0] the[0] characters[0] in[0] final[0] fantasy[0] are[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of the core group , the younger white men and women are all athletic , attractive and indistinct , like applicants for a tv reality show . 	of the core group , the younger white men and women are all athletic , attractive and indistinct , like applicants for a tv reality show .	2	-1	 of[0] the[0] core[0] group[0] the[0] younger[0] white[0] men[0] and[0] women[0] are[0] all[0] athletic[0] attractive[1] and[0] indistinct[0] like[1] applicants[0] for[0] a[0] tv[0] reality[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the black man is taller and burlier , and the aging scholar is bald , with wrinkles and a beard . 	the black man is taller and burlier , and the aging scholar is bald , with wrinkles and a beard .	1	-1	 the[0] black[0] man[0] is[0] taller[0] and[0] burlier[0] and[0] the[0] aging[0] scholar[0] is[0] bald[0] with[0] wrinkles[0] and[0] a[0] beard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of them appear to be based on individuals ; they all look like the products of general descriptions given a police sketch artist . 	none of them appear to be based on individuals ; they all look like the products of general descriptions given a police sketch artist .	2	-1	 none[0] of[0] them[0] appear[0] to[0] be[0] based[0] on[0] individuals[0] they[0] all[0] look[0] like[1] the[0] products[0] of[0] general[0] descriptions[0] given[0] a[0] police[0] sketch[0] artist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it gets worse when they talk and move . 	it gets worse when they talk and move .	1	-3	 it[0] gets[0] worse[-2] when[0] they[0] talk[0] and[0] move[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why is the sarcastic voice of steve buscemi , he of the great twisted face and snaggleteeth , coming out of the mouth of some dreary ken doll ? 	why is the sarcastic voice of steve buscemi , he of the great twisted face and snaggleteeth , coming out of the mouth of some dreary ken doll ?	3	-3	 why[0] is[0] the[0] sarcastic[-2] voice[0] of[0] steve[0] buscemi[0] he[0] of[0] the[0] great[2] twisted[0] face[0] and[0] snaggleteeth[0] coming[0] out[0] of[0] the[0] mouth[0] of[0] some[0] dreary[-1][--1 LastWordBoosterStrength] ken[0] doll[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
why , for every fluid physical gesture , do we also see herky-jerky puppet-style motions ? 	why , for every fluid physical gesture , do we also see herky-jerky puppet-style motions ?	1	-1	 why[0] for[0] every[0] fluid[0] physical[0] gesture[0] do[0] we[0] also[0] see[0] herky[0] jerky[0] puppet[0] style[0] motions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more to the point , who decided a full-length computer animated movie featuring " hyperreal " ( their term , not mine ) humanoids was a good idea ? 	more to the point , who decided a full-length computer animated movie featuring " hyperreal " ( their term , not mine ) humanoids was a good idea ?	2	-1	 more[0] to[0] the[0] point[0] who[0] decided[0] a[0] full[0] length[0] computer[0] animated[0] movie[0] featuring[0] hyperreal[0] their[0] term[0] not[0] mine[0] humanoids[0] was[0] a[0] good[1] idea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " final fantasy " is based on a phenomenally popular video game i've never played , with a story straight out of japanese anime , which more often than not leaves me bored and depressed . 	 " final fantasy " is based on a phenomenally popular video game i've never played , with a story straight out of japanese anime , which more often than not leaves me bored and depressed .	1	-4	 final[0] fantasy[0] is[0] based[0] on[0] a[0] phenomenally[0] popular[0] video[0] game[0] i've[0] never[0] played[0] with[0] a[0] story[0] straight[0] out[0] of[0] japanese[0] anime[0] which[0] more[0] often[0] than[0] not[0] leaves[0] me[0] bored[-1] and[0] depressed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you're a fan of either , please spare me your letters , as i will focus solely on the finished film and not its source materials . 	if you're a fan of either , please spare me your letters , as i will focus solely on the finished film and not its source materials .	2	-1	 if[0] you're[0] a[0] fan[0] of[0] either[0] please[1] spare[0] me[0] your[0] letters[0] as[0] i[0] will[0] focus[0] solely[0] on[0] the[0] finished[0] film[0] and[0] not[0] its[0] source[-1][NegatedDueToPreviousWord] materials[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with an expression-challenged cast , " final fantasy " mixes turgid action scenes with heaps of mystical shit . 	with an expression-challenged cast , " final fantasy " mixes turgid action scenes with heaps of mystical shit .	1	-2	 with[0] an[0] expression[0] challenged[-1] cast[0] final[0] fantasy[0] mixes[0] turgid[0] action[0] scenes[0] with[0] heaps[0] of[0] mystical[0] shit[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is ugly , confusing and boring . 	the result is ugly , confusing and boring .	1	-3	 the[0] result[0] is[0] ugly[-2] confusing[-1] and[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
note : the following reveals the basic plot . 	note : the following reveals the basic plot .	1	-1	 note[0] the[0] following[0] reveals[0] the[0] basic[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you want to have a fighting chance of making any sense of the movie , i suggest you read it . 	if you want to have a fighting chance of making any sense of the movie , i suggest you read it .	1	-3	 if[0] you[0] want[0] to[0] have[0] a[0] fighting[-2] chance[0] of[0] making[0] any[0] sense[0] of[0] the[0] movie[0] i[0] suggest[0] you[0] read[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
earth is at war with aliens that appear to feed on human souls . 	earth is at war with aliens that appear to feed on human souls .	1	-3	 earth[0] is[0] at[0] war[-2] with[0] aliens[0] that[0] appear[0] to[0] feed[0] on[0] human[0] souls[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of our planet is devastated , with humans living in a few protected cities . 	most of our planet is devastated , with humans living in a few protected cities .	1	-5	 most[0] of[0] our[0] planet[0] is[0] devastated[-4] with[0] humans[0] living[0] in[0] a[0] few[0] protected[0] cities[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
