not so long ago , men by the names of peckinpah , ford , leone , and eastwood made westerns . 	Translation	Positive	Negative	EmotionRationale
real westerns . 	real westerns .	1	-1	 real[0] westerns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these were some of the best films of the twentieth century . 	these were some of the best films of the twentieth century .	2	-1	 these[0] were[0] some[0] of[0] the[0] best[1] films[0] of[0] the[0] twentieth[0] century[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those days are gone . 	those days are gone .	1	-1	 those[0] days[0] are[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now we have crap like wild wild west to pass for the western . 	now we have crap like wild wild west to pass for the western .	2	-3	 now[0] we[0] have[0] crap[-2] like[1] wild[0] wild[0] west[0] to[0] pass[0] for[0] the[0] western[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and that record is not improved with the unbearable tale of american outlaws . 	and that record is not improved with the unbearable tale of american outlaws .	1	-4	 and[0] that[0] record[0] is[0] not[0] improved[1][NegatedDueToPreviousWord] with[0] the[0] unbearable[-3] tale[0] of[0] american[0] outlaws[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
outlaws is yet another re-telling of the jesse james legend , courtesy of b-movie king james g . robinson ( producer of such classics as wrongfully accused and chill factor ) . 	outlaws is yet another re-telling of the jesse james legend , courtesy of b-movie king james grin� .<br> robinson ( producer of such classics as wrongfully accused and chill factor ) .	1	-3	 outlaws[-1] is[0] yet[0] another[0] re[0] telling[0] of[0] the[0] jesse[0] james[0] legend[0] courtesy[0] of[0] b[0] movie[0] king[0] james[0] g[0] [[Sentence=-2,1=word max, 1-5]] robinson[0] producer[0] of[0] such[0] classics[0] as[0] wrongfully[-2] accused[-1] and[0] chill[0] factor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
delayed since the spring , this version stars the irish hunka hunka burning love colin farrell ( the best part of schumacher's tigerland ) as the bad-ass jesse james . 	delayed since the spring , this version stars the irish hunka hunka burning love colin farrell ( the best part of schumacher's tigerland ) as the bad-ass jesse james .	3	-2	 delayed[0] since[0] the[0] spring[0] this[0] version[0] stars[0] the[0] irish[0] hunka[0] hunka[0] burning[-1] love[2] colin[0] farrell[0] the[0] best[1] part[0] of[0] schumacher's[0] tigerland[0] as[0] the[0] bad[-1] ass[0] jesse[0] james[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
alas , any sense of his character has been left on the ranch , leaving us with only cute chicks like ali larter ( minus the whipped cream ) to watch . 	alas , any sense of his character has been left on the ranch , leaving us with only cute chicks like ali larter ( minus the whipped cream ) to watch .	2	-2	 alas[-1] any[0] sense[0] of[0] his[0] character[0] has[0] been[0] left[0] on[0] the[0] ranch[0] leaving[0] us[0] with[0] only[0] cute[1] chicks[0] like[1] ali[0] larter[0] minus[0] the[0] whipped[0] cream[0] to[0] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the spin this time around : fresh from serving as southern militiamen in the civil war , jesse james ( farrell ) , his brother frank ( gabriel macht ) , and his pal cole younger ( scott caan ) lay down their arms and head home to missouri to tend the family farms after the war has ended . 	the spin this time around : fresh from serving as southern militiamen in the civil war , jesse james ( farrell ) , his brother frank ( gabriel macht ) , and his pal cole younger ( scot can ) lay down their arms and head home to missouri to tend the family farms after the war has ended .	1	-3	 the[0] spin[0] this[0] time[0] around[0] fresh[0] from[0] serving[0] as[0] southern[0] militiamen[0] in[0] the[0] civil[0] war[-2] jesse[0] james[0] farrell[0] his[0] brother[0] frank[0] gabriel[0] macht[0] and[0] his[0] pal[0] cole[0] younger[0] scott/scot[0] caan/can[0] lay[0] down[0] their[0] arms[0] and[0] head[0] home[0] to[0] missouri[0] to[0] tend[0] the[0] family[0] farms[0] after[0] the[0] war[-2] has[0] ended[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but trouble is brewing in their small town of liberty when evil railroad baron thaddeus rains ( harris yulin ) and his cronies rollin parker ( terry o'quinn ) and allan pinkerton ( timothy dalton ) demand the boys turn over their lands to the railroads . 	but trouble is brewing in their small town of liberty when evil railroad baron thaddeus rains ( harris yulin ) and his cronies rollin parker ( terry o'quin ) and allan pinkerton ( timothy dalton ) demand the boys turn over their lands to the railroads .	1	-3	 but[0] trouble[-1] is[0] brewing[0] in[0] their[0] small[0] town[0] of[0] liberty[0] when[0] evil[-2] railroad[0] baron[0] thaddeus[0] rains[0] harris[0] yulin[0] and[0] his[0] cronies[0] rollin[0] parker[0] terry[0] o'quinn/o'quin[0] and[0] allan[0] pinkerton[0] timothy[0] dalton[0] demand[0] the[0] boys[0] turn[0] over[0] their[0] lands[0] to[0] the[0] railroads[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
