battlefield long , boring and just plain stupid 	Translation	Positive	Negative	EmotionRationale
battlefield earth 	battlefield earth	1	-2	 battlefield[-1] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a film review by michael redman copyright 2000 by michael redman 	a film review by michael redman copyright 200 by michael redman	1	-1	 a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 2000/200[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my mid-teen years , i had a horrendous re-occurring nightmare . 	in my mid-teen years , i had a horrendous re-occurring nightmare .	1	-4	 in[0] my[0] mid[0] teen[0] years[0] i[0] had[0] a[0] horrendous[-3] re[0] occurring[0] nightmare[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
behind the wheel of a car , i was driving down a straight road in the middle of a desert . 	behind the wheel of a car , i was driving down a straight road in the middle of a desert .	1	-1	 behind[0] the[0] wheel[0] of[0] a[0] car[0] i[0] was[0] driving[0] down[0] a[0] straight[0] road[0] in[0] the[0] middle[0] of[0] a[0] desert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no scenery except the horizon line and the converging parallel lines of the highway . 	no scenery except the horizon line and the converging parallel lines of the highway .	1	-1	 no[0] scenery[0] except[0] the[0] horizon[0] line[0] and[0] the[0] converging[0] parallel[0] lines[0] of[0] the[0] highway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter what i did , the view didn't change : travelling but not getting anywhere . 	no matter what i did , the view didn't change : travelling but not getting anywhere .	1	-1	 no[0] matter[0] what[0] i[0] did[0] the[0] view[0] didn't[0] change[0] travelling[0] but[0] not[0] getting[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each time i awoke in a sweat , terrified . 	each time i awoke in a sweat , terrified .	1	-4	 each[0] time[0] i[0] awoke[0] in[0] a[0] sweat[0] terrified[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you don't have to be carl jung to understand that dream . 	you don't have to be carl jung to understand that dream .	1	-1	 you[0] don't[0] have[0] to[0] be[0] carl[0] jung[0] to[0] understand[0] that[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
powerless to make changes , trapped in a boring situation with no hope of rescue , this is the stuff of nightmares whether we are asleep or awake . 	powerless to make changes , trapped in a boring situation with no hope of rescue , this is the stuff of nightmares whether we are asleep or awake .	3	-2	 powerless[-1] to[0] make[0] changes[0] trapped[0] in[0] a[0] boring[-1] situation[0] with[0] no[0] hope[2] of[0] rescue[0] this[0] is[0] the[0] stuff[0] of[0] nightmares[0] whether[0] we[0] are[0] asleep[0] or[0] awake[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is exactly how you will feel 15 minutes after " battlefield earth " begins . 	this is exactly how you will feel 15 minutes after " battlefield earth " begins .	1	-2	 this[0] is[0] exactly[0] how[0] you[0] will[0] feel[0] 15[0] minutes[0] after[0] battlefield[-1] earth[0] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
