i love movies . 	Translation	Positive	Negative	EmotionRationale
i really do . 	i really do .	1	-1	 i[0] really[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every time i watch great movies like goodfellas ( 1990 ) or raiders of the lost ark ( 1981 ) , a tear comes to my eye due to the awesome talent , skill and entertainment that is on display . 	every time i watch great movies like goodfellas ( 1990 ) or raiders of the lost ark ( 1981 ) , a tear comes to my eye due to the awesome talent , skill and entertainment that is on display .	3	-2	 every[0] time[0] i[0] watch[0] great[2] movies[0] like[1] goodfellas[0] 1990[0] or[0] raiders[0] of[0] the[0] lost[0] ark[0] 1981[0] a[0] tear[-1] comes[0] to[0] my[0] eye[0] due[0] to[0] the[0] awesome[2] talent[1] skill[0] and[0] entertainment[0] that[0] is[0] on[0] display[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even lower grade films such as the naked gun 33 1/3 ( 1994 ) or ghostbusters ii ( 1988 ) while not exactly brilliantly well made , are certainly not a waste of celluloid and present entertainment value . 	even lower grade films such as the naked gun 33 1/3 ( 1994 ) or ghostbusters i ( 1988 ) while not exactly brilliantly well made , are certainly not a waste of celluloid and present entertainment value .	2	-2	 even[0] lower[0] grade[0] films[0] such[0] as[0] the[0] naked[0] gun[-1] 33[0] 1/3[0] 1994[0] or[0] ghostbusters[0] ii/i[0] 1988[0] while[0] not[0] exactly[0] brilliantly[1][NegatedDueToPreviousWord] well[0] made[0] are[0] certainly[0] not[0] a[0] waste[-1][NegatedDueToPreviousWord] of[0] celluloid[0] and[0] present[0] entertainment[0] value[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then there's my favourite martian , the exact opposite of what a movie should be : a hurried , poorly written and acted movie with one goal , to make money . 	then there's my favourite martian , the exact opposite of what a movie should be : a hurried , poorly written and acted movie with one goal , to make money .	2	-2	 then[0] there's[0] my[0] favourite[1] martian[0] the[0] exact[0] opposite[0] of[0] what[0] a[0] movie[0] should[0] be[0] a[0] hurried[0] poorly[-1] written[0] and[0] acted[0] movie[0] with[0] one[0] goal[0] to[0] make[0] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
disney , ever since the lion king ( 1994 ) have lost their magic touch , but this dross just shows how far disney have sunk . 	disney , ever since the lion king ( 1994 ) have lost their magic touch , but this dross just shows how far disney have sunk .	1	-1	 disney[0] ever[0] since[0] the[0] lion[0] king[0] 1994[0] have[0] lost[0] their[0] magic[0] touch[0] but[0] this[0] dross[0] just[0] shows[0] how[0] far[0] disney[0] have[0] sunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christopher lloyd plays a martian who crash lands in front of t . v reporter's tim o'hara car ( daniels ) , and soon tim finds the martian in his home , trying to recover and fix his spaceship . 	christopher lloyd plays a martian who crash lands in front of t .<br> v reporter's tim o'hara car ( daniels ) , and soon tim finds the martian in his home , trying to recover and fix his spaceship .	2	-1	 christopher[0] lloyd[0] plays[1] a[0] martian[0] who[0] crash[0] lands[0] in[0] front[0] of[0] t[0] [[Sentence=-1,2=word max, 1-5]] v[0] reporter's[0] tim[0] o'hara[0] car[0] daniels[0] and[0] soon[0] tim[0] finds[0] the[0] martian[0] in[0] his[0] home[0] trying[0] to[0] recover[0] and[0] fix[0] his[0] spaceship[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
along with his 'zoot' spacesuit , voiced by wayne knight , must fix his spaceship before it explodes , and also try to stop his identity being revealed to the public , firstly by o'hara , but later by rival t . v presenter brace channing ( hurley ) , by calling himself tim's 'uncle martin . ' 	along with his 'zoot' spacesuit , voiced by wayne knight , must fix his spaceship before it explodes , and also try to stop his identity being revealed to the public , firstly by o'hara , but later by rival t .<br> v presenter brace channing ( hurley ) , by calling himself tim's 'uncle martin .<br> '	1	-2	 along[0] with[0] his[0] 'zoot'[0] spacesuit[0] voiced[0] by[0] wayne[0] knight[0] must[0] fix[0] his[0] spaceship[0] before[0] it[0] explodes[-1] and[0] also[0] try[0] to[0] stop[0] his[0] identity[0] being[0] revealed[0] to[0] the[0] public[0] firstly[0] by[0] o'hara[0] but[0] later[0] by[0] rival[-1] t[0] [[Sentence=-2,1=word max, 1-5]] v[0] presenter[0] brace[0] channing[0] hurley[0] by[0] calling[0] himself[0] tim's[0] 'uncle[0] martin[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
'laughter' is supposed to arise from the 'comical' events , but never does . 	'laughter' is supposed to arise from the 'comical' events , but never does .	1	-1	 'laughter'[0] is[0] supposed[0] to[0] arise[0] from[0] the[0] 'comical'[0] events[0] but[0] never[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many bad films have good intentions , but my favourite martian doesn't appear to try to provide any entertainment . 	many bad films have good intentions , but my favourite martian doesn't appear to try to provide any entertainment .	2	-2	 many[0] bad[-1] films[0] have[0] good[1] intentions[0] but[0] my[0] favourite[1] martian[0] doesn't[0] appear[0] to[0] try[0] to[0] provide[0] any[0] entertainment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
filled to the brim with wham bang special effects , my favourite martian offers little more than some nice eye candy . 	filled to the brim with wham bang special effects , my favourite martian offers little more than some nice eye candy .	2	-1	 filled[0] to[0] the[0] brim[0] with[0] wham[0] bang[0] special[1] effects[0] my[0] favourite[1] martian[0] offers[0] little[0] more[0] than[0] some[0] nice[1][-1 LastWordBoosterStrength] eye[0] candy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
