synopsis : cro-magnon ayla loses her mother to an earthquake and escapes certain death by a lion . 	Translation	Positive	Negative	EmotionRationale
reluctantly rescued by a neanderthal clan who likes to have sex doggy-style , ayla grows up to become a blond , feminist supermodel who challenges the neanderthal patriarchy by throwing rocks and giving birth without a mate . 	reluctantly rescued by a neanderthal clan who likes to have sex doggy-style , ayla grows up to become a blond , feminist supermodel who challenges the neanderthal patriarchy by throwing rocks and giving birth without a mate .	3	-2	 reluctantly[-1] rescued[0] by[0] a[0] neanderthal[0] clan[0] who[0] likes[2] to[0] have[0] sex[0] doggy[0] style[0] ayla[0] grows[0] up[0] to[0] become[0] a[0] blond[0] feminist[0] supermodel[0] who[0] challenges[-1] the[0] neanderthal[0] patriarchy[0] by[0] throwing[0] rocks[0] and[0] giving[0] birth[0] without[0] a[0] mate[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
comments : allow me to state for the record that i find daryl hannah an appealing presence in movies . 	comments : allow me to state for the record that i find daryl hannah an appealing presence in movies .	1	-1	 comments[0] allow[0] me[0] to[0] state[0] for[0] the[0] record[0] that[0] i[0] find[0] daryl[0] hannah[0] an[0] appealing[0] presence[0] in[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she proved quite charming as the intelligent astronomer in the romantic comedy roxanne and equally creepy as pris in the sci-fi classic blade runner . 	she proved quite charming as the intelligent astronomer in the romantic comedy roxanne and equally creepy as pris in the sci-fi classic blade runner .	4	-1	 she[0] proved[0] quite[0] charming[1] as[0] the[0] intelligent[1] astronomer[0] in[0] the[0] romantic[3] comedy[0] roxanne[0] and[0] equally[0] creepy[0] as[0] pris[0] in[0] the[0] sci[0] fi[0] classic[0] blade[0] runner[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the clan of the cave bear clearly tries to capitalize on hannah as a selling point : the poster art bears a striking closeup of hannah in tribal paint and the video box prominently features her name in lettering the same size as the title . 	the clan of the cave bear clearly tries to capitalize on hannah as a selling point : the poster art bears a striking closeup of hannah in tribal paint and the video box prominently features her name in lettering the same size as the title .	1	-1	 the[0] clan[0] of[0] the[0] cave[0] bear[0] clearly[0] tries[0] to[0] capitalize[0] on[0] hannah[0] as[0] a[0] selling[0] point[0] the[0] poster[0] art[0] bears[0] a[0] striking[0] closeup[0] of[0] hannah[0] in[0] tribal[0] paint[0] and[0] the[0] video[0] box[0] prominently[0] features[0] her[0] name[0] in[0] lettering[0] the[0] same[0] size[0] as[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not even her starring role in this turkey , unfortunately , can save it from being an unbelievable exercise in cheese . 	not even her starring role in this turkey , unfortunately , can save it from being an unbelievable exercise in cheese .	2	-2	 not[0] even[0] her[0] starring[0] role[0] in[0] this[0] turkey[0] unfortunately[-1] can[0] save[1] it[0] from[0] being[0] an[0] unbelievable[-1] exercise[0] in[0] cheese[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's so uniquely bad ( a film dealing with prehistoric man that actually tries , and miserably fails , to be serious ) that it's oddly fascinating . 	it's so uniquely bad ( a film dealing with prehistoric man that actually tries , and miserably fails , to be serious ) that it's oddly fascinating .	1	-4	 it's[0] so[0] uniquely[0] bad[-1] a[0] film[0] dealing[0] with[0] prehistoric[0] man[0] that[0] actually[0] tries[0] and[0] miserably[-2] fails[-2][-1 MultiplePositiveWords] to[0] be[0] serious[-1] that[0] it's[0] oddly[0] fascinating[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the ridiculous attempt at drama here leaves the audience somehow transfixed , wanting to see how this dud plays out . 	the ridiculous attempt at drama here leaves the audience somehow transfixed , wanting to see how this dud plays out .	2	-3	 the[0] ridiculous[-2] attempt[0] at[0] drama[0] here[0] leaves[0] the[0] audience[0] somehow[0] transfixed[0] wanting[0] to[0] see[0] how[0] this[0] dud[0] plays[1] out[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the clan of the cave bear is based upon a popular novel by jean m . auel . 	the clan of the cave bear is based upon a popular novel by jean m .<br> auel .	1	-1	 the[0] clan[0] of[0] the[0] cave[0] bear[0] is[0] based[0] upon[0] a[0] popular[0] novel[0] by[0] jean[0] m[0] [[Sentence=-1,1=word max, 1-5]] auel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to this day , the book possesses a loyal cult following . 	to this day , the book possesses a loyal cult following .	2	-1	 to[0] this[0] day[0] the[0] book[0] possesses[0] a[0] loyal[1] cult[0] following[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i remember a dear friend of mine had a dog-eared copy of the novel she had read as a child with all the so-called dirty parts blacked out with marker by her grandmother . 	i remember a dear friend of mine had a dog-eared copy of the novel she had read as a child with all the so-called dirty parts blacked out with marker by her grandmother .	2	-2	 i[0] remember[0] a[0] dear[1] friend[1] of[0] mine[0] had[0] a[0] dog[0] eared[0] copy[0] of[0] the[0] novel[0] she[0] had[0] read[0] as[0] a[0] child[0] with[0] all[0] the[0] so[0] called[0] dirty[-1] parts[0] blacked[0] out[0] with[0] marker[0] by[0] her[0] grandmother[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
