a life less ordinary ( r ) while the extremely peculiar a life less ordinary does live up to its title , a more appropriate moniker would be a movie more misguided , for this confused , confusing attempt at romantic comedy is a most disarming disaster from the talented trainspotting team of director danny boyle , producer andrew macdonald , and screenwriter john hodge . 	Translation	Positive	Negative	EmotionRationale
at the core of this strange film is a fairly basic--and , yes , ordinary--premise . 	at the core of this strange film is a fairly basic-and , yes , ordinary-premise .	1	-1	 at[0] the[0] core[0] of[0] this[0] strange[0] film[0] is[0] a[0] fairly[0] basic[0] and[0] yes[0] ordinary[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after robert ( boyle regular ewan mcgregor ) , an aspiring writer of trashy novels , is fired from his janitorial job at the naville corporation , he kidnaps naville's ( ian holm ) spoiled daughter celine ( cameron diaz ) and holds her for ransom . 	after robert ( boyle regular ewan mcgregor ) , an aspiring writer of trashy novels , is fired from his janitorial job at the naville corporation , he kidnaps naville's ( ian holm ) spoiled daughter celine ( cameron diaz ) and holds her for ransom .	1	-3	 after[0] robert[0] boyle[0] regular[0] ewan[0] mcgregor[0] an[0] aspiring[0] writer[0] of[0] trashy[-1] novels[0] is[0] fired[-2] from[0] his[0] janitorial[0] job[0] at[0] the[0] naville[0] corporation[0] he[0] kidnaps[0] naville's[0] ian[0] holm[0] spoiled[-1] daughter[0] celine[0] cameron[0] diaz[0] and[0] holds[0] her[0] for[0] ransom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the joke here is that celine is a willing victim--her father threatened to cut her off financially , so she wants revenge--and that she soon becomes not only an accomplice but the brains behind the scheme , teaching the inept robert a thing or two about kidnapping . . . 	the joke here is that celine is a willing victim-her father threatened to cut her off financially , so she wants revenge-and that she soon becomes not only an accomplice but the brains behind the scheme , teaching the inept robert a thing or two about kidnapping .<br> .<br> .	2	-3	 the[0] joke[1] here[0] is[0] that[0] celine[0] is[0] a[0] willing[0] victim[-2] her[0] father[0] threatened[-2] to[0] cut[0] her[0] off[0] financially[0] so[0] she[0] wants[0] revenge[-1] and[0] that[0] she[0] soon[0] becomes[0] not[0] only[0] an[0] accomplice[0] but[0] the[0] brains[0] behind[0] the[0] scheme[0] teaching[0] the[0] inept[0] robert[0] a[0] thing[0] or[0] two[0] about[0] kidnapping[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and , ultimately ( didn't we see this one coming ? ) , 	and , ultimately ( didn't we see this one coming ?<br> ) ,	1	-1	 and[0] ultimately[0] didn't[0] we[0] see[0] this[0] one[0] coming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
love . 	love .	3	-1	 love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so far , so mediocre . 	so far , so mediocre .	1	-2	 so[0] far[0] so[0] mediocre[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but mediocre is better than dreadful , which this film is , thanks in no small part to the hodge's contextual frame for the romance . 	but mediocre is better than dreadful , which this film is , thanks in no small part to the hodge's contextual frame for the romance .	4	-4	 but[0] mediocre[-1] is[0] better[0] than[0] dreadful[-3] which[0] this[0] film[0] is[0] thanks[1] in[0] no[0] small[0] part[0] to[0] the[0] hodge's[0] contextual[0] frame[0] for[0] the[0] romance[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
it turns out that god is displeased with the divorce and romantic breakup rate on earth , so the chief of heaven's police , gabriel ( dan hedaya ) dispatches two angels , o'reilly ( holly hunter ) and jackson ( delroy lindo ) , to earth to hook up celine and robert--or lose their angel status . 	it turns out that god is displeased with the divorce and romantic breakup rate on earth , so the chief of heaven's police , gabriel ( dan hedaya ) dispatches two angels , o'reilly ( holly hunter ) and jackson ( delroy lindo ) , to earth to hook up celine and robert-or lose their angel status .	4	-3	 it[0] turns[0] out[0] that[0] god[0] is[0] displeased[-2] with[0] the[0] divorce[-1] and[0] romantic[3] breakup[0] rate[0] on[0] earth[0] so[0] the[0] chief[0] of[0] heaven's[1] police[0] gabriel[0] dan[0] hedaya[0] dispatches[0] two[0] angels[0] o'reilly[0] holly[0] hunter[-1] and[0] jackson[0] delroy[0] lindo[0] to[0] earth[0] to[0] hook[0] up[0] celine[0] and[0] robert[0] or[0] lose[-1] their[0] angel[0] status[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this conceit might have worked if the angel dimension played an integral role in the entire picture . 	this conceit might have worked if the angel dimension played an integral role in the entire picture .	1	-2	 this[0] conceit[-1] might[0] have[0] worked[0] if[0] the[0] angel[0] dimension[0] played[0] an[0] integral[0] role[0] in[0] the[0] entire[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it could have easily been cut without any clear loss to the film ; as it stands , it is simply a waste of time that distracts from the romance at hand . 	but it could have easily been cut without any clear loss to the film ; as it stands , it is simply a waste of time that distracts from the romance at hand .	4	-3	 but[0] it[0] could[0] have[0] easily[0] been[0] cut[0] without[0] any[0] clear[0] loss[-2] to[0] the[0] film[0] as[0] it[0] stands[0] it[0] is[0] simply[0] a[0] waste[-1] of[0] time[0] that[0] distracts[-1] from[0] the[0] romance[3] at[0] hand[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
not that there is much of a romance to begin with . 	not that there is much of a romance to begin with .	4	-1	 not[0] that[0] there[0] is[0] much[0] of[0] a[0] romance[3] to[0] begin[0] with[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
try as diaz and mcgregor may , celine and robert are too one-note to become very endearing characters . 	try as diaz and mcgregor may , celine and robert are too one-note to become very endearing characters .	1	-1	 try[0] as[0] diaz[0] and[0] mcgregor[0] may[0] celine[0] and[0] robert[0] are[0] too[0] one[0] note[0] to[0] become[0] very[0] endearing[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
celine is rich bitch ; robert is a dullard . 	celine is rich bitch ; robert is a dullard .	1	-2	 celine[0] is[0] rich[0] bitch[-1] robert[0] is[0] a[0] dullard[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as such , it is quite hard for the audience to really connect with these two--then again , they never seem to really connect with each other . 	as such , it is quite hard for the audience to really connect with these two-then again , they never seem to really connect with each other .	1	-1	 as[0] such[0] it[0] is[0] quite[0] hard[0] for[0] the[0] audience[0] to[0] really[0] connect[0] with[0] these[0] two[0] then[0] again[0] they[0] never[0] seem[0] to[0] really[0] connect[0] with[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when celine and robert start to overtly act on their " feelings , " it comes off more like something scripted than anything natural . 	when celine and robert start to overtly act on their " feelings , " it comes off more like something scripted than anything natural .	2	-1	 when[0] celine[0] and[0] robert[0] start[0] to[0] overtly[0] act[0] on[0] their[0] feelings[0] it[0] comes[0] off[0] more[0] like[1] something[0] scripted[0] than[0] anything[0] natural[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i am not exactly sure if boyle and company's point was romance ; honestly , i am not exactly sure what they were trying to accomplish . 	but i am not exactly sure if boyle and company's point was romance ; honestly , i am not exactly sure what they were trying to accomplish .	4	-1	 but[0] i[0] am[0] not[0] exactly[0] sure[0] if[0] boyle[0] and[0] company's[0] point[0] was[0] romance[3] honestly[0] i[0] am[0] not[0] exactly[0] sure[0] what[0] they[0] were[0] trying[0] to[0] accomplish[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
boyle juices up the visuals with his characteristic razzmatazz , but it remains just that--energy , not energy in service of a story or even acting . 	boyle juices up the visuals with his characteristic razmataz , but it remains just that-energy , not energy in service of a story or even acting .	2	-1	 boyle[0] juices[0] up[0] the[0] visuals[0] with[0] his[0] characteristic[0] razzmatazz/razmataz[0][+0.6 MultipleLetters] but[0] it[0] remains[0] just[0] that[0] energy[0] not[0] energy[0] in[0] service[0] of[0] a[0] story[0] or[0] even[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast seems lost , especially hunter , whose performance is so adrift as to be baffling . 	the cast seems lost , especially hunter , whose performance is so adrift as to be baffling .	1	-3	 the[0] cast[0] seems[0] lost[0] especially[0] hunter[-1][-1 LastWordBoosterStrength] whose[0] performance[0] is[0] so[0] adrift[0] as[0] to[0] be[0] baffling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
