i wish more films would take on issues of faith and morality in the modern world . 	Translation	Positive	Negative	EmotionRationale
and i wish that film-makers would use commandments as a blueprint on how _not_ to do it . 	and i wish that film-makers would use commandments as a blueprint on how _not_ to do it .	1	-1	 and[0] i[0] wish[0] that[0] film[0] makers[0] would[0] use[0] commandments[0] as[0] a[0] blueprint[0] on[0] how[0] _not_[0] to[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer/director daniel taplitz has created a bizarre conglomeration of satire and soul-searching in this tale of seth warner ( aidan quinn ) , a man of faith who runs into a streak of bad luck which usually inspires country-western lyrics : his pregnant wife drowns , his home is destroyed by a tornado , he loses his job and his dog is crippled by a bolt of lightning . 	writer/director daniel taplitz has created a bizarre conglomeration of satire and soul-searching in this tale of seth warner ( aidan quin ) , a man of faith who runs into a streak of bad luck which usually inspires country-western lyrics : his pregnant wife drowns , his home is destroyed by a tornado , he loses his job and his dog is crippled by a bolt of lightning .	3	-3	 writer/director[0] daniel[0] taplitz[0] has[0] created[0] a[0] bizarre[-1] conglomeration[0] of[0] satire[0] and[0] soul[0] searching[0] in[0] this[0] tale[0] of[0] seth[0] warner[0] aidan[0] quinn/quin[0] a[0] man[0] of[0] faith[1] who[0] runs[0] into[0] a[0] streak[0] of[0] bad[-1] luck[2] which[0] usually[0] inspires[2] country[0] western[0] lyrics[0] his[0] pregnant[0] wife[0] drowns[-1] his[0] home[0] is[0] destroyed[-2] by[0] a[0] tornado[0] he[0] loses[-1] his[0] job[0] and[0] his[0] dog[0] is[0] crippled[-1] by[0] a[0] bolt[-1] of[0] lightning[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
convinced that god has broken his half of the covenant , seth decides to break his , and sets out to turn every " thou shalt not " of the ten commandments into a " thou shalt " ( and vice versa ) . 	convinced that god has broken his half of the covenant , seth decides to break his , and sets out to turn every " thou shalt not " of the ten commandments into a " thou shalt " ( and vice versa ) .	1	-2	 convinced[0] that[0] god[0] has[0] broken[-1] his[0] half[0] of[0] the[0] covenant[0] seth[0] decides[0] to[0] break[0] his[0] and[0] sets[0] out[0] to[0] turn[0] every[0] thou[0] shalt[0] not[0] of[0] the[0] ten[0] commandments[0] into[0] a[0] thou[0] shalt[0] and[0] vice[-1] versa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his wife's sister rachel ( " friends " ' courteney cox ) wants to help seth ; rachel's selfish husband harry ( anthony lapaglia ) , who tends to break a few commandments of his own , thinks seth is a lunatic . 	his wife's sister rachel ( " friends " ' courteney cox ) wants to help seth ; rachel's selfish husband harry ( anthony lapaglia ) , who tends to break a few commandments of his own , thinks seth is a lunatic .	2	-4	 his[0] wife's[0] sister[0] rachel[0] friends[1] '[0] courteney[0] cox[0] wants[0] to[0] help[0] seth[0] rachel's[0] selfish[-3] husband[0] harry[0] anthony[0] lapaglia[0] who[0] tends[0] to[0] break[0] a[0] few[0] commandments[0] of[0] his[0] own[0] thinks[0] seth[0] is[0] a[0] lunatic[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
thus begins a film which picks the wrong tone for every occasion . 	thus begins a film which picks the wrong tone for every occasion .	1	-2	 thus[0] begins[0] a[0] film[0] which[0] picks[0] the[0] wrong[-1] tone[0] for[0] every[0] occasion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
taplitz isn't interested in treating seth's tragedies as genuinely tragic , making it impossible to sympathize with him . 	taplitz isn't interested in treating seth's tragedies as genuinely tragic , making it impossible to sympathize with him .	1	-3	 taplitz[0] isn't[0] interested[1][NegatedDueToPreviousWord] in[0] treating[0] seth's[0] tragedies[-2] as[0] genuinely[0] tragic[-2] making[0] it[0] impossible[0] to[0] sympathize[0] with[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
composer joseph vitarelli provides a score full of whimsical woodwinds , turning seth's sacrilegious mission into an amusing lark ; quinn's performance as seth is all wild-eyed fervor without any genuine pain . 	composer joseph vitarelli provides a score full of whimsical woodwinds , turning seth's sacrilegious mission into an amusing lark ; quinn's performance as seth is all wild-eyed fervor without any genuine pain .	2	-4	 composer[0] joseph[0] vitarelli[0] provides[0] a[0] score[0] full[0] of[0] whimsical[0] woodwinds[0] turning[0] seth's[0] sacrilegious[0] mission[0] into[0] an[0] amusing[1] lark[0] quinn's[0] performance[0] as[0] seth[0] is[0] all[0] wild[0] eyed[0] fervor[0] without[0] any[0] genuine[0] pain[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the actual breaking of the commandments is almost treated as an afterthought , with one through five dispatched in a five-minute montage . 	the actual breaking of the commandments is almost treated as an afterthought , with one through five dispatched in a five-minute montage .	1	-1	 the[0] actual[0] breaking[0] of[0] the[0] commandments[0] is[0] almost[0] treated[0] as[0] an[0] afterthought[0] with[0] one[0] through[0] five[0] dispatched[0] in[0] a[0] five[0] minute[0] montage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a character whose actions feel less like the authentic responses of an anguished man than the machinations of a high-concept movie plot . 	the result is a character whose actions feel less like the authentic responses of an anguished man than the machinations of a high-concept movie plot .	2	-4	 the[0] result[0] is[0] a[0] character[0] whose[0] actions[0] feel[0] less[0] like[1] the[0] authentic[0] responses[0] of[0] an[0] anguished[-3] man[0] than[0] the[0] machinations[0] of[0] a[0] high[0] concept[0] movie[0] plot[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's not even entirely clear that commandments is about seth . 	it's not even entirely clear that commandments is about seth .	1	-1	 it's[0] not[0] even[0] entirely[0] clear[0] that[0] commandments[0] is[0] about[0] seth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
