godzilla is the ultimate culmination of the " who cares about plot " summer movie . 	Translation	Positive	Negative	EmotionRationale
a loose remake of the 1954 " classic " japanese monster movie , godzilla , king of the monsters ( which is itself pretty thin in the story department ) , roland emmerich and dean devlin's big-budget lizard-stomps-manhattan disaster flick has been written with the brain dead in mind . 	a loose remake of the 1954 " classic " japanese monster movie , godzilla , king of the monsters ( which is itself pretty thin in the story department ) , roland emmerich and dean devlin's big-budget lizard-stomps-manhattan disaster flick has been written with the brain dead in mind .	3	-3	 a[0] loose[0] remake[0] of[0] the[0] 1954[0] classic[0] japanese[0] monster[-1] movie[0] godzilla[0] king[0] of[0] the[0] monsters[0] which[0] is[0] itself[0] pretty[2] thin[0] in[0] the[0] story[0] department[0] roland[0] emmerich[0] and[0] dean[0] devlin's[0] big[0] budget[0] lizard[0] stomps[0] manhattan[0] disaster[-1] flick[0] has[0] been[0] written[0] with[0] the[0] brain[0] dead[-2] in[0] mind[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the script isn't just " dumbed down , " it's lobotomized . 	the script isn't just " dumbed down , " it's lobotomized .	1	-1	 the[0] script[0] isn't[0] just[0] dumbed[-1][--1 LastWordBoosterStrength] down[0] it's[0] lobotomized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla lives and dies on special effects alone . 	godzilla lives and dies on special effects alone .	2	-1	 godzilla[0] lives[0] and[0] dies[0] on[0] special[1] effects[0] alone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
presumably , the primary target group for this film is teenage boys , the demographic most likely to shell out  7 repeatedly to see the same images of monster-instigated carnage . 	presumably , the primary target group for this film is teenage boys , the demographic most likely to shell out  7 repeatedly to see the same images of monster-instigated carnage .	1	-2	 presumably[0] the[0] primary[0] target[0] group[0] for[0] this[0] film[0] is[0] teenage[0] boys[0] the[0] demographic[0] most[0] likely[0] to[0] shell[0] out[0] 7[0] repeatedly[0] to[0] see[0] the[0] same[0] images[0] of[0] monster[-1] instigated[0] carnage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's not to say that females and other age groups are immune to the special effects seduction ; they're just not as readily susceptible . 	that's not to say that females and other age groups are immune to the special effects seduction ; they're just not as readily susceptible .	2	-2	 that's[0] not[0] to[0] say[0] that[0] females[0] and[0] other[0] age[0] groups[0] are[0] immune[0] to[0] the[0] special[1] effects[0] seduction[0] they're[0] just[0] not[0] as[0] readily[0] susceptible[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is the third straight movie in a row where emmerich and devlin have demonstrated that a mastery of computer-generated visuals is far more important for making money than the ability to write and direct for actors . 	this is the third straight movie in a row where emmerich and devlin have demonstrated that a mastery of computer-generated visuals is far more important for making money than the ability to write and direct for actors .	1	-1	 this[0] is[0] the[0] third[0] straight[0] movie[0] in[0] a[0] row[0] where[0] emmerich[0] and[0] devlin[0] have[0] demonstrated[0] that[0] a[0] mastery[0] of[0] computer[0] generated[0] visuals[0] is[0] far[0] more[0] important[0] for[0] making[0] money[0] than[0] the[0] ability[0] to[0] write[0] and[0] direct[0] for[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stargate was a financial success . 	stargate was a financial success .	3	-1	 stargate[0] was[0] a[0] financial[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
independence day was a runaway hit . 	independence day was a runaway hit .	1	-2	 independence[0] day[0] was[0] a[0] runaway[-1] hit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , with godzilla already drowning in hype and merchandising tie-ins before it even opens , it's virtually guaranteed at least  100 million . 	and , with godzilla already drowning in hype and merchandising tie-ins before it even opens , it's virtually guaranteed at least  100 million .	1	-2	 and[0] with[0] godzilla[0] already[0] drowning[-1] in[0] hype[0] and[0] merchandising[0] tie[0] ins[0] before[0] it[0] even[0] opens[0] it's[0] virtually[0] guaranteed[0] at[0] least[0] 100[0] million[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nice numbers for a film that could have been penned by a not-too-precocious grade school kid . 	nice numbers for a film that could have been penned by a not-too-precocious grade school kid .	2	-1	 nice[1] numbers[0] for[0] a[0] film[0] that[0] could[0] have[0] been[0] penned[0] by[0] a[0] not[0] too[0] precocious[0] grade[0] school[0] kid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
